chart,version,variantCount,findingCount,priority,topChecks,nextAction,variants
prometheus-community/kube-prometheus-stack,85.3.3,2,54,high,dangling-service:14;unset-cpu-requirements:12;unset-memory-requirements:12;no-read-only-root-fs:6;sensitive-host-mounts:6;host-network:2;host-pid:2,record security acceptance or create a hardened base; review service selectors and runtime endpoints; add production resource policy or accept chart defaults for local-test only; review pod security posture for the production target,default;no-crds
longhorn/longhorn,1.11.2,2,48,high,no-read-only-root-fs:10;run-as-non-root:10;unset-cpu-requirements:10;unset-memory-requirements:10;dangling-service:4;privilege-escalation-container:2;privileged-container:2,record security acceptance or create a hardened base; review service selectors and runtime endpoints; add production resource policy or accept chart defaults for local-test only; review pod security posture for the production target,default;ui-ingress
prometheus-community/prometheus,29.8.0,2,27,high,unset-cpu-requirements:8;unset-memory-requirements:8;no-read-only-root-fs:6;sensitive-host-mounts:3;host-network:1;host-pid:1,record security acceptance or create a hardened base; add production resource policy or accept chart defaults for local-test only; review pod security posture for the production target,default;server-only-ephemeral
secrets-store-csi-driver/secrets-store-csi-driver,1.6.0,2,16,high,no-read-only-root-fs:6;run-as-non-root:6;privilege-escalation-container:2;privileged-container:2,record security acceptance or create a hardened base; review pod security posture for the production target,default;sync-secret-rotation
grafana/loki,7.0.0,2,30,medium,unset-memory-requirements:15;unset-cpu-requirements:14;no-read-only-root-fs:1,add production resource policy or accept chart defaults for local-test only; review pod security posture for the production target,simple-scalable-minio;single-binary-filesystem
hashicorp/vault,0.32.0,2,21,medium,no-read-only-root-fs:4;unset-cpu-requirements:4;unset-memory-requirements:4;dangling-service:2;liveness-port:2;readiness-port:2;startup-port:2;pdb-unhealthy-pod-eviction-policy:1,review service selectors and runtime endpoints; accept PDB behavior or add a reviewed patch where the chart supports it; add production resource policy or accept chart defaults for local-test only; review pod security posture for the production target; review probe port wiring,default;ha-raft-ui
grafana/tempo,1.24.4,2,9,medium,no-read-only-root-fs:3;unset-cpu-requirements:3;unset-memory-requirements:3,add production resource policy or accept chart defaults for local-test only; review pod security posture for the production target,local-persistent;s3-query-observability
ingress-nginx/ingress-nginx,4.15.1,2,8,medium,liveness-port:2;no-read-only-root-fs:2;readiness-port:2;unset-memory-requirements:2,add production resource policy or accept chart defaults for local-test only; review pod security posture for the production target; review probe port wiring,admission-disabled;default
grafana/grafana,10.5.15,2,6,medium,no-read-only-root-fs:2;unset-cpu-requirements:2;unset-memory-requirements:2,add production resource policy or accept chart defaults for local-test only; review pod security posture for the production target,existing-secret-ingress;generated-passwords
argo-cd/argo-cd,9.5.15,2,36,standard,unset-cpu-requirements:18;unset-memory-requirements:18,add production resource policy or accept chart defaults for local-test only,default;no-crds
external-secrets/external-secrets,2.5.0,2,12,standard,unset-cpu-requirements:6;unset-memory-requirements:6,add production resource policy or accept chart defaults for local-test only,default;no-crds
jetstack/cert-manager,v1.20.2,2,12,standard,unset-cpu-requirements:6;unset-memory-requirements:6,add production resource policy or accept chart defaults for local-test only,crds-enabled;default
hashicorp/consul,2.0.0,2,11,standard,liveness-port:2;readiness-port:2;startup-port:2;unset-cpu-requirements:2;unset-memory-requirements:2;job-ttl-seconds-after-finished:1,add production resource policy or accept chart defaults for local-test only; review probe port wiring,default-control-plane;secure-mesh-existing-secrets
bitnami/redis,25.5.3,2,4,standard,pdb-unhealthy-pod-eviction-policy:4,accept PDB behavior or add a reviewed patch where the chart supports it,default;reuse-existing-secret
bitnami/mongodb,19.0.7,2,3,standard,pdb-unhealthy-pod-eviction-policy:3,accept PDB behavior or add a reviewed patch where the chart supports it,existing-secret-replicaset;generated-passwords
bitnami/mysql,14.0.3,2,2,standard,pdb-unhealthy-pod-eviction-policy:2,accept PDB behavior or add a reviewed patch where the chart supports it,existing-secret;generated-passwords
bitnami/nginx,24.0.2,2,2,standard,pdb-unhealthy-pod-eviction-policy:2,accept PDB behavior or add a reviewed patch where the chart supports it,existing-tls-ingress;http-clusterip
bitnami/postgresql,18.6.7,2,2,standard,pdb-unhealthy-pod-eviction-policy:2,accept PDB behavior or add a reviewed patch where the chart supports it,existing-secret;generated-passwords
bitnami/rabbitmq,16.0.14,2,2,standard,pdb-unhealthy-pod-eviction-policy:2,accept PDB behavior or add a reviewed patch where the chart supports it,existing-secret;generated-passwords
metrics-server/metrics-server,3.13.0,2,2,standard,unset-memory-requirements:2,add production resource policy or accept chart defaults for local-test only,default;external-tls-ca
