queue,priority,chart,version,chart_ref,bucket,coverage_percent,strongest_evidence,variants,hard_gap,source_features,missing_items,missing_requirements,first_step,done_when,evidence,next_action,owner
limitation-decision,1,bitnami/contour,21.1.4,bitnami/contour@21.1.4,limitation-decision-first,88,render-parity,default;no-crds,existing-secret (chart ships no Secret toggle),lookup;generated-facts;tpl;capabilities;crds;cluster-rbac,f,scan and production disposition,"decide whether to support, disclose, defer, or block: existing-secret (chart ships no Secret toggle)","the limitation has a recorded support, disclosure, deferral, or blocker decision",recipes/bitnami/contour/21.1.4/revisions/default/r001/variant-revision.yaml;recipes/bitnami/contour/21.1.4/helm-pain-report.yaml;recipes/bitnami/contour/21.1.4/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/bitnami/contour/21.1.4/control-points.yaml;recipes/bitnami/contour/21.1.4/value-model.yaml;recipes/bitnami/contour/21.1.4/helm-plan.yaml;recipes/bitnami/contour/21.1.4/CATALOG.md;recipes/bitnami/contour/21.1.4/helm-pain-report.yaml,review limitation before promotion: existing-secret (chart ships no Secret toggle),
limitation-decision,1,bitnami/elasticsearch,22.1.6,bitnami/elasticsearch@22.1.6,limitation-decision-first,88,render-parity,default;ha,existing-secret (chart ships no Secret toggle),lookup;generated-facts;tpl;capabilities;stateful-storage,f,scan and production disposition,"decide whether to support, disclose, defer, or block: existing-secret (chart ships no Secret toggle)","the limitation has a recorded support, disclosure, deferral, or blocker decision",recipes/bitnami/elasticsearch/22.1.6/revisions/default/r001/variant-revision.yaml;recipes/bitnami/elasticsearch/22.1.6/helm-pain-report.yaml;recipes/bitnami/elasticsearch/22.1.6/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/bitnami/elasticsearch/22.1.6/control-points.yaml;recipes/bitnami/elasticsearch/22.1.6/value-model.yaml;recipes/bitnami/elasticsearch/22.1.6/helm-plan.yaml;recipes/bitnami/elasticsearch/22.1.6/CATALOG.md;recipes/bitnami/elasticsearch/22.1.6/helm-pain-report.yaml,review limitation before promotion: existing-secret (chart ships no Secret toggle),
limitation-decision,1,bitnami/spark,10.0.3,bitnami/spark@10.0.3,limitation-decision-first,88,render-parity,default;ha,existing-secret (chart ships no Secret toggle),lookup;generated-facts;tpl;capabilities;stateful-storage,f,scan and production disposition,"decide whether to support, disclose, defer, or block: existing-secret (chart ships no Secret toggle)","the limitation has a recorded support, disclosure, deferral, or blocker decision",recipes/bitnami/spark/10.0.3/revisions/default/r001/variant-revision.yaml;recipes/bitnami/spark/10.0.3/helm-pain-report.yaml;recipes/bitnami/spark/10.0.3/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/bitnami/spark/10.0.3/control-points.yaml;recipes/bitnami/spark/10.0.3/value-model.yaml;recipes/bitnami/spark/10.0.3/helm-plan.yaml;recipes/bitnami/spark/10.0.3/CATALOG.md;recipes/bitnami/spark/10.0.3/helm-pain-report.yaml,review limitation before promotion: existing-secret (chart ships no Secret toggle),
limitation-decision,1,bitnami/zookeeper,13.8.7,bitnami/zookeeper@13.8.7,limitation-decision-first,88,render-parity,default;ha,existing-secret (chart ships no Secret toggle),lookup;generated-facts;tpl;capabilities;stateful-storage,f,scan and production disposition,"decide whether to support, disclose, defer, or block: existing-secret (chart ships no Secret toggle)","the limitation has a recorded support, disclosure, deferral, or blocker decision",recipes/bitnami/zookeeper/13.8.7/revisions/default/r001/variant-revision.yaml;recipes/bitnami/zookeeper/13.8.7/helm-pain-report.yaml;recipes/bitnami/zookeeper/13.8.7/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/bitnami/zookeeper/13.8.7/control-points.yaml;recipes/bitnami/zookeeper/13.8.7/value-model.yaml;recipes/bitnami/zookeeper/13.8.7/helm-plan.yaml;recipes/bitnami/zookeeper/13.8.7/CATALOG.md;recipes/bitnami/zookeeper/13.8.7/helm-pain-report.yaml,review limitation before promotion: existing-secret (chart ships no Secret toggle),
limitation-decision,1,grafana/pyroscope,2.0.2,grafana/pyroscope@2.0.2,limitation-decision-first,88,local-kubernetes-live,default;ha;no-crds,existing-secret (chart ships no Secret toggle),lookup;generated-facts;tpl;capabilities;crds;cluster-rbac;stateful-storage,f,scan and production disposition,"decide whether to support, disclose, defer, or block: existing-secret (chart ships no Secret toggle)","the limitation has a recorded support, disclosure, deferral, or blocker decision",recipes/grafana/pyroscope/2.0.2/revisions/default/r001/variant-revision.yaml;recipes/grafana/pyroscope/2.0.2/helm-pain-report.yaml;recipes/grafana/pyroscope/2.0.2/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/grafana/pyroscope/2.0.2/control-points.yaml;recipes/grafana/pyroscope/2.0.2/value-model.yaml;recipes/grafana/pyroscope/2.0.2/helm-plan.yaml;recipes/grafana/pyroscope/2.0.2/CATALOG.md;recipes/grafana/pyroscope/2.0.2/helm-pain-report.yaml,review limitation before promotion: existing-secret (chart ships no Secret toggle),
limitation-decision,1,kyverno/kyverno,3.8.1,kyverno/kyverno@3.8.1,limitation-decision-first,88,live-helm-vs-confighub-parity,default;no-crds,existing-secret (chart ships no Secret toggle),lookup;generated-facts;tpl;capabilities;hooks;crds;cluster-rbac;stateful-storage,f,scan and production disposition,"decide whether to support, disclose, defer, or block: existing-secret (chart ships no Secret toggle)","the limitation has a recorded support, disclosure, deferral, or blocker decision",recipes/kyverno/kyverno/3.8.1/revisions/default/r001/variant-revision.yaml;recipes/kyverno/kyverno/3.8.1/helm-pain-report.yaml;recipes/kyverno/kyverno/3.8.1/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/kyverno/kyverno/3.8.1/control-points.yaml;recipes/kyverno/kyverno/3.8.1/value-model.yaml;recipes/kyverno/kyverno/3.8.1/helm-plan.yaml;recipes/kyverno/kyverno/3.8.1/CATALOG.md;recipes/kyverno/kyverno/3.8.1/helm-pain-report.yaml,review limitation before promotion: existing-secret (chart ships no Secret toggle),
limitation-decision,1,traefik/traefik,40.2.0,traefik/traefik@40.2.0,limitation-decision-first,88,live-helm-vs-confighub-parity,default;no-crds,existing-secret (chart ships no Secret toggle),lookup;generated-facts;tpl;capabilities;crds;cluster-rbac;webhooks;stateful-storage,f,scan and production disposition,"decide whether to support, disclose, defer, or block: existing-secret (chart ships no Secret toggle)","the limitation has a recorded support, disclosure, deferral, or blocker decision",recipes/traefik/traefik/40.2.0/revisions/default/r001/variant-revision.yaml;recipes/traefik/traefik/40.2.0/helm-pain-report.yaml;recipes/traefik/traefik/40.2.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/traefik/traefik/40.2.0/control-points.yaml;recipes/traefik/traefik/40.2.0/value-model.yaml;recipes/traefik/traefik/40.2.0/helm-plan.yaml;recipes/traefik/traefik/40.2.0/CATALOG.md;recipes/traefik/traefik/40.2.0/helm-pain-report.yaml,review limitation before promotion: existing-secret (chart ships no Secret toggle),
promotion-review,2,aqua/trivy-operator,0.32.1,aqua/trivy-operator@0.32.1,promote-after-review,88,live-helm-vs-confighub-parity,default;no-crds,-,,f,scan and production disposition,"run catalog promotion review, choose one supported base, then add selected live evidence",scan/disposition evidence exists and at least one selected base has live witness or routed deferral,recipes/aqua/trivy-operator/0.32.1/revisions/default/r001/variant-revision.yaml;recipes/aqua/trivy-operator/0.32.1/helm-pain-report.yaml;recipes/aqua/trivy-operator/0.32.1/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/aqua/trivy-operator/0.32.1/control-points.yaml;recipes/aqua/trivy-operator/0.32.1/value-model.yaml;recipes/aqua/trivy-operator/0.32.1/helm-plan.yaml;recipes/aqua/trivy-operator/0.32.1/CATALOG.md;recipes/aqua/trivy-operator/0.32.1/helm-pain-report.yaml,run catalog promotion review,
promotion-review,2,argo-cd/argo-events,2.4.21,argo-cd/argo-events@2.4.21,promote-after-review,88,live-helm-vs-confighub-parity,default;no-crds,-,,f,scan and production disposition,"run catalog promotion review, choose one supported base, then add selected live evidence",scan/disposition evidence exists and at least one selected base has live witness or routed deferral,recipes/argo-cd/argo-events/2.4.21/revisions/default/r001/variant-revision.yaml;recipes/argo-cd/argo-events/2.4.21/helm-pain-report.yaml;recipes/argo-cd/argo-events/2.4.21/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/argo-cd/argo-events/2.4.21/control-points.yaml;recipes/argo-cd/argo-events/2.4.21/value-model.yaml;recipes/argo-cd/argo-events/2.4.21/helm-plan.yaml;recipes/argo-cd/argo-events/2.4.21/CATALOG.md;recipes/argo-cd/argo-events/2.4.21/helm-pain-report.yaml,run catalog promotion review,
promotion-review,2,argo-cd/argo-rollouts,2.40.9,argo-cd/argo-rollouts@2.40.9,promote-after-review,88,live-helm-vs-confighub-parity,default;no-crds,-,,f,scan and production disposition,"run catalog promotion review, choose one supported base, then add selected live evidence",scan/disposition evidence exists and at least one selected base has live witness or routed deferral,recipes/argo-cd/argo-rollouts/2.40.9/revisions/default/r001/variant-revision.yaml;recipes/argo-cd/argo-rollouts/2.40.9/helm-pain-report.yaml;recipes/argo-cd/argo-rollouts/2.40.9/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/argo-cd/argo-rollouts/2.40.9/control-points.yaml;recipes/argo-cd/argo-rollouts/2.40.9/value-model.yaml;recipes/argo-cd/argo-rollouts/2.40.9/helm-plan.yaml;recipes/argo-cd/argo-rollouts/2.40.9/CATALOG.md;recipes/argo-cd/argo-rollouts/2.40.9/helm-pain-report.yaml,run catalog promotion review,
