chart,version,chart_ref,order,work_type,reviewer,pattern,candidate_route,reason,done_when,evidence
kong/kong,3.2.0,kong/kong@3.2.0,1,base-rendering-review,catalog reviewer,database-migration-pair,upgrade-action-with-receipt,Hook source evidence does not prove the hook appears in every supported base.,"The selected recipe/base records whether the hook renders, is intentionally inert, or requires a separate supported base.",data/hook-route-candidates/kong-kong.yaml
kong/kong,3.2.0,kong/kong@3.2.0,2,ordered-upgrade-action,operator reviewer,database-migration-pair,upgrade-action-with-receipt,"Database migration hooks are ordered lifecycle work, not ordinary desired Kubernetes objects.",The pre-upgrade and post-upgrade actions are mapped to an ordered lifecycle route with rollback and failure-handling notes.,data/hook-route-candidates/kong-kong.yaml
kong/kong,3.2.0,kong/kong@3.2.0,3,target-preflight,platform reviewer,database-migration-pair,upgrade-action-with-receipt,"The route depends on target state, credentials, databases, object stores, or migration state.","Target facts or preflight checks exist for the selected route, or the target prerequisite is explicitly out of scope.",data/hook-route-candidates/kong-kong.yaml
kong/kong,3.2.0,kong/kong@3.2.0,4,maintained-route-receipt,catalog reviewer,database-migration-pair,upgrade-action-with-receipt,Candidate routes are intentionally not maintained lifecycle receipts.,A HookLifecycleRouteReceipt or explicit blocker exists in the maintained hook lifecycle area for the selected base.,data/hook-lifecycle/summary.md
kong/kong,3.2.0,kong/kong@3.2.0,5,gitops-lifecycle-mapping,operator reviewer,database-migration-pair,upgrade-action-with-receipt,Config-only delivery must say how the lifecycle work is driven when Helm hooks are not executed by Helm.,"The route records whether Argo CD, Flux, a ConfigHub action, or an operator-run action owns the lifecycle step.",data/lifecycle-boundary/summary.md
kong/kong,3.2.0,kong/kong@3.2.0,6,runtime-observation-or-execution,operator reviewer,database-migration-pair,upgrade-action-with-receipt,A route is not proof that the lifecycle work completed successfully.,"The selected path has an execution receipt, a fresh observation receipt, or a named reason why runtime proof is deferred.",data/hook-lifecycle/maintained-hook-queue.csv
kong/kong,3.2.0,kong/kong@3.2.0,7,maintained-queue-admission,catalog owner,database-migration-pair,upgrade-action-with-receipt,The chart should not be counted as maintained hook coverage until it has a route receipt or explicit blocker.,The row is admitted to the maintained hook queue or remains in candidates with the missing evidence named.,data/hook-lifecycle/summary.md
k8s-dashboard/kubernetes-dashboard,7.14.0,k8s-dashboard/kubernetes-dashboard@7.14.0,1,base-rendering-review,catalog reviewer,database-migration-pair (vendored),upgrade-action-with-receipt (if rendered),Hook source evidence does not prove the hook appears in every supported base.,"The selected recipe/base records whether the hook renders, is intentionally inert, or requires a separate supported base.",data/hook-route-candidates/k8s-dashboard-kubernetes-dashboard.yaml
k8s-dashboard/kubernetes-dashboard,7.14.0,k8s-dashboard/kubernetes-dashboard@7.14.0,2,dependency-closure-review,catalog reviewer,database-migration-pair (vendored),upgrade-action-with-receipt (if rendered),"The hook is dependency-provided, so chart-level review alone can undercount it.","The dependency source, dependency lock, and affected bases are recorded before the route is admitted to the maintained queue.",data/remote-dependency-closure/top100.csv
k8s-dashboard/kubernetes-dashboard,7.14.0,k8s-dashboard/kubernetes-dashboard@7.14.0,3,ordered-upgrade-action,operator reviewer,database-migration-pair (vendored),upgrade-action-with-receipt (if rendered),"Database migration hooks are ordered lifecycle work, not ordinary desired Kubernetes objects.",The pre-upgrade and post-upgrade actions are mapped to an ordered lifecycle route with rollback and failure-handling notes.,data/hook-route-candidates/k8s-dashboard-kubernetes-dashboard.yaml
k8s-dashboard/kubernetes-dashboard,7.14.0,k8s-dashboard/kubernetes-dashboard@7.14.0,4,maintained-route-receipt,catalog reviewer,database-migration-pair (vendored),upgrade-action-with-receipt (if rendered),Candidate routes are intentionally not maintained lifecycle receipts.,A HookLifecycleRouteReceipt or explicit blocker exists in the maintained hook lifecycle area for the selected base.,data/hook-lifecycle/summary.md
