name,chart,version,base,area,reason,next_action,intent_path
aqua-trivy-operator-0-32-1-default,aqua/trivy-operator,0.32.1,default,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/aqua-trivy-operator-0-32-1-default.yaml
argo-cd-argo-events-2-4-21-default,argo-cd/argo-events,2.4.21,default,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/argo-cd-argo-events-2-4-21-default.yaml
argo-cd-argo-events-2-4-21-no-crds,argo-cd/argo-events,2.4.21,no-crds,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/argo-cd-argo-events-2-4-21-no-crds.yaml
argo-cd-argo-rollouts-2-40-9-default,argo-cd/argo-rollouts,2.40.9,default,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/argo-cd-argo-rollouts-2-40-9-default.yaml
argo-cd-argo-rollouts-2-40-9-no-crds,argo-cd/argo-rollouts,2.40.9,no-crds,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/argo-cd-argo-rollouts-2-40-9-no-crds.yaml
argo-cd-argo-workflows-1-0-14-minimal-crds,argo-cd/argo-workflows,1.0.14,minimal-crds,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/argo-cd-argo-workflows-1-0-14-minimal-crds.yaml
argo-cd-argocd-image-updater-1-2-2-default,argo-cd/argocd-image-updater,1.2.2,default,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/argo-cd-argocd-image-updater-1-2-2-default.yaml
autoscaler-cluster-autoscaler-9-57-0-default,autoscaler/cluster-autoscaler,9.57.0,default,target-prerequisite,"1 observed prerequisite action record exists, but the base does not declare the prerequisite.","Add the observed prerequisite to spec.targetFacts in the base variant, then rerun its proof.",data/helm-render-intents/intents/autoscaler-cluster-autoscaler-9-57-0-default.yaml
aws-ebs-csi-driver-aws-ebs-csi-driver-2-60-1-default,aws-ebs-csi-driver/aws-ebs-csi-driver,2.60.1,default,target-prerequisite,"1 observed prerequisite action record exists, but the base does not declare the prerequisite.","Add the observed prerequisite to spec.targetFacts in the base variant, then rerun its proof.",data/helm-render-intents/intents/aws-ebs-csi-driver-aws-ebs-csi-driver-2-60-1-default.yaml
bitnami-apache-11-4-29-default,bitnami/apache,11.4.29,default,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/bitnami-apache-11-4-29-default.yaml
