rank,id,chart,version,render_status,proof_readiness,deterministic,resource_count,crd_count,has_hooks,uses_lookup,uses_generated_facts,uses_capabilities,uses_tpl,has_extension_slots,dependency_count,has_cluster_rbac,has_webhooks,has_api_service,has_stateful,has_pvc,primary_control_point,next_action,helm_plan_path,render_receipt_path,rendered_manifest_sha256
1,bitnami-redis,bitnami/redis,25.5.3,rendered,needs-generated-fact-binding,false,14,0,false,true,true,false,true,true,1,false,false,false,true,true,generated-facts,"Generate once, persist the generated fact binding, and render the approved variant revision from that binding.",data/adversarial10/charts/bitnami-redis-25.5.3/helm-plan.yaml,data/adversarial10/charts/bitnami-redis-25.5.3/render-receipt.yaml,811d26533430a0f9adb6296bffb1c819a50a7ad8635f5b9b29ed694dbce178ae
2,jetstack-cert-manager,jetstack/cert-manager,v1.20.2,rendered,rendered-needs-control-points,true,42,0,false,false,false,false,true,true,0,true,true,false,false,false,crd-policy,"Split CRD readiness, ordering, schema validation, and upgrade compatibility from ordinary object apply.",data/adversarial10/charts/jetstack-cert-manager-v1.20.2/helm-plan.yaml,data/adversarial10/charts/jetstack-cert-manager-v1.20.2/render-receipt.yaml,45029db19d75e578bec74b82a0476a6580d1f7193239a210bf4873156ac725ce
3,ingress-nginx-ingress-nginx,ingress-nginx/ingress-nginx,4.15.1,rendered,rendered-needs-control-points,true,11,0,true,false,false,true,true,false,0,true,true,false,false,false,capability-profile,"Render against a named, digest-bound Kubernetes capability profile.",data/adversarial10/charts/ingress-nginx-ingress-nginx-4.15.1/helm-plan.yaml,data/adversarial10/charts/ingress-nginx-ingress-nginx-4.15.1/render-receipt.yaml,69021fe879a52913af047cf5f1c5b6ecceae91cad4581d49a54ad1a6518090d7
4,external-secrets-external-secrets,external-secrets/external-secrets,2.5.0,rendered,rendered-needs-control-points,true,42,23,false,false,false,true,true,true,1,true,true,false,false,false,capability-profile,"Render against a named, digest-bound Kubernetes capability profile.",data/adversarial10/charts/external-secrets-external-secrets-2.5.0/helm-plan.yaml,data/adversarial10/charts/external-secrets-external-secrets-2.5.0/render-receipt.yaml,a1c1a8ff5ba4930b0e3f6758299aa4860eb3f9c5b5b9b91fabc3f0c68965e5bf
5,prometheus-community-kube-prometheus-stack,prometheus-community/kube-prometheus-stack,85.3.3,rendered,needs-generated-fact-binding,false,124,10,true,false,false,true,true,true,5,true,true,false,false,false,generated-facts,"Generate once, persist the generated fact binding, and render the approved variant revision from that binding.",data/adversarial10/charts/prometheus-community-kube-prometheus-stack-85.3.3/helm-plan.yaml,data/adversarial10/charts/prometheus-community-kube-prometheus-stack-85.3.3/render-receipt.yaml,a9df6a24768af1e03b22e6a3b5a6ebd0873fe3e7fbae43c6113b24fe4311b238
6,argo-cd-argo-cd,argo-cd/argo-cd,9.5.15,rendered,rendered-needs-control-points,true,49,3,true,false,false,true,true,true,1,true,false,false,true,false,capability-profile,"Render against a named, digest-bound Kubernetes capability profile.",data/adversarial10/charts/argo-cd-argo-cd-9.5.15/helm-plan.yaml,data/adversarial10/charts/argo-cd-argo-cd-9.5.15/render-receipt.yaml,66c97f6d90166727a1b3967db69013de088bbd59eaac797a53aa4972d76e3d93
7,grafana-loki,grafana/loki,7.0.0,render-failed,blocked-needs-values-or-policy,,0,0,true,true,false,true,true,true,3,false,false,false,false,false,recipe-import,Create a minimal Install Variant with required values or mark the chart blocked for this corpus.,data/adversarial10/charts/grafana-loki-7.0.0/helm-plan.yaml,data/adversarial10/charts/grafana-loki-7.0.0/render-receipt.yaml,
8,metrics-server-metrics-server,metrics-server/metrics-server,3.13.0,rendered,rendered-needs-control-points,true,9,0,false,true,true,true,false,false,0,true,false,true,false,false,generated-facts,Record generated fact requirements in the recipe and bind generated facts before publication.,data/adversarial10/charts/metrics-server-metrics-server-3.13.0/helm-plan.yaml,data/adversarial10/charts/metrics-server-metrics-server-3.13.0/render-receipt.yaml,22dc022aedee5c41c2eac80d4ff8b849a123931e9d3f2914b14951aec38b057e
9,bitnami-postgresql,bitnami/postgresql,18.6.7,rendered,needs-generated-fact-binding,false,7,0,true,true,true,false,true,true,1,false,false,false,true,true,generated-facts,"Generate once, persist the generated fact binding, and render the approved variant revision from that binding.",data/adversarial10/charts/bitnami-postgresql-18.6.7/helm-plan.yaml,data/adversarial10/charts/bitnami-postgresql-18.6.7/render-receipt.yaml,873380e64c54009b37008b88c79f00732895bfc5e1e90c057e70447697293c52
10,bitnami-rabbitmq,bitnami/rabbitmq,16.0.14,rendered,needs-generated-fact-binding,false,10,0,false,true,true,false,true,true,1,false,false,false,true,true,generated-facts,"Generate once, persist the generated fact binding, and render the approved variant revision from that binding.",data/adversarial10/charts/bitnami-rabbitmq-16.0.14/helm-plan.yaml,data/adversarial10/charts/bitnami-rabbitmq-16.0.14/render-receipt.yaml,3e62e9c1190360d24596d8dba02b0be280a8146b79188917010ef4c1bddf0a97
