rank,chart,version,bucket,current_proof,recommended_first_base,quirks,user_must_provide,confighub_absorbs,next_action,pain_report
1,argo-cd/argo-cd,9.5.15,ready-to-try,"catalog-supported-with-live-evidence (render parity 2/2, local live 1/2, live parity 1/2)",default,crds;existing-secret;extension-slots,an existing Secret for some bases (buildable — not yet run); a CRD ownership choice (crds vs no-crds base),exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes,recipes/argo-cd/argo-cd/9.5.15/helm-pain-report.yaml
2,bitnami/mongodb,19.0.7,ready-to-try,"catalog-supported-with-live-evidence (render parity 2/2, local live 2/2, live parity 1/2)",generated-passwords,generated-secrets;extension-slots;install-vs-upgrade-divergence;required-values;lookup;generated-facts;tpl;capabilities;rbac;storage,a StorageClass / storage decision; target facts at variant time; mandatory chart inputs,exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; extension slots routed to reviewed bases; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,"record the target-scoped lifecycle support decision, then refresh live/e2e evidence for that scope",recipes/bitnami/mongodb/19.0.7/helm-pain-report.yaml
3,bitnami/mysql,14.0.3,ready-to-try,"catalog-supported-with-live-evidence (render parity 2/2, local live 2/2, live parity 2/2)",generated-passwords,generated-secrets;existing-secret;install-vs-upgrade-divergence;required-values;lookup;generated-facts;tpl;capabilities;storage,an existing Secret for some bases (built); a StorageClass / storage decision; target facts at variant time; mandatory chart inputs,exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes,recipes/bitnami/mysql/14.0.3/helm-pain-report.yaml
4,bitnami/nginx,24.0.2,ready-to-try,"catalog-supported-with-live-evidence (render parity 2/2, local live 2/2, live parity 2/2)",http-clusterip,generated-secrets;existing-secret;extension-slots;install-vs-upgrade-divergence;lookup;generated-facts;tpl;capabilities,an existing Secret for some bases (NOT built - chart ships no Secret toggle); target facts at variant time,exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; extension slots routed to reviewed bases; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,"choose the supported production base and target scope, refresh live/e2e evidence, and record the final support decision",recipes/bitnami/nginx/24.0.2/helm-pain-report.yaml
5,bitnami/postgresql,18.6.7,ready-to-try,"catalog-supported-with-live-evidence (render parity 2/2, local live 2/2, live parity 2/2)",generated-passwords,generated-secrets;existing-secret;install-vs-upgrade-divergence;required-values;lookup;generated-facts;tpl;capabilities;storage,an existing Secret for some bases (built); a StorageClass / storage decision; target facts at variant time; mandatory chart inputs,exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,"record the target-scoped lifecycle support decision, then refresh live/e2e evidence for that scope",recipes/bitnami/postgresql/18.6.7/helm-pain-report.yaml
6,bitnami/rabbitmq,16.0.14,ready-to-try,"catalog-supported-with-live-evidence (render parity 2/2, local live 2/2, live parity 2/2)",generated-passwords,generated-secrets;existing-secret;install-vs-upgrade-divergence;required-values;lookup;generated-facts;tpl;capabilities;storage,an existing Secret for some bases (built); a StorageClass / storage decision; target facts at variant time; mandatory chart inputs,exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes,recipes/bitnami/rabbitmq/16.0.14/helm-pain-report.yaml
7,bitnami/redis,25.5.3,ready-to-try,"catalog-supported-with-live-evidence (render parity 2/2, local live 2/2, live parity 2/2)",default,generated-secrets;install-vs-upgrade-divergence;required-values;lookup;generated-facts;tpl;capabilities;storage,a StorageClass / storage decision; target facts at variant time; mandatory chart inputs,exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,"record the target-scoped lifecycle support decision, then refresh live/e2e evidence for that scope",recipes/bitnami/redis/25.5.3/helm-pain-report.yaml
8,external-secrets/external-secrets,2.5.0,ready-to-try,"catalog-supported-with-live-evidence (render parity 2/2, local live 1/2, live parity 1/2)",default,crds;existing-secret;extension-slots,an existing Secret for some bases (buildable — not yet run); a CRD ownership choice (crds vs no-crds base),exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes,recipes/external-secrets/external-secrets/2.5.0/helm-pain-report.yaml
9,grafana/grafana,10.5.15,ready-to-try,"catalog-supported-with-live-evidence (render parity 2/2, local live 2/2, live parity 2/2)",existing-secret-ingress,extension-slots,nothing beyond a cluster and namespace,exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,resolve image digests for each affected variant before production OCI support,recipes/grafana/grafana/10.5.15/helm-pain-report.yaml
10,grafana/loki,7.0.0,ready-to-try,"catalog-supported-with-live-evidence (render parity 2/2, local live 2/2, live parity 2/2)",single-binary-filesystem,crds;generated-secrets;webhooks;extension-slots;required-values;lookup;generated-facts;tpl;capabilities;rbac;storage,a StorageClass / storage decision; a CRD ownership choice (crds vs no-crds base); webhook/cert readiness at delivery time; target facts at variant time; mandatory chart inputs,exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; CRD handling split into explicit bases; extension slots routed to reviewed bases; cluster lookups lifted into declared target facts,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes,recipes/grafana/loki/7.0.0/helm-pain-report.yaml
