chart,catalog_scope,built_variants,extension_slot_status,control_point_status,surfaces,current_route,evidence
argo-cd/argo-cd@9.5.15,top20-catalog,default+no-crds,yes — per-use review,tpl:controlled-by-empty-defaults,raw/extra manifests; tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-cd/9.5.15/control-points.yaml;recipes/argo-cd/argo-cd/9.5.15/helm-pain-report.yaml
bitnami/mongodb@19.0.7,top20-catalog,existing-secret-replicaset+static-passwords,yes — per-use review,tpl:controlled-by-empty-defaults,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/bitnami/mongodb/19.0.7/control-points.yaml;recipes/bitnami/mongodb/19.0.7/helm-pain-report.yaml
bitnami/nginx@24.0.2,top20-catalog,existing-tls-ingress+http-clusterip,yes — per-use review,extension-slots:controlled-by-empty-defaults,NGINX config blocks; raw/extra manifests; sidecars,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/bitnami/nginx/24.0.2/control-points.yaml;recipes/bitnami/nginx/24.0.2/helm-pain-report.yaml
external-secrets/external-secrets@2.5.0,top20-catalog,default+no-crds,yes — per-use review,tpl:controlled-by-empty-defaults,raw/extra manifests; tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/external-secrets/external-secrets/2.5.0/control-points.yaml;recipes/external-secrets/external-secrets/2.5.0/helm-pain-report.yaml
grafana/grafana@10.5.15,top20-catalog,existing-secret-ingress+static-passwords,yes — per-use review,extension-slots:controlled-by-empty-defaults,sidecars; monitoring config; Secret/env injection,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/grafana/grafana/10.5.15/control-points.yaml;recipes/grafana/grafana/10.5.15/helm-pain-report.yaml
grafana/loki@7.0.0,top20-catalog,simple-scalable-minio+single-binary-filesystem,yes — per-use review,tpl:controlled-by-empty-defaults,raw/extra manifests; Secret/env injection; tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/grafana/loki/7.0.0/control-points.yaml;recipes/grafana/loki/7.0.0/helm-pain-report.yaml
grafana/tempo@1.24.4,top20-catalog,local-persistent+s3-query-observability,yes — per-use review,extension-slots:controlled-by-empty-defaults,volumes/mounts; tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/grafana/tempo/1.24.4/control-points.yaml;recipes/grafana/tempo/1.24.4/helm-pain-report.yaml
hashicorp/consul@2.0.0,top20-catalog,default-control-plane+secure-mesh-existing-secrets,yes — per-use review,extension-slots:controlled-by-empty-defaults,controller/gateway config; tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/hashicorp/consul/2.0.0/control-points.yaml;recipes/hashicorp/consul/2.0.0/helm-pain-report.yaml
hashicorp/vault@0.32.0,top20-catalog,default+dev-mode+ha-raft-ui,yes — per-use review,extension-slots:controlled-by-empty-defaults,sidecars; volumes/mounts; Secret/env injection,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/hashicorp/vault/0.32.0/control-points.yaml;recipes/hashicorp/vault/0.32.0/helm-pain-report.yaml
jetstack/cert-manager@v1.20.2,top20-catalog,crds-enabled+default,yes — per-use review,tpl:controlled-by-empty-defaults,raw/extra manifests; tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/jetstack/cert-manager/v1.20.2/control-points.yaml;recipes/jetstack/cert-manager/v1.20.2/helm-pain-report.yaml
prometheus-community/kube-prometheus-stack@85.3.3,top20-catalog,default+no-crds,yes — per-use review,tpl:controlled-by-empty-defaults,raw/extra manifests; monitoring config; tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/prometheus-community/kube-prometheus-stack/85.3.3/control-points.yaml;recipes/prometheus-community/kube-prometheus-stack/85.3.3/helm-pain-report.yaml
prometheus-community/prometheus@29.8.0,top20-catalog,default+server-only-ephemeral,yes — per-use review,extension-slots:controlled-by-empty-defaults,raw/extra manifests; monitoring config,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/prometheus-community/prometheus/29.8.0/control-points.yaml;recipes/prometheus-community/prometheus/29.8.0/helm-pain-report.yaml
secrets-store-csi-driver/secrets-store-csi-driver@1.6.0,top20-catalog,default+sync-secret-rotation,yes — per-use review,extension-slots:controlled-by-empty-defaults,chart-specific tpl/raw/config slots,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0/control-points.yaml;recipes/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0/helm-pain-report.yaml
aqua/trivy-operator@0.32.1,top100-proof,default+no-crds,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/aqua/trivy-operator/0.32.1/control-points.yaml;recipes/aqua/trivy-operator/0.32.1/helm-pain-report.yaml
argo-cd/argo-events@2.4.21,top100-proof,default+no-crds,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-events/2.4.21/control-points.yaml;recipes/argo-cd/argo-events/2.4.21/helm-pain-report.yaml
argo-cd/argo-rollouts@2.40.9,top100-proof,default+no-crds,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-rollouts/2.40.9/control-points.yaml;recipes/argo-cd/argo-rollouts/2.40.9/helm-pain-report.yaml
argo-cd/argo-workflows@1.0.14,top100-proof,default,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-workflows/1.0.14/control-points.yaml;recipes/argo-cd/argo-workflows/1.0.14/helm-pain-report.yaml
argo-cd/argocd-image-updater@1.2.2,top100-proof,default,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/argo-cd/argocd-image-updater/1.2.2/control-points.yaml;recipes/argo-cd/argocd-image-updater/1.2.2/helm-pain-report.yaml
autoscaler/cluster-autoscaler@9.57.0,top100-proof,default,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/autoscaler/cluster-autoscaler/9.57.0/control-points.yaml;recipes/autoscaler/cluster-autoscaler/9.57.0/helm-pain-report.yaml
autoscaler/vertical-pod-autoscaler@0.9.0,top100-proof,default+no-crds,yes — per-use review,extension-slots:source-signal-recorded,raw/extra manifests,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/autoscaler/vertical-pod-autoscaler/0.9.0/control-points.yaml;recipes/autoscaler/vertical-pod-autoscaler/0.9.0/helm-pain-report.yaml
aws-ebs-csi-driver/aws-ebs-csi-driver@2.60.1,top100-proof,default,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1/control-points.yaml;recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1/helm-pain-report.yaml
bitnami/apache@11.4.29,top100-proof,default,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/bitnami/apache/11.4.29/control-points.yaml;recipes/bitnami/apache/11.4.29/helm-pain-report.yaml
bitnami/contour@21.1.4,top100-proof,default+no-crds,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/bitnami/contour/21.1.4/control-points.yaml;recipes/bitnami/contour/21.1.4/helm-pain-report.yaml
bitnami/elasticsearch@22.1.6,top100-proof,default+ha,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/bitnami/elasticsearch/22.1.6/control-points.yaml;recipes/bitnami/elasticsearch/22.1.6/helm-pain-report.yaml
bitnami/memcached@8.5.5,top100-proof,default,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/bitnami/memcached/8.5.5/control-points.yaml;recipes/bitnami/memcached/8.5.5/helm-pain-report.yaml
