story_id,band,guide_path_id,story_status,capability_status,owner_role,owner_assigned,user_goal,references,prerequisites,next_stories,preceding_guides,next_guides,evidence_source,evidence_materialization,evidence_destination,evidence_live
"S-E1","entry","G-E1","draft","planned","proposed-guide-maintainer","false","Know what a selected configuration installs and what it requires","data/ai-install-shape/summary.md;docs/reference/config-catalog-doctrine.md","","S-E2","","G-E2;G-E4","not-run","not-run","not-run","not-run"
"S-E2","entry","G-E2","draft","planned","proposed-guide-maintainer","false","Understand why a supplied value did not change the render","data/ai-ignored-values/summary.md;docs/reference/config-catalog-doctrine.md","S-E1","S-E3;S-M1","G-E1","G-E3;G-M1","not-run","not-run","not-run","not-run"
"S-E3","entry","G-E3","draft","planned","proposed-guide-maintainer","false","Add a missing field while preserving source authority","data/ai-custom-field/summary.md;examples/plain-yaml/acme-web/README.md","S-E1","S-M1","G-E1","G-M1","not-run","not-run","not-run","not-run"
"S-E4","entry","G-E4","draft","planned","proposed-guide-maintainer","false","Check an AI-authored change before accepting it","data/config-disruption-review/report.json;tests/config-disruption-review.test.mjs","S-E1","S-M1","G-E1","G-M1","not-run","not-run","not-run","not-run"
"S-M1","midpoint","G-M1","draft","planned","proposed-guide-maintainer","false","Explain how a candidate differs from the accepted configuration","data/ai-config-diff/summary.md;data/config-disruption-review/report.json","S-E2;S-E3;S-E4","S-M2;S-M3","G-E2;G-E3;G-E4","G-M2;G-M3","not-run","not-run","not-run","not-run"
"S-M2","midpoint","G-M2","draft","planned","proposed-guide-maintainer","false","Upgrade without losing protected intent","data/redis-upgrade-app-proof/summary.md;data/ai-upgrade-risk/summary.md","S-M1","S-M4","G-M1","G-M4","not-run","not-run","not-run","not-run"
"S-M3","midpoint","G-M3","draft","planned","proposed-guide-maintainer","false","Understand lifecycle work such as hooks and CRDs","data/flattening-safety/summary.md;docs/reference/config-catalog-doctrine.md","S-M1","S-M4","G-M1","G-M4","not-run","not-run","not-run","not-run"
"S-M4","midpoint","G-M4","draft","planned","proposed-guide-maintainer","false","Restore the exact desired revision while distinguishing data recovery","data/redis-upgrade-app-proof/summary.md;data/ai-rollback-history/summary.md","S-M2;S-M3","S-K1;S-K2","G-M2;G-M3","G-M5;P-COMPOSE;P-GPU","not-run","not-run","not-run","not-run"
"S-M5","midpoint","G-M5","draft","planned","proposed-guide-maintainer","false","Keep, share and resume a reviewed result across the individual-to-team handoff","data/config-workshop-command-contract/summary.md;docs/planning/workshop-execution-plan.md","S-M1","S-M4","G-M1","G-M4","not-run","not-run","not-run","not-run"
"S-K1","keystone","P-COMPOSE","draft","planned","proposed-guide-maintainer","false","Compose a bounded platform and app from explicit requirements","examples/workshop-kubara-app/README.md;docs/planning/workshop-execution-plan.md;data/config-workshop-command-contract/summary.md","","S-K2;S-K4","G-M4","P-GPU;P-ARGO","not-run","not-run","not-run","not-run"
"S-K2","keystone","P-GPU","draft","blocked","proposed-guide-maintainer","false","Match a vetted workload configuration to stated hardware constraints","data/aicr-platform-evidence/summary.md;data/aicr-version-diff/summary.md","","S-K3","G-M4;P-COMPOSE","P-GPU-FLEET","not-run","not-run","not-run","not-run"
"S-K3","keystone","P-GPU-FLEET","draft","blocked","proposed-guide-maintainer","false","Reconcile fleet desired and observed state with four separate confidence questions","docs/planning/nvidia-fleet-catalog-requirements.md;data/aicr-platform-evidence/summary.md","","S-K4","P-GPU","P-ARGO","not-run","not-run","not-run","not-run"
"S-K4","keystone","P-ARGO","draft","blocked","proposed-guide-maintainer","false","Trace Argo hierarchy and authority through a governed handover","docs/planning/workshop-execution-plan.md;docs/planning/workshop-stories-entry-mid-keystone.md;examples/workshop-kubara-app/README.md","","","P-COMPOSE","","not-run","not-run","not-run","not-run"
"S-K5","keystone","P-GPU-FLEET","draft","blocked","proposed-guide-maintainer","false","Trace vetted fleet image and CVE evidence to a constrained rollout","docs/planning/nvidia-fleet-catalog-requirements.md;data/aicr-platform-evidence/summary.md;data/image-digest-workdown/all-subjects.csv","","S-K4","P-GPU-FLEET","P-ARGO","not-run","not-run","not-run","not-run"
