quirk,source_top100_count,modeled_catalog_count,proof_observation_count,modeled_source,proof_source,risk_note
hooks,11,5,2 observed + 2 partially-observed + 1 route-selected,data/chart-facts/chart-facts.csv hook columns; data/hook-lifecycle/top100-hooks.csv,data/hook-lifecycle/receipt-index.csv,undercount: 11 source-top-100 hook charts vs 5 modeled; the delta is reviewed in data/hook-lifecycle-review/
hook delete policies,10,5 (queue rows only),tracked inside the 5 hook receipts; not separately receipted,data/hook-lifecycle/top100-hooks.csv hook_delete_policy_count,data/hook-lifecycle/receipt-index.csv route hints,undercount: delete policies are only tracked for charts already in the hook queue
hook weights,3,4 (queue rows only),not separately receipted,data/hook-lifecycle/top100-hooks.csv hook_weight_count,none,inconsistency: queue counts 4 weight-bearing charts but the source top-100 scan counts 3; membership and counting method differ and should be reconciled
lookup,47,26,per-chart target-fact preflight receipts for selected charts; no quirk-level count,data/top100-readiness/readiness.csv source_features (next-80 only),recipes/*/variants target facts; selected live preflight receipts,undercount: top-20 rows carry no source_features tokens so modeled lookup coverage is systematically understated
generated/random/time/cert functions,60,29 generated-facts + 23 generates-secrets,generated Secrets exercised in live lanes for catalog charts; rand/time/cert not separately proven,data/top100-readiness/readiness.csv source_features; data/chart-facts/chart-facts.csv generates_secrets,data/live-e2e/summary.md (catalog charts),definitional drift: the scan counts all rand/time/cert/htpasswd functions; the modeled layer tracks generated facts and Secrets only
capabilities,81,49,render parity pins one capability profile for all parity rows; not isolated per quirk,data/top100-readiness/readiness.csv source_features,render parity receipts (profile-bounded),overclaim risk: parity covers the rendered output under one pinned profile; it does not prove behavior under other Kubernetes versions
tpl,88,55,covered by render parity output; not isolated,data/top100-readiness/readiness.csv source_features,render parity receipts,overclaim risk if read as tpl-semantics proof; parity proves the output of one values profile only
raw/extra manifests,65,82,extension-slot routing rule documented; populated-slot proofs only where a base was built,data/chart-facts/chart-facts.csv extension_slots,docs/user/extension-slots.md; per-base proofs,definitional drift: chart-facts extension_slots is broader (tpl snippets and sidecars included) than the scan's extraManifestValues; the two numbers must not be compared directly
CRDs,24,37,no-crds bases built for 30 charts; CRD/webhook runtime lifecycle observed on 2 charts,data/chart-facts/chart-facts.csv crds; feature-outcomes no_crds_variant,data/outcome-coverage/feature-outcomes.csv; data/lifecycle-observations/cert-manager-eso/summary.md,membership difference: the modeled top-100 contains more CRD charts than the source top-100; the two lists are not the same 100 charts
cluster RBAC,58,41,strict witness compares rendered vs live RBAC on live-tested charts; 1 routed normalization watch row,data/top100-readiness/readiness.csv source_features,data/live-e2e/cub-scout-watchlist.md,undercount: top-20 token gap again; RBAC-specific proof exists only where live lanes ran
webhooks,21,13,runtime webhook lifecycle observed on 2 charts (cert-manager and External Secrets),data/chart-facts/chart-facts.csv webhooks,data/lifecycle-observations/cert-manager-eso/summary.md,undercount: 21 source vs 13 modeled; webhook runtime proof exists for 2 charts and must not be generalized
APIService,5,not tracked,none,none,none,undercount: APIService aggregation (metrics-server class) is visible in the source scan but has no modeled or proof representation
stateful storage,62,31,PVC binding checked at runtime for live-tested catalog charts,data/top100-readiness/readiness.csv source_features,data/live-e2e/summary.md,undercount: top-20 token gap; storage proof is per-live-lane not per-quirk
required/fail,71,33,covered by render parity (a failing required blocks render); not isolated,data/chart-facts/chart-facts.csv required_values,render parity receipts,definitional drift: the scan counts required()/fail call sites; chart-facts records charts with mandatory inputs lacking defaults
values schema,36,14,not separately proven,data/chart-facts/chart-facts.csv values_schema,none,undercount: 36 source vs 14 modeled; reconcile counting method (schema file present vs schema enforced)
semverCompare,71,not tracked,covered by render parity output under the pinned profile; not isolated,none,render parity receipts,undercount: version-conditional rendering is widespread in source but has no modeled axis; interacts with the capabilities overclaim risk
.Files.Get,31,not tracked,covered by render parity output; not isolated,none,render parity receipts,undercount: no modeled axis; relevant to provenance claims because file payloads bypass values
install-vs-upgrade branching,38,18,explicitly captured per revision for modeled charts,data/chart-facts/chart-facts.csv install_vs_upgrade,recipes revisions (render captured per revision),undercount: 38 source vs 18 modeled; charts with release-mode branching outside the modeled set render differently than any single captured revision
non-exact dependencies,26,not tracked in chart facts,none,top-500 scan only (dependency fields),none,undercount: dependency version ranges are a refresh-survival risk with no modeled or proof axis in the top-100 corpus
remote dependencies,47,not tracked in chart facts,none,top-500 scan only (dependency fields),none,undercount: nearly half the source top-100 pulls remote subcharts; vendoring and digest pinning status has no modeled axis
