chart,version,base,lane,result,prerequisite_kind,prerequisite_name,semantic_parity_passed,owner_class,support_artifact,recommended_next_action,rerun_command,evidence_path
autoscaler/cluster-autoscaler,9.57.0,default,K,watch,unknown,unknown,yes,user-stage,,"Supply the required Helm input values for this base, then rerun.",,runs/live-kind-parity/autoscaler-cluster-autoscaler-default/receipt.yaml
aws-ebs-csi-driver/aws-ebs-csi-driver,2.60.1,default,G/P,watch,topology,AWS/EKS metadata + node providerID,yes,target-policy,recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1/target-topology.yaml,"Run on a target with the required platform identity (AWS/EKS metadata + node providerID) (e.g. AWS/EKS metadata + providerID), or use a target-scoped base.",npm run live-parity:run -- --recipe recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1 --base default,runs/live-helm-confighub-compare/aws-ebs-csi-driver-aws-ebs-csi-driver-default/receipt.yaml
bitnami/contour,21.1.4,legacy,G/P,watch,unknown,unknown,unknown,operator-review,,"Review the runtime residue on the target (pod not ready / crash loop / ContainerCreating); stage any missing dependency, then rerun.",npm run live-parity:run -- --recipe recipes/bitnami/contour/21.1.4 --base legacy --repo-url oci://registry-1.docker.io/bitnamicharts,runs/live-helm-confighub-compare/bitnami-contour-legacy/receipt.yaml
dex/dex,0.24.0,default,G/P,watch,unknown,unknown,yes,operator-review,,"Review the runtime residue on the target (pod not ready / crash loop / ContainerCreating); stage any missing dependency, then rerun.",npm run live-parity:run -- --recipe recipes/dex/dex/0.24.0 --base default,runs/live-helm-confighub-compare/dex-dex-default/receipt.yaml
dex/dex,0.24.0,default,K,blocked,unknown,unknown,yes,operator-review,,"Review the runtime residue on the target (pod not ready / crash loop / ContainerCreating); stage any missing dependency, then rerun.",npm run kind-parity:run -- --chart dex/dex --version 0.24.0 --base default,runs/live-kind-parity/dex-dex-default/receipt.yaml
elastic/filebeat,8.5.1,default,G/P,watch,unknown,unknown,yes,operator-review,recipes/elastic/filebeat/8.5.1/target-prerequisite-plan.yaml,"Review the runtime residue on the target (pod not ready / crash loop / ContainerCreating); stage any missing dependency, then rerun.",npm run live-parity:run -- --recipe recipes/elastic/filebeat/8.5.1 --base default,runs/live-helm-confighub-compare/elastic-filebeat-default/receipt.yaml
elastic/filebeat,8.5.1,default,K,blocked,secret,Secret elasticsearch-master-certs,yes,user-stage,recipes/elastic/filebeat/8.5.1/target-prerequisite-plan.yaml,"Create the required Secret(s) (Secret elasticsearch-master-certs) on the target as a target fact, then rerun.",npm run kind-parity:run -- --chart elastic/filebeat --version 8.5.1 --base default,runs/live-kind-parity/elastic-filebeat-default/receipt.yaml
elastic/filebeat,8.5.1,node-or-cluster-collector,G/P,watch,unknown,unknown,yes,operator-review,recipes/elastic/filebeat/8.5.1/target-prerequisite-plan.yaml,"Review the runtime residue on the target (pod not ready / crash loop / ContainerCreating); stage any missing dependency, then rerun.",npm run live-parity:run -- --recipe recipes/elastic/filebeat/8.5.1 --base node-or-cluster-collector,runs/live-helm-confighub-compare/elastic-filebeat-node-or-cluster-collector/receipt.yaml
elastic/filebeat,8.5.1,node-or-cluster-collector,K,blocked,external-api,unknown,yes,operator-review,recipes/elastic/filebeat/8.5.1/target-prerequisite-plan.yaml,"Provide the required upstream service/endpoint as a stack dependency or target fact, then rerun.",npm run kind-parity:run -- --chart elastic/filebeat --version 8.5.1 --base node-or-cluster-collector,runs/live-kind-parity/elastic-filebeat-node-or-cluster-collector/receipt.yaml
elastic/kibana,8.5.1,default,G/P,watch,unknown,unknown,yes,operator-review,,"Review the runtime residue on the target (pod not ready / crash loop / ContainerCreating); stage any missing dependency, then rerun.",npm run live-parity:run -- --recipe recipes/elastic/kibana/8.5.1 --base default,runs/live-helm-confighub-compare/elastic-kibana-default/receipt.yaml
elastic/kibana,8.5.1,default,K,blocked,external-api,unknown,yes,operator-review,,"Provide the required upstream service/endpoint as a stack dependency or target fact, then rerun.",npm run kind-parity:run -- --chart elastic/kibana --version 8.5.1 --base default,runs/live-kind-parity/elastic-kibana-default/receipt.yaml
elastic/metricbeat,8.5.1,default,G/P,watch,unknown,unknown,yes,operator-review,,"Review the runtime residue on the target (pod not ready / crash loop / ContainerCreating); stage any missing dependency, then rerun.",npm run live-parity:run -- --recipe recipes/elastic/metricbeat/8.5.1 --base default,runs/live-helm-confighub-compare/elastic-metricbeat-default/receipt.yaml
elastic/metricbeat,8.5.1,default,K,blocked,secret,Secret elasticsearch-master-certs,yes,user-stage,,"Create the required Secret(s) (Secret elasticsearch-master-certs) on the target as a target fact, then rerun.",npm run kind-parity:run -- --chart elastic/metricbeat --version 8.5.1 --base default,runs/live-kind-parity/elastic-metricbeat-default/receipt.yaml
fluent/fluentd,0.5.3,default,G/P,watch,unknown,unknown,yes,operator-review,recipes/fluent/fluentd/0.5.3/runtime-review.yaml,"Review the runtime residue on the target (pod not ready / crash loop / ContainerCreating); stage any missing dependency, then rerun.",npm run live-parity:run -- --recipe recipes/fluent/fluentd/0.5.3 --base default,runs/live-helm-confighub-compare/fluent-fluentd-default/receipt.yaml
gitlab/gitlab-runner,0.89.0,default,G/P,watch,unknown,unknown,yes,operator-review,,"Review the runtime residue on the target (pod not ready / crash loop / ContainerCreating); stage any missing dependency, then rerun.",npm run live-parity:run -- --recipe recipes/gitlab/gitlab-runner/0.89.0 --base default,runs/live-helm-confighub-compare/gitlab-gitlab-runner-default/receipt.yaml
gitlab/gitlab-runner,0.89.0,default,K,watch,external-api,unknown,yes,operator-review,,"Provide the required upstream service/endpoint as a stack dependency or target fact, then rerun.",npm run kind-parity:run -- --chart gitlab/gitlab-runner --version 0.89.0 --base default,runs/live-kind-parity/gitlab-gitlab-runner-default/receipt.yaml
grafana/pyroscope,2.0.2,default,G/P,watch,unknown,unknown,yes,operator-review,recipes/grafana/pyroscope/2.0.2/runtime-review.yaml,"Review the runtime residue on the target (pod not ready / crash loop / ContainerCreating); stage any missing dependency, then rerun.",npm run live-parity:run -- --recipe recipes/grafana/pyroscope/2.0.2 --base default,runs/live-helm-confighub-compare/grafana-pyroscope-default/receipt.yaml
