id,area,name,status,outcome,evidence,verify,next,issue
T01,Public front door,Pull one ready-made OCI package without an account,available,A new user can pull a public catalog package by immutable digest without ConfigHub or registry credentials.,data/installer-oci-packages/summary.md;docs/user/installer-oci-packages.md,npm run installer-oci:catalog:verify,Keep every published package reference current when recipes or package contents change.,
T02,Public front door,Explain the package source and provenance,available,"A user can identify the chart, version, preset config, source lock, and package digest before deployment.",data/helm-render-intents/summary.md;data/installer-oci-packages/packages.csv,npm run helm-render-intents:verify;npm run installer-oci:catalog:verify,Keep the source record beside every additional format added to the catalog.,
T03,Public front door,Inspect recorded Helm inputs and rendered objects,available,"A user can read the values, namespace, release name, capabilities, source lock, and exact Kubernetes objects.",docs/user/helm-render-intents.md;data/helm-render-intents/summary.md,npm run helm-render-intents:verify,Extend the same readable input record to every non-Helm source format.,
T04,Public front door,Verify Helm-equivalent output,available,"The recorded chart, inputs, and target capabilities reproduce the same semantic Kubernetes objects as Helm.",data/outcome-coverage/summary.md;data/live-kind-parity/summary.md,npm run outcomes:verify;npm run kind-parity:verify,"Rerun parity whenever a chart version, preset config, renderer, or target capability profile changes.",
T05,Public front door,Show prerequisites and lifecycle work before deployment,partial,"Secrets, CRDs, hooks, setup jobs, target facts, and their execution route are visible beside the rendered objects.",data/lifecycle-routes/summary.md;data/hook-lifecycle/summary.md;docs/user/target-prerequisites.md,npm run lifecycle:routes:verify;npm run hooks:lifecycle:verify,Turn more candidate routes into chart-specific receipts and keep unsupported routes as named blockers.,
T06,Public front door,Run the public path locally without ConfigHub,available,"A user can render and inspect a package locally with no ConfigHub server, account, or Kubernetes cluster.",docs/user/serverless-mode.md;runs/serverless-oci-gitops-proof/receipt.yaml,npm run serverless-oci-gitops:proof:verify,Keep the command surface aligned with released cub installer behavior.,
T07,Public front door,Run the anonymous path in CI,available,"CI can pull, render, package, and compare public configuration without ConfigHub credentials.",runs/anonymous-oci-ci-proof/receipt.yaml;data/demo-program/summary.md,npm run anonymous-oci-ci:verify;npm run config-catalog:verify,Publish a copyable CI workflow for each supported input family.,
T08,Public front door,Offer a hosted anonymous inspection service,planned,"A user can submit or select public source material, inspect the result, and obtain OCI without signing in.",config-catalog/program.yaml;docs/reference/config-catalog-doctrine.md,npm run config-catalog:verify,"Choose the hosting and abuse-control model, then prove one public request from source to immutable OCI.",
T09,Bring your own config,Review a chart and values supplied by the user,available,"A user can render a chart and values from their team, inspect exact objects, and compare the result with defaults.",data/byo-helm-values-review/summary.md;runs/byo-helm-values-proof/receipt.yaml,npm run byo-helm-values:verify,Add private-chart and dependency-auth examples without weakening source-lock requirements.,
T10,Bring your own config,Review values proposed by AI,available,An AI-proposed values file becomes an exact object diff with checks and a corrected reviewed result.,docs/user/ai-assisted-helm-changes.md;data/byo-helm-values-review/review.yaml;runs/ai-change-review-live-proof/receipt.yaml,npm run byo-helm-values:verify;npm run ai-change-review:live:verify,Add more chart classes and target-aware checks rather than treating one NGINX example as universal.,
T11,Bring your own config,Build deployable OCI from reviewed source,available,Reviewed source configuration can be packaged as literal OCI and pulled back to the same object set.,runs/byo-helm-values-proof/public-oci-receipt.yaml;data/byo-helm-values-review/public-and-confighub.md,npm run byo-helm-values:verify,"Generalize the build entry point across Helm, AICR, installer packages, and plain Kubernetes YAML.",
T12,Bring your own config,Inspect and test an existing OCI package,available,"A user can start with OCI, inspect its Kubernetes objects and companion records, and run checks without claiming it in ConfigHub.",docs/user/inspect-oci-package.md;data/oci-inspection/summary.md;runs/aicr-oci-roundtrip-proof/receipt.yaml;runs/serverless-oci-gitops-proof/receipt.yaml,npm run oci:inspect:verify;npm run aicr-oci-roundtrip:verify;npm run serverless-oci-gitops:proof:verify,Add signature checks and consumer-specific validation without confusing them with the package inspection report.,
T13,Bring your own config,Transform OCI to OCI without requiring ConfigHub,available,An existing OCI can be checked or changed and emitted as a new immutable OCI while preserving source records.,docs/user/transform-oci-package.md;data/anonymous-oci-transform-proof/summary.md;runs/anonymous-oci-transform-proof/receipt.yaml,npm run anonymous-oci-transform:verify,"Add patch-file input, signature checks, and a deliberate authenticated registry-publish step.",
