chart,version,proof_tier,production_scope,current_variants,gap,route,next_action
bitnami/apache,11.4.29,proof-grade,top100-proof-scope,default+legacy,no chart-native existing-secret toggle found,"do not invent a hidden Secret rewrite; either use generated-secret local-test scope, require external secret delivery before production, or update/upstream the chart values path","source-review values; if no toggle exists, keep existing-secret unavailable and document external-secret production path"
bitnami/contour,21.1.4,proof-grade,top100-proof-scope,default+legacy+no-crds,no chart-native existing-secret toggle found,"do not invent a hidden Secret rewrite; either use generated-secret local-test scope, require external secret delivery before production, or update/upstream the chart values path","source-review values; if no toggle exists, keep existing-secret unavailable and document external-secret production path"
bitnami/elasticsearch,22.1.6,proof-grade,top100-proof-scope,default+ha+legacy,no chart-native existing-secret toggle found,"do not invent a hidden Secret rewrite; either use generated-secret local-test scope, require external secret delivery before production, or update/upstream the chart values path","source-review values; if no toggle exists, keep existing-secret unavailable and document external-secret production path"
bitnami/memcached,8.5.5,proof-grade,top100-proof-scope,default,no chart-native existing-secret toggle found,"do not invent a hidden Secret rewrite; either use generated-secret local-test scope, require external secret delivery before production, or update/upstream the chart values path","source-review values; if no toggle exists, keep existing-secret unavailable and document external-secret production path"
bitnami/nginx,24.0.2,catalog-supported,top20-local-test-supported,existing-tls-ingress+http-clusterip,no chart-native existing-secret toggle found,"do not invent a hidden Secret rewrite; either use generated-secret local-test scope, require external secret delivery before production, or update/upstream the chart values path",write production disposition for generated secret ownership and target-fact preflight
bitnami/phpmyadmin,20.0.0,proof-grade,top100-proof-scope,default+legacy,no chart-native existing-secret toggle found,"do not invent a hidden Secret rewrite; either use generated-secret local-test scope, require external secret delivery before production, or update/upstream the chart values path","source-review values; if no toggle exists, keep existing-secret unavailable and document external-secret production path"
bitnami/spark,10.0.3,proof-grade,top100-proof-scope,default+ha+legacy,no chart-native existing-secret toggle found,"do not invent a hidden Secret rewrite; either use generated-secret local-test scope, require external secret delivery before production, or update/upstream the chart values path","source-review values; if no toggle exists, keep existing-secret unavailable and document external-secret production path"
bitnami/zookeeper,13.8.7,proof-grade,top100-proof-scope,default+ha+legacy,no chart-native existing-secret toggle found,"do not invent a hidden Secret rewrite; either use generated-secret local-test scope, require external secret delivery before production, or update/upstream the chart values path","source-review values; if no toggle exists, keep existing-secret unavailable and document external-secret production path"
fairwinds-stable/goldilocks,10.3.0,proof-grade,top100-proof-scope,default,no chart-native existing-secret toggle found,"do not invent a hidden Secret rewrite; either use generated-secret local-test scope, require external secret delivery before production, or update/upstream the chart values path","source-review values; if no toggle exists, keep existing-secret unavailable and document external-secret production path"
grafana/pyroscope,2.0.2,proof-grade,top100-proof-scope,default+ha+no-crds,no chart-native existing-secret toggle found,"do not invent a hidden Secret rewrite; either use generated-secret local-test scope, require external secret delivery before production, or update/upstream the chart values path","source-review values; if no toggle exists, keep existing-secret unavailable and document external-secret production path"
jaegertracing/jaeger,4.8.0,proof-grade,top100-proof-scope,default,no chart-native existing-secret toggle found,"do not invent a hidden Secret rewrite; either use generated-secret local-test scope, require external secret delivery before production, or update/upstream the chart values path","source-review values; if no toggle exists, keep existing-secret unavailable and document external-secret production path"
metrics-server/metrics-server,3.13.0,catalog-supported,top20-local-test-supported,default+external-tls-ca,no chart-native existing-secret toggle found,"do not invent a hidden Secret rewrite; either use generated-secret local-test scope, require external secret delivery before production, or update/upstream the chart values path",write production disposition for generated secret ownership and target-fact preflight
