chart,version,default_base,bakes_shared_password,password_keys,password_fix_base,password_fix_command,ships_crds,crd_count,crd_separable_base,universal_caveats
aqua/trivy-operator,0.32.1,default,no,,no-crds,kubectl apply -f <crd-manifest.yaml>,yes,12,no-crds,customize;prune;ssa-conflict
argo-cd/argo-cd,9.5.17,default,no,,default,kubectl -n argocd create secret generic argocd-redis --from-literal=auth=<value>,yes,3,,customize;prune;ssa-conflict
argo-cd/argo-events,2.4.21,default,no,,,,yes,3,no-crds,customize;prune;ssa-conflict
argo-cd/argo-rollouts,2.40.9,default,no,,,,yes,5,no-crds,customize;prune;ssa-conflict
argo-cd/argo-workflows,1.0.14,default,no,,,,yes,8,,customize;prune;ssa-conflict
argo-cd/argocd-image-updater,1.2.2,default,no,,,,yes,1,,customize;prune;ssa-conflict
autoscaler/cluster-autoscaler,9.57.0,default,no,,,,no,0,,customize;prune;ssa-conflict
autoscaler/vertical-pod-autoscaler,0.9.0,default,no,,default,Run the chart certgen lifecycle action or stage a valid vpa-tls-certs Secret before waiting for the admission controller,yes,2,no-crds,customize;prune;ssa-conflict
aws-ebs-csi-driver/aws-ebs-csi-driver,2.60.1,default,no,,,,no,0,,customize;prune;ssa-conflict
bitnami/apache,11.4.29,default,no,,,,no,0,,customize;prune;ssa-conflict
bitnami/contour,21.1.4,default,no,,,,yes,5,,customize;prune;ssa-conflict
bitnami/elasticsearch,22.1.6,default,no,,,,no,0,,customize;prune;ssa-conflict
bitnami/memcached,8.5.5,default,no,,,,no,0,,customize;prune;ssa-conflict
bitnami/mongodb,19.1.0,existing-secret-replicaset,no,,existing-secret-replicaset,"kubectl -n mongodb create secret generic mongodb-auth --from-literal=mongodb-root-password=""$(openssl rand -base64 32)"" --from-literal=mongodb-replica-set-key=""$(openssl rand -base64 48)""",no,0,,customize;prune;ssa-conflict
bitnami/mysql,14.0.3,existing-secret,no,,existing-secret,"kubectl -n mysql create secret generic mysql-auth --from-literal=mysql-root-password=""$(openssl rand -base64 32)"" --from-literal=mysql-password=""$(openssl rand -base64 32)"" --from-literal=mysql-replication-password=""$(openssl rand -base64 32)""",no,0,,customize;prune;ssa-conflict
bitnami/nginx,25.0.0,http-clusterip,no,,existing-tls-ingress,kubectl -n nginx create secret generic nginx-backend-tls --from-literal=tls.crt=<value> --from-literal=tls.key=<value> --from-literal=ca.crt=<value>,no,0,,customize;prune;ssa-conflict
bitnami/opensearch,2.0.10,default,no,,,,no,0,,customize;prune;ssa-conflict
bitnami/phpmyadmin,20.0.0,default,no,,,,no,0,,customize;prune;ssa-conflict
bitnami/postgresql,18.7.0,existing-secret,no,,existing-secret,"kubectl -n postgresql create secret generic postgresql-auth --from-literal=postgres-password=""$(openssl rand -base64 32)""",no,0,,customize;prune;ssa-conflict
bitnami/rabbitmq,16.0.14,existing-secret,no,,existing-secret,"kubectl -n rabbitmq create secret generic rabbitmq-auth --from-literal=rabbitmq-password=""$(openssl rand -base64 32)""",no,0,,customize;prune;ssa-conflict
bitnami/redis,27.0.0,reuse-existing-secret,no,,reuse-existing-secret,"kubectl -n redis create secret generic redis-existing-secret --from-literal=redis-password=""$(openssl rand -base64 32)""",no,0,,customize;prune;ssa-conflict
bitnami/spark,10.0.3,default,no,,,,no,0,,customize;prune;ssa-conflict
bitnami/zookeeper,13.8.7,default,no,,,,no,0,,customize;prune;ssa-conflict
cloudnative-pg/cloudnative-pg,0.28.2,default,no,,no-crds,kubectl -n default create secret generic cnpg-webhook-cert --from-literal=tls.crt=<value> --from-literal=tls.key=<value>,yes,10,no-crds,customize;prune;ssa-conflict
coredns/coredns,1.45.2,default,no,,,,no,0,,customize;prune;ssa-conflict
crossplane-stable/crossplane,2.3.1,default,no,,,,no,0,,customize;prune;ssa-conflict
descheduler/descheduler,0.36.0,default,no,,,,no,0,,customize;prune;ssa-conflict
dex/dex,0.24.0,default,no,,,,no,0,,customize;prune;ssa-conflict
elastic/eck-operator,3.4.0,default,no,,,,yes,12,no-crds,customize;prune;ssa-conflict
elastic/filebeat,8.5.1,default,no,,,,no,0,,customize;prune;ssa-conflict
elastic/kibana,8.5.1,default,no,,,,no,0,,customize;prune;ssa-conflict
elastic/logstash,8.5.1,default,no,,,,no,0,,customize;prune;ssa-conflict
elastic/metricbeat,8.5.1,default,no,,,,no,0,,customize;prune;ssa-conflict
external-dns/external-dns,1.21.1,default,no,,,,yes,1,no-crds,customize;prune;ssa-conflict
external-secrets/external-secrets,2.5.0,default,no,,,,yes,23,,customize;prune;ssa-conflict
fairwinds-stable/goldilocks,10.3.0,default,no,,,,no,0,,customize;prune;ssa-conflict
fairwinds-stable/vpa,4.11.0,default,no,,default,kubectl -n default create secret generic vpa-tls-secret --from-literal=ca=<value> --from-literal=cert=<value> --from-literal=key=<value>,yes,2,no-crds,customize;prune;ssa-conflict
falcosecurity/falco,9.0.0,default,no,,,,no,0,,customize;prune;ssa-conflict
falcosecurity/falcosidekick,0.13.1,default,yes,TIMESCALEDB_PASSWORD,,,no,0,,customize;prune;ssa-conflict
fluent/fluent-bit,0.57.6,default,no,,,,no,0,,customize;prune;ssa-conflict
fluent/fluentd,0.5.3,default,no,,,,no,0,,customize;prune;ssa-conflict
gatekeeper/gatekeeper,3.22.2,default,no,,,,yes,17,no-crds,customize;prune;ssa-conflict
gitlab/gitlab-runner,0.89.0,default,no,,,,no,0,,customize;prune;ssa-conflict
grafana/alloy,1.8.2,default,no,,,,yes,1,no-crds,customize;prune;ssa-conflict
grafana/grafana,10.5.15,existing-secret-ingress,no,,existing-secret-ingress,"kubectl -n grafana create secret generic grafana-admin --from-literal=admin-user=admin --from-literal=admin-password=""$(openssl rand -base64 32)""",no,0,,customize;prune;ssa-conflict
grafana/loki,7.0.0,single-binary-filesystem,no,,,,no,0,,customize;prune;ssa-conflict
grafana/promtail,6.17.1,default,no,,,,no,0,,customize;prune;ssa-conflict
grafana/pyroscope,2.0.2,default,no,,,,yes,1,no-crds,customize;prune;ssa-conflict
grafana/rollout-operator,0.49.0,default,no,,,,yes,2,no-crds,customize;prune;ssa-conflict
grafana/tempo,1.24.4,local-persistent,no,,s3-query-observability,kubectl -n tempo create secret generic tempo-s3-credentials --from-literal=access_key=<value> --from-literal=secret_key=<value>,no,0,,customize;prune;ssa-conflict
haproxytech/kubernetes-ingress,1.52.0,default,no,,,,no,0,,customize;prune;ssa-conflict
