"persona","run_id","max_clicks","category","format","goal_code","goal","start_url","outcome","clicks","elapsed_ms","start_complete","start_matched_groups","first_click_accurate","matched_groups","total_groups","actionable","next_action_clear","disposition","evidence_url","evidence_title","evidence_excerpt","path"
"developer","developer-001","5","comprehension","mixed","D-C1","understand what this site does","https://confighub.github.io/helm-expt/site/index.html","success","0","192","yes","2","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/index.html","Config Workshop · Understand and test your configuration","figuration Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Catalog Platforms and stacks Operate Why trust it Docs ConfigHub Helm first · AICR, Timoni, OCI and YAML examples See what your configuration will do Bring t","https://confighub.github.io/helm-expt/site/index.html"
"developer","developer-002","5","comprehension","mixed","D-C1","understand what this site does","https://confighub.github.io/helm-expt/site/ai.html","success","0","151","yes","2","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/ai.html","AI with review and evidence · Config Workshop","g Workshop Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Catalog Platforms and stacks Operate Why trust it Docs ConfigHub Catalog Find a configuration Is my configuration right? Try it: Redis in ten minutes Detaile","https://confighub.github.io/helm-expt/site/ai.html"
"developer","developer-003","5","comprehension","mixed","D-C1","understand what this site does","https://confighub.github.io/helm-expt/site/ask.html","success","0","162","yes","2","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/ask.html","Check my config · Config Workshop","g Workshop Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Catalog Platforms and stacks Operate Why trust it Docs ConfigHub Catalog Find a configuration Is my configuration right? Try it: Redis in ten minutes Detaile","https://confighub.github.io/helm-expt/site/ask.html"
"developer","developer-004","5","comprehension","mixed","D-C1","understand what this site does","https://confighub.github.io/helm-expt/site/promote.html","success","0","156","yes","2","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/promote.html","Promote my config · Config Workshop","g Workshop Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Catalog Platforms and stacks Operate Why trust it Docs ConfigHub Catalog Find a configuration Is my configuration right? Try it: Redis in ten minutes Detaile","https://confighub.github.io/helm-expt/site/promote.html"
"developer","developer-005","5","comprehension","mixed","D-C1","understand what this site does","https://confighub.github.io/helm-expt/site/charts/index.html","success","0","198","yes","2","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/charts/index.html","Component Catalog · Config Workshop","Component Catalog · Config Workshop Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Catalog Platforms and stacks Operate Why trust it Docs ConfigHub Catalog","https://confighub.github.io/helm-expt/site/charts/index.html"
"developer","developer-006","5","comprehension","mixed","D-C1","understand what this site does","https://confighub.github.io/helm-expt/site/try.html","success","0","158","yes","2","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/try.html","Try it: Redis in ten minutes · Config Workshop","g Workshop Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Catalog Platforms and stacks Operate Why trust it Docs ConfigHub Catalog Find a configuration Is my configuration right? Try it: Redis in ten minutes Detaile","https://confighub.github.io/helm-expt/site/try.html"
"developer","developer-007","5","comprehension","mixed","D-C1","understand what this site does","https://confighub.github.io/helm-expt/site/testing.html","success","0","169","yes","2","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/testing.html","Worked Examples · Config Workshop","g Workshop Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Catalog Platforms and stacks Operate Why trust it Docs ConfigHub Catalog Find a configuration Is my configuration right? Try it: Redis in ten minutes Detaile","https://confighub.github.io/helm-expt/site/testing.html"
"developer","developer-008","5","comprehension","mixed","D-C1","understand what this site does","https://confighub.github.io/helm-expt/site/how-it-works.html","success","0","170","yes","2","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/how-it-works.html","Operate · Config Workshop","g Workshop Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Catalog Platforms and stacks Operate Why trust it Docs ConfigHub Catalog Find a configuration Is my configuration right? Try it: Redis in ten minutes Detaile","https://confighub.github.io/helm-expt/site/how-it-works.html"
"developer","developer-009","5","comprehension","mixed","D-C1","understand what this site does","https://confighub.github.io/helm-expt/site/docs.html","success","0","134","yes","2","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/docs.html","Docs · Config Workshop","g Workshop Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Catalog Platforms and stacks Operate Why trust it Docs ConfigHub Catalog Find a configuration Is my configuration right? Try it: Redis in ten minutes Detaile","https://confighub.github.io/helm-expt/site/docs.html"
"developer","developer-010","5","comprehension","mixed","D-C1","understand what this site does","https://confighub.github.io/helm-expt/site/confighub.html","success","0","110","yes","2","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/confighub.html","Use ConfigHub · Config Workshop","g Workshop Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Catalog Platforms and stacks Operate Why trust it Docs ConfigHub Catalog Find a configuration Is my configuration right? Try it: Redis in ten minutes Detaile","https://confighub.github.io/helm-expt/site/confighub.html"
"developer","developer-011","5","comprehension","mixed","D-C2","understand Catalog versus my own case","https://confighub.github.io/helm-expt/site/index.html","partial","5","180","no","1","no","1","2","yes","no","bookmark","https://confighub.github.io/helm-expt/site/index.html","Config Workshop · Understand and test your configuration","figuration Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Catalog Platforms and stacks Operate Why trust it Docs ConfigHub Helm first · AICR, Timoni, OCI and YAML examples See what your configuration will do Bring t","https://confighub.github.io/helm-expt/site/index.html -> https://confighub.github.io/helm-expt/site/charts/index.html -> https://confighub.github.io/helm-expt/site/d/docs/reference/how-the-catalog-is-built.html -> https://confighub.github.io/helm-expt/site/d/docs/reference/how-the-catalog-is-built.html#retained-versions -> https://confighub.github.io/helm-expt/site/d/docs/reference/how-the-catalog-is-built.html#the-matrix-taxonomy -> https://confighub.github.io/helm-expt/site/d/docs/reference/how-the-catalog-is-built.html#what-a-passing-verifier-means"
"developer","developer-012","5","comprehension","mixed","D-C2","understand Catalog versus my own case","https://confighub.github.io/helm-expt/site/ai.html","partial","5","391","no","1","no","1","2","yes","no","bookmark","https://confighub.github.io/helm-expt/site/ai.html","AI with review and evidence · Config Workshop","g Workshop Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Catalog Platforms and stacks Operate Why trust it Docs ConfigHub Catalog Find a configuration Is my configuration right? Try it: Redis in ten minutes Detaile","https://confighub.github.io/helm-expt/site/ai.html -> https://confighub.github.io/helm-expt/site/charts/index.html -> https://confighub.github.io/helm-expt/site/d/docs/reference/how-the-catalog-is-built.html -> https://confighub.github.io/helm-expt/site/d/docs/reference/how-the-catalog-is-built.html#retained-versions -> https://confighub.github.io/helm-expt/site/d/docs/reference/how-the-catalog-is-built.html#the-matrix-taxonomy -> https://confighub.github.io/helm-expt/site/d/docs/reference/how-the-catalog-is-built.html#what-a-passing-verifier-means"
"developer","developer-013","5","comprehension","mixed","D-C2","understand Catalog versus my own case","https://confighub.github.io/helm-expt/site/ask.html","success","0","21","yes","2","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/ask.html","Check my config · Config Workshop","g Workshop Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Catalog Platforms and stacks Operate Why trust it Docs ConfigHub Catalog Find a configuration Is my configuration right? Try it: Redis in ten minutes Detaile","https://confighub.github.io/helm-expt/site/ask.html"
"developer","developer-014","5","comprehension","mixed","D-C2","understand Catalog versus my own case","https://confighub.github.io/helm-expt/site/promote.html","partial","5","185","no","1","no","1","2","yes","no","bookmark","https://confighub.github.io/helm-expt/site/promote.html","Promote my config · Config Workshop","g Workshop Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Catalog Platforms and stacks Operate Why trust it Docs ConfigHub Catalog Find a configuration Is my configuration right? Try it: Redis in ten minutes Detaile","https://confighub.github.io/helm-expt/site/promote.html -> https://confighub.github.io/helm-expt/site/charts/index.html -> https://confighub.github.io/helm-expt/site/d/docs/reference/how-the-catalog-is-built.html -> https://confighub.github.io/helm-expt/site/d/docs/reference/how-the-catalog-is-built.html#retained-versions -> https://confighub.github.io/helm-expt/site/d/docs/reference/how-the-catalog-is-built.html#the-matrix-taxonomy -> https://confighub.github.io/helm-expt/site/d/docs/reference/how-the-catalog-is-built.html#what-a-passing-verifier-means"
"developer","developer-015","5","comprehension","mixed","D-C2","understand Catalog versus my own case","https://confighub.github.io/helm-expt/site/charts/index.html","partial","5","298","no","1","no","1","2","yes","no","bookmark","https://confighub.github.io/helm-expt/site/charts/index.html","Component Catalog · Config Workshop","Component Catalog · Config Workshop Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Catalog Platforms and stacks Operate Why trust it Docs ConfigHub Catalog","https://confighub.github.io/helm-expt/site/charts/index.html -> https://confighub.github.io/helm-expt/site/d/docs/reference/how-the-catalog-is-built.html -> https://confighub.github.io/helm-expt/site/d/docs/reference/how-the-catalog-is-built.html#retained-versions -> https://confighub.github.io/helm-expt/site/d/docs/reference/how-the-catalog-is-built.html#the-matrix-taxonomy -> https://confighub.github.io/helm-expt/site/d/docs/reference/how-the-catalog-is-built.html#what-a-passing-verifier-means -> https://confighub.github.io/helm-expt/site/known-gaps.html"
"developer","developer-016","5","comprehension","mixed","D-C2","understand Catalog versus my own case","https://confighub.github.io/helm-expt/site/try.html","success","0","19","yes","2","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/try.html","Try it: Redis in ten minutes · Config Workshop","g Workshop Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Catalog Platforms and stacks Operate Why trust it Docs ConfigHub Catalog Find a configuration Is my configuration right? Try it: Redis in ten minutes Detaile","https://confighub.github.io/helm-expt/site/try.html"
"developer","developer-017","5","comprehension","mixed","D-C2","understand Catalog versus my own case","https://confighub.github.io/helm-expt/site/testing.html","partial","5","199","no","1","no","1","2","yes","no","bookmark","https://confighub.github.io/helm-expt/site/testing.html","Worked Examples · Config Workshop","g Workshop Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Catalog Platforms and stacks Operate Why trust it Docs ConfigHub Catalog Find a configuration Is my configuration right? Try it: Redis in ten minutes Detaile","https://confighub.github.io/helm-expt/site/testing.html -> https://confighub.github.io/helm-expt/site/d/data/helm-catalog-readmes/spaces/byo-nginx-ai-values-24-0-2-reviewed/README.html -> https://confighub.github.io/helm-expt/site/d/data/helm-catalog-readmes/spaces/byo-nginx-ai-values-24-0-2-reviewed/README.html#why-this-example-exists -> https://confighub.github.io/helm-expt/site/d/data/helm-catalog-readmes/spaces/byo-nginx-ai-values-24-0-2-reviewed/README.html#what-this-example-shows -> https://confighub.github.io/helm-expt/site/charts/index.html -> https://confighub.github.io/helm-expt/site/d/docs/reference/how-the-catalog-is-built.html"
