priority,priority_score,source_rank,chart,source_version,modeled_version,catalog_status,proof_surface,open_quirks,top_quirk,top_quirk_detail,candidate_route,candidate_route_artifact,first_action,next_artifact,why_it_matters,source_evidence,model_gap
P0,68,9,k8s-dashboard/kubernetes-dashboard,7.14.0,,not-in-modeled-top100,,apiservice;remote-dependencies;non-exact-dependencies;hooks;hook-delete-policy;semver-compare;files-get;generated-facts;lookup;capabilities;required-or-fail;webhooks;crds;stateful-storage,apiservice,1 APIService object(s),upgrade-action-with-receipt (if rendered),data/hook-route-candidates/summary.md,add an APIService readiness model and runtime observation route,chart facts axis plus lifecycle observation receipt,APIService aggregation can pass render parity while failing at API aggregation or TLS/runtime readiness.,kubernetes-dashboard/charts/kong/templates/migrations-post-upgrade.yaml;kubernetes-dashboard/charts/kong/templates/migrations-pre-upgrade.yaml,source signal not fully modeled: apiservice;remote-dependencies;non-exact-dependencies;hooks;hook-delete-policy;semver-compare;files-get;lookup;webhooks;stateful-storage
P0,67,1,prometheus-community/kube-prometheus-stack,85.3.0,85.3.3,catalog-supported,top20-catalog-supported,remote-dependencies;non-exact-dependencies;hooks;hook-delete-policy;hook-weight-ordering;semver-compare;files-get;generated-facts;lookup;capabilities;required-or-fail;webhooks;crds;stateful-storage,remote-dependencies,4 remote dependency repo(s),,,model remote dependency closure in chart facts and source/dependency lock evidence,dependency closure facts plus refresh-survival check,"remote subcharts can change provenance, hooks, CRDs, RBAC, and rendered objects outside the parent chart.",kube-prometheus-stack/templates/prometheus-operator/admission-webhooks/job-patch/ciliumnetworkpolicy-createSecret.yaml;kube-prometheus-stack/templates/prometheus-operator/admission-webhooks/job-patch/ciliumnetworkpolicy-patchWebhook.yaml,source signal not fully modeled: remote-dependencies;non-exact-dependencies;hooks;hook-delete-policy;hook-weight-ordering;semver-compare;files-get;lookup;webhooks;stateful-storage
P0,58,38,kyverno/kyverno,3.8.1,3.8.1,proof-grade,next80-proof-grade,remote-dependencies;non-exact-dependencies;hooks;hook-delete-policy;hook-weight-ordering;semver-compare;files-get;generated-facts;lookup;capabilities;required-or-fail;crds;stateful-storage,remote-dependencies,5 remote dependency repo(s),,,model remote dependency closure in chart facts and source/dependency lock evidence,dependency closure facts plus refresh-survival check,"remote subcharts can change provenance, hooks, CRDs, RBAC, and rendered objects outside the parent chart.",kyverno/charts/reports-server/templates/hooks/pre-delete-api-service-cleanup.yaml;kyverno/templates/hooks/post-upgrade-migrate-resources.yaml;kyverno/templates/hooks/pre-delete-remove-webhooks.yaml,source signal not fully modeled: remote-dependencies;non-exact-dependencies;hooks;hook-delete-policy;hook-weight-ordering;semver-compare;files-get;lookup;stateful-storage
P0,56,13,gitlab/gitlab,10.0.0,,not-in-modeled-top100,,remote-dependencies;non-exact-dependencies;hooks;semver-compare;files-get;generated-facts;lookup;capabilities;required-or-fail;webhooks;crds;stateful-storage,remote-dependencies,13 remote dependency repo(s),,,model remote dependency closure in chart facts and source/dependency lock evidence,dependency closure facts plus refresh-survival check,"remote subcharts can change provenance, hooks, CRDs, RBAC, and rendered objects outside the parent chart.",gitlab/charts/traefik/templates/dashboard-hook-ingressroute.yaml;gitlab/charts/ai-gateway/templates/ingress-grpc.yaml;gitlab/charts/ai-gateway/templates/ingress.yaml;gitlab/charts/kubernetes-ingress/templates/NOTES.txt,source signal not fully modeled: remote-dependencies;non-exact-dependencies;hooks;semver-compare;files-get;lookup;webhooks;stateful-storage
P0,54,97,kong/kong,3.2.0,,not-in-modeled-top100,,remote-dependencies;non-exact-dependencies;hooks;hook-delete-policy;semver-compare;files-get;generated-facts;lookup;capabilities;required-or-fail;webhooks;crds;stateful-storage,remote-dependencies,2 remote dependency repo(s),upgrade-action-with-receipt,data/hook-route-candidates/summary.md,model remote dependency closure in chart facts and source/dependency lock evidence,dependency closure facts plus refresh-survival check,"remote subcharts can change provenance, hooks, CRDs, RBAC, and rendered objects outside the parent chart.",kong/templates/migrations-post-upgrade.yaml;kong/templates/migrations-pre-upgrade.yaml,source signal not fully modeled: remote-dependencies;non-exact-dependencies;hooks;hook-delete-policy;semver-compare;files-get;lookup;webhooks;stateful-storage
P0,51,43,datadog/datadog,3.214.0,,not-in-modeled-top100,,apiservice;remote-dependencies;hooks;hook-delete-policy;semver-compare;files-get;generated-facts;lookup;capabilities;required-or-fail;stateful-storage,apiservice,1 APIService object(s),,,add an APIService readiness model and runtime observation route,chart facts axis plus lifecycle observation receipt,APIService aggregation can pass render parity while failing at API aggregation or TLS/runtime readiness.,datadog/charts/datadog-csi-driver/templates/gke_autopilot_allowlist_synchronizer.yaml;datadog/templates/gke_autopilot_allowlist_synchronizer.yaml;datadog/templates/migration-job.yaml,source signal not fully modeled: apiservice;remote-dependencies;hooks;hook-delete-policy;semver-compare;files-get;lookup;stateful-storage
P0,49,10,grafana/loki,7.0.0,7.0.0,catalog-supported,top20-catalog-supported,remote-dependencies;semver-compare;files-get;generated-facts;lookup;capabilities;required-or-fail;webhooks;crds;stateful-storage,remote-dependencies,3 remote dependency repo(s),,,model remote dependency closure in chart facts and source/dependency lock evidence,dependency closure facts plus refresh-survival check,"remote subcharts can change provenance, hooks, CRDs, RBAC, and rendered objects outside the parent chart.",loki/charts/minio/templates/_helpers.tpl;loki/charts/minio/templates/console-ingress.yaml;loki/charts/minio/templates/ingress.yaml;loki/templates/monitoring/dashboards/configmap-1.yaml,source signal not fully modeled: remote-dependencies;semver-compare;files-get;lookup;webhooks;stateful-storage
P0,47,23,bitnami/kafka,32.4.3,,not-in-modeled-top100,,remote-dependencies;non-exact-dependencies;hooks;hook-delete-policy;semver-compare;generated-facts;lookup;capabilities;stateful-storage,remote-dependencies,1 remote dependency repo(s),explicit-managed-action,data/hook-route-candidates/summary.md,model remote dependency closure in chart facts and source/dependency lock evidence,dependency closure facts plus refresh-survival check,"remote subcharts can change provenance, hooks, CRDs, RBAC, and rendered objects outside the parent chart.",kafka/templates/provisioning/job.yaml,source signal not fully modeled: remote-dependencies;non-exact-dependencies;hooks;hook-delete-policy;semver-compare;lookup;stateful-storage
P0,47,32,bitnami/minio,17.0.21,,not-in-modeled-top100,,remote-dependencies;non-exact-dependencies;hooks;hook-delete-policy;semver-compare;generated-facts;lookup;capabilities;required-or-fail;stateful-storage,remote-dependencies,1 remote dependency repo(s),explicit-managed-action,data/hook-route-candidates/summary.md,model remote dependency closure in chart facts and source/dependency lock evidence,dependency closure facts plus refresh-survival check,"remote subcharts can change provenance, hooks, CRDs, RBAC, and rendered objects outside the parent chart.",minio/templates/provisioning/job.yaml,source signal not fully modeled: remote-dependencies;non-exact-dependencies;hooks;hook-delete-policy;semver-compare;lookup;stateful-storage
P0,47,44,bitnami/thanos,17.3.1,,not-in-modeled-top100,,remote-dependencies;non-exact-dependencies;hooks;hook-delete-policy;semver-compare;generated-facts;lookup;capabilities;required-or-fail;stateful-storage,remote-dependencies,3 remote dependency repo(s),explicit-managed-action,data/hook-route-candidates/summary.md,model remote dependency closure in chart facts and source/dependency lock evidence,dependency closure facts plus refresh-survival check,"remote subcharts can change provenance, hooks, CRDs, RBAC, and rendered objects outside the parent chart.",thanos/charts/minio/templates/provisioning/job.yaml,source signal not fully modeled: remote-dependencies;non-exact-dependencies;hooks;hook-delete-policy;semver-compare;lookup;stateful-storage
P0,45,15,bitnami/keycloak,25.2.0,,not-in-modeled-top100,,remote-dependencies;non-exact-dependencies;semver-compare;files-get;generated-facts;lookup;capabilities;required-or-fail;stateful-storage,remote-dependencies,3 remote dependency repo(s),,,model remote dependency closure in chart facts and source/dependency lock evidence,dependency closure facts plus refresh-survival check,"remote subcharts can change provenance, hooks, CRDs, RBAC, and rendered objects outside the parent chart.",keycloak/charts/common/templates/_capabilities.tpl;keycloak/charts/postgresql/charts/common/templates/_capabilities.tpl;keycloak/templates/keycloak-config-cli-configmap.yaml,source signal not fully modeled: remote-dependencies;non-exact-dependencies;semver-compare;files-get;lookup;stateful-storage
P0,43,84,airflow-helm/airflow,8.9.0,,not-in-modeled-top100,,remote-dependencies;hooks;hook-delete-policy;hook-weight-ordering;semver-compare;files-get;generated-facts;capabilities;required-or-fail;stateful-storage,remote-dependencies,2 remote dependency repo(s),,,model remote dependency closure in chart facts and source/dependency lock evidence,dependency closure facts plus refresh-survival check,"remote subcharts can change provenance, hooks, CRDs, RBAC, and rendered objects outside the parent chart.",airflow/templates/db-migrations/db-migrations-job.yaml;airflow/templates/sync/sync-connections-job.yaml;airflow/templates/sync/sync-pools-job.yaml,source signal not fully modeled: remote-dependencies;hooks;hook-delete-policy;hook-weight-ordering;semver-compare;files-get;stateful-storage
P0,42,4,argo/argo-cd,9.5.15,,not-in-modeled-top100,,remote-dependencies;semver-compare;files-get;generated-facts;capabilities;required-or-fail;crds;stateful-storage,remote-dependencies,1 remote dependency repo(s),,,model remote dependency closure in chart facts and source/dependency lock evidence,dependency closure facts plus refresh-survival check,"remote subcharts can change provenance, hooks, CRDs, RBAC, and rendered objects outside the parent chart.",argo-cd/charts/redis-ha/templates/redis-ha-announce-service.yaml;argo-cd/charts/redis-ha/templates/redis-tls-secret.yaml;argo-cd/charts/redis-ha/templates/_configs.tpl;argo-cd/templates/argocd-configs/argocd-secret.yaml,source signal not fully modeled: remote-dependencies;semver-compare;files-get;stateful-storage
