chart,version,variant,result,residue_category,blocker_owner,usable_today,user_decision,next_action,reason,support_artifact,receipt
argo-cd/argo-cd,9.5.17,default,watch,gitops-runtime,needs GitOps controller-health review,watch — synced and converged; aggregate health needs explanation,"Desired state synced through ConfigHub OCI/Argo and the workloads converged, and semantic Helm-vs-ConfigHub parity passed — but Argo's aggregate health is Progressing, or a resource reads OutOfSync while Healthy. Known GitOps controller-health residue, not a parity defect.","Review the controller-health residue (aggregate vs per-resource health, sync state) and refresh the gitops-runtime-review support artifact.",gitops-runtime: child Argo Application not materialized (parity passed),recipes/argo-cd/argo-cd/9.5.17/gitops-runtime-review.yaml,runs/live-helm-confighub-compare/argo-cd-argo-cd-default-9-5-17/receipt.yaml
aws-ebs-csi-driver/aws-ebs-csi-driver,2.60.1,default,watch,target-fit,user or catalog,watch — needs a target with the required platform shape,"The rendered config matched regular Helm (semantic parity passed), but the selected proof target does not provide a platform behavior this base requires. Choose a target that satisfies the base, or create a separate base for the smaller proof target.","Review the target-topology support artifact, choose a target with the required platform behavior, or create a target-scoped base before rerunning.",target-fit: AWS/EKS metadata or provider identity missing on vanilla kind (parity passed),recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1/target-topology.yaml,runs/live-helm-confighub-compare/aws-ebs-csi-driver-aws-ebs-csi-driver-default/receipt.yaml
bitnami/apache,11.4.29,default,watch,remote-image,catalog or image publisher,watch — image reference must be resolved,"The rendered objects matched regular Helm, but at least one image reference was not pullable on the target. This is image retention, registry access, or image override work, not a ConfigHub object-model defect.","Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",remote-image: image pull failed or pinned image is unavailable (parity passed),data/image-digest-workdown/summary.md,runs/live-helm-confighub-compare/bitnami-apache-default/receipt.yaml
bitnami/contour,21.1.4,default,watch,remote-image,catalog or image publisher,watch — image reference must be resolved,"The rendered objects matched regular Helm, but at least one image reference was not pullable on the target. This is image retention, registry access, or image override work, not a ConfigHub object-model defect.","Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",remote-image: image pull failed or pinned image is unavailable (parity passed),data/image-digest-workdown/summary.md,runs/live-helm-confighub-compare/bitnami-contour-default/receipt.yaml
bitnami/contour,21.1.4,no-crds,watch,remote-image,catalog or image publisher,watch — image reference must be resolved,"The rendered objects matched regular Helm, but at least one image reference was not pullable on the target. This is image retention, registry access, or image override work, not a ConfigHub object-model defect.","Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",remote-image: image pull failed or pinned image is unavailable (parity passed),data/image-digest-workdown/summary.md,runs/live-helm-confighub-compare/bitnami-contour-no-crds/receipt.yaml
bitnami/elasticsearch,22.1.6,default,watch,remote-image,catalog or image publisher,watch — image reference must be resolved,"The rendered objects matched regular Helm, but at least one image reference was not pullable on the target. This is image retention, registry access, or image override work, not a ConfigHub object-model defect.","Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",remote-image: image pull failed or pinned image is unavailable (parity passed),data/image-digest-workdown/summary.md,runs/live-helm-confighub-compare/bitnami-elasticsearch-default/receipt.yaml
bitnami/mongodb,19.0.9,existing-secret-replicaset,watch,gitops-runtime,needs GitOps controller-health review,watch — synced and converged; aggregate health needs explanation,"Desired state synced through ConfigHub OCI/Argo and the workloads converged, and semantic Helm-vs-ConfigHub parity passed — but Argo's aggregate health is Progressing, or a resource reads OutOfSync while Healthy. Known GitOps controller-health residue, not a parity defect.","Review the controller-health residue (aggregate vs per-resource health, sync state) and refresh the gitops-runtime-review support artifact.",gitops-runtime: StatefulSet OutOfSync health Healthy (parity passed),recipes/bitnami/mongodb/19.0.9/gitops-runtime-review.yaml,runs/live-helm-confighub-compare/bitnami-mongodb-existing-secret-replicaset-19-0-9/receipt.yaml
bitnami/mongodb,19.1.0,existing-secret-replicaset,watch,gitops-runtime,needs GitOps controller-health review,watch — synced and converged; aggregate health needs explanation,"Desired state synced through ConfigHub OCI/Argo and the workloads converged, and semantic Helm-vs-ConfigHub parity passed — but Argo's aggregate health is Progressing, or a resource reads OutOfSync while Healthy. Known GitOps controller-health residue, not a parity defect.","Review the controller-health residue (aggregate vs per-resource health, sync state) and refresh the gitops-runtime-review support artifact.",gitops-runtime: StatefulSet OutOfSync health Healthy (parity passed),recipes/bitnami/mongodb/19.1.0/gitops-runtime-review.yaml,runs/live-helm-confighub-compare/bitnami-mongodb-existing-secret-replicaset-19-1-0/receipt.yaml
bitnami/nginx,24.0.4,existing-tls-ingress,watch,gitops-runtime,needs GitOps controller-health review,watch — synced and converged; aggregate health needs explanation,"Desired state synced through ConfigHub OCI/Argo and the workloads converged, and semantic Helm-vs-ConfigHub parity passed — but Argo's aggregate health is Progressing, or a resource reads OutOfSync while Healthy. Known GitOps controller-health residue, not a parity defect.","Review the controller-health residue (aggregate vs per-resource health, sync state) and refresh the gitops-runtime-review support artifact.",gitops-runtime: Argo health Progressing (parity passed),recipes/bitnami/nginx/24.0.4/gitops-runtime-review.yaml,runs/live-helm-confighub-compare/bitnami-nginx-existing-tls-ingress-24-0-4/receipt.yaml
bitnami/nginx,25.0.0,existing-tls-ingress,watch,gitops-runtime,needs GitOps controller-health review,watch — synced and converged; aggregate health needs explanation,"Desired state synced through ConfigHub OCI/Argo and the workloads converged, and semantic Helm-vs-ConfigHub parity passed — but Argo's aggregate health is Progressing, or a resource reads OutOfSync while Healthy. Known GitOps controller-health residue, not a parity defect.","Review the controller-health residue (aggregate vs per-resource health, sync state) and refresh the gitops-runtime-review support artifact.",gitops-runtime: Argo health Progressing (parity passed),recipes/bitnami/nginx/25.0.0/gitops-runtime-review.yaml,runs/live-helm-confighub-compare/bitnami-nginx-existing-tls-ingress-25-0-0/receipt.yaml
bitnami/opensearch,2.0.10,default,watch,remote-image,catalog or image publisher,watch — image reference must be resolved,"The rendered objects matched regular Helm, but at least one image reference was not pullable on the target. This is image retention, registry access, or image override work, not a ConfigHub object-model defect.","Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",remote-image: image pull failed or pinned image is unavailable (parity passed),data/image-digest-workdown/summary.md,runs/live-helm-confighub-compare/bitnami-opensearch-default/receipt.yaml
bitnami/opensearch,2.0.10,ha,watch,remote-image,catalog or image publisher,watch — image reference must be resolved,"The rendered objects matched regular Helm, but at least one image reference was not pullable on the target. This is image retention, registry access, or image override work, not a ConfigHub object-model defect.","Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",remote-image: image pull failed or pinned image is unavailable (parity passed),data/image-digest-workdown/summary.md,runs/live-helm-confighub-compare/bitnami-opensearch-ha/receipt.yaml
bitnami/phpmyadmin,20.0.0,default,watch,remote-image,catalog or image publisher,watch — image reference must be resolved,"The rendered objects matched regular Helm, but at least one image reference was not pullable on the target. This is image retention, registry access, or image override work, not a ConfigHub object-model defect.","Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",remote-image: image pull failed or pinned image is unavailable (parity passed),data/image-digest-workdown/summary.md,runs/live-helm-confighub-compare/bitnami-phpmyadmin-default/receipt.yaml
elastic/filebeat,8.5.1,default,watch,target-runtime,needs runtime review,"watch — config correct, runtime unconfirmed","The rendered config matched regular Helm (semantic parity passed) but the workload did not reach the expected runtime state on the target. Runtime residue to review, not a parity defect.",Review the runtime residue (pod errors / not ready) on the target and record a runtime-review support artifact.,target-runtime: pod ContainerCreating (parity passed),recipes/elastic/filebeat/8.5.1/target-prerequisite-plan.yaml,runs/live-helm-confighub-compare/elastic-filebeat-default/receipt.yaml
elastic/filebeat,8.5.1,node-or-cluster-collector,watch,target-runtime,needs runtime review,"watch — config correct, runtime unconfirmed","The rendered config matched regular Helm (semantic parity passed) but the workload did not reach the expected runtime state on the target. Runtime residue to review, not a parity defect.",Review the runtime residue (pod errors / not ready) on the target and record a runtime-review support artifact.,target-runtime: pod ContainerCreating (parity passed),recipes/elastic/filebeat/8.5.1/target-prerequisite-plan.yaml,runs/live-helm-confighub-compare/elastic-filebeat-node-or-cluster-collector/receipt.yaml
fluent/fluentd,0.5.3,default,watch,target-runtime,needs runtime review,"watch — config correct, runtime unconfirmed","The rendered config matched regular Helm (semantic parity passed) but the workload did not reach the expected runtime state on the target. Runtime residue to review, not a parity defect.",Review the runtime residue (pod errors / not ready) on the target and record a runtime-review support artifact.,target-runtime: pod config/runtime errors (parity passed),recipes/fluent/fluentd/0.5.3/runtime-review.yaml,runs/live-helm-confighub-compare/fluent-fluentd-default/receipt.yaml
grafana/pyroscope,2.0.2,default,watch,target-runtime,needs runtime review,"watch — config correct, runtime unconfirmed","The rendered config matched regular Helm (semantic parity passed) but the workload did not reach the expected runtime state on the target. Runtime residue to review, not a parity defect.",Review the runtime residue (pod errors / not ready) on the target and record a runtime-review support artifact.,target-runtime: ConfigHub workload not ready (parity passed),recipes/grafana/pyroscope/2.0.2/runtime-review.yaml,runs/live-helm-confighub-compare/grafana-pyroscope-default/receipt.yaml
grafana/pyroscope,2.0.2,no-crds,watch,target-runtime,needs runtime review,"watch — config correct, runtime unconfirmed","The rendered config matched regular Helm (semantic parity passed) but the workload did not reach the expected runtime state on the target. Runtime residue to review, not a parity defect.",Review the runtime residue (pod errors / not ready) on the target and record a runtime-review support artifact.,target-runtime: ConfigHub workload not ready (parity passed),recipes/grafana/pyroscope/2.0.2/runtime-review.yaml,runs/live-helm-confighub-compare/grafana-pyroscope-no-crds/receipt.yaml
grafana/tempo,1.24.4,s3-query-observability,watch,gitops-runtime,needs GitOps controller-health review,watch — synced and converged; aggregate health needs explanation,"Desired state synced through ConfigHub OCI/Argo and the workloads converged, and semantic Helm-vs-ConfigHub parity passed — but Argo's aggregate health is Progressing, or a resource reads OutOfSync while Healthy. Known GitOps controller-health residue, not a parity defect.","Review the controller-health residue (aggregate vs per-resource health, sync state) and refresh the gitops-runtime-review support artifact.",gitops-runtime: Argo health Progressing (parity passed),recipes/grafana/tempo/1.24.4/gitops-runtime-review.yaml,runs/live-helm-confighub-compare/grafana-tempo-s3-query-observability/receipt.yaml
hashicorp/consul,2.0.0,secure-mesh-existing-secrets,watch,gitops-runtime,needs GitOps controller-health review,watch — synced and converged; aggregate health needs explanation,"Desired state synced through ConfigHub OCI/Argo and the workloads converged, and semantic Helm-vs-ConfigHub parity passed — but Argo's aggregate health is Progressing, or a resource reads OutOfSync while Healthy. Known GitOps controller-health residue, not a parity defect.","Review the controller-health residue (aggregate vs per-resource health, sync state) and refresh the gitops-runtime-review support artifact.",gitops-runtime: Argo health Progressing (parity passed),recipes/hashicorp/consul/2.0.0/gitops-runtime-review.yaml,runs/live-helm-confighub-compare/hashicorp-consul-secure-mesh-existing-secrets/receipt.yaml
hashicorp/terraform,1.1.2,default,watch,target-runtime,needs runtime review,"watch — config correct, runtime unconfirmed","The rendered config matched regular Helm (semantic parity passed) but the workload did not reach the expected runtime state on the target. Runtime residue to review, not a parity defect.",Review the runtime residue (pod errors / not ready) on the target and record a runtime-review support artifact.,target-runtime: pod ContainerCreating (parity passed),recipes/hashicorp/terraform/1.1.2/target-prerequisite-plan.yaml,runs/live-helm-confighub-compare/hashicorp-terraform-default/receipt.yaml
hashicorp/terraform,1.1.2,no-crds,watch,target-runtime,needs runtime review,"watch — config correct, runtime unconfirmed","The rendered config matched regular Helm (semantic parity passed) but the workload did not reach the expected runtime state on the target. Runtime residue to review, not a parity defect.",Review the runtime residue (pod errors / not ready) on the target and record a runtime-review support artifact.,target-runtime: pod ContainerCreating (parity passed),recipes/hashicorp/terraform/1.1.2/target-prerequisite-plan.yaml,runs/live-helm-confighub-compare/hashicorp-terraform-no-crds/receipt.yaml
hashicorp/vault,0.32.0,ha-raft-ui,watch,operate-policy,needs operate review,watch — needs an operational readiness step,"Semantic parity passed, but an operational policy/readiness step (for example init/unseal) is required before the workload is fully ready. Not a parity defect.",Perform and record the operational step (e.g. Vault init/unseal) for the target scope; see the operating-policy artifact.,operate-policy: Vault init/unseal readiness (parity passed),recipes/hashicorp/vault/0.32.0/operating-policy.yaml,runs/live-helm-confighub-compare/hashicorp-vault-ha-raft-ui/receipt.yaml
