proof_surface_rank,proof_surface,top20_rank,top500_rank,chart,version,latest_version,latest_status,catalog_status,production_readiness,variant_count,supported_variants,candidate_variants,start_variant,namespace,source_features,source_classification,top500_next_action,not_yet_enabled,recipe_path,package_path,catalog_path,helm_pain_report
1,top20-catalog-supported,1,,argo-cd/argo-cd,9.5.15,9.5.17,update-available,catalog-supported,production-review-ready,2,default;no-crds,,default,argocd,,,,ha (curated proof lane — bespoke teaching needed),recipes/argo-cd/argo-cd/9.5.15/recipe.yaml,packages/argo-cd/argo-cd/9.5.15,recipes/argo-cd/argo-cd/9.5.15/CATALOG.md,recipes/argo-cd/argo-cd/9.5.15/helm-pain-report.yaml
2,top20-catalog-supported,2,28,bitnami/mongodb,19.0.7,19.1.0,update-available,catalog-supported,production-review-ready,2,generated-passwords;existing-secret-replicaset,,generated-passwords,mongodb,lookup;generated-facts;tpl;capabilities;cluster-rbac;stateful-storage,P1 compiler policy needed,review source/current-version drift and refresh recipe if needed,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/bitnami/mongodb/19.0.7/recipe.yaml,packages/bitnami/mongodb/19.0.7,recipes/bitnami/mongodb/19.0.7/CATALOG.md,recipes/bitnami/mongodb/19.0.7/helm-pain-report.yaml
3,top20-catalog-supported,3,24,bitnami/mysql,14.0.3,14.0.3,current,catalog-supported,production-review-ready,2,generated-passwords;existing-secret,,generated-passwords,mysql,lookup;generated-facts;tpl;capabilities;stateful-storage,P0 source/dependency risk,record target-scoped support decision and refresh live/e2e observation lane,ha (curated proof lane — bespoke teaching needed),recipes/bitnami/mysql/14.0.3/recipe.yaml,packages/bitnami/mysql/14.0.3,recipes/bitnami/mysql/14.0.3/CATALOG.md,recipes/bitnami/mysql/14.0.3/helm-pain-report.yaml
4,top20-catalog-supported,4,48,bitnami/nginx,24.0.2,25.0.0,update-available,catalog-supported,production-review-ready,2,http-clusterip;existing-tls-ingress,,http-clusterip,nginx,lookup;generated-facts;tpl;capabilities,P1 compiler policy needed,record target-scoped support decision and refresh live/e2e observation lane,existing-secret (chart ships no Secret toggle),recipes/bitnami/nginx/24.0.2/recipe.yaml,packages/bitnami/nginx/24.0.2,recipes/bitnami/nginx/24.0.2/CATALOG.md,recipes/bitnami/nginx/24.0.2/helm-pain-report.yaml
5,top20-catalog-supported,5,7,bitnami/postgresql,18.6.7,18.7.0,update-available,catalog-supported,production-review-ready,2,generated-passwords;existing-secret,,generated-passwords,postgresql,lookup;generated-facts;tpl;capabilities;stateful-storage,P1 compiler policy needed,record target-scoped support decision and refresh live/e2e observation lane,ha (curated proof lane — bespoke teaching needed),recipes/bitnami/postgresql/18.6.7/recipe.yaml,packages/bitnami/postgresql/18.6.7,recipes/bitnami/postgresql/18.6.7/CATALOG.md,recipes/bitnami/postgresql/18.6.7/helm-pain-report.yaml
6,top20-catalog-supported,6,20,bitnami/rabbitmq,16.0.14,16.0.14,current,catalog-supported,production-review-ready,2,generated-passwords;existing-secret,,generated-passwords,rabbitmq,lookup;generated-facts;tpl;capabilities;stateful-storage,P0 source/dependency risk,record target-scoped support decision and refresh live/e2e observation lane,ha (curated proof lane — bespoke teaching needed),recipes/bitnami/rabbitmq/16.0.14/recipe.yaml,packages/bitnami/rabbitmq/16.0.14,recipes/bitnami/rabbitmq/16.0.14/CATALOG.md,recipes/bitnami/rabbitmq/16.0.14/helm-pain-report.yaml
7,top20-catalog-supported,7,6,bitnami/redis,25.5.3,27.0.0,update-available,catalog-supported,production-review-ready,2,default;reuse-existing-secret,,default,redis,lookup;generated-facts;tpl;capabilities;stateful-storage,P1 compiler policy needed,record target-scoped support decision and refresh live/e2e observation lane,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/bitnami/redis/25.5.3/recipe.yaml,packages/bitnami/redis/25.5.3,recipes/bitnami/redis/25.5.3/CATALOG.md,recipes/bitnami/redis/25.5.3/helm-pain-report.yaml
8,top20-catalog-supported,8,,external-secrets/external-secrets,2.5.0,2.5.0,current,catalog-supported,production-review-ready,2,default;no-crds,,default,external-secrets,,,,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/external-secrets/external-secrets/2.5.0/recipe.yaml,packages/external-secrets/external-secrets/2.5.0,recipes/external-secrets/external-secrets/2.5.0/CATALOG.md,recipes/external-secrets/external-secrets/2.5.0/helm-pain-report.yaml
9,top20-catalog-supported,9,,grafana/grafana,10.5.15,10.5.15,current,catalog-supported,production-review-ready,2,generated-passwords;existing-secret-ingress,,generated-passwords,grafana,,,,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/grafana/grafana/10.5.15/recipe.yaml,packages/grafana/grafana/10.5.15,recipes/grafana/grafana/10.5.15/CATALOG.md,recipes/grafana/grafana/10.5.15/helm-pain-report.yaml
10,top20-catalog-supported,10,10,grafana/loki,7.0.0,7.0.0,current,catalog-supported,production-review-ready,2,single-binary-filesystem;simple-scalable-minio,,single-binary-filesystem,loki,lookup;generated-facts;tpl;capabilities;crds;cluster-rbac;webhooks;stateful-storage,P1 compiler policy needed,record target-scoped support decision and refresh live/e2e observation lane,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/grafana/loki/7.0.0/recipe.yaml,packages/grafana/loki/7.0.0,recipes/grafana/loki/7.0.0/CATALOG.md,recipes/grafana/loki/7.0.0/helm-pain-report.yaml
