source_queue,chart,version,base,lane,current_result,gap_kind,resolution_path,variant_role,recommended_variant_or_action,existing_off_ramp,first_step,evidence_needed,rerun_command,source_evidence
model-gap,autoscaler/cluster-autoscaler,9.57.0,controller-default-reviewed,K,blocked,generated-fact,target-fact-generator-on-existing-base,existing values-profile base,keep controller-default-reviewed; add a generator or explicit target-fact binding for autoDiscovery.clusterName and awsRegion,,teach the recipe how the cluster name and AWS region are supplied for this target profile,fresh K receipt showing the rendered controller base reaches semantic parity after target facts are generated or bound,npm run kind-parity:run -- --chart autoscaler/cluster-autoscaler --version 9.57.0 --base controller-default-reviewed,runs/live-kind-parity/autoscaler-cluster-autoscaler-controller-default-reviewed/receipt.yaml
model-gap,aws-ebs-csi-driver/aws-ebs-csi-driver,2.60.1,default,K,blocked,object-set-shape,target-scoped-base-or-normalization,target-scoped platform base,add an eks-managed target scope or semantic normalization for the installer Namespace support object,,separate vanilla-kind parity from the AWS/EKS topology claim recorded in target-topology.yaml,fresh K or target-profile receipt that names the AWS/EKS topology and explains any support object normalization,npm run kind-parity:run -- --chart aws-ebs-csi-driver/aws-ebs-csi-driver --version 2.60.1 --base default,runs/live-kind-parity/aws-ebs-csi-driver-aws-ebs-csi-driver-default/receipt.yaml
model-gap,bitnami/apache,11.4.29,legacy,K,blocked,object-set-shape,semantic-normalization,legacy image-retention base,keep apache legacy as the retained-image base; normalize the installer Namespace support object before treating K parity as green,,record the Namespace support object as expected installer scaffolding rather than a Helm semantic difference,"fresh K receipt with the Namespace support object normalized, or an explicit watch disposition if that normalization is not accepted",npm run kind-parity:run -- --chart bitnami/apache --version 11.4.29 --base legacy --repo-url oci://registry-1.docker.io/bitnamicharts,runs/live-kind-parity/bitnami-apache-legacy/receipt.yaml
model-gap,bitnami/contour,21.1.4,no-crds,K,blocked,missing-crd,external-crds-base,CRD ownership base,"treat no-crds as an external-crds base, or add an explicit external-crds alias with CRD target prerequisites",,make the CRD ownership choice visible in the base name and target-prerequisite action packet,"fresh K receipt after CRDs are staged, or a CRD-rendering sibling selected as the supported base",npm run kind-parity:run -- --chart bitnami/contour --version 21.1.4 --base no-crds --repo-url oci://registry-1.docker.io/bitnamicharts,runs/live-kind-parity/bitnami-contour-no-crds/receipt.yaml
model-gap,bitnami/elasticsearch,22.1.6,legacy,K,blocked,object-set-shape,semantic-normalization,legacy image-retention base,keep elasticsearch legacy as the retained-image base; normalize the installer Namespace support object before treating K parity as green,,record the Namespace support object as expected installer scaffolding rather than a Helm semantic difference,"fresh K receipt with the Namespace support object normalized, or an explicit watch disposition if that normalization is not accepted",npm run kind-parity:run -- --chart bitnami/elasticsearch --version 22.1.6 --base legacy --repo-url oci://registry-1.docker.io/bitnamicharts,runs/live-kind-parity/bitnami-elasticsearch-legacy/receipt.yaml
model-gap,bitnami/opensearch,2.0.10,default,K,blocked,semantic-normalization,semantic-normalization,existing base with normalization,normalize installer support objects and target-served defaulted fields before deciding whether a smaller single-node base is needed,,"inspect the K receipt diffs and add only justified semantic normalization, not a blind variant","fresh K receipt with zero unexplained semantic diffs, or a new single-node base with its own render receipt",npm run kind-parity:run -- --chart bitnami/opensearch --version 2.0.10 --base default --repo-url oci://registry-1.docker.io/bitnamicharts,runs/live-kind-parity/bitnami-opensearch-default/receipt.yaml
model-gap,bitnami/opensearch,2.0.10,ha,K,blocked,semantic-normalization,semantic-normalization-or-smaller-base,HA base after normalization,"keep ha as the topology base, but normalize support objects and decide whether a single-node-local base is needed",,inspect the HA K receipt diffs and split target topology from semantic noise,"fresh K receipt for ha, or a new single-node-local base plus receipts if HA is too target-specific",npm run kind-parity:run -- --chart bitnami/opensearch --version 2.0.10 --base ha --repo-url oci://registry-1.docker.io/bitnamicharts,runs/live-kind-parity/bitnami-opensearch-ha/receipt.yaml
model-gap,bitnami/opensearch,2.0.10,legacy,K,blocked,semantic-normalization,semantic-normalization,legacy image-retention base,keep opensearch legacy as the retained-image base; normalize the installer Namespace support object before treating K parity as green,,record the Namespace support object as expected installer scaffolding rather than a Helm semantic difference,"fresh K receipt with the Namespace support object normalized, or an explicit watch disposition if that normalization is not accepted",npm run kind-parity:run -- --chart bitnami/opensearch --version 2.0.10 --base legacy --repo-url oci://registry-1.docker.io/bitnamicharts,runs/live-kind-parity/bitnami-opensearch-legacy/receipt.yaml
model-gap,bitnami/phpmyadmin,20.0.0,legacy,K,blocked,object-set-shape,semantic-normalization,legacy image-retention base,keep phpmyadmin legacy as the retained-image base; normalize the installer Namespace support object before treating K parity as green,,record the Namespace support object as expected installer scaffolding rather than a Helm semantic difference,"fresh K receipt with the Namespace support object normalized, or an explicit watch disposition if that normalization is not accepted",npm run kind-parity:run -- --chart bitnami/phpmyadmin --version 20.0.0 --base legacy --repo-url oci://registry-1.docker.io/bitnamicharts,runs/live-kind-parity/bitnami-phpmyadmin-legacy/receipt.yaml
model-gap,bitnami/spark,10.0.3,legacy,K,blocked,object-set-shape,semantic-normalization,legacy image-retention base,keep spark legacy as the retained-image base; normalize the installer Namespace support object before treating K parity as green,,record the Namespace support object as expected installer scaffolding rather than a Helm semantic difference,"fresh K receipt with the Namespace support object normalized, or an explicit watch disposition if that normalization is not accepted",npm run kind-parity:run -- --chart bitnami/spark --version 10.0.3 --base legacy --repo-url oci://registry-1.docker.io/bitnamicharts,runs/live-kind-parity/bitnami-spark-legacy/receipt.yaml
model-gap,bitnami/zookeeper,13.8.7,legacy,K,blocked,object-set-shape,semantic-normalization,legacy image-retention base,keep zookeeper legacy as the retained-image base; normalize the installer Namespace support object before treating K parity as green,,record the Namespace support object as expected installer scaffolding rather than a Helm semantic difference,"fresh K receipt with the Namespace support object normalized, or an explicit watch disposition if that normalization is not accepted",npm run kind-parity:run -- --chart bitnami/zookeeper --version 13.8.7 --base legacy --repo-url oci://registry-1.docker.io/bitnamicharts,runs/live-kind-parity/bitnami-zookeeper-legacy/receipt.yaml
model-gap,grafana/pyroscope,2.0.2,ha,K,blocked,crd-lifecycle,use-existing-sibling-or-split-crds,HA base with CRD ownership boundary,prefer default or no-crds where HA is not required; keep ha only after CRD lifecycle is split or staged,default (K pass); no-crds (K pass),route HA users to the existing K-pass siblings unless the HA topology itself is needed,"existing default/no-crds K pass receipt, or fresh ha K receipt after CRD lifecycle handling",npm run kind-parity:run -- --chart grafana/pyroscope --version 2.0.2 --base ha,runs/live-kind-parity/grafana-pyroscope-ha/receipt.yaml
