"persona","run_id","category","job","current_label","preferred_label","current_label_score","preferred_label_score","label_alone_explains_own_ai","caveat"
"developer","developer-L01","language-persona-simulation","AI wrote Helm values; check whether they are safe","Ask","Check my config","2","11","no","Synthetic persona preference, not observed human behavior"
"developer","developer-L02","language-persona-simulation","my chart is not in the catalog","Ask","Help with a chart","2","3","no","Synthetic persona preference, not observed human behavior"
"developer","developer-L03","language-persona-simulation","find upgrade risk between two chart versions","Ask","Investigate","2","3","no","Synthetic persona preference, not observed human behavior"
"developer","developer-L04","language-persona-simulation","compare a candidate with an installed release","Ask","Compare","2","6","no","Synthetic persona preference, not observed human behavior"
"developer","developer-L05","language-persona-simulation","understand hooks and CRDs","Ask","Investigate","2","6","no","Synthetic persona preference, not observed human behavior"
"developer","developer-L06","language-persona-simulation","review a private Helm configuration","Ask","Check my config","2","8","no","Synthetic persona preference, not observed human behavior"
"developer","developer-L07","language-persona-simulation","check an AICR configuration","Ask","Check my config","2","11","no","Synthetic persona preference, not observed human behavior"
"developer","developer-L08","language-persona-simulation","inspect an existing OCI package","Ask","Check my config","2","5","no","Synthetic persona preference, not observed human behavior"
"developer","developer-L09","language-persona-simulation","transform one field in OCI","Ask","Check my config","2","5","no","Synthetic persona preference, not observed human behavior"
"developer","developer-L10","language-persona-simulation","review plain Kubernetes YAML","Ask","Check my config","2","8","no","Synthetic persona preference, not observed human behavior"
"developer","developer-L11","language-persona-simulation","find why deployment differs from the approved config","Ask","Investigate","2","6","no","Synthetic persona preference, not observed human behavior"
"developer","developer-L12","language-persona-simulation","find whether Helm ignored a value","Ask","Investigate","2","3","no","Synthetic persona preference, not observed human behavior"
"developer","developer-L13","language-persona-simulation","identify prerequisites before install","Ask","Ask","2","2","no","Synthetic persona preference, not observed human behavior"
"developer","developer-L14","language-persona-simulation","find a risky credential","Ask","Check my config","2","5","no","Synthetic persona preference, not observed human behavior"
"developer","developer-L15","language-persona-simulation","compare immutable digests","Ask","Compare","2","6","no","Synthetic persona preference, not observed human behavior"
"developer","developer-L16","language-persona-simulation","check whether rollback will restore exact bytes","Ask","Check my config","2","5","no","Synthetic persona preference, not observed human behavior"
"developer","developer-L17","language-persona-simulation","investigate live drift","Ask","Investigate","2","6","no","Synthetic persona preference, not observed human behavior"
"developer","developer-L18","language-persona-simulation","compare development and production","Ask","Compare","2","9","no","Synthetic persona preference, not observed human behavior"
"developer","developer-L19","language-persona-simulation","check whether production approval is required","Ask","Check my config","2","8","no","Synthetic persona preference, not observed human behavior"
