outcome_id,user_question,status,claim_status,representative_metric,scope,evidence,verify_commands,limit_or_refusal,next_action
inspect-before-install,Can I see exactly what the chart will produce before I install it?,backed,backed,render parity rows 192/192 good,chart/version/base under recorded values and capability profile,data/outcome-coverage/base-outcomes.csv; data/claims-register/summary.md; data/chart-use-guide/summary.md; data/live-kind-parity/summary.md; data/live-helm-confighub-compare/summary.md,npm run outcomes:verify; npm run claims:register:verify,"The claim is per chart, version, base, values profile, and target profile. It is not a claim over the whole Helm values space.",Keep new bases on the render-parity lane before publishing them.
try-a-supported-public-path,Can I start from a recommended public catalog path instead of inventing values?,partial,backed,catalog-supported charts 20/100 partial; top20 start-here base variants 37/42 partial; public catalog answers 20/100 partial,public catalog entries and their named start-here bases,CATALOG.md; data/chart-use-guide/summary.md; data/top20-base-readiness/summary.md; site/charts/index.html; data/top100-readiness/readiness.csv; data/top20-base-readiness/base-readiness.csv; data/chart-use-guide/chart-use-guide.csv; data/status-dashboard/top20-status.csv; data/live-e2e/summary.md; data/outcome-coverage/base-outcomes.csv,npm run top20:base-readiness:verify; npm run chart-use:guide:verify; npm run site:verify,This is not a blanket production-support statement. Production support is target-scoped.,Promote the next proof-grade charts only after base usefulness and live lanes are reviewed.
prove-helm-equivalence,Can I prove the ConfigHub/installer path did not secretly change Helm output?,backed,backed,render parity rows 192/192 good; two-cluster semantic parity pass rows 144/160 good; ConfigHub/OCI semantic parity defect receipts 0/184 good,selected chart/version/base rows with committed receipts,data/live-kind-parity/summary.md; data/live-helm-confighub-compare/summary.md; data/outcome-coverage/base-outcomes.csv; data/live-kind-parity/summary.csv; data/live-helm-confighub-compare/summary.csv,npm run kind-parity:verify; npm run live-parity:verify; npm run outcomes:verify,"The claim is per chart, version, base, values profile, and target profile. It is not a claim over the whole Helm values space.","Add or refresh live parity receipts when a base, chart version, or target profile changes."
manage-rendered-configs-in-confighub,Can I manage the rendered objects as ConfigHub configs with scans and safe operations?,partial,partial,in-ConfigHub proof rows 192/192 partial; runtime/GitOps wave rows 11/11 partial; high-priority scan rows 4/20 partial,"catalog rows with committed ConfigHub upload, scan, safe-op, or runtime receipts",data/external-scan-lane/summary.md; data/scan-disposition-workdown/summary.md; runs; data/outcome-coverage/base-outcomes.csv; data/runtime-gitops/wave1.csv; data/scan-disposition-workdown/workdown.csv; docs/user/tutorial-sequence.md; docs/demo/redis/function-scan-lane.md; docs/demo/redis/safe-ops-lane.md,npm run top20:verify-confighub-proof; npm run external-scan:verify; npm run scan-disposition:workdown:verify,Scanner results and safe-operation examples do not imply every chart is production-approved.,Expand ConfigHub scan/safe-operation receipts beyond the current catalog-supported rows.
deliver-through-gitops-and-observe-live,Can Argo or Flux pull ConfigHub OCI and can I see that the workload actually works?,partial,partial,GitOps/OCI live pass rows 135/192 partial; local live rows 139/192 partial; ConfigHub/OCI semantic parity defect receipts 0/184 good,live receipts for declared targets; local live is not the same as GitOps live,data/runtime-gitops/summary.md; data/live-e2e/summary.md; data/live-e2e/cub-scout-watchlist.md; data/outcome-coverage/base-outcomes.csv; data/live-helm-confighub-compare/summary.csv; data/runtime-gitops/wave1.csv; docs/user/adopting-existing-apps.md; docs/user/chain-of-proof.md,npm run runtime-gitops:wave:verify; npm run top20:verify-local-e2e; npm run live-parity:verify,A green local live row is not the same thing as Argo or Flux pulling ConfigHub OCI successfully.,Keep GitOps/runtime receipts fresh and add more target-bound cub-scout witness runs.
create-safe-variants,Can I create variants without falling back into hidden Helm values sprawl?,partial,partial,variant-rich maintained chart rows 74/110 partial; derived variant golden rows 10/10 good; target-bound derived variant receipts 6/10 partial,base variants are render-time choices; derived variants are post-render refinements,docs/user/creating-variants.md; data/variant-goldens/derived-expansion-wave/work-orders.csv; data/outcome-coverage/derived-variant-outcomes.csv; data/outcome-coverage/chart-outcomes.csv; runs/derived-variant-target-bound; docs/user/change-routing-before-oci.md; data/variant-goldens/redis-prod-us-east/README.md,npm run variant-goldens:verify; npm run derived-variants:verify; npm run derived-variants:target-bound:verify,"If a change requires a new Helm render, it belongs back in the installer recipe path.",Add more target-bound derived variant receipts and keep routing rules visible before OCI delivery.
route-custom-overlays,"Can wrapper charts, values files, and customer overlays be supported without pretending they are simple public-chart installs?",gap,partial,top100 user-shaped variant queue 35/80 partial; useful-base proposal rows 45 partial; useful-base realized rows 10/45 partial; useful-base proposals not yet built 35/45 gap; top100 promotion-review queue 37/80 partial,managed imports and reviewed overlay paths; arbitrary private overlays are not public-catalog guarantees,docs/user/custom-overlays.md; docs/reference/customization-algorithm.md; data/managed-overlay-goldens/external-dns-customer-acme-prod/README.md; data/useful-base-design-queue/summary.md; data/useful-base-realization-wave/summary.md; data/top100-coverage/work-queue.csv; data/useful-base-design-queue/queue.csv; data/useful-base-realization-wave/wave.csv; docs/corpus/kubara-customized-overlays.md,npm run variant-goldens:verify; npm run top100:coverage:verify; npm run top100:useful-base-queue:verify; npm run top100:useful-base-realization:verify,"The Kubara-style case is a managed-import pattern, not a free public-catalog guarantee for arbitrary private overlays.",Convert more user-shaped variant queue rows into reviewed base or overlay examples.
handle-hooks-and-lifecycle,"Can hooks, CRDs, webhooks, and controller-populated fields be handled without lying about static YAML?",partial,partial,top100 source-scan hook charts 11/100 partial; hook lifecycle observations present 5/5 good; related lifecycle observation receipts passing 4/4 good,maintained hook queue and candidate source-hook routes; every hook class remains per-chart until observed or refused,data/hook-lifecycle/summary.md; data/hook-coverage/summary.md; data/lifecycle-boundary/summary.md; data/lifecycle-observations/cert-manager-eso/summary.md; data/hook-lifecycle/source-top100-hooks.csv; data/hook-lifecycle/maintained-hook-queue.csv; data/lifecycle-observations/cert-manager-eso/summary.csv; docs/user/hook-lifecycle-strategy.md; runs/hook-lifecycle/gatekeeper-gatekeeper/default/latest/receipt.yaml,npm run hooks:lifecycle:verify; npm run hooks:coverage:verify; npm run lifecycle:boundary:verify; npm run lifecycle:cert-manager-eso:verify,Lifecycle proof is still partial. Some hook classes require per-chart observation or target-specific operating policy.,"Turn candidate hook routes into maintained lifecycle receipts, especially for top-100 source hook charts."
make-production-scope-explicit,"Can I tell what is production-supported, what is review-ready, and what is only proof evidence?",partial,backed,supported decision artifacts 17/20 partial; top20 production-review-ready charts 20/20 partial; rejected decision artifacts 1/20 partial,target-scoped support decisions; production support is not implied by render parity,data/production-support-decisions/summary.md; data/hard-chart-production-packets/summary.md; data/production-disposition/summary.md; data/production-support-decisions/decisions.csv; data/production-disposition/top20.csv; data/status-dashboard/top20-status.csv; data/live-e2e/summary.md; data/top20-base-readiness/summary.md; data/outcome-coverage/base-outcomes.csv,npm run production:support-decisions:verify; npm run hard-charts:packets:verify; npm run production:disposition:verify,This is not a blanket production-support statement. Production support is target-scoped.,"Create broader or stricter support decisions only after target, image, scan, lifecycle, and live evidence are refreshed."
scale-the-catalog-honestly,Can this scale from 20 charts to 100 or 500 without turning into spreadsheet theater?,gap,backed,proof-grade non-catalog charts 80/100 partial; rows with current recipe proof 91/500 partial; rows with no current recipe proof 409/500 gap,top-100 has maintained proof artifacts; top-500 is planning/reconnaissance unless a row links to current proof,data/top100-readiness/summary.md; data/top100-coverage/summary.md; data/top500-catalog-analysis/summary.md; data/status-dashboard/summary.md; data/top100-readiness/readiness.csv; data/top500-catalog-analysis/review.csv; data/top100-catalog-analysis/summary.md; data/next80-full-proofs/summary.md,npm run top100:readiness:verify; npm run top100:coverage:verify; npm run top500:catalog:verify; npm run status:dashboard:verify,"Many top-100 rows still need catalog review, useful variants, production disposition, or selected live lanes.","Promote proof-grade rows through useful-base review, selected live lanes, and production disposition."
