lane,chart,base,status,route_or_policy,proves,does_not_prove,evidence,next_action
helm-hook-lifecycle-queue,prometheus-community/kube-prometheus-stack@85.3.3,default,lifecycle-observed,preflight-or-presync;postsync-check-or-observation;upgrade-action-with-receipt;preserve-ordering;preserve-cleanup-policy;webhook-readiness-observation;target-facts-or-preflight,hook route has a lifecycle observation or execution receipt,universal Helm hook support or support for unrelated hook-bearing charts,data/hook-lifecycle/maintained-hook-queue.csv;data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml,"keep receipt fresh when chart, base, or cluster version changes"
helm-hook-lifecycle-queue,kyverno/kyverno@3.8.1,default,lifecycle-observed,upgrade-action-with-receipt;delete-cleanup-policy;explicit-test-check;preserve-ordering;preserve-cleanup-policy;target-facts-or-preflight,hook route has a lifecycle observation or execution receipt,universal Helm hook support or support for unrelated hook-bearing charts,data/hook-lifecycle/maintained-hook-queue.csv;data/hook-lifecycle/receipts/kyverno-kyverno/default/latest.yaml,"keep receipt fresh when chart, base, or cluster version changes"
helm-hook-lifecycle-queue,fluent/fluent-bit@0.57.6,default,lifecycle-observed,explicit-test-check;preserve-cleanup-policy,hook route has a lifecycle observation or execution receipt,universal Helm hook support or support for unrelated hook-bearing charts,data/hook-lifecycle/maintained-hook-queue.csv;data/hook-lifecycle/receipts/fluent-fluent-bit/default/latest.yaml,"keep receipt fresh when chart, base, or cluster version changes"
helm-hook-lifecycle-queue,projectcalico/tigera-operator@v3.32.0,default,lifecycle-observed,delete-cleanup-policy;preserve-ordering;preserve-cleanup-policy;target-facts-or-preflight,hook route has a lifecycle observation or execution receipt,universal Helm hook support or support for unrelated hook-bearing charts,data/hook-lifecycle/maintained-hook-queue.csv;data/hook-lifecycle/receipts/projectcalico-tigera-operator/default/latest.yaml,"keep receipt fresh when chart, base, or cluster version changes"
helm-hook-lifecycle-queue,gatekeeper/gatekeeper@3.22.2,default,lifecycle-observed,preflight-or-presync;upgrade-action-with-receipt;preserve-ordering;preserve-cleanup-policy;webhook-readiness-observation,hook route has a lifecycle observation or execution receipt,universal Helm hook support or support for unrelated hook-bearing charts,data/hook-lifecycle/maintained-hook-queue.csv;data/hook-lifecycle/receipts/gatekeeper-gatekeeper/default/latest.yaml,"keep receipt fresh when chart, base, or cluster version changes"
hook-like-lifecycle-observation,jetstack/cert-manager@v1.20.2,default,pass,startupapicheck-becomes-post-apply-api-dry-run,"CRD ownership policy, startup API readiness route, webhook CA bundle injection, and server dry-run",universal Helm hook support or support for unrelated hook-bearing charts,runs/lifecycle-observations/cert-manager-eso/jetstack-cert-manager-default/receipt.yaml,"keep receipt fresh when chart, base, or cluster version changes"
hook-like-lifecycle-observation,jetstack/cert-manager@v1.20.2,crds-enabled,pass,startupapicheck-becomes-post-apply-api-dry-run,"CRD ownership policy, startup API readiness route, webhook CA bundle injection, and server dry-run",universal Helm hook support or support for unrelated hook-bearing charts,runs/lifecycle-observations/cert-manager-eso/jetstack-cert-manager-crds-enabled/receipt.yaml,"keep receipt fresh when chart, base, or cluster version changes"
hook-like-lifecycle-observation,external-secrets/external-secrets@2.5.0,default,pass,no-helm-hook,"CRD ownership policy, webhook CA bundle injection, controller-populated webhook Secret data, and server dry-run",universal Helm hook support or support for unrelated hook-bearing charts,runs/lifecycle-observations/cert-manager-eso/external-secrets-external-secrets-default/receipt.yaml,"keep receipt fresh when chart, base, or cluster version changes"
hook-like-lifecycle-observation,external-secrets/external-secrets@2.5.0,no-crds,pass,no-helm-hook,"CRD ownership policy, webhook CA bundle injection, controller-populated webhook Secret data, and server dry-run",universal Helm hook support or support for unrelated hook-bearing charts,runs/lifecycle-observations/cert-manager-eso/external-secrets-external-secrets-no-crds/receipt.yaml,"keep receipt fresh when chart, base, or cluster version changes"
selected-hook-route,argo-cd/argo-workflows@1.0.14,default,lifecycle-observed,The package carries the eight full upstream CRD files and applies them server-side with forced conflict resolution before the ordinary rendered objects.,selected hook candidate route has runtime observation for this base,"the same route for other bases, upgrade behavior outside the observed run, production support",data/hook-route-candidates/selected-routes/argo-cd-argo-workflows-default.yaml;docs/demo/hooks-crds/argo-workflows.md;data/hook-route-candidates/argo-cd-argo-workflows.yaml;recipes/argo-cd/argo-workflows/1.0.14/variants/default/variant.yaml;recipes/argo-cd/argo-workflows/1.0.14/upstream/full-crds/argoproj.io_workflows.yaml;packages/argo-cd/argo-workflows/1.0.14/prerequisites/target-facts/default-crds.yaml;runs/live-kind-parity/argo-cd-argo-workflows-default/receipt.yaml;runs/live-helm-confighub-compare/argo-cd-argo-workflows-default/receipt.yaml,Run a cross-version upgrade with the full CRD action before claiming upgrade safety.
