chart,version,currentSupportState,candidateBase,baseReadiness,baseReadinessSummary,decisionState,decisionFocus,targetScopeRequired,liveEvidenceRequired,imageRequirement,scanRequirement,lifecycleRequirement,prerequisiteRequirement,proposedDecisionArtifact,firstVerificationAfterDecision,nextAction
bitnami/mongodb,19.0.7,not-production-supported,generated-passwords,start-here,start-here:1;try-with-proof:1,lifecycle-support-scope-decision,lifecycle-support-scope,target cluster class;namespace;delivery controller;storage/runtime assumptions,refresh target-scoped live/e2e evidence before support claim,no open image-digest gap in current queue,"accept, fix, or document scanner findings for supported scope",record lifecycle support boundary: recipe-hook-policy:no-hooks,no unresolved target prerequisite in candidate base,data/production-support-decisions/bitnami-mongodb/support-decision.yaml,refresh target-scoped live/e2e receipt and rerun production-disposition details,"record the target-scoped lifecycle support decision, then refresh live/e2e evidence for that scope"
bitnami/postgresql,18.6.7,not-production-supported,generated-passwords,start-here,start-here:1;try-with-proof:1,lifecycle-support-scope-decision,lifecycle-support-scope,target cluster class;namespace;delivery controller;storage/runtime assumptions,refresh target-scoped live/e2e evidence before support claim,no open image-digest gap in current queue,"accept, fix, or document scanner findings for supported scope",record lifecycle support boundary: recipe-hook-policy:no-hooks,no unresolved target prerequisite in candidate base,data/production-support-decisions/bitnami-postgresql/support-decision.yaml,refresh target-scoped live/e2e receipt and rerun production-disposition details,"record the target-scoped lifecycle support decision, then refresh live/e2e evidence for that scope"
bitnami/redis,25.5.3,not-production-supported,default,start-here,start-here:1;try-with-proof:1,lifecycle-support-scope-decision,lifecycle-support-scope,target cluster class;namespace;delivery controller;storage/runtime assumptions,refresh target-scoped live/e2e evidence before support claim,no open image-digest gap in current queue,"accept, fix, or document scanner findings for supported scope",record lifecycle support boundary: recipe-hook-policy:no-hooks,no unresolved target prerequisite in candidate base,data/production-support-decisions/bitnami-redis/support-decision.yaml,refresh target-scoped live/e2e receipt and rerun production-disposition details,"record the target-scoped lifecycle support decision, then refresh live/e2e evidence for that scope"
ingress-nginx/ingress-nginx,4.15.1,not-production-supported,internal-clusterip,start-here,start-here:1;try-with-proof:2,lifecycle-support-scope-decision,lifecycle-support-scope,target cluster class;namespace;delivery controller;storage/runtime assumptions,refresh target-scoped live/e2e evidence before support claim,no open image-digest gap in current queue,"accept, fix, or document scanner findings for supported scope",record lifecycle support boundary: recipe-hook-policy:no-hooks,no unresolved target prerequisite in candidate base,data/production-support-decisions/ingress-nginx-ingress-nginx/support-decision.yaml,refresh target-scoped live/e2e receipt and rerun production-disposition details,"record the target-scoped lifecycle support decision, then refresh live/e2e evidence for that scope"
bitnami/nginx,24.0.2,not-production-supported,http-clusterip,start-here,start-here:1;try-with-proof:1,ready-for-final-scope-decision,final-target-support-decision,target cluster class;namespace;delivery controller;storage/runtime assumptions,refresh target-scoped live/e2e evidence before support claim,no open image-digest gap in current queue,"accept, fix, or document scanner findings for supported scope",no lifecycle-specific decision beyond standard support boundary,no unresolved target prerequisite in candidate base,data/production-support-decisions/bitnami-nginx/support-decision.yaml,refresh target-scoped live/e2e receipt and rerun production-disposition details,"choose the supported production base and target scope, refresh live/e2e evidence, and record the final support decision"
argo-cd/argo-cd,9.5.15,not-production-supported,default,start-here,start-here:1;try-with-proof:1,resolve-images-before-production-oci,image-digest-resolution,target cluster class;namespace;delivery controller;storage/runtime assumptions,refresh target-scoped live/e2e evidence before support claim,resolve image digests or record explicit exception before production OCI support,"accept, fix, or document scanner findings for supported scope",record lifecycle support boundary: recipe-hook-policy:no-hooks,no unresolved target prerequisite in candidate base,data/production-support-decisions/argo-cd-argo-cd/support-decision.yaml,refresh target-scoped live/e2e receipt and rerun production-disposition details,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes
bitnami/mysql,14.0.3,not-production-supported,generated-passwords,start-here,start-here:1;try-with-proof:1,resolve-images-before-production-oci,image-digest-resolution,target cluster class;namespace;delivery controller;storage/runtime assumptions,refresh target-scoped live/e2e evidence before support claim,resolve image digests or record explicit exception before production OCI support,"accept, fix, or document scanner findings for supported scope",record lifecycle support boundary: recipe-hook-policy:no-hooks,no unresolved target prerequisite in candidate base,data/production-support-decisions/bitnami-mysql/support-decision.yaml,refresh target-scoped live/e2e receipt and rerun production-disposition details,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes
bitnami/rabbitmq,16.0.14,not-production-supported,generated-passwords,start-here,start-here:1;try-with-proof:1,resolve-images-before-production-oci,image-digest-resolution,target cluster class;namespace;delivery controller;storage/runtime assumptions,refresh target-scoped live/e2e evidence before support claim,resolve image digests or record explicit exception before production OCI support,"accept, fix, or document scanner findings for supported scope",record lifecycle support boundary: recipe-hook-policy:no-hooks,no unresolved target prerequisite in candidate base,data/production-support-decisions/bitnami-rabbitmq/support-decision.yaml,refresh target-scoped live/e2e receipt and rerun production-disposition details,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes
external-secrets/external-secrets,2.5.0,not-production-supported,default,start-here,start-here:1;try-with-proof:1,resolve-images-before-production-oci,image-digest-resolution,target cluster class;namespace;delivery controller;storage/runtime assumptions,refresh target-scoped live/e2e evidence before support claim,resolve image digests or record explicit exception before production OCI support,"accept, fix, or document scanner findings for supported scope",record lifecycle support boundary: lifecycle-observations:2/2,no unresolved target prerequisite in candidate base,data/production-support-decisions/external-secrets-external-secrets/support-decision.yaml,refresh target-scoped live/e2e receipt and rerun production-disposition details,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes
grafana/grafana,10.5.15,not-production-supported,generated-passwords,start-here,start-here:1;try-with-proof:1,resolve-images-before-production-oci,image-digest-resolution,target cluster class;namespace;delivery controller;storage/runtime assumptions,refresh target-scoped live/e2e evidence before support claim,resolve image digests or record explicit exception before production OCI support,"accept, fix, or document scanner findings for supported scope",no lifecycle-specific decision beyond standard support boundary,no unresolved target prerequisite in candidate base,data/production-support-decisions/grafana-grafana/support-decision.yaml,refresh target-scoped live/e2e receipt and rerun production-disposition details,resolve image digests for each affected variant before production OCI support
grafana/loki,7.0.0,not-production-supported,single-binary-filesystem,start-here,start-here:1;try-with-proof:1,resolve-images-before-production-oci,image-digest-resolution,target cluster class;namespace;delivery controller;storage/runtime assumptions,refresh target-scoped live/e2e evidence before support claim,resolve image digests or record explicit exception before production OCI support,"accept, fix, or document scanner findings for supported scope",record lifecycle support boundary: recipe-lifecycle-policy,no unresolved target prerequisite in candidate base,data/production-support-decisions/grafana-loki/support-decision.yaml,refresh target-scoped live/e2e receipt and rerun production-disposition details,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes
grafana/tempo,1.24.4,not-production-supported,local-persistent,start-here,start-here:1;try-with-proof:1,resolve-images-before-production-oci,image-digest-resolution,target cluster class;namespace;delivery controller;storage/runtime assumptions,refresh target-scoped live/e2e evidence before support claim,resolve image digests or record explicit exception before production OCI support,"accept, fix, or document scanner findings for supported scope",no lifecycle-specific decision beyond standard support boundary,no unresolved target prerequisite in candidate base,data/production-support-decisions/grafana-tempo/support-decision.yaml,refresh target-scoped live/e2e receipt and rerun production-disposition details,resolve image digests for each affected variant before production OCI support
hashicorp/consul,2.0.0,not-production-supported,default-control-plane,start-here,start-here:1;try-with-proof:1,resolve-images-before-production-oci,image-digest-resolution,target cluster class;namespace;delivery controller;storage/runtime assumptions,refresh target-scoped live/e2e evidence before support claim,resolve image digests or record explicit exception before production OCI support,"accept, fix, or document scanner findings for supported scope",record lifecycle support boundary: recipe-lifecycle-policy,no unresolved target prerequisite in candidate base,data/production-support-decisions/hashicorp-consul/support-decision.yaml,refresh target-scoped live/e2e receipt and rerun production-disposition details,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes
hashicorp/vault,0.32.0,not-production-supported,dev-mode,start-here,start-here:1;try-with-proof:2,resolve-images-before-production-oci,image-digest-resolution,target cluster class;namespace;delivery controller;storage/runtime assumptions,refresh target-scoped live/e2e evidence before support claim,resolve image digests or record explicit exception before production OCI support,"accept, fix, or document scanner findings for supported scope",no lifecycle-specific decision beyond standard support boundary,no unresolved target prerequisite in candidate base,data/production-support-decisions/hashicorp-vault/support-decision.yaml,refresh target-scoped live/e2e receipt and rerun production-disposition details,resolve image digests for each affected variant before production OCI support
jetstack/cert-manager,v1.20.2,not-production-supported,crds-enabled,start-here,lifecycle-observed:1;start-here:1,resolve-images-before-production-oci,image-digest-resolution,target cluster class;namespace;delivery controller;storage/runtime assumptions,refresh target-scoped live/e2e evidence before support claim,resolve image digests or record explicit exception before production OCI support,"accept, fix, or document scanner findings for supported scope",record lifecycle support boundary: recipe-hook-policy:no-hooks;lifecycle-observations:2/2,no unresolved target prerequisite in candidate base,data/production-support-decisions/jetstack-cert-manager/support-decision.yaml,refresh target-scoped live/e2e receipt and rerun production-disposition details,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes
metrics-server/metrics-server,3.13.0,not-production-supported,default,start-here,start-here:1;try-with-proof:1,resolve-images-before-production-oci,image-digest-resolution,target cluster class;namespace;delivery controller;storage/runtime assumptions,refresh target-scoped live/e2e evidence before support claim,resolve image digests or record explicit exception before production OCI support,"accept, fix, or document scanner findings for supported scope",record lifecycle support boundary: recipe-hook-policy:no-hooks,no unresolved target prerequisite in candidate base,data/production-support-decisions/metrics-server-metrics-server/support-decision.yaml,refresh target-scoped live/e2e receipt and rerun production-disposition details,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes
longhorn/longhorn,1.11.2,not-production-supported,default,start-here,start-here:1;try-with-proof:1,security-acceptance-or-hardened-base,security-acceptance-or-hardened-base,target cluster class;namespace;delivery controller;storage/runtime assumptions,refresh target-scoped live/e2e evidence before support claim,resolve image digests or record explicit exception before production OCI support,record security acceptance or create hardened base,record lifecycle support boundary: recipe-hook-policy:no-hooks,no unresolved target prerequisite in candidate base,data/production-support-decisions/longhorn-longhorn/support-decision.yaml,refresh target-scoped live/e2e receipt and rerun production-disposition details,"choose the supported production base, then record explicit security acceptance or create a hardened base before claiming production support"
prometheus-community/kube-prometheus-stack,85.3.3,not-production-supported,default,start-here,start-here:2,security-acceptance-or-hardened-base,security-acceptance-or-hardened-base,target cluster class;namespace;delivery controller;storage/runtime assumptions,refresh target-scoped live/e2e evidence before support claim,resolve image digests or record explicit exception before production OCI support,record security acceptance or create hardened base,record lifecycle support boundary: source-hooks:2,no unresolved target prerequisite in candidate base,data/production-support-decisions/prometheus-community-kube-prometheus-stack/support-decision.yaml,refresh target-scoped live/e2e receipt and rerun production-disposition details,"choose the supported production base, then record explicit security acceptance or create a hardened base before claiming production support"
prometheus-community/prometheus,29.8.0,not-production-supported,server-only-ephemeral,start-here,start-here:1;try-with-proof:1,security-acceptance-or-hardened-base,security-acceptance-or-hardened-base,target cluster class;namespace;delivery controller;storage/runtime assumptions,refresh target-scoped live/e2e evidence before support claim,resolve image digests or record explicit exception before production OCI support,record security acceptance or create hardened base,no lifecycle-specific decision beyond standard support boundary,no unresolved target prerequisite in candidate base,data/production-support-decisions/prometheus-community-prometheus/support-decision.yaml,refresh target-scoped live/e2e receipt and rerun production-disposition details,"choose the supported production base, then record explicit security acceptance or create a hardened base before claiming production support"
