id,pain_point,root_cause,helm_expt_answer,confighub_server_answer,installer_answer,cub_scout_answer,current_status,evidence_path,remaining_gap,next_action
go-templated-yaml,Go-templated YAML,Helm templates are string-producing programs whose structure is discarded after render.,"Render to explicit Kubernetes objects, keep object inventories, and record Helm-equivalence receipts.","Store rendered objects as typed Units with revisions, diffs, links, gates, and approvals.",Package the reviewed render as a named cub installer base.,Observe whether the applied objects exist and remain fresh.,strong-current-proof,recipes/*/*/*/revisions/*/r001/receipts/helm-equivalence-receipt.yaml;data/outcome-coverage/base-outcomes.csv,Complex template behavior is still chart-specific; provenance is not field-complete for every chart.,Use edge recovery and variant-path coverage to track where template behavior affects fields.
values-sprawl,values.yaml sprawl,"Chart defaults, values files, globals, subcharts, and overlays make effective inputs hard to see.","Record effective values, value models, value-source maps where present, and named base variants.","Turn chosen bases into managed variants with explicit parameters, labels, and links.",Expose supported bases rather than unbounded ad hoc values combinations.,Confirm target facts and live outcomes for a selected variant.,strong-for-supported-bases,recipes/*/*/*/effective-values*.yaml;recipes/*/*/*/variants/*/variant.yaml;data/outcome-coverage/base-outcomes.csv,Arbitrary user values and wrapper overlays need managed import or a new base variant.,"Add variant-path coverage rows for custom values, overlays, and managed imports."
release-state-in-cluster,State lives in cluster secrets,Helm release history is stored as cluster state rather than a durable desired-state graph.,"Keep pinned rendered object sets, receipts, source locks, dependency locks, and package receipts outside Helm release state.","Store desired state, revisions, approvals, changesets, links, and operation receipts.",Upload reviewed objects as ConfigHub Units and package records.,Compare intended object sets with observed live resources.,partial-handoff,data/outcome-coverage/chart-outcomes.csv;data/runtime-gitops/summary.md;data/live-kind-parity/summary.md,"Queryable operation history and authority are ConfigHub Server concerns, not helm-expt alone.",Keep chain-of-proof status per chart/base/variant-path so desired and live claims remain separate.
failed-upgrades,Failed upgrades wedge releases,Helm upgrade state and three-way merge can leave release state wedged or ambiguous.,Compute upgrade and rollback diffs where represented; record simulation receipts and risk notes.,Operate on approved desired revisions with changesets and explicit rollback targets.,Apply/upload selected package bases rather than mutating Helm release state.,"Observe convergence, drift, and stale live objects after upgrade paths.",partial,recipes/*/*/*/operations/*/*receipt.yaml;data/variant-path-coverage/coverage-matrix.csv,Real upgrade/prune behavior and rollback semantics require live controller evidence.,Track upgrade and rollback as variant paths with their own proof links.
crd-handling,CRD handling,Helm installs CRDs specially and does not manage CRD upgrades cleanly.,"Expose CRDs in object inventories, provide no-crds bases where useful, and flag CRD lifecycle risk.",Gate CRD ownership and upgrade decisions before promotion.,Package CRD/no-CRD bases and preserve declared lifecycle policy.,"Observe CRD presence, API availability, and webhook readiness.",partial,data/hook-lifecycle/summary.md;data/outcome-coverage/feature-outcomes.csv;recipes/*/*/*/helm-pain-report.yaml,CRD upgrade behavior remains an operator-reviewed lifecycle path.,"Keep CRD install, no-crds, and CRD-upgrade as separate variant-path outcomes."
dependency-hell,Subchart and dependency hell,"Umbrella charts, aliases, globals, and dependency closures hide where rendered objects come from.","Record dependency locks and chart dossiers; add scanner axes for alias, import-values, and library charts.",Represent component relationships and cross-object links in the desired-state graph.,Package the reviewed dependency closure as the supported artifact.,Observe whether dependency-owned objects are healthy after apply.,partial,recipes/*/*/*/dependency-lock.yaml;data/chart-facts/chart-facts.csv;docs/reference/quirk-coverage.md,Dependency aliases and import-values need stronger scanner coverage.,"Add alias, import-values, and library-chart axes to chart facts and quirk coverage."
field-level-governance,No field-level governance,Rendered YAML loses intent and field provenance unless captured at render time.,Record value-source maps where available and recover field reachability into graph fragments.,"Use Units, links, TransformPaths, functions, gates, and mutation sources for field-level control.",Keep package bases bounded and reviewed before upload.,Report live drift at object/field level where supported.,partial-strong-on-redis,recipes/bitnami/redis/25.5.3/value-source-map.yaml;data/edge-recovery/edges.csv,Field-complete provenance is not yet available for every chart.,Expand value-source-map and edge recovery coverage chart by chart.
secrets,No native secrets story,"Helm can generate or reference secrets, but GitOps and config stores need explicit secret handling policy.",Classify generated facts and target facts; provide generated-secret and existing-secret bases.,"Store secret references, requirements, gates, and receipts rather than silently hiding credentials.",Separate rendered Secrets from uploaded manifests where required and enforce externalRequires/preflight where available.,Observe required Secret presence and workload start success.,partial-known-gap,recipes/bitnami/redis/25.5.3/install-checks.yaml;data/outcome-coverage/feature-outcomes.csv;data/live-helm-confighub-compare/summary.md,Secret delivery on GitOps paths needs hard gates and production policy.,Track generated-fact and target-fact edges per variant path.
hooks,Hooks are brittle,"Helm hook resources depend on phase, ordering, cluster state, and delete policy outside plain desired YAML.",Detect hook-bearing charts and classify lifecycle routes; do not claim hook execution from render parity.,"Represent lifecycle actions, approvals, and receipts as explicit desired operations.",Execute or hand off lifecycle steps only where the route is supported.,"Observe post-hook resources, readiness, and failure conditions.",partial-doctrine,data/hook-lifecycle/source-top100-hooks.csv;data/hook-lifecycle/maintained-hook-queue.csv;docs/user/hook-lifecycle-strategy.md,Hook execution receipts are not complete for the hook-bearing catalog.,"Separate pre-install, post-install, upgrade, and delete hooks in variant-path coverage."
multi-env-promotion,Multi-environment promotion is DIY,Helm values files do not provide a durable variant model or promotion record.,"Provide named bases, variant diffs, promotion examples, and target-bound derived variant receipts.","Use spaces, Units, labels, links, `cub variant create`, approvals, and changesets for derived variants.",Supply the reviewed base that derived variants clone or refine.,Observe each target after promotion.,partial,docs/user/creating-variants.md;docs/user/prometheus-overlay-promotion-example.md;data/derived-variant-target-bound/summary.csv,High-fanout propagation and override-protection need a stronger demo.,Use Prometheus/kube-prometheus-stack for the main high-fanout variant demo.
gitops-mismatch,GitOps impedance mismatch,"Helm may render in different places, while GitOps controllers apply or re-render under their own context.","Render once, publish signed/pinned object sets, and prove the render under a declared flag profile.",Track desired revision and handoff target as managed state.,Publish/upload package bases into ConfigHub/OCI paths.,Observe Argo/Flux sync and live object state.,partial-live-lane,data/runtime-gitops/summary.md;data/live-helm-confighub-compare/summary.md,Controller-specific live proof is not complete for every base variant.,Keep GitOps live status separate from local render parity in all matrices.
history-without-diffs,History without diffs,Helm history records revisions but not durable object/field-level explanations.,"Store variant revisions, object inventories, diffs, receipts, and operation simulations.","Provide queryable revision history, changesets, approvals, and diff views.",Record package/action receipts.,Record observed live receipts against intended revisions.,strong-static-partial-operational,recipes/*/*/*/diffs/*.yaml;recipes/*/*/*/revisions/*/r001/variant-revision.yaml,Fleet-wide query and operation history belong in ConfigHub Server.,Tie diffs and operations into variant-path coverage.
template-language-limits,Templating language limits,"Complex helper macros, tpl, raw manifests, and conditionals make behavior hard to audit.",Surface tpl/raw/extension slots and keep supported bases bounded.,"Move post-render customization to typed Units, links, functions, and views where possible.",Reject or gate unbounded extension slots for supported catalog entries.,Observe live effects of extension-derived objects.,partial,data/outcome-coverage/feature-outcomes.csv;recipes/*/*/*/helm-pain-report.yaml,Not every template-language feature is field-provenanced yet.,Add scanner axes and require clear disposition for each extension slot.
dry-run-reality-gap,Dry-run does not match reality,"Admission, defaulting, controllers, webhooks, and API availability affect stored/live state after render.",Keep render proof separate from live proof and record target facts/capability profile.,"Gate promotion on target facts, approvals, and observation policy.",Run preflight and target-fact collection where available.,"Observe live state, freshness, API readiness, and workload health.",partial-live-dependent,docs/user/verification-lanes.md;data/live-kind-parity/summary.md;data/lifecycle-observations/cert-manager-eso/summary.md,Admission/defaulting parity is target-specific and requires live observation.,Add target/live requirements to variant-path coverage rather than hiding them in notes.
fork-burden,Chart ownership and fork burden,Small local changes often force teams to fork charts or maintain fragile overlays.,Route shape-changing changes to new bases and post-render changes to derived ConfigHub variants.,"Support Creator flows, TransformPaths, functions, labels, links, and approvals over rendered Units.",Provide maintained public and managed recipe bases.,Confirm the derived or promoted variant reached the target.,partial-product-lane,docs/user/change-routing-before-oci.md;docs/user/custom-overlays.md;docs/user/creating-variants.md,Creator UX and managed imports are product work beyond current static catalog proof.,"Keep base, derived, and managed overlay paths explicit in user docs and coverage rows."
