priority,chart,version,chart_ref,variants,strict_evidence_bases,strongest_evidence,source_features,scan_high,scan_medium,gate_decisions,current_support_level,current_production_readiness,current_catalog_status,supported_variants,promotion_question,first_step,done_when,evidence,gaps,recipe_path,package_path
2,aqua/trivy-operator,0.32.1,aqua/trivy-operator@0.32.1,default;no-crds,default;no-crds,live-helm-vs-confighub-parity,,0,19,allow;warn,machine-proof-only,not-reviewed-for-production,proof-grade,,"Which variant, target scope, scan/gate dispositions, and live evidence are enough to promote this chart?","review the existing variants, then write production disposition or support-decision artifacts before changing catalog status","a selected variant has explicit scan/gate disposition, production support boundary, and live evidence or routed deferral",recipes/aqua/trivy-operator/0.32.1/revisions/default/r001/variant-revision.yaml;recipes/aqua/trivy-operator/0.32.1/helm-pain-report.yaml;recipes/aqua/trivy-operator/0.32.1/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/aqua/trivy-operator/0.32.1/control-points.yaml;recipes/aqua/trivy-operator/0.32.1/value-model.yaml;recipes/aqua/trivy-operator/0.32.1/helm-plan.yaml;recipes/aqua/trivy-operator/0.32.1/CATALOG.md;recipes/aqua/trivy-operator/0.32.1/helm-pain-report.yaml,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable,recipes/aqua/trivy-operator/0.32.1,packages/aqua/trivy-operator/0.32.1
2,argo-cd/argo-events,2.4.21,argo-cd/argo-events@2.4.21,default;no-crds,default;no-crds,live-helm-vs-confighub-parity,,0,5,allow;warn,machine-proof-only,not-reviewed-for-production,proof-grade,,"Which variant, target scope, scan/gate dispositions, and live evidence are enough to promote this chart?","review the existing variants, then write production disposition or support-decision artifacts before changing catalog status","a selected variant has explicit scan/gate disposition, production support boundary, and live evidence or routed deferral",recipes/argo-cd/argo-events/2.4.21/revisions/default/r001/variant-revision.yaml;recipes/argo-cd/argo-events/2.4.21/helm-pain-report.yaml;recipes/argo-cd/argo-events/2.4.21/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/argo-cd/argo-events/2.4.21/control-points.yaml;recipes/argo-cd/argo-events/2.4.21/value-model.yaml;recipes/argo-cd/argo-events/2.4.21/helm-plan.yaml;recipes/argo-cd/argo-events/2.4.21/CATALOG.md;recipes/argo-cd/argo-events/2.4.21/helm-pain-report.yaml,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable,recipes/argo-cd/argo-events/2.4.21,packages/argo-cd/argo-events/2.4.21
2,argo-cd/argo-rollouts,2.40.9,argo-cd/argo-rollouts@2.40.9,default;no-crds,default;no-crds,live-helm-vs-confighub-parity,,0,10,allow;warn,machine-proof-only,not-reviewed-for-production,proof-grade,,"Which variant, target scope, scan/gate dispositions, and live evidence are enough to promote this chart?","review the existing variants, then write production disposition or support-decision artifacts before changing catalog status","a selected variant has explicit scan/gate disposition, production support boundary, and live evidence or routed deferral",recipes/argo-cd/argo-rollouts/2.40.9/revisions/default/r001/variant-revision.yaml;recipes/argo-cd/argo-rollouts/2.40.9/helm-pain-report.yaml;recipes/argo-cd/argo-rollouts/2.40.9/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/argo-cd/argo-rollouts/2.40.9/control-points.yaml;recipes/argo-cd/argo-rollouts/2.40.9/value-model.yaml;recipes/argo-cd/argo-rollouts/2.40.9/helm-plan.yaml;recipes/argo-cd/argo-rollouts/2.40.9/CATALOG.md;recipes/argo-cd/argo-rollouts/2.40.9/helm-pain-report.yaml,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable,recipes/argo-cd/argo-rollouts/2.40.9,packages/argo-cd/argo-rollouts/2.40.9
2,argo-cd/argo-workflows,1.0.14,argo-cd/argo-workflows@1.0.14,default;controller-default-reviewed;minimal-crds,controller-default-reviewed;default;minimal-crds,live-helm-vs-confighub-parity,,0,22,allow;warn,machine-proof-only,not-reviewed-for-production,proof-grade,,"Which variant, target scope, scan/gate dispositions, and live evidence are enough to promote this chart?","review the existing variants, then write production disposition or support-decision artifacts before changing catalog status","a selected variant has explicit scan/gate disposition, production support boundary, and live evidence or routed deferral",recipes/argo-cd/argo-workflows/1.0.14/revisions/controller-default-reviewed/r001/variant-revision.yaml;recipes/argo-cd/argo-workflows/1.0.14/helm-pain-report.yaml;recipes/argo-cd/argo-workflows/1.0.14/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/argo-cd/argo-workflows/1.0.14/control-points.yaml;recipes/argo-cd/argo-workflows/1.0.14/value-model.yaml;recipes/argo-cd/argo-workflows/1.0.14/helm-plan.yaml;recipes/argo-cd/argo-workflows/1.0.14/CATALOG.md;recipes/argo-cd/argo-workflows/1.0.14/helm-pain-report.yaml,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance,recipes/argo-cd/argo-workflows/1.0.14,packages/argo-cd/argo-workflows/1.0.14
2,autoscaler/cluster-autoscaler,9.57.0,autoscaler/cluster-autoscaler@9.57.0,default;controller-default-reviewed,controller-default-reviewed;default,live-helm-vs-confighub-parity,,1,4,warn,machine-proof-only,not-reviewed-for-production,proof-grade,,"Which variant, target scope, scan/gate dispositions, and live evidence are enough to promote this chart?","review the existing variants, then write production disposition or support-decision artifacts before changing catalog status","a selected variant has explicit scan/gate disposition, production support boundary, and live evidence or routed deferral",recipes/autoscaler/cluster-autoscaler/9.57.0/revisions/controller-default-reviewed/r001/variant-revision.yaml;recipes/autoscaler/cluster-autoscaler/9.57.0/helm-pain-report.yaml;recipes/autoscaler/cluster-autoscaler/9.57.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/autoscaler/cluster-autoscaler/9.57.0/control-points.yaml;recipes/autoscaler/cluster-autoscaler/9.57.0/value-model.yaml;recipes/autoscaler/cluster-autoscaler/9.57.0/helm-plan.yaml;recipes/autoscaler/cluster-autoscaler/9.57.0/CATALOG.md;recipes/autoscaler/cluster-autoscaler/9.57.0/helm-pain-report.yaml,human review needed: confirm variants are the obvious Helm-user paths; high scan findings require review before catalog support; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance,recipes/autoscaler/cluster-autoscaler/9.57.0,packages/autoscaler/cluster-autoscaler/9.57.0
2,autoscaler/vertical-pod-autoscaler,0.9.0,autoscaler/vertical-pod-autoscaler@0.9.0,default;no-crds,default;no-crds,live-helm-vs-confighub-parity,,0,25,allow;warn,machine-proof-only,not-reviewed-for-production,proof-grade,,"Which variant, target scope, scan/gate dispositions, and live evidence are enough to promote this chart?","review the existing variants, then write production disposition or support-decision artifacts before changing catalog status","a selected variant has explicit scan/gate disposition, production support boundary, and live evidence or routed deferral",recipes/autoscaler/vertical-pod-autoscaler/0.9.0/revisions/default/r001/variant-revision.yaml;recipes/autoscaler/vertical-pod-autoscaler/0.9.0/helm-pain-report.yaml;recipes/autoscaler/vertical-pod-autoscaler/0.9.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/autoscaler/vertical-pod-autoscaler/0.9.0/control-points.yaml;recipes/autoscaler/vertical-pod-autoscaler/0.9.0/value-model.yaml;recipes/autoscaler/vertical-pod-autoscaler/0.9.0/helm-plan.yaml;recipes/autoscaler/vertical-pod-autoscaler/0.9.0/CATALOG.md;recipes/autoscaler/vertical-pod-autoscaler/0.9.0/helm-pain-report.yaml,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable; webhook readiness/observation policy must be catalog-readable,recipes/autoscaler/vertical-pod-autoscaler/0.9.0,packages/autoscaler/vertical-pod-autoscaler/0.9.0
2,cloudnative-pg/cloudnative-pg,0.28.2,cloudnative-pg/cloudnative-pg@0.28.2,default;no-crds,default;no-crds,live-helm-vs-confighub-parity,generated-facts;tpl;crds;cluster-rbac;webhooks,0,16,allow;warn,machine-proof-only,not-reviewed-for-production,proof-grade,,"Which variant, target scope, scan/gate dispositions, and live evidence are enough to promote this chart?","review the existing variants, then write production disposition or support-decision artifacts before changing catalog status","a selected variant has explicit scan/gate disposition, production support boundary, and live evidence or routed deferral",recipes/cloudnative-pg/cloudnative-pg/0.28.2/revisions/default/r001/variant-revision.yaml;recipes/cloudnative-pg/cloudnative-pg/0.28.2/helm-pain-report.yaml;recipes/cloudnative-pg/cloudnative-pg/0.28.2/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/cloudnative-pg/cloudnative-pg/0.28.2/control-points.yaml;recipes/cloudnative-pg/cloudnative-pg/0.28.2/value-model.yaml;recipes/cloudnative-pg/cloudnative-pg/0.28.2/helm-plan.yaml;recipes/cloudnative-pg/cloudnative-pg/0.28.2/CATALOG.md;recipes/cloudnative-pg/cloudnative-pg/0.28.2/helm-pain-report.yaml,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable; webhook readiness/observation policy must be catalog-readable,recipes/cloudnative-pg/cloudnative-pg/0.28.2,packages/cloudnative-pg/cloudnative-pg/0.28.2
2,elastic/eck-operator,3.4.0,elastic/eck-operator@3.4.0,default;ha;no-crds,default;ha;no-crds,live-helm-vs-confighub-parity,tpl;capabilities;cluster-rbac;webhooks;stateful-storage,0,18,allow;warn,machine-proof-only,not-reviewed-for-production,proof-grade,,"Which variant, target scope, scan/gate dispositions, and live evidence are enough to promote this chart?","review the existing variants, then write production disposition or support-decision artifacts before changing catalog status","a selected variant has explicit scan/gate disposition, production support boundary, and live evidence or routed deferral",recipes/elastic/eck-operator/3.4.0/revisions/default/r001/variant-revision.yaml;recipes/elastic/eck-operator/3.4.0/helm-pain-report.yaml;recipes/elastic/eck-operator/3.4.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/elastic/eck-operator/3.4.0/control-points.yaml;recipes/elastic/eck-operator/3.4.0/value-model.yaml;recipes/elastic/eck-operator/3.4.0/helm-plan.yaml;recipes/elastic/eck-operator/3.4.0/CATALOG.md;recipes/elastic/eck-operator/3.4.0/helm-pain-report.yaml,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable; webhook readiness/observation policy must be catalog-readable; stateful storage and rollback policy must be catalog-readable,recipes/elastic/eck-operator/3.4.0,packages/elastic/eck-operator/3.4.0
2,elastic/logstash,8.5.1,elastic/logstash@8.5.1,default;ha,default;ha,live-helm-vs-confighub-parity,tpl;capabilities;stateful-storage,0,0,allow,machine-proof-only,not-reviewed-for-production,proof-grade,,"Which variant, target scope, scan/gate dispositions, and live evidence are enough to promote this chart?","review the existing variants, then write production disposition or support-decision artifacts before changing catalog status","a selected variant has explicit scan/gate disposition, production support boundary, and live evidence or routed deferral",recipes/elastic/logstash/8.5.1/revisions/default/r001/variant-revision.yaml;recipes/elastic/logstash/8.5.1/helm-pain-report.yaml;recipes/elastic/logstash/8.5.1/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/elastic/logstash/8.5.1/control-points.yaml;recipes/elastic/logstash/8.5.1/value-model.yaml;recipes/elastic/logstash/8.5.1/helm-plan.yaml;recipes/elastic/logstash/8.5.1/CATALOG.md;recipes/elastic/logstash/8.5.1/helm-pain-report.yaml,human review needed: confirm variants are the obvious Helm-user paths; stateful storage and rollback policy must be catalog-readable,recipes/elastic/logstash/8.5.1,packages/elastic/logstash/8.5.1
2,external-dns/external-dns,1.21.1,external-dns/external-dns@1.21.1,default;no-crds;dry-run-txt-registry,default;dry-run-txt-registry;no-crds,live-helm-vs-confighub-parity,tpl;crds;cluster-rbac,0,3,allow;warn,machine-proof-only,not-reviewed-for-production,proof-grade,,"Which variant, target scope, scan/gate dispositions, and live evidence are enough to promote this chart?","review the existing variants, then write production disposition or support-decision artifacts before changing catalog status","a selected variant has explicit scan/gate disposition, production support boundary, and live evidence or routed deferral",recipes/external-dns/external-dns/1.21.1/revisions/default/r001/variant-revision.yaml;recipes/external-dns/external-dns/1.21.1/helm-pain-report.yaml;recipes/external-dns/external-dns/1.21.1/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/external-dns/external-dns/1.21.1/control-points.yaml;recipes/external-dns/external-dns/1.21.1/value-model.yaml;recipes/external-dns/external-dns/1.21.1/helm-plan.yaml;recipes/external-dns/external-dns/1.21.1/CATALOG.md;recipes/external-dns/external-dns/1.21.1/helm-pain-report.yaml,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable,recipes/external-dns/external-dns/1.21.1,packages/external-dns/external-dns/1.21.1
