rank,chart,base,recommended_first,user_readiness,why,next_action,support_artifact,live_rerun_readiness,live_rerun_next_step,live_rerun_command,command,target_facts,render_parity,in_confighub,local_live,gitops_oci_live,live_helm_vs_confighub_parity,two_cluster_kind_parity,two_cluster_kind_parity_reason,lifecycle_observation,lifecycle_observation_receipt,complete_core_lane_set,package_base,catalog_path
1,argo-cd/argo-cd@9.5.15,default,yes,start-here,all core lanes plus two-cluster parity pass for this base,use as the first catalog path; check production disposition before production use,,,,,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:9.5.15@sha256:3404bc0aed621a447aa76cd3e07f28a7f9bfd4d1a8da1385352852386643e665 --base default --work-dir <tmp> --non-interactive --namespace argocd,required Secret argocd/argocd-redis keys auth,pass,pass,pass,pass,pass,pass,,,,yes,packages/argo-cd/argo-cd/9.5.15/bases/default,recipes/argo-cd/argo-cd/9.5.15/CATALOG.md
1,argo-cd/argo-cd@9.5.15,no-crds,no,render-only,"render parity exists, but two-cluster live parity has no committed receipt for this base",run two-cluster kind parity and then add ConfigHub/live lanes as needed,,,,,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:9.5.15@sha256:3404bc0aed621a447aa76cd3e07f28a7f9bfd4d1a8da1385352852386643e665 --base no-crds --work-dir <tmp> --non-interactive --namespace argocd,required Secret argocd/argocd-redis keys auth; required CRD applications.argoproj.io; required CRD applicationsets.argoproj.io; required CRD appprojects.argoproj.io,pass,pass,blocked,pass,pass,missing,,,,no,packages/argo-cd/argo-cd/9.5.15/bases/no-crds,recipes/argo-cd/argo-cd/9.5.15/CATALOG.md
2,bitnami/mongodb@19.0.7,existing-secret-replicaset,yes,render-only,"render parity exists, but two-cluster live parity has no committed receipt for this base",run two-cluster kind parity and then add ConfigHub/live lanes as needed,,,,,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bitnami-mongodb:19.0.7@sha256:8f690ed44774fc97011c366cf2e54730d6a07dfb4e6823d1dff07101eb0da534 --base existing-secret-replicaset --work-dir <tmp> --non-interactive --namespace mongodb,"required Secret mongodb/mongodb-auth keys mongodb-root-password,mongodb-replica-set-key",pass,pass,pass,pass,pass,missing,,,,yes,packages/bitnami/mongodb/19.0.7/bases/existing-secret-replicaset,recipes/bitnami/mongodb/19.0.7/CATALOG.md
2,bitnami/mongodb@19.0.7,static-passwords,no,render-only,"render parity exists, but two-cluster live parity has no committed receipt for this base",run two-cluster kind parity and then add ConfigHub/live lanes as needed,,,,,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bitnami-mongodb:19.0.7@sha256:8f690ed44774fc97011c366cf2e54730d6a07dfb4e6823d1dff07101eb0da534 --base static-passwords --work-dir <tmp> --non-interactive --namespace mongodb,none,pass,pass,pass,pass,pass,missing,,,,yes,packages/bitnami/mongodb/19.0.7/bases/static-passwords,recipes/bitnami/mongodb/19.0.7/CATALOG.md
3,bitnami/mysql@14.0.3,existing-secret,yes,start-here,all core lanes plus two-cluster parity pass for this base,use as the first catalog path; check production disposition before production use,,,,,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bitnami-mysql:14.0.3@sha256:0da76f6de7b836331e501220940672ce858e53877c39669d75ba94d5e6c10d4e --base existing-secret --work-dir <tmp> --non-interactive --namespace mysql,"required Secret mysql/mysql-auth keys mysql-root-password,mysql-password,mysql-replication-password",pass,pass,pass,pass,pass,pass,,,,yes,packages/bitnami/mysql/14.0.3/bases/existing-secret,recipes/bitnami/mysql/14.0.3/CATALOG.md
3,bitnami/mysql@14.0.3,static-passwords,no,start-here,all core lanes plus two-cluster parity pass for this base,use as the first catalog path; check production disposition before production use,,,,,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bitnami-mysql:14.0.3@sha256:0da76f6de7b836331e501220940672ce858e53877c39669d75ba94d5e6c10d4e --base static-passwords --work-dir <tmp> --non-interactive --namespace mysql,none,pass,pass,pass,pass,pass,pass,,,,yes,packages/bitnami/mysql/14.0.3/bases/static-passwords,recipes/bitnami/mysql/14.0.3/CATALOG.md
4,bitnami/nginx@24.0.2,http-clusterip,yes,render-only,"render parity exists, but two-cluster live parity has no committed receipt for this base",run two-cluster kind parity and then add ConfigHub/live lanes as needed,,,,,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bitnami-nginx:24.0.2@sha256:08947210de607a6b9b8e7b8423b024e3fe89a0fc2b09581f80e2401008e445a1 --base http-clusterip --work-dir <tmp> --non-interactive --namespace nginx,none,pass,pass,pass,pass,pass,missing,,,,yes,packages/bitnami/nginx/24.0.2/bases/http-clusterip,recipes/bitnami/nginx/24.0.2/CATALOG.md
4,bitnami/nginx@24.0.2,existing-tls-ingress,no,render-only,"render parity exists, but two-cluster live parity has no committed receipt for this base",run two-cluster kind parity and then add ConfigHub/live lanes as needed,,,,,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bitnami-nginx:24.0.2@sha256:08947210de607a6b9b8e7b8423b024e3fe89a0fc2b09581f80e2401008e445a1 --base existing-tls-ingress --work-dir <tmp> --non-interactive --namespace nginx,"required Secret nginx/nginx-backend-tls keys tls.crt,tls.key,ca.crt; required Secret nginx/nginx-ingress-tls keys tls.crt,tls.key",pass,pass,pass,pass,pass,missing,,,,yes,packages/bitnami/nginx/24.0.2/bases/existing-tls-ingress,recipes/bitnami/nginx/24.0.2/CATALOG.md
5,bitnami/postgresql@18.6.7,existing-secret,yes,render-only,"render parity exists, but two-cluster live parity has no committed receipt for this base",run two-cluster kind parity and then add ConfigHub/live lanes as needed,,,,,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bitnami-postgresql:18.6.7@sha256:de7371ce62c45f958c60c9f0584aa2a5d4f0e10638c053bb20985933a709a002 --base existing-secret --work-dir <tmp> --non-interactive --namespace postgresql,required Secret postgresql/postgresql-auth keys postgres-password,pass,pass,pass,pass,pass,missing,,,,yes,packages/bitnami/postgresql/18.6.7/bases/existing-secret,recipes/bitnami/postgresql/18.6.7/CATALOG.md
5,bitnami/postgresql@18.6.7,static-passwords,no,render-only,"render parity exists, but two-cluster live parity has no committed receipt for this base",run two-cluster kind parity and then add ConfigHub/live lanes as needed,,,,,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bitnami-postgresql:18.6.7@sha256:de7371ce62c45f958c60c9f0584aa2a5d4f0e10638c053bb20985933a709a002 --base static-passwords --work-dir <tmp> --non-interactive --namespace postgresql,none,pass,pass,pass,pass,pass,missing,,,,yes,packages/bitnami/postgresql/18.6.7/bases/static-passwords,recipes/bitnami/postgresql/18.6.7/CATALOG.md
6,bitnami/rabbitmq@16.0.14,existing-secret,yes,start-here,all core lanes plus two-cluster parity pass for this base,use as the first catalog path; check production disposition before production use,,,,,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bitnami-rabbitmq:16.0.14@sha256:c2034843e8552af31412d9c92fc845df511d1413dae17a782630079e656c87a0 --base existing-secret --work-dir <tmp> --non-interactive --namespace rabbitmq,required Secret rabbitmq/rabbitmq-auth keys rabbitmq-password; required Secret rabbitmq/rabbitmq-erlang-cookie keys rabbitmq-erlang-cookie,pass,pass,pass,pass,pass,pass,,,,yes,packages/bitnami/rabbitmq/16.0.14/bases/existing-secret,recipes/bitnami/rabbitmq/16.0.14/CATALOG.md
6,bitnami/rabbitmq@16.0.14,static-passwords,no,start-here,all core lanes plus two-cluster parity pass for this base,use as the first catalog path; check production disposition before production use,,,,,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bitnami-rabbitmq:16.0.14@sha256:c2034843e8552af31412d9c92fc845df511d1413dae17a782630079e656c87a0 --base static-passwords --work-dir <tmp> --non-interactive --namespace rabbitmq,none,pass,pass,pass,pass,pass,pass,,,,yes,packages/bitnami/rabbitmq/16.0.14/bases/static-passwords,recipes/bitnami/rabbitmq/16.0.14/CATALOG.md
7,bitnami/redis@25.5.3,reuse-existing-secret,yes,render-only,"render parity exists, but two-cluster live parity has no committed receipt for this base",run two-cluster kind parity and then add ConfigHub/live lanes as needed,,,,,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bitnami-redis:25.5.3@sha256:7ad5fa6de0aa9c29df8cd26650893ebae6ad149a7c5ac33a8beedf5b02e2ac33 --base reuse-existing-secret --work-dir <tmp> --non-interactive --namespace redis,required Secret redis/redis-existing-secret keys redis-password,pass,pass,pass,pass,pass,missing,,,,yes,packages/bitnami/redis/25.5.3/bases/reuse-existing-secret,recipes/bitnami/redis/25.5.3/CATALOG.md
7,bitnami/redis@25.5.3,default,no,render-only,"render parity exists, but two-cluster live parity has no committed receipt for this base",run two-cluster kind parity and then add ConfigHub/live lanes as needed,,,,,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bitnami-redis:25.5.3@sha256:7ad5fa6de0aa9c29df8cd26650893ebae6ad149a7c5ac33a8beedf5b02e2ac33 --base default --work-dir <tmp> --non-interactive --namespace redis,none,pass,pass,pass,pass,pass,missing,,,,yes,packages/bitnami/redis/25.5.3/bases/default,recipes/bitnami/redis/25.5.3/CATALOG.md
8,external-secrets/external-secrets@2.5.0,default,yes,start-here,all core lanes plus two-cluster parity pass for this base,use as the first catalog path; check production disposition before production use,,,,,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/external-secrets-external-secrets:2.5.0@sha256:e4835f92ea97357cf269eabe966ca562cc46fd0f97e4dd18d52f72f0e07459b1 --base default --work-dir <tmp> --non-interactive --namespace external-secrets,required Secret external-secrets/external-secrets-webhook,pass,pass,pass,pass,pass,pass,,pass,runs/lifecycle-observations/cert-manager-eso/external-secrets-external-secrets-default/receipt.yaml,yes,packages/external-secrets/external-secrets/2.5.0/bases/default,recipes/external-secrets/external-secrets/2.5.0/CATALOG.md
8,external-secrets/external-secrets@2.5.0,no-crds,no,start-here,all core lanes plus two-cluster parity pass for this base,use as the first catalog path; check production disposition before production use,,,,,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/external-secrets-external-secrets:2.5.0@sha256:e4835f92ea97357cf269eabe966ca562cc46fd0f97e4dd18d52f72f0e07459b1 --base no-crds --work-dir <tmp> --non-interactive --namespace external-secrets,required Secret external-secrets/external-secrets-webhook; required CRD acraccesstokens.generators.external-secrets.io; required CRD cloudsmithaccesstokens.generators.external-secrets.io; required CRD clusterexternalsecrets.external-secrets.io; required CRD clustergenerators.generators.external-secrets.io; required CRD clusterpushsecrets.external-secrets.io; required CRD clustersecretstores.external-secrets.io; required CRD ecrauthorizationtokens.generators.external-secrets.io; required CRD externalsecrets.external-secrets.io; required CRD fakes.generators.external-secrets.io; required CRD gcraccesstokens.generators.external-secrets.io; required CRD generatorstates.generators.external-secrets.io; required CRD githubaccesstokens.generators.external-secrets.io; required CRD grafanas.generators.external-secrets.io; required CRD mfas.generators.external-secrets.io; required CRD passwords.generators.external-secrets.io; required CRD pushsecrets.external-secrets.io; required CRD quayaccesstokens.generators.external-secrets.io; required CRD secretstores.external-secrets.io; required CRD sshkeys.generators.external-secrets.io; required CRD stssessiontokens.generators.external-secrets.io; required CRD uuids.generators.external-secrets.io; required CRD vaultdynamicsecrets.generators.external-secrets.io; required CRD webhooks.generators.external-secrets.io,pass,pass,pass,pass,pass,pass,,pass,runs/lifecycle-observations/cert-manager-eso/external-secrets-external-secrets-no-crds/receipt.yaml,yes,packages/external-secrets/external-secrets/2.5.0/bases/no-crds,recipes/external-secrets/external-secrets/2.5.0/CATALOG.md
9,grafana/grafana@10.5.15,existing-secret-ingress,yes,start-here,all core lanes plus two-cluster parity pass for this base,use as the first catalog path; check production disposition before production use,,,,,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/grafana-grafana:10.5.15@sha256:860611c13c788188a1ee1abb02e0a2a51d1b876b584ae179540cd3b57404d47f --base existing-secret-ingress --work-dir <tmp> --non-interactive --namespace grafana,"required Secret grafana/grafana-admin keys admin-user,admin-password",pass,pass,pass,pass,pass,pass,,,,yes,packages/grafana/grafana/10.5.15/bases/existing-secret-ingress,recipes/grafana/grafana/10.5.15/CATALOG.md
9,grafana/grafana@10.5.15,static-passwords,no,start-here,all core lanes plus two-cluster parity pass for this base,use as the first catalog path; check production disposition before production use,,,,,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/grafana-grafana:10.5.15@sha256:860611c13c788188a1ee1abb02e0a2a51d1b876b584ae179540cd3b57404d47f --base static-passwords --work-dir <tmp> --non-interactive --namespace grafana,none,pass,pass,pass,pass,pass,pass,,,,yes,packages/grafana/grafana/10.5.15/bases/static-passwords,recipes/grafana/grafana/10.5.15/CATALOG.md
