row_kind,catalog_layer,customization_layer,row_status,custom_discussion,candidate_source,candidate_state,candidate_inputs,candidate_required_before,parent_base,downstream_space,target_run_status,target_run_receipt,target_run_blockers,chart,version,variant,catalog_tier,adoption_bucket,quirk_features,hard_gap,strongest_evidence,next_action,hook_count,hook_disposition,hook_evidence_version,hook_live_status,lifecycle_route_contract,lifecycle_route_count,lifecycle_route_dispositions,lifecycle_route_execution_modes,lifecycle_route_safe_automatic,lifecycle_route_evidence_version,lifecycle_route_contract_path,lifecycle_route_json_path,render_intent_state,render_intent_next_action,render_intent_path,render_intent_lifecycle_state,render_intent_lifecycle_reason,render_intent_lifecycle_next_action,render_intent_target_state,render_intent_target_reason,render_intent_target_next_action,render_intent_target_requirement_count,render_intent_target_action_count,lane_render_parity,lane_confighub_scan_ops,lane_local_kind,lane_lifecycle_observed,lane_gitops_oci_live,lane_live_dual_parity,lane_two_cluster_kind,core_lanes_complete,outcome_level,production_decision,production_target_scope,variant_promotion,variant_promotion_status,variant_promotion_evidence,variant_promotion_reason,variant_promotion_next_action,active_proof_next_step,active_proof_readiness,active_proof_reason,active_proof_command,active_proof_support_artifact,recipe_path,recipe_catalog_path,variant_path,package_base_path,variant_revision_path,source_lock_path,source_repository_url,source_content_url,github_recipe_url,github_catalog_url,github_package_base_url,completion_action,completion_action_summary,completion_action_families,completion_deferred_cells,completion_owner_lanes
source,F1,F1 upstream chart source,real,no,,,,,,,,,,aqua/trivy-operator,0.32.1,(source),next80-proof-grade,source-chart,,,source-lock,choose or create an F2 base before rendering or deploying,,,,n/a,n/a,,,,,,,,attached,,,n/a,,,n/a,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,source-lock,n/a,,n/a,not-applicable-source,,"source rows are upstream chart inputs, not server-side promotion evidence",choose or create an F2 base before server-side variant promotion applies,,,,,,recipes/aqua/trivy-operator/0.32.1,recipes/aqua/trivy-operator/0.32.1/CATALOG.md,,,,recipes/aqua/trivy-operator/0.32.1/source-lock.yaml,https://aquasecurity.github.io/helm-charts/,,https://github.com/confighub/helm-expt/tree/main/recipes/aqua/trivy-operator/0.32.1,https://github.com/confighub/helm-expt/blob/main/recipes/aqua/trivy-operator/0.32.1/CATALOG.md,https://github.com/confighub/helm-expt/tree/main/packages/aqua/trivy-operator/0.32.1/bases/default,-,,,0,
base,F2a,F2a honest default base,real,no,,,,,,,,,,aqua/trivy-operator,0.32.1,default,next80-proof-grade,promote-after-review,,,live-helm-vs-confighub-parity,run catalog promotion review,,,,,n/a,,,,,,,,attached,,data/helm-render-intents/intents/aqua-trivy-operator-0-32-1-default.yaml,no-route-required,The current catalog record has no source hook or separate lifecycle step for this base.,,actionable-gap,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",0,0,yes,yes,yes,n/a,yes,yes,yes,yes,live-parity,todo,,yes,proven,runs/trivy-operator-default-confighub-proof/latest/variant-promotion-receipt.yaml,server-side promotion receipt passed,keep receipt fresh when the upstream base changes,,,,,,recipes/aqua/trivy-operator/0.32.1,recipes/aqua/trivy-operator/0.32.1/CATALOG.md,recipes/aqua/trivy-operator/0.32.1/variants/default/variant.yaml,packages/aqua/trivy-operator/0.32.1/bases/default,recipes/aqua/trivy-operator/0.32.1/revisions/default/r001/variant-revision.yaml,recipes/aqua/trivy-operator/0.32.1/source-lock.yaml,https://aquasecurity.github.io/helm-charts/,,https://github.com/confighub/helm-expt/tree/main/recipes/aqua/trivy-operator/0.32.1,https://github.com/confighub/helm-expt/blob/main/recipes/aqua/trivy-operator/0.32.1/CATALOG.md,https://github.com/confighub/helm-expt/tree/main/packages/aqua/trivy-operator/0.32.1/bases/default,-,,,0,
base,F2b,F2b rendered standard fork,real,no,,,,,,,,,,aqua/trivy-operator,0.32.1,no-crds,next80-proof-grade,promote-after-review,,,live-helm-vs-confighub-parity,run catalog promotion review,,,,,n/a,,,,,,,,attached,,data/helm-render-intents/intents/aqua-trivy-operator-0-32-1-no-crds.yaml,no-route-required,The current catalog record has no source hook or separate lifecycle step for this base.,,attached,12 target prerequisites declared by this base.,,12,0,yes,yes,yes,n/a,yes,yes,yes,yes,live-parity,todo,,yes,proven,runs/trivy-operator-no-crds-confighub-proof/latest/variant-promotion-receipt.yaml,server-side promotion receipt passed,keep receipt fresh when the upstream base changes,,,,,,recipes/aqua/trivy-operator/0.32.1,recipes/aqua/trivy-operator/0.32.1/CATALOG.md,recipes/aqua/trivy-operator/0.32.1/variants/no-crds/variant.yaml,packages/aqua/trivy-operator/0.32.1/bases/no-crds,recipes/aqua/trivy-operator/0.32.1/revisions/no-crds/r001/variant-revision.yaml,recipes/aqua/trivy-operator/0.32.1/source-lock.yaml,https://aquasecurity.github.io/helm-charts/,,https://github.com/confighub/helm-expt/tree/main/recipes/aqua/trivy-operator/0.32.1,https://github.com/confighub/helm-expt/blob/main/recipes/aqua/trivy-operator/0.32.1/CATALOG.md,https://github.com/confighub/helm-expt/tree/main/packages/aqua/trivy-operator/0.32.1/bases/no-crds,-,,,0,
source,F1,F1 upstream chart source,real,no,,,,,,,,,,argo-cd/argo-cd,9.5.15,(source),top20-catalog-supported,source-chart,,ha (curated proof lane - bespoke teaching needed),source-lock,choose or create an F2 base before rendering or deploying,,,,n/a,n/a,,,,,,,,attached,,,n/a,,,n/a,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,source-lock,n/a,,n/a,not-applicable-source,,"source rows are upstream chart inputs, not server-side promotion evidence",choose or create an F2 base before server-side variant promotion applies,,,,,,recipes/argo-cd/argo-cd/9.5.15,recipes/argo-cd/argo-cd/9.5.15/CATALOG.md,,,,recipes/argo-cd/argo-cd/9.5.15/source-lock.yaml,https://argoproj.github.io/argo-helm,,https://github.com/confighub/helm-expt/tree/main/recipes/argo-cd/argo-cd/9.5.15,https://github.com/confighub/helm-expt/blob/main/recipes/argo-cd/argo-cd/9.5.15/CATALOG.md,https://github.com/confighub/helm-expt/tree/main/packages/argo-cd/argo-cd/9.5.15/bases/default,-,,,0,
base,F2a,F2a honest default base,real,no,,,,,,,,,,argo-cd/argo-cd,9.5.15,default,top20-catalog-supported,try-from-public-catalog,,ha (curated proof lane - bespoke teaching needed),live-helm-vs-confighub-parity,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes,,,,,n/a,,,,,,,,attached,,data/helm-render-intents/intents/argo-cd-argo-cd-9-5-15-default.yaml,no-route-required,The current catalog record has no source hook or separate lifecycle step for this base.,,attached,1 target prerequisite declared by this base.,,1,0,yes,yes,yes,n/a,yes,yes,yes,yes,live-parity,yes,cub-lk-kind-vanilla; namespace=argocd; delivery=confighub-oci; controller=argo,watch,proven-with-watch,runs/argo-cd-confighub-proof/latest/variant-promotion-receipt.yaml,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback",ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,,,,,,recipes/argo-cd/argo-cd/9.5.15,recipes/argo-cd/argo-cd/9.5.15/CATALOG.md,recipes/argo-cd/argo-cd/9.5.15/variants/default/variant.yaml,packages/argo-cd/argo-cd/9.5.15/bases/default,recipes/argo-cd/argo-cd/9.5.15/revisions/default/r001/variant-revision.yaml,recipes/argo-cd/argo-cd/9.5.15/source-lock.yaml,https://argoproj.github.io/argo-helm,,https://github.com/confighub/helm-expt/tree/main/recipes/argo-cd/argo-cd/9.5.15,https://github.com/confighub/helm-expt/blob/main/recipes/argo-cd/argo-cd/9.5.15/CATALOG.md,https://github.com/confighub/helm-expt/tree/main/packages/argo-cd/argo-cd/9.5.15/bases/default,run,run:1,CCP-01:promotion-rerun-after-server-fix,0,Codex-live:1
base,F2b,F2b rendered standard fork,real,no,,,,,,,,,,argo-cd/argo-cd,9.5.15,no-crds,top20-catalog-supported,try-from-public-catalog,,ha (curated proof lane - bespoke teaching needed),live-helm-vs-confighub-parity,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes,,,,,n/a,,,,,,,,attached,,data/helm-render-intents/intents/argo-cd-argo-cd-9-5-15-no-crds.yaml,no-route-required,The current catalog record has no source hook or separate lifecycle step for this base.,,attached,4 target prerequisites declared by this base.,,4,0,yes,yes,no,n/a,no,yes,todo,no,live-parity,todo,,yes,proven,runs/argo-cd-no-crds-confighub-proof/latest/variant-promotion-receipt.yaml,server-side promotion receipt passed,keep receipt fresh when the upstream base changes,,,,,,recipes/argo-cd/argo-cd/9.5.15,recipes/argo-cd/argo-cd/9.5.15/CATALOG.md,recipes/argo-cd/argo-cd/9.5.15/variants/no-crds/variant.yaml,packages/argo-cd/argo-cd/9.5.15/bases/no-crds,recipes/argo-cd/argo-cd/9.5.15/revisions/no-crds/r001/variant-revision.yaml,recipes/argo-cd/argo-cd/9.5.15/source-lock.yaml,https://argoproj.github.io/argo-helm,,https://github.com/confighub/helm-expt/tree/main/recipes/argo-cd/argo-cd/9.5.15,https://github.com/confighub/helm-expt/blob/main/recipes/argo-cd/argo-cd/9.5.15/CATALOG.md,https://github.com/confighub/helm-expt/tree/main/packages/argo-cd/argo-cd/9.5.15/bases/no-crds,stage,stage:1,CCP-15:webhook-cert-lifecycle,0,Claude-non-live:1
source,F1,F1 upstream chart source,real,no,,,,,,,,,,argo-cd/argo-cd,9.5.17,(source),,source-chart,,,source-lock,choose or create an F2 base before rendering or deploying,,,,n/a,n/a,,,,,,,,attached,,,n/a,,,n/a,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,source-lock,n/a,,n/a,not-applicable-source,,"source rows are upstream chart inputs, not server-side promotion evidence",choose or create an F2 base before server-side variant promotion applies,,,,,,recipes/argo-cd/argo-cd/9.5.17,recipes/argo-cd/argo-cd/9.5.17/CATALOG.md,,,,recipes/argo-cd/argo-cd/9.5.17/source-lock.yaml,https://argoproj.github.io/argo-helm,,https://github.com/confighub/helm-expt/tree/main/recipes/argo-cd/argo-cd/9.5.17,https://github.com/confighub/helm-expt/blob/main/recipes/argo-cd/argo-cd/9.5.17/CATALOG.md,https://github.com/confighub/helm-expt/tree/main/packages/argo-cd/argo-cd/9.5.17/bases/default,-,,,0,
base,F2a,F2a honest default base,real,no,,,,,,,,,,argo-cd/argo-cd,9.5.17,default,,,,,,,,,,,n/a,,,,,,,,attached,,data/helm-render-intents/intents/argo-cd-argo-cd-9-5-17-default.yaml,no-route-required,The current catalog record has no source hook or separate lifecycle step for this base.,,attached,1 target prerequisite declared by this base.,,1,0,yes,yes,yes,n/a,watch,watch,todo,no,local-live,todo,,yes,proven,runs/argo-cd-9517-default-confighub-proof/latest/variant-promotion-receipt.yaml,server-side promotion receipt passed,keep receipt fresh when the upstream base changes,gitops-runtime-review,review-target-first,gitops-runtime: child Argo Application not materialized (parity passed),npm run live-parity:run -- --recipe recipes/argo-cd/argo-cd/9.5.17 --base default,recipes/argo-cd/argo-cd/9.5.17/gitops-runtime-review.yaml,recipes/argo-cd/argo-cd/9.5.17,recipes/argo-cd/argo-cd/9.5.17/CATALOG.md,recipes/argo-cd/argo-cd/9.5.17/variants/default/variant.yaml,packages/argo-cd/argo-cd/9.5.17/bases/default,recipes/argo-cd/argo-cd/9.5.17/revisions/default/r001/variant-revision.yaml,recipes/argo-cd/argo-cd/9.5.17/source-lock.yaml,https://argoproj.github.io/argo-helm,,https://github.com/confighub/helm-expt/tree/main/recipes/argo-cd/argo-cd/9.5.17,https://github.com/confighub/helm-expt/blob/main/recipes/argo-cd/argo-cd/9.5.17/CATALOG.md,https://github.com/confighub/helm-expt/tree/main/packages/argo-cd/argo-cd/9.5.17/bases/default,deferred,deferred:2,CCP-03:verified-watch,2,product-decision:2
base,F2b,F2b rendered standard fork,real,no,,,,,,,,,,argo-cd/argo-cd,9.5.17,no-crds,,,,,,,,,,,n/a,,,,,,,,attached,,data/helm-render-intents/intents/argo-cd-argo-cd-9-5-17-no-crds.yaml,no-route-required,The current catalog record has no source hook or separate lifecycle step for this base.,,attached,4 target prerequisites declared by this base.,,4,0,yes,todo,yes,n/a,no,yes,yes,no,live-parity,todo,,todo,missing-confighub-proof,,promotion depends on upstream and downstream ConfigHub Spaces; the ConfigHub proof lane is missing,run the ConfigHub proof lane first,,,,,,recipes/argo-cd/argo-cd/9.5.17,recipes/argo-cd/argo-cd/9.5.17/CATALOG.md,recipes/argo-cd/argo-cd/9.5.17/variants/no-crds/variant.yaml,packages/argo-cd/argo-cd/9.5.17/bases/no-crds,recipes/argo-cd/argo-cd/9.5.17/revisions/no-crds/r001/variant-revision.yaml,recipes/argo-cd/argo-cd/9.5.17/source-lock.yaml,https://argoproj.github.io/argo-helm,,https://github.com/confighub/helm-expt/tree/main/recipes/argo-cd/argo-cd/9.5.17,https://github.com/confighub/helm-expt/blob/main/recipes/argo-cd/argo-cd/9.5.17/CATALOG.md,https://github.com/confighub/helm-expt/tree/main/packages/argo-cd/argo-cd/9.5.17/bases/no-crds,run,run:1,CCP-01:promotion-rerun-after-server-fix,0,Codex-live:1
source,F1,F1 upstream chart source,real,no,,,,,,,,,,argo-cd/argo-cd,10.1.3,(source),,source-chart,,,source-lock,choose or create an F2 base before rendering or deploying,,,,n/a,n/a,,,,,,,,attached,,,n/a,,,n/a,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,source-lock,n/a,,n/a,not-applicable-source,,"source rows are upstream chart inputs, not server-side promotion evidence",choose or create an F2 base before server-side variant promotion applies,,,,,,recipes/argo-cd/argo-cd/10.1.3,data/kubara-catalog-release/recipe-views/recipes/argo-cd/argo-cd/10.1.3/CATALOG.md,,,,recipes/argo-cd/argo-cd/10.1.3/source-lock.yaml,https://argoproj.github.io/argo-helm,,https://github.com/confighub/helm-expt/tree/main/recipes/argo-cd/argo-cd/10.1.3,https://github.com/confighub/helm-expt/blob/main/data/kubara-catalog-release/recipe-views/recipes/argo-cd/argo-cd/10.1.3/CATALOG.md,https://github.com/confighub/helm-expt/tree/main/packages/argo-cd/argo-cd/10.1.3/bases/default,-,,,0,
