chart,version,supported_base,decision,work_type,status_field,status,priority,target_scope,next_action,source_decision
argo-cd/argo-cd,9.5.15,default,supported,supported-scope-evidence,decision,supported,keep-fresh,cub-lk-kind-vanilla; namespace=argocd; delivery=confighub-oci; controller=argo,Keep target-scoped evidence fresh before using this supported scope as an example.,data/production-support-decisions/argo-cd-argo-cd/support-decision.yaml
bitnami/mongodb,19.0.7,static-passwords,supported,supported-scope-evidence,decision,supported,keep-fresh,cub-lk-kind-vanilla; namespace=mongodb; delivery=confighub-oci; controller=argo,Keep target-scoped evidence fresh before using this supported scope as an example.,data/production-support-decisions/bitnami-mongodb/support-decision.yaml
bitnami/mysql,14.0.3,static-passwords,supported,supported-scope-evidence,decision,supported,keep-fresh,cub-lk-kind-vanilla; namespace=mysql; delivery=confighub-oci; controller=argo,Keep target-scoped evidence fresh before using this supported scope as an example.,data/production-support-decisions/bitnami-mysql/support-decision.yaml
bitnami/nginx,24.0.2,http-clusterip,supported,supported-scope-evidence,decision,supported,keep-fresh,cub-lk-kind-vanilla; namespace=nginx; delivery=confighub-oci; controller=argo,Keep target-scoped evidence fresh before using this supported scope as an example.,data/production-support-decisions/bitnami-nginx/support-decision.yaml
bitnami/postgresql,18.6.7,static-passwords,supported,supported-scope-evidence,decision,supported,keep-fresh,cub-lk-kind-vanilla; namespace=postgresql; delivery=confighub-oci; controller=argo,Keep target-scoped evidence fresh before using this supported scope as an example.,data/production-support-decisions/bitnami-postgresql/support-decision.yaml
bitnami/rabbitmq,16.0.14,static-passwords,supported,supported-scope-evidence,decision,supported,keep-fresh,cub-lk-kind-vanilla; namespace=rabbitmq; delivery=confighub-oci; controller=argo,Keep target-scoped evidence fresh before using this supported scope as an example.,data/production-support-decisions/bitnami-rabbitmq/support-decision.yaml
bitnami/redis,25.5.3,default,supported,supported-scope-evidence,decision,supported,keep-fresh,cub-lk-kind-vanilla; namespace=redis; delivery=confighub-oci; controller=argo,Keep target-scoped evidence fresh before using this supported scope as an example.,data/production-support-decisions/bitnami-redis/support-decision.yaml
external-secrets/external-secrets,2.5.0,default,supported,supported-scope-evidence,decision,supported,keep-fresh,cub-lk-kind-vanilla; namespace=external-secrets; delivery=confighub-oci; controller=argo,Keep target-scoped evidence fresh before using this supported scope as an example.,data/production-support-decisions/external-secrets-external-secrets/support-decision.yaml
grafana/loki,7.0.0,single-binary-filesystem,supported,supported-scope-evidence,decision,supported,keep-fresh,cub-lk-kind-vanilla; namespace=loki; delivery=confighub-oci; controller=argo,Keep target-scoped evidence fresh before using this supported scope as an example.,data/production-support-decisions/grafana-loki/support-decision.yaml
hashicorp/consul,2.0.0,default-control-plane,supported,supported-scope-evidence,decision,supported,keep-fresh,cub-lk-kind-vanilla; namespace=consul; delivery=confighub-oci; controller=argo,Keep target-scoped evidence fresh before using this supported scope as an example.,data/production-support-decisions/hashicorp-consul/support-decision.yaml
ingress-nginx/ingress-nginx,4.15.1,internal-clusterip,supported,supported-scope-evidence,decision,supported,keep-fresh,cub-lk-kind-vanilla; namespace=ingress-nginx; delivery=confighub-oci; controller=argo,Keep target-scoped evidence fresh before using this supported scope as an example.,data/production-support-decisions/ingress-nginx-ingress-nginx/support-decision.yaml
jetstack/cert-manager,v1.20.2,crds-enabled,supported,supported-scope-evidence,decision,supported,keep-fresh,cub-lk-kind-vanilla; namespace=cert-manager; delivery=confighub-oci; controller=argo,Keep target-scoped evidence fresh before using this supported scope as an example.,data/production-support-decisions/jetstack-cert-manager/support-decision.yaml
longhorn/longhorn,1.11.2,default,supported,supported-scope-evidence,decision,supported,keep-fresh,cub-lk-kind-vanilla; namespace=longhorn-system; delivery=confighub-oci; controller=argo,Keep target-scoped evidence fresh before using this supported scope as an example.,data/production-support-decisions/longhorn-longhorn/support-decision.yaml
metrics-server/metrics-server,3.13.0,default,supported,supported-scope-evidence,decision,supported,keep-fresh,cub-lk-kind-vanilla; namespace=kube-system; delivery=confighub-oci; controller=argo,Keep target-scoped evidence fresh before using this supported scope as an example.,data/production-support-decisions/metrics-server-metrics-server/support-decision.yaml
prometheus-community/kube-prometheus-stack,85.3.3,default,supported,supported-scope-evidence,decision,supported,keep-fresh,cub-lk-kind-vanilla; namespace=monitoring; delivery=confighub-oci; controller=argo,Keep target-scoped evidence fresh before using this supported scope as an example.,data/production-support-decisions/prometheus-community-kube-prometheus-stack/support-decision.yaml
prometheus-community/prometheus,29.8.0,server-only-ephemeral,supported,supported-scope-evidence,decision,supported,keep-fresh,cub-lk-kind-vanilla; namespace=monitoring; delivery=confighub-oci; controller=argo,Keep target-scoped evidence fresh before using this supported scope as an example.,data/production-support-decisions/prometheus-community-prometheus/support-decision.yaml
secrets-store-csi-driver/secrets-store-csi-driver,1.6.0,default,supported,supported-scope-evidence,decision,supported,keep-fresh,cub-lk-kind-vanilla; namespace=kube-system; delivery=confighub-oci; controller=argo,Keep target-scoped evidence fresh before using this supported scope as an example.,data/production-support-decisions/secrets-store-csi-driver-secrets-store-csi-driver/support-decision.yaml
