chart,support_status,production_readiness,model_supported_level2,model_score,variant_count,variant_rich,base_rows,complete_core_rows,render_parity_pass,in_confighub_pass,local_live_pass,gitops_live_pass,gitops_live_non_pass_receipts,live_parity_pass,live_parity_non_pass_receipts,two_cluster_kind_parity_pass,two_cluster_kind_parity_non_pass_receipts,lifecycle_observation_pass,supported_variants,hook_route_status,feature_summary,hard_gap,buildable_backlog,recipe_path
aqua/trivy-operator@0.32.1,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,2,2,2,2,2,0,2,0,2,0,0,default;no-crds,,crds;extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),existing-secret (buildable - not yet run),recipes/aqua/trivy-operator/0.32.1
argo-cd/argo-cd@9.5.15,catalog-supported,production-review-ready,yes,6/6,2,yes,2,1,2,2,1,2,0,2,0,2,0,0,default;no-crds,,crds;extension-slots;remote-dependencies,ha (curated proof lane - bespoke teaching needed),existing-secret (buildable - not yet run),recipes/argo-cd/argo-cd/9.5.15
argo-cd/argo-cd@9.5.17,catalog-candidate,not-reviewed-for-production,yes,6/6,2,yes,2,0,2,2,2,0,0,0,0,0,0,0,default;no-crds,,none-recorded,,,recipes/argo-cd/argo-cd/9.5.17
argo-cd/argo-events@2.4.21,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,1,2,2,2,1,0,1,0,2,0,0,default;no-crds,,crds;extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/argo-cd/argo-events/2.4.21
argo-cd/argo-rollouts@2.40.9,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,2,2,2,2,2,0,2,0,2,0,0,default;no-crds,,crds;extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/argo-cd/argo-rollouts/2.40.9
argo-cd/argo-workflows@1.0.14,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,3,1,3,3,1,1,0,1,0,0,0,0,controller-default-reviewed;default;minimal-crds,,extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/argo-cd/argo-workflows/1.0.14
argo-cd/argocd-image-updater@1.2.2,proof-grade,not-reviewed-for-production,yes,6/6,1,no,1,0,1,1,1,0,0,0,0,0,0,0,default,,crds;extension-slots,no-crds (template-baked CRDs; no clean chart toggle yet),existing-secret (buildable - not yet run),recipes/argo-cd/argocd-image-updater/1.2.2
autoscaler/cluster-autoscaler@9.57.0,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,0,2,2,2,0,0,0,0,0,0,0,controller-default-reviewed;default,,extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/autoscaler/cluster-autoscaler/9.57.0
autoscaler/vertical-pod-autoscaler@0.9.0,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,0,2,2,0,0,0,0,0,2,0,0,default;no-crds,,crds;extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),existing-secret (buildable - not yet run),recipes/autoscaler/vertical-pod-autoscaler/0.9.0
aws-ebs-csi-driver/aws-ebs-csi-driver@2.60.1,proof-grade,not-reviewed-for-production,yes,6/6,1,no,1,0,1,1,0,0,0,0,0,0,0,0,default,,required-values;values-schema;extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1
bitnami/apache@11.4.29,proof-grade,not-reviewed-for-production,yes,6/6,1,no,1,0,1,0,0,0,0,0,0,0,0,0,default,,generated-secrets;values-schema;install-vs-upgrade;extension-slots,existing-secret (chart ships no Secret toggle),-,recipes/bitnami/apache/11.4.29
bitnami/contour@21.1.4,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,0,2,0,0,0,0,0,0,0,0,0,default;no-crds,,generated-secrets;crds;install-vs-upgrade;extension-slots,existing-secret (chart ships no Secret toggle),-,recipes/bitnami/contour/21.1.4
bitnami/elasticsearch@22.1.6,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,0,2,0,0,0,0,0,0,0,0,0,default;ha,,generated-secrets;required-values;install-vs-upgrade;extension-slots;remote-dependencies;dependency-range-frozen,existing-secret (chart ships no Secret toggle),-,recipes/bitnami/elasticsearch/22.1.6
bitnami/memcached@8.5.5,proof-grade,not-reviewed-for-production,yes,6/6,1,no,1,0,1,0,1,0,0,0,0,0,0,0,default,,generated-secrets;install-vs-upgrade;extension-slots,existing-secret (chart ships no Secret toggle),-,recipes/bitnami/memcached/8.5.5
bitnami/mongodb@19.0.7,catalog-supported,production-review-ready,yes,6/6,2,yes,2,2,2,2,2,2,0,2,0,2,0,0,generated-passwords;existing-secret-replicaset,,generated-secrets;required-values;install-vs-upgrade;extension-slots;remote-dependencies,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/bitnami/mongodb/19.0.7
bitnami/mongodb@19.0.9,catalog-candidate,not-reviewed-for-production,yes,6/6,2,yes,2,0,2,0,2,0,0,0,0,0,0,0,existing-secret-replicaset;generated-passwords,,none-recorded,,,recipes/bitnami/mongodb/19.0.9
bitnami/mongodb@19.1.0,catalog-candidate,not-reviewed-for-production,yes,6/6,2,yes,2,0,2,0,2,0,0,0,0,0,0,0,existing-secret-replicaset;generated-passwords,,none-recorded,,,recipes/bitnami/mongodb/19.1.0
bitnami/mysql@14.0.3,catalog-supported,production-review-ready,yes,6/6,2,yes,2,2,2,2,2,2,0,2,0,2,0,0,generated-passwords;existing-secret,,generated-secrets;required-values;values-schema;install-vs-upgrade;remote-dependencies;dependency-range-frozen,ha (curated proof lane - bespoke teaching needed),-,recipes/bitnami/mysql/14.0.3
bitnami/nginx@24.0.2,catalog-supported,production-review-ready,yes,6/6,2,yes,2,2,2,2,2,2,0,2,0,2,0,0,http-clusterip;existing-tls-ingress,,generated-secrets;install-vs-upgrade;extension-slots;remote-dependencies,existing-secret (chart ships no Secret toggle),-,recipes/bitnami/nginx/24.0.2
bitnami/nginx@24.0.4,catalog-candidate,not-reviewed-for-production,yes,6/6,2,yes,2,0,2,0,2,0,0,0,0,0,0,0,existing-tls-ingress;http-clusterip,,none-recorded,,,recipes/bitnami/nginx/24.0.4
bitnami/nginx@25.0.0,catalog-candidate,not-reviewed-for-production,yes,6/6,2,yes,2,0,2,0,2,0,0,0,0,0,0,0,existing-tls-ingress;http-clusterip,,none-recorded,,,recipes/bitnami/nginx/25.0.0
bitnami/opensearch@2.0.10,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,0,2,1,0,0,0,0,0,0,0,0,default;ha,,extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),existing-secret (buildable - not yet run),recipes/bitnami/opensearch/2.0.10
bitnami/phpmyadmin@20.0.0,proof-grade,not-reviewed-for-production,yes,6/6,1,no,1,0,1,0,0,0,0,0,0,0,0,0,default,,generated-secrets;required-values;values-schema;install-vs-upgrade;extension-slots,existing-secret (chart ships no Secret toggle),-,recipes/bitnami/phpmyadmin/20.0.0
bitnami/postgresql@18.6.10,catalog-candidate,not-reviewed-for-production,yes,6/6,2,yes,2,0,2,0,2,0,0,0,0,0,0,0,existing-secret;generated-passwords,,none-recorded,,,recipes/bitnami/postgresql/18.6.10
bitnami/postgresql@18.6.7,catalog-supported,production-review-ready,yes,6/6,2,yes,2,2,2,2,2,2,0,2,0,2,0,0,generated-passwords;existing-secret,,generated-secrets;required-values;install-vs-upgrade;remote-dependencies,ha (curated proof lane - bespoke teaching needed),-,recipes/bitnami/postgresql/18.6.7
bitnami/postgresql@18.7.0,catalog-candidate,not-reviewed-for-production,yes,6/6,2,yes,2,0,2,0,2,0,0,0,0,0,0,0,existing-secret;generated-passwords,,none-recorded,,,recipes/bitnami/postgresql/18.7.0
bitnami/rabbitmq@16.0.14,catalog-supported,production-review-ready,yes,6/6,2,yes,2,2,2,2,2,2,0,2,0,2,0,0,generated-passwords;existing-secret,,generated-secrets;required-values;values-schema;install-vs-upgrade;remote-dependencies;dependency-range-frozen,ha (curated proof lane - bespoke teaching needed),-,recipes/bitnami/rabbitmq/16.0.14
bitnami/redis@25.5.3,catalog-supported,production-review-ready,yes,6/6,2,yes,2,2,2,2,2,2,0,2,0,2,0,0,default;reuse-existing-secret,,generated-secrets;required-values;install-vs-upgrade;remote-dependencies,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/bitnami/redis/25.5.3
bitnami/redis@27.0.0,catalog-candidate,not-reviewed-for-production,yes,6/6,2,yes,2,0,2,0,2,0,0,0,0,0,0,0,default;reuse-existing-secret,,none-recorded,,,recipes/bitnami/redis/27.0.0
bitnami/spark@10.0.3,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,0,2,0,0,0,0,0,0,0,0,0,default;ha,,generated-secrets;install-vs-upgrade;extension-slots,existing-secret (chart ships no Secret toggle),-,recipes/bitnami/spark/10.0.3
bitnami/zookeeper@13.8.7,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,0,2,0,0,0,0,0,0,0,0,0,default;ha,,generated-secrets;install-vs-upgrade;extension-slots,existing-secret (chart ships no Secret toggle),-,recipes/bitnami/zookeeper/13.8.7
cloudnative-pg/cloudnative-pg@0.28.2,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,1,2,2,1,1,0,1,0,1,0,0,default;no-crds,,crds;webhooks;values-schema;extension-slots;remote-dependencies;dependency-range-frozen,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),existing-secret (buildable - not yet run),recipes/cloudnative-pg/cloudnative-pg/0.28.2
coredns/coredns@1.45.2,proof-grade,not-reviewed-for-production,yes,6/6,1,no,1,0,1,1,1,0,0,0,0,0,0,0,default,,required-values;extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),existing-secret (buildable - not yet run),recipes/coredns/coredns/1.45.2
crossplane-stable/crossplane@2.3.1,proof-grade,not-reviewed-for-production,yes,6/6,1,no,1,0,1,1,1,0,0,0,0,0,0,0,default,,extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),existing-secret (buildable - not yet run),recipes/crossplane-stable/crossplane/2.3.1
descheduler/descheduler@0.36.0,proof-grade,not-reviewed-for-production,yes,6/6,1,no,1,0,1,1,1,0,0,0,0,1,0,0,default,,required-values;extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/descheduler/descheduler/0.36.0
dex/dex@0.24.0,proof-grade,not-reviewed-for-production,yes,6/6,1,no,1,0,1,1,0,0,0,0,0,0,0,0,default,,extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),existing-secret (buildable - not yet run),recipes/dex/dex/0.24.0
elastic/eck-operator@3.4.0,proof-grade,not-reviewed-for-production,yes,6/6,3,yes,3,3,3,3,3,3,0,3,0,1,0,0,default;ha;no-crds,,crds;webhooks;required-values;extension-slots;remote-dependencies,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),existing-secret (buildable - not yet run),recipes/elastic/eck-operator/3.4.0
elastic/filebeat@8.5.1,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,0,2,1,0,0,0,0,0,0,0,0,default;node-or-cluster-collector,,extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/elastic/filebeat/8.5.1
elastic/kibana@8.5.1,proof-grade,not-reviewed-for-production,yes,6/6,1,no,1,0,1,0,0,0,0,0,0,0,0,0,default,,extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/elastic/kibana/8.5.1
elastic/logstash@8.5.1,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,1,2,2,1,1,0,1,0,1,0,0,default;ha,,extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/elastic/logstash/8.5.1
elastic/metricbeat@8.5.1,proof-grade,not-reviewed-for-production,yes,6/6,1,no,1,0,1,0,0,0,0,0,0,0,0,0,default,,extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/elastic/metricbeat/8.5.1
external-dns/external-dns@1.21.1,proof-grade,not-reviewed-for-production,yes,6/6,3,yes,3,2,3,3,3,2,0,2,0,1,0,0,default;dry-run-txt-registry;no-crds,,crds;required-values;values-schema;extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),existing-secret (buildable - not yet run),recipes/external-dns/external-dns/1.21.1
external-secrets/external-secrets@2.5.0,catalog-supported,production-review-ready,no,5/6,2,yes,2,2,2,2,2,2,0,2,0,2,0,2,default;no-crds,,crds;extension-slots;remote-dependencies,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),existing-secret (buildable - not yet run),recipes/external-secrets/external-secrets/2.5.0
fairwinds-stable/goldilocks@10.3.0,proof-grade,not-reviewed-for-production,yes,6/6,1,no,1,0,1,1,1,0,0,0,0,0,0,0,default,,generated-secrets;crds;webhooks;extension-slots,existing-secret (chart ships no Secret toggle),-,recipes/fairwinds-stable/goldilocks/10.3.0
fairwinds-stable/vpa@4.11.0,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,2,2,2,2,2,0,2,0,0,0,2,default;no-crds,,crds;webhooks;extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/fairwinds-stable/vpa/4.11.0
falcosecurity/falco@9.0.0,proof-grade,not-reviewed-for-production,yes,6/6,1,no,1,0,1,1,1,0,0,0,0,0,0,0,default,,required-values;extension-slots;remote-dependencies;dependency-range-frozen,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),existing-secret (buildable - not yet run),recipes/falcosecurity/falco/9.0.0
