chart,version,base_or_variant,quirk_class,hook_phases,source_disposition,disposition,route_name,default_route,alternatives,route_requirements,execution_mode,human_offramp,agent_offramp,live_status,safe_as_automatic,evidence_or_next_action
airflow-helm/airflow,8.9.0,,hook-phase,"post-install, post-upgrade",routed,routed,explicit-managed-action,explicit-managed-action,argocd-or-flux-lifecycle-hook; target-facts-or-preflight; refuse,metadata database and migration state; values-conditional rendering,not-yet-executable,recipe-base-or-values,routes-json,blocked,no,decide the supported migration mode (Deployment vs hook Job) at recipe time; rehearse after image preconditions clear | blocked before attempt: dependency closure + image-availability preconditions (see blocker receipt) | data/hook-disposition/evidence/airflow-helm-airflow/evidence.yaml;data/hook-disposition/evidence/airflow-helm-airflow/hook-resources.yaml;data/hook-disposition/evidence/airflow-helm-airflow/live-rehearsal-blocker-receipt.yaml
apache-airflow/airflow,1.21.0,,hook-phase,none found by static scan,candidate-route-plan,todo,recipe-time-lifecycle-verification,recipe-time-lifecycle-verification,argocd-or-flux-lifecycle-hook; target-facts-or-preflight; refuse,metadata database and migration state,not-yet-executable,recipe-base-or-values,routes-json,candidate-route-plan,no,verify values-conditional lifecycle Jobs before claiming hook-free; route rendered migration Jobs as managed actions with receipts | data/hook-route-candidates/candidates.csv
argo-cd/argo-workflows,1.0.14,,crd-install,"pre-install, pre-upgrade",candidate-route-plan,todo,preflight-or-presync-crd-apply,preflight-or-presync-crd-apply,self-contained-crd-base; target-owned-crds; refuse,full CRDs required before workflow-controller and server can start; hook uses server-side apply because full CRDs exceed client-side apply annotation limits,not-yet-executable,recipe-base-or-values,routes-json,candidate-route-plan,no,choose supported CRD route: render minimal CRDs with crds.full=false as a self-contained base | data/hook-route-candidates/candidates.csv
argo-cd/argo-workflows,1.0.14,minimal-crds,crd-install,"pre-install, pre-upgrade",selected-route-receipt,observed,self-contained-crd-base,self-contained-crd-base,target-owned-crds; refuse,Argo Workflows default full CRDs are installed through a Helm hook using server-side apply; this base chooses the self-contained minimal-CRD route instead.,target-owned,recipe-base-or-values,routes-json,observed,no,data/hook-route-candidates/selected-routes/argo-cd-argo-workflows-minimal-crds.yaml;data/hook-route-candidates/argo-cd-argo-workflows.yaml;recipes/argo-cd/argo-workflows/1.0.14/variants/minimal-crds/variant.yaml;recipes/argo-cd/argo-workflows/1.0.14/revisions/minimal-crds/r001/receipts/install-gate.yaml;runs/next80-local-kind/argo-cd-argo-workflows-1.0.14-minimal-crds/observation-receipt.yaml;runs/argo-workflows-minimal-crds-confighub-proof/latest/confighub-proof-receipt.yaml;runs/live-helm-confighub-compare/argo-cd-argo-workflows-minimal-crds/receipt.yaml;runs/live-kind-parity/argo-cd-argo-workflows-minimal-crds/receipt.yaml
bitnami/kafka,32.4.3,,hook-phase,"post-install, post-upgrade",routed,routed,explicit-managed-action,explicit-managed-action,argocd-or-flux-lifecycle-hook; target-facts-or-preflight; refuse,in-cluster brokers; values-conditional opt-in,not-yet-executable,recipe-base-or-values,routes-json,blocked,no,"create an image-override or digest-pinned base, then re-run the provisioning-Job route rehearsal | blocked: pinned default image tag no longer exists upstream (see blocker receipt) | data/hook-disposition/evidence/bitnami-kafka/evidence.yaml;data/hook-disposition/evidence/bitnami-kafka/hook-resources.yaml;data/hook-disposition/evidence/bitnami-kafka/live-rehearsal-blocker-receipt.yaml"
bitnami/minio,17.0.21,,hook-phase,"post-install, post-upgrade",routed,routed,explicit-managed-action,explicit-managed-action,argocd-or-flux-lifecycle-hook; target-facts-or-preflight; refuse,in-cluster object store; optional existing credentials Secret; values-conditional opt-in,not-yet-executable,recipe-base-or-values,routes-json,blocked,no,"choose a supported image override or newer chart version, then re-run the provisioning-Job managed-action rehearsal | blocked: pinned MinIO image tags no longer resolve upstream (see rehearsal receipt) | data/hook-route-candidates/rehearsals/bitnami-minio-provisioning/rehearsal-receipt.yaml;data/hook-route-candidates/rehearsals/bitnami-minio-provisioning/render-summary.json;data/hook-route-candidates/rehearsals/bitnami-minio-provisioning/hook-job.yaml"
bitnami/thanos,17.3.1,,hook-phase,"post-install, post-upgrade",recipe-needed,todo,explicit-managed-action,explicit-managed-action,argocd-or-flux-lifecycle-hook; target-facts-or-preflight; refuse,vendored object store and credentials when enabled,not-yet-executable,recipe-base-or-values,routes-json,none,no,create Thanos recipe; distinguish provisioning-off and provisioning-enabled bases; reuse MinIO provisioning receipt shape when the hook renders | none | data/hook-route-candidates/candidates.csv
datadog/datadog,3.214.0,,per-target-hook,"post-install, post-upgrade, pre-install, pre-upgrade",per-target,per-target,target-class-preflight-and-upgrade-action,target-class-preflight-and-upgrade-action,per-target-scope-split,GKE Autopilot target class plus migration state,user-executes,recipe-base-or-values,routes-json,none,no,split normal and GKE Autopilot target scopes; route allowlist hooks as preflight and migration Job as lifecycle action with receipt | none | data/hook-route-candidates/candidates.csv
fluent/fluent-bit,0.57.6,,hook-delete-policy,test,observed,observed,preserve-cleanup-policy,preserve-cleanup-policy,delete-on-uninstall; refuse,,target-owned,recipe-base-or-values,routes-json,observed,no,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/fluent-fluent-bit/default/latest.yaml
fluent/fluent-bit,0.57.6,,hook-test,test,observed,observed,explicit-test-check,explicit-test-check,ci-check; skip-test,,user-executes,recipe-base-or-values,routes-json,observed,no,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/fluent-fluent-bit/default/latest.yaml
