chart,version,base,promotion_state,promotion_status,server_clone_exists,promote_readiness,owner_class,blocked_by,evidence_receipt,next_action,reason
aqua/trivy-operator,0.32.1,default,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/trivy-operator-default-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
aqua/trivy-operator,0.32.1,no-crds,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/trivy-operator-no-crds-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
argo-cd/argo-cd,10.1.3,default,todo,missing-confighub-proof,no,blocked-needs-confighub-proof,run-proof,,,run the ConfigHub proof lane first,promotion depends on upstream and downstream ConfigHub Spaces; the ConfigHub proof lane is missing
argo-cd/argo-cd,10.1.3,no-crds,todo,missing-confighub-proof,no,blocked-needs-confighub-proof,run-proof,,,run the ConfigHub proof lane first,promotion depends on upstream and downstream ConfigHub Spaces; the ConfigHub proof lane is missing
argo-cd/argo-cd,10.2.1,default,todo,missing-confighub-proof,no,blocked-needs-confighub-proof,run-proof,,,run the ConfigHub proof lane first,promotion depends on upstream and downstream ConfigHub Spaces; the ConfigHub proof lane is missing
argo-cd/argo-cd,10.2.1,no-crds,todo,missing-confighub-proof,no,blocked-needs-confighub-proof,run-proof,,,run the ConfigHub proof lane first,promotion depends on upstream and downstream ConfigHub Spaces; the ConfigHub proof lane is missing
argo-cd/argo-cd,9.5.15,default,watch,proven-with-watch,yes,watch-grade,run-proof,,runs/argo-cd-confighub-proof/latest/variant-promotion-receipt.yaml,ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback"
argo-cd/argo-cd,9.5.15,no-crds,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/argo-cd-no-crds-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
argo-cd/argo-cd,9.5.17,default,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/argo-cd-9517-default-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
argo-cd/argo-cd,9.5.17,no-crds,todo,missing-confighub-proof,no,blocked-needs-confighub-proof,run-proof,,,run the ConfigHub proof lane first,promotion depends on upstream and downstream ConfigHub Spaces; the ConfigHub proof lane is missing
argo-cd/argo-events,2.4.21,default,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/argo-events-default-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
argo-cd/argo-events,2.4.21,no-crds,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/argo-events-no-crds-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
argo-cd/argo-rollouts,2.40.9,default,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/argo-rollouts-default-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
argo-cd/argo-rollouts,2.40.9,no-crds,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/argo-rollouts-no-crds-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
argo-cd/argo-workflows,1.0.14,controller-default-reviewed,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/argo-workflows-controller-default-reviewed-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
argo-cd/argo-workflows,1.0.14,default,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/argo-workflows-default-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
argo-cd/argo-workflows,1.0.14,minimal-crds,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/argo-workflows-minimal-crds-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
