rank,chart,source_version,current_recipe_version,proof_match_basis,version_match,source_status,recipe_status,package_status,variant_status,proof_status,catalog_status,production_readiness,supported_variants,next_action,source_features,recipe_path,package_path,support_level,supported_scopes,candidate_variants,current_risk,source_classification,source_problem_score,source_pre_recipe_risk_count,source_lifecycle_policy_count,source_early_policy_count,source_generated_facts_count,source_install_operate_count,lookup_count,rand_count,cert_count,time_uuid_count,required_fail_count,tpl_count,capabilities_api_count,capabilities_kube_version_count,hooks_count,crd_files_count,cluster_roles_count,webhooks_count,api_services_count,stateful_sets_count,pvc_count,secrets_count,dependencies_declared,dependency_lock_present,non_exact_dependency_constraints,proof_tier,proof_variant_count,proof_revision_count,proof_rendered_object_count,proof_first_rendered_sha256,proof_semantic_matches,proof_scan_results,proof_gate_results,proof_scan_high,proof_scan_medium,proof_scan_low,proof_control_categories,proof_uses_lookup,proof_uses_generated_facts,proof_uses_capabilities,proof_uses_tpl,proof_has_extension_slots,proof_receipts,weirdness_note,source_repository_url,source_archive_sha256,old_matrix_scan_status,old_matrix_error
1,prometheus-community/kube-prometheus-stack,85.3.0,85.3.3,exact-chart-ref,different-current-version,source-scanned,current-recipe-different-version,package-proof-exists,multi-variant,proof:2 revision(s),catalog-supported,blocked-by-current-scan-gate,default;no-crds,review source/current-version drift and refresh recipe if needed,lookup;generated-facts;tpl;capabilities;hooks;crds;cluster-rbac;webhooks;stateful-storage,recipes/prometheus-community/kube-prometheus-stack/85.3.3/recipe.yaml,packages/prometheus-community/kube-prometheus-stack/85.3.3,supported-for-declared-scopes,local-test,,local-test-supported-production-blocked,P0 source/dependency risk,93,1,3,5,72,4,4,2,0,70,55,402,6,81,2,20,16,2,0,4,2,14,0,true,1,,2,2,238,9fac2a0e4140eee298c84ce61f13dd8ca392bb92e2037d0ef0aaa4d8015ee491,124/124;114/114,warn,warn,14,32,0,admission-webhook;capability-profile;cluster-rbac;crd-policy;dependency-lock;generated-facts;installer-support-object;source-lock;tpl,false,false,false,false,false,helmEquivalence;installGate;render;scan,recipes/prometheus-community/kube-prometheus-stack/85.3.3/weirdness-and-mitigations.md,https://prometheus-community.github.io/helm-charts,d4cc415d942872249643f0205cc08f81e5082f6d18bf8460fec590cba7cc2c5c,scanned,
2,cert-manager/cert-manager,1.20.2,v1.20.2,chart-name-version,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,proof:2 revision(s),catalog-supported,blocked-by-current-scan-gate,default;crds-enabled,add production dispositions and live/e2e observation lane,generated-facts;tpl;cluster-rbac;webhooks,recipes/jetstack/cert-manager/v1.20.2/recipe.yaml,packages/jetstack/cert-manager/v1.20.2,supported-for-declared-scopes,local-test,,local-test-supported-production-blocked,P1 compiler policy needed,18,0,0,0,6,3,0,0,0,6,6,3,0,0,0,0,31,2,0,0,0,0,0,false,0,,2,2,90,45029db19d75e578bec74b82a0476a6580d1f7193239a210bf4873156ac725ce,42/42;48/48,warn,warn,0,58,0,admission-webhook;capability-profile;cluster-rbac;crd-policy;dependency-lock;hook-policy;installer-support-object;source-lock;tpl,false,false,false,false,false,helmEquivalence;installGate;render;scan,recipes/jetstack/cert-manager/v1.20.2/weirdness-and-mitigations.md,https://charts.jetstack.io,d2a50bd44a09d838c2576a8f3dfca1524597c7393cf8d82ab3ec8a465b9eeb79,scanned,
3,ingress-nginx/ingress-nginx,4.15.1,4.15.1,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,proof:2 revision(s),catalog-supported,blocked-by-current-scan-gate,default;admission-disabled,add production dispositions and live/e2e observation lane,tpl;capabilities;cluster-rbac;webhooks,recipes/ingress-nginx/ingress-nginx/4.15.1/recipe.yaml,packages/ingress-nginx/ingress-nginx/4.15.1,supported-for-declared-scopes,local-test,,local-test-supported-production-blocked,P2 recipe/render/install policy,19,0,0,3,0,2,0,0,0,0,1,16,2,14,0,0,4,1,0,0,0,2,0,false,0,,2,2,20,257503d94cea6b1d59e1564805f03a59c5a2d8fdf2de2b340676df03c295a80d,11/11;9/9,warn,warn,0,6,0,admission-webhook;capability-profile;cluster-rbac;dependency-lock;hook-policy;installer-support-object;source-lock;tpl,false,false,false,false,false,helmEquivalence;installGate;render;scan,recipes/ingress-nginx/ingress-nginx/4.15.1/weirdness-and-mitigations.md,https://kubernetes.github.io/ingress-nginx,3eff0bd18151d6e6b1c441463410571443dda1ac78292cb189346628de784f0c,scanned,
4,argo/argo-cd,9.5.15,9.5.15,chart-name-version,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,proof:2 revision(s),catalog-supported,blocked-by-current-scan-gate,default;no-crds,add production dispositions and live/e2e observation lane,generated-facts;tpl;capabilities;crds;cluster-rbac;stateful-storage,recipes/argo-cd/argo-cd/9.5.15/recipe.yaml,packages/argo-cd/argo-cd/9.5.15,supported-for-declared-scopes,local-test,,local-test-supported-production-blocked,P1 compiler policy needed,32,0,0,3,2,3,0,0,0,2,4,58,12,4,0,3,13,0,0,3,1,13,0,true,0,,2,2,95,e52ddef5e56e347a8959dd1e8591e116479bf8aa8682c83e3753fe7355a38cc0,49/49;46/46,warn,warn,2,27,0,capability-profile;cluster-rbac;crd-policy;dependency-lock;gitops-handoff;hook-policy;installer-support-object;source-lock;stateful-workload;tpl,false,false,false,false,false,helmEquivalence;installGate;render;scan,recipes/argo-cd/argo-cd/9.5.15/weirdness-and-mitigations.md,https://argoproj.github.io/argo-helm,95502bea856e2e1e9bfbb7a5ab90d309970b4ffd098ff3dadb99188350768b9e,scanned,
5,prometheus-community/prometheus,29.8.0,29.8.0,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,proof:2 revision(s),catalog-supported,blocked-by-current-scan-gate,default;server-only-ephemeral,add production dispositions and live/e2e observation lane,generated-facts;tpl;capabilities;cluster-rbac;stateful-storage,recipes/prometheus-community/prometheus/29.8.0/recipe.yaml,packages/prometheus-community/prometheus/29.8.0,supported-for-declared-scopes,local-test,,local-test-supported-production-blocked,P0 source/dependency risk,49,1,0,3,3,2,0,0,0,2,4,47,2,3,0,0,7,0,0,7,3,3,0,true,4,,2,2,29,c11349803ddbb44562066474dd04d47d7c5c75d083dbc96162224573f949c11b,23/23;6/6,warn,warn,0,18,0,bundle-dependencies;capability-profile;cluster-rbac;component-selection;dependency-lock;extension-slots;installer-support-object;monitoring-workloads;scrape-config;source-lock;storage-retention,false,false,false,false,false,helmEquivalence;installGate;render;scan,recipes/prometheus-community/prometheus/29.8.0/weirdness-and-mitigations.md,https://prometheus-community.github.io/helm-charts,daba2821dd7c0d29267c8be5056cfbb7ebbf8784cb3159fa55f266615df68e3d,scanned,
6,bitnami/redis,25.5.3,25.5.3,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,proof:2 revision(s),catalog-supported,blocked-by-current-scan-gate,default;reuse-existing-secret,add production dispositions and live/e2e observation lane,lookup;generated-facts;tpl;capabilities;stateful-storage,recipes/bitnami/redis/25.5.3/recipe.yaml,packages/bitnami/redis/25.5.3,supported-for-declared-scopes,local-test,,local-test-supported-production-blocked,P1 compiler policy needed,44,0,0,5,8,1,8,5,2,1,2,11,2,1,0,0,0,0,0,3,5,3,1,false,0,,2,2,27,362dbc4854421a23ea48da4ee7e72dbc98422fa9affc26ac372c761d4b90e10d,14/14;13/13,warn,warn,4,4,0,capability-profile;dependency-lock;generated-facts;hook-policy;installer-support-object;secret-handling;source-lock;target-facts,false,false,false,false,false,helmEquivalence;installGate;render;scan,recipes/bitnami/redis/25.5.3/weirdness-and-mitigations.md,https://charts.bitnami.com/bitnami,aa5360967bc1adadf69f0ce91d762f0bb4d80ca36758b37d7d8f1ef981257baf,scanned,
7,bitnami/postgresql,18.6.7,18.6.7,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,proof:2 revision(s),catalog-supported,blocked-by-current-scan-gate,generated-passwords;existing-secret,add production dispositions and live/e2e observation lane,lookup;generated-facts;tpl;capabilities;stateful-storage,recipes/bitnami/postgresql/18.6.7/recipe.yaml,packages/bitnami/postgresql/18.6.7,supported-for-declared-scopes,local-test,,local-test-supported-production-blocked,P1 compiler policy needed,44,0,0,5,10,1,3,6,2,2,9,27,2,1,0,0,0,0,0,2,3,6,1,false,0,,2,2,13,5ddff6ac6f2de4b98f6fce9d482167f300406c3ff738317e34b322522465ea72,7/7;6/6,warn,warn,2,9,0,capability-profile;dependency-lock;generated-facts;hook-policy;installer-support-object;pvc-policy;source-lock;stateful-workload;target-facts;tpl,false,false,false,false,false,helmEquivalence;installGate;render;scan,recipes/bitnami/postgresql/18.6.7/weirdness-and-mitigations.md,https://charts.bitnami.com/bitnami,0ad5b7d9d50f53000b2369e3ee6aa70b32c3b91c363a118c78d9204ae3f98fe5,scanned,
8,traefik/traefik,40.2.0,40.2.0,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,add user-shaped variants before catalog promotion,lookup;generated-facts;tpl;capabilities;crds;cluster-rbac;webhooks;stateful-storage,recipes/traefik/traefik/40.2.0/recipe.yaml,packages/traefik/traefik/40.2.0,machine-proof-only,,default,proof-grade-needs-variants,P1 compiler policy needed,39,0,0,3,1,4,2,0,1,0,64,17,3,0,0,25,2,2,0,0,1,2,0,false,0,next80-full,1,1,31,84b1e950901024fda7bb0be73aba239015712ae0c3d4cb0ecabcb091abc53c09,31/31,warn,warn,0,27,0,capability-profile;cluster-rbac;crds;dependency-lock;extension-slots;generated-facts;helm-equivalence;rendered-manifest-scan;source-lock;target-facts;tpl-extension-slots;variant-revision,true,true,true,true,true,helmEquivalence;installGate;render;scan,,https://traefik.github.io/charts,b73d0159fc1222cc9bdaefde80000a9bad2dfe81de4caed14b9509b3bf6c1df9,scanned,
9,k8s-dashboard/kubernetes-dashboard,7.14.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",lookup;generated-facts;tpl;capabilities;hooks;crds;cluster-rbac;webhooks;stateful-storage,,,none,,,source-risk-no-proof,P0 source/dependency risk,86,1,2,5,16,5,13,5,5,6,27,37,27,19,2,1,49,4,1,2,0,12,1,true,1,,0,0,0,,,,,,,,,,,,,,,,https://kubernetes.github.io/dashboard,37be462a39258fda57a2a5e5d81082d8d28a8083c7977f4f4632fa374b1a616d,scanned,"Error: looks like ""https://kubernetes.github.io/dashboard"" is not a valid chart repository or cannot be reached: failed to fetch https://kubernetes.github.io/dashboard/index.yaml : 404 Not Found
"
10,grafana/loki,7.0.0,7.0.0,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,proof:2 revision(s),catalog-supported,blocked-by-current-scan-gate,single-binary-filesystem;simple-scalable-minio,add production dispositions and live/e2e observation lane,lookup;generated-facts;tpl;capabilities;crds;cluster-rbac;webhooks;stateful-storage,recipes/grafana/loki/7.0.0/recipe.yaml,packages/grafana/loki/7.0.0,supported-for-declared-scopes,local-test,,local-test-supported-production-blocked,P1 compiler policy needed,45,0,0,4,6,4,2,1,0,2,24,135,16,17,0,10,10,4,0,24,18,4,0,true,0,,2,2,55,6c1e4c38271f2c48cb66ac6e39be8643524e774fec8cf363875c66bf3ea2bb30,19/19;36/36,warn,warn,0,25,0,blocked-default-render;capability-profile;cluster-rbac;dependency-lock;installer-support-object;lifecycle-policy;object-storage-policy;pvc-policy;source-lock;stateful-workload;storage-config;tpl,false,false,false,false,false,helmEquivalence;installGate;render;scan,recipes/grafana/loki/7.0.0/weirdness-and-mitigations.md,https://grafana.github.io/helm-charts,5eaa28e3535069de2a7ac1f7087ff558e5b4b4a24f0e158072a97e2391132f81,scanned,
