chart,version,chart_ref,bucket,catalog_tier,coverage_status,coverage_percent,next_action,owner,a_pinned_version,a_evidence,b_named_base_variant,b_evidence,c_render_parity_receipt,c_evidence,d_pain_and_quirks,d_evidence,e_facts_declared,e_evidence,f_scan_and_disposition,f_evidence,g_live_witness_or_route,g_evidence,h_catalog_and_site,h_evidence
argo-cd/argo-cd,9.5.15,argo-cd/argo-cd@9.5.15,try-from-public-catalog,top20-catalog-supported,covered,100,keep evidence fresh,,pass,recipes/argo-cd/argo-cd/9.5.15/source-lock.yaml,pass,recipes/argo-cd/argo-cd/9.5.15/CATALOG.md,pass,recipes/argo-cd/argo-cd/9.5.15/revisions/default/r001/variant-revision.yaml,pass,recipes/argo-cd/argo-cd/9.5.15/helm-pain-report.yaml;recipes/argo-cd/argo-cd/9.5.15/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/argo-cd/argo-cd/9.5.15/control-points.yaml;recipes/argo-cd/argo-cd/9.5.15/value-model.yaml;recipes/argo-cd/argo-cd/9.5.15/helm-plan.yaml,pass,recipes/argo-cd/argo-cd/9.5.15/publication/installer-package-receipt.yaml;data/production-disposition/summary.md;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/argo-cd/argo-cd/9.5.15/CATALOG.md;site/catalog.json
bitnami/mongodb,19.0.7,bitnami/mongodb@19.0.7,try-from-public-catalog,top20-catalog-supported,covered,100,keep evidence fresh,,pass,recipes/bitnami/mongodb/19.0.7/source-lock.yaml,pass,recipes/bitnami/mongodb/19.0.7/CATALOG.md,pass,recipes/bitnami/mongodb/19.0.7/revisions/existing-secret-replicaset/r001/variant-revision.yaml,pass,recipes/bitnami/mongodb/19.0.7/helm-pain-report.yaml;recipes/bitnami/mongodb/19.0.7/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/bitnami/mongodb/19.0.7/control-points.yaml;recipes/bitnami/mongodb/19.0.7/value-model.yaml;recipes/bitnami/mongodb/19.0.7/helm-plan.yaml,pass,recipes/bitnami/mongodb/19.0.7/publication/installer-package-receipt.yaml;data/production-disposition/summary.md;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/bitnami/mongodb/19.0.7/CATALOG.md;site/catalog.json
bitnami/mysql,14.0.3,bitnami/mysql@14.0.3,try-from-public-catalog,top20-catalog-supported,covered,100,keep evidence fresh,,pass,recipes/bitnami/mysql/14.0.3/source-lock.yaml,pass,recipes/bitnami/mysql/14.0.3/CATALOG.md,pass,recipes/bitnami/mysql/14.0.3/revisions/existing-secret/r001/variant-revision.yaml,pass,recipes/bitnami/mysql/14.0.3/helm-pain-report.yaml;recipes/bitnami/mysql/14.0.3/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/bitnami/mysql/14.0.3/control-points.yaml;recipes/bitnami/mysql/14.0.3/value-model.yaml;recipes/bitnami/mysql/14.0.3/helm-plan.yaml,pass,recipes/bitnami/mysql/14.0.3/publication/installer-package-receipt.yaml;data/production-disposition/summary.md;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/bitnami/mysql/14.0.3/CATALOG.md;site/catalog.json
bitnami/nginx,24.0.2,bitnami/nginx@24.0.2,try-from-public-catalog,top20-catalog-supported,covered,100,keep evidence fresh,,pass,recipes/bitnami/nginx/24.0.2/source-lock.yaml,pass,recipes/bitnami/nginx/24.0.2/CATALOG.md,pass,recipes/bitnami/nginx/24.0.2/revisions/existing-tls-ingress/r001/variant-revision.yaml,pass,recipes/bitnami/nginx/24.0.2/helm-pain-report.yaml;recipes/bitnami/nginx/24.0.2/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/bitnami/nginx/24.0.2/control-points.yaml;recipes/bitnami/nginx/24.0.2/value-model.yaml;recipes/bitnami/nginx/24.0.2/helm-plan.yaml,pass,recipes/bitnami/nginx/24.0.2/publication/installer-package-receipt.yaml;data/production-disposition/summary.md;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/bitnami/nginx/24.0.2/CATALOG.md;site/catalog.json
bitnami/postgresql,18.6.7,bitnami/postgresql@18.6.7,try-from-public-catalog,top20-catalog-supported,covered,100,keep evidence fresh,,pass,recipes/bitnami/postgresql/18.6.7/source-lock.yaml,pass,recipes/bitnami/postgresql/18.6.7/CATALOG.md,pass,recipes/bitnami/postgresql/18.6.7/revisions/existing-secret/r001/variant-revision.yaml,pass,recipes/bitnami/postgresql/18.6.7/helm-pain-report.yaml;recipes/bitnami/postgresql/18.6.7/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/bitnami/postgresql/18.6.7/control-points.yaml;recipes/bitnami/postgresql/18.6.7/value-model.yaml;recipes/bitnami/postgresql/18.6.7/helm-plan.yaml,pass,recipes/bitnami/postgresql/18.6.7/publication/installer-package-receipt.yaml;data/production-disposition/summary.md;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/bitnami/postgresql/18.6.7/CATALOG.md;site/catalog.json
bitnami/rabbitmq,16.0.14,bitnami/rabbitmq@16.0.14,try-from-public-catalog,top20-catalog-supported,covered,100,keep evidence fresh,,pass,recipes/bitnami/rabbitmq/16.0.14/source-lock.yaml,pass,recipes/bitnami/rabbitmq/16.0.14/CATALOG.md,pass,recipes/bitnami/rabbitmq/16.0.14/revisions/existing-secret/r001/variant-revision.yaml,pass,recipes/bitnami/rabbitmq/16.0.14/helm-pain-report.yaml;recipes/bitnami/rabbitmq/16.0.14/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/bitnami/rabbitmq/16.0.14/control-points.yaml;recipes/bitnami/rabbitmq/16.0.14/value-model.yaml;recipes/bitnami/rabbitmq/16.0.14/helm-plan.yaml,pass,recipes/bitnami/rabbitmq/16.0.14/publication/installer-package-receipt.yaml;data/production-disposition/summary.md;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/bitnami/rabbitmq/16.0.14/CATALOG.md;site/catalog.json
bitnami/redis,25.5.3,bitnami/redis@25.5.3,try-from-public-catalog,top20-catalog-supported,covered,100,keep evidence fresh,,pass,recipes/bitnami/redis/25.5.3/source-lock.yaml,pass,recipes/bitnami/redis/25.5.3/CATALOG.md,pass,recipes/bitnami/redis/25.5.3/revisions/default/r001/variant-revision.yaml,pass,recipes/bitnami/redis/25.5.3/helm-pain-report.yaml;recipes/bitnami/redis/25.5.3/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/bitnami/redis/25.5.3/control-points.yaml;recipes/bitnami/redis/25.5.3/value-model.yaml;recipes/bitnami/redis/25.5.3/helm-plan.yaml,pass,recipes/bitnami/redis/25.5.3/publication/installer-package-receipt.yaml;data/production-disposition/summary.md;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/bitnami/redis/25.5.3/CATALOG.md;site/catalog.json
external-secrets/external-secrets,2.5.0,external-secrets/external-secrets@2.5.0,try-from-public-catalog,top20-catalog-supported,covered,100,keep evidence fresh,,pass,recipes/external-secrets/external-secrets/2.5.0/source-lock.yaml,pass,recipes/external-secrets/external-secrets/2.5.0/CATALOG.md,pass,recipes/external-secrets/external-secrets/2.5.0/revisions/default/r001/variant-revision.yaml,pass,recipes/external-secrets/external-secrets/2.5.0/helm-pain-report.yaml;recipes/external-secrets/external-secrets/2.5.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/external-secrets/external-secrets/2.5.0/control-points.yaml;recipes/external-secrets/external-secrets/2.5.0/value-model.yaml;recipes/external-secrets/external-secrets/2.5.0/helm-plan.yaml,pass,recipes/external-secrets/external-secrets/2.5.0/publication/installer-package-receipt.yaml;data/production-disposition/summary.md;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/external-secrets/external-secrets/2.5.0/CATALOG.md;site/catalog.json
grafana/grafana,10.5.15,grafana/grafana@10.5.15,try-from-public-catalog,top20-catalog-supported,covered,100,keep evidence fresh,,pass,recipes/grafana/grafana/10.5.15/source-lock.yaml,pass,recipes/grafana/grafana/10.5.15/CATALOG.md,pass,recipes/grafana/grafana/10.5.15/revisions/existing-secret-ingress/r001/variant-revision.yaml,pass,recipes/grafana/grafana/10.5.15/helm-pain-report.yaml;recipes/grafana/grafana/10.5.15/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/grafana/grafana/10.5.15/control-points.yaml;recipes/grafana/grafana/10.5.15/value-model.yaml;recipes/grafana/grafana/10.5.15/helm-plan.yaml,pass,recipes/grafana/grafana/10.5.15/publication/installer-package-receipt.yaml;data/production-disposition/summary.md;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/grafana/grafana/10.5.15/CATALOG.md;site/catalog.json
grafana/loki,7.0.0,grafana/loki@7.0.0,try-from-public-catalog,top20-catalog-supported,covered,100,keep evidence fresh,,pass,recipes/grafana/loki/7.0.0/source-lock.yaml,pass,recipes/grafana/loki/7.0.0/CATALOG.md,pass,recipes/grafana/loki/7.0.0/revisions/simple-scalable-minio/r001/variant-revision.yaml,pass,recipes/grafana/loki/7.0.0/helm-pain-report.yaml;recipes/grafana/loki/7.0.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/grafana/loki/7.0.0/control-points.yaml;recipes/grafana/loki/7.0.0/value-model.yaml;recipes/grafana/loki/7.0.0/helm-plan.yaml,pass,recipes/grafana/loki/7.0.0/publication/installer-package-receipt.yaml;data/production-disposition/summary.md;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/grafana/loki/7.0.0/CATALOG.md;site/catalog.json
