chart,promotion_state,inferred_promotion_state,production_readiness,support_level,supported_variants,machine_checks,proof_tier,variant_count,variants,revision_count,rendered_objects_total,gate_decisions,scan_high,scan_medium,has_crds,has_hooks,has_lookup,has_generated_facts,has_cluster_rbac,has_webhooks,fixture_uses_current_packages,default_review_required,obvious_variants_review,ux_review_required,catalog_recommendation,gaps,recipe_path,package_path
aqua/trivy-operator@0.32.1,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,2,default;no-crds,2,54,allow;warn,0,19,true,false,true,false,true,false,true,yes,review-covered-variants,yes,keep as proof-grade until product variants and UX review are complete,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition; CRD lifecycle policy must be catalog-readable,recipes/aqua/trivy-operator/0.32.1,packages/aqua/trivy-operator/0.32.1
argo-cd/argo-cd@9.5.15,catalog-supported,catalog-candidate,blocked-by-current-scan-gate,supported-for-declared-scopes,default;no-crds,pass,bespoke-top20,2,default;no-crds,2,95,warn,2,27,false,true,false,false,true,false,true,yes,review-covered-variants,yes,supported for declared scopes; production remains blocked by current gate,human review needed: confirm variants are the obvious Helm-user paths; high scan findings require review before catalog support; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition,recipes/argo-cd/argo-cd/9.5.15,packages/argo-cd/argo-cd/9.5.15
argo-cd/argo-events@2.4.21,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,2,default;no-crds,2,15,allow;warn,0,5,true,false,false,false,true,false,true,yes,review-covered-variants,yes,keep as proof-grade until product variants and UX review are complete,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition; CRD lifecycle policy must be catalog-readable,recipes/argo-cd/argo-events/2.4.21,packages/argo-cd/argo-events/2.4.21
argo-cd/argo-rollouts@2.40.9,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,2,default;no-crds,2,23,allow;warn,0,10,true,false,false,false,true,false,true,yes,review-covered-variants,yes,keep as proof-grade until product variants and UX review are complete,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition; CRD lifecycle policy must be catalog-readable,recipes/argo-cd/argo-rollouts/2.40.9,packages/argo-cd/argo-rollouts/2.40.9
argo-cd/argo-workflows@1.0.14,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,1,default,1,19,warn,0,11,false,true,false,false,true,false,true,yes,needs-user-shaped-variants,yes,keep as proof-grade until product variants and UX review are complete,default-only; add or explicitly defer obvious user variants; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition,recipes/argo-cd/argo-workflows/1.0.14,packages/argo-cd/argo-workflows/1.0.14
argo-cd/argocd-image-updater@1.2.2,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,1,default,1,11,warn,0,3,true,false,false,true,true,false,true,yes,needs-user-shaped-variants,yes,keep as proof-grade until product variants and UX review are complete,default-only; add or explicitly defer obvious user variants; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition; CRD lifecycle policy must be catalog-readable,recipes/argo-cd/argocd-image-updater/1.2.2,packages/argo-cd/argocd-image-updater/1.2.2
autoscaler/cluster-autoscaler@9.57.0,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,1,default,1,7,warn,1,2,false,false,false,false,true,false,true,yes,needs-user-shaped-variants,yes,keep as proof-grade until product variants and UX review are complete,default-only; add or explicitly defer obvious user variants; high scan findings require review before catalog support; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition,recipes/autoscaler/cluster-autoscaler/9.57.0,packages/autoscaler/cluster-autoscaler/9.57.0
autoscaler/vertical-pod-autoscaler@0.9.0,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,2,default;no-crds,2,76,allow;warn,0,25,true,true,false,true,true,true,true,yes,review-covered-variants,yes,keep as proof-grade until product variants and UX review are complete,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition; CRD lifecycle policy must be catalog-readable; webhook readiness/observation policy must be catalog-readable,recipes/autoscaler/vertical-pod-autoscaler/0.9.0,packages/autoscaler/vertical-pod-autoscaler/0.9.0
aws-ebs-csi-driver/aws-ebs-csi-driver@2.60.1,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,1,default,1,19,warn,0,11,false,true,false,false,true,false,true,yes,needs-user-shaped-variants,yes,keep as proof-grade until product variants and UX review are complete,default-only; add or explicitly defer obvious user variants; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition,recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1,packages/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1
bitnami/apache@11.4.29,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,1,default,1,5,allow,0,0,false,false,true,true,false,false,true,yes,needs-user-shaped-variants,yes,keep as proof-grade until product variants and UX review are complete,default-only; add or explicitly defer obvious user variants,recipes/bitnami/apache/11.4.29,packages/bitnami/apache/11.4.29
