chart,recipe_version,base,route_source_version,quirk_class,route_name,lifecycle_phase,action_kind,execution_mode,base_disposition,automatic,who_runs,operating_details,delta,reason,command,evidence,next_action,evidence_required,source_drift
airflow-helm/airflow,,(chart-level),8.9.0,hook-phase,explicit-managed-action,post-apply,run-job,not-yet-executable,blocked,false,Blocked — a prerequisite must be met first,metadata database and migration state; values-conditional rendering,kept,,kubectl apply -f <action-job>; kubectl wait --for=condition=complete job/<name>,data/hook-disposition/evidence/airflow-helm-airflow/evidence.yaml;data/hook-disposition/evidence/airflow-helm-airflow/hook-resources.yaml;data/hook-disposition/evidence/airflow-helm-airflow/live-rehearsal-blocker-receipt.yaml,decide the supported migration mode (Deployment vs hook Job) at recipe time; rehearse after image preconditions clear; blocked before attempt: dependency closure + image-availability preconditions (see blocker receipt),"resolve the named prerequisite/blocker, then capture a live receipt",
apache-airflow/airflow,,(chart-level),1.21.0,hook-phase,recipe-time-lifecycle-verification,pre-render,verify-render,not-yet-executable,blocked,false,Prerequisite — verify the render before apply,metadata database and migration state,kept,,,data/hook-route-candidates/candidates.csv,verify values-conditional lifecycle Jobs before claiming hook-free; route rendered migration Jobs as managed actions with receipts,"resolve the named prerequisite/blocker, then capture a live receipt",
argo-cd/argo-workflows,1.0.14,controller-default-reviewed,1.0.14,crd-install,preflight-or-presync-crd-apply,pre-apply,install-crd,not-yet-executable,routed,false,Prerequisite — run the generated package script before the workloads,full CRDs required before workflow-controller and server can start; hook uses server-side apply because full CRDs exceed client-side apply annotation limits,packaged-action,the package carries the 8 CRDs and its generated script applies them before the workload; this base still needs its own live route receipt,"kubectl apply --server-side -f <chart-crds>   # placeholder, not verified",data/hook-route-candidates/candidates.csv,choose supported CRD route: render minimal CRDs with crds.full=false as a self-contained base,"resolve the named prerequisite/blocker, then capture a live receipt",
argo-cd/argo-workflows,1.0.14,default,1.0.14,crd-install,preflight-or-presync-crd-apply,pre-apply,install-crd,user-executes,observed,false,Handled — the generated package script applies the CRDs first,The controller and server require the Argo Workflows APIs. Helm normally downloads and applies the full CRDs in a hook before those workloads start.,resolved,the package carries and applies the 8 CRDs before the workload (observed live),"kubectl apply --server-side -f <chart-crds>   # placeholder, not verified",data/hook-route-candidates/selected-routes/argo-cd-argo-workflows-default.yaml;docs/demo/hooks-crds/argo-workflows.md;data/hook-route-candidates/argo-cd-argo-workflows.yaml;recipes/argo-cd/argo-workflows/1.0.14/variants/default/variant.yaml;recipes/argo-cd/argo-workflows/1.0.14/upstream/full-crds/argoproj.io_workflows.yaml;packages/argo-cd/argo-workflows/1.0.14/prerequisites/target-facts/default-crds.yaml;runs/live-kind-parity/argo-cd-argo-workflows-default/receipt.yaml;runs/live-helm-confighub-compare/argo-cd-argo-workflows-default/receipt.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",
argo-cd/argo-workflows,1.0.14,minimal-crds,1.0.14,crd-install,self-contained-crd-base,pre-apply,preserve-ordering,target-owned,observed,false,Your applier — must apply CRDs before dependent objects,Argo Workflows default full CRDs are installed through a Helm hook using server-side apply; this base chooses the self-contained minimal-CRD route instead.,resolved,this base installs the required CRDs (observed live),,data/hook-route-candidates/selected-routes/argo-cd-argo-workflows-minimal-crds.yaml;data/hook-route-candidates/argo-cd-argo-workflows.yaml;recipes/argo-cd/argo-workflows/1.0.14/variants/minimal-crds/variant.yaml;recipes/argo-cd/argo-workflows/1.0.14/revisions/minimal-crds/r001/receipts/install-gate.yaml;runs/next80-local-kind/argo-cd-argo-workflows-1.0.14-minimal-crds/observation-receipt.yaml;runs/argo-workflows-minimal-crds-confighub-proof/latest/confighub-proof-receipt.yaml;runs/live-helm-confighub-compare/argo-cd-argo-workflows-minimal-crds/receipt.yaml;runs/live-kind-parity/argo-cd-argo-workflows-minimal-crds/receipt.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",
bitnami/contour,21.1.4,legacy,21.1.4,hook-phase,preflight-or-presync,preflight,run-preflight,user-executes,observed,false,Your delivery — a preflight step before apply (receipted),Contour and Envoy cannot start until contourcert and envoycert exist; Helm normally creates them with a hook that is absent from the ordinary rendered YAML.,kept,,kubectl apply -f <preflight-job>; kubectl wait --for=condition=complete job/<name>,data/hook-route-candidates/selected-routes/bitnami-contour-legacy.yaml;recipes/bitnami/contour/21.1.4/lifecycle-route.yaml;recipes/bitnami/contour/21.1.4/variants/legacy/variant.yaml;packages/bitnami/contour/21.1.4/prerequisites/contour-certgen/run.sh;runs/live-kind-parity/bitnami-contour-legacy/receipt.yaml;runs/live-helm-confighub-compare/bitnami-contour-legacy/receipt.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",
bitnami/kafka,,(chart-level),32.4.3,hook-phase,explicit-managed-action,post-apply,run-job,not-yet-executable,blocked,false,Blocked — a prerequisite must be met first,in-cluster brokers; values-conditional opt-in,kept,,kubectl apply -f <action-job>; kubectl wait --for=condition=complete job/<name>,data/hook-disposition/evidence/bitnami-kafka/evidence.yaml;data/hook-disposition/evidence/bitnami-kafka/hook-resources.yaml;data/hook-disposition/evidence/bitnami-kafka/live-rehearsal-blocker-receipt.yaml,"create an image-override or digest-pinned base, then re-run the provisioning-Job route rehearsal; blocked: pinned default image tag no longer exists upstream (see blocker receipt)","resolve the named prerequisite/blocker, then capture a live receipt",
bitnami/minio,,(chart-level),17.0.21,hook-phase,explicit-managed-action,post-apply,run-job,not-yet-executable,blocked,false,Blocked — a prerequisite must be met first,in-cluster object store; optional existing credentials Secret; values-conditional opt-in,kept,,kubectl apply -f <action-job>; kubectl wait --for=condition=complete job/<name>,data/hook-route-candidates/rehearsals/bitnami-minio-provisioning/rehearsal-receipt.yaml;data/hook-route-candidates/rehearsals/bitnami-minio-provisioning/render-summary.json;data/hook-route-candidates/rehearsals/bitnami-minio-provisioning/hook-job.yaml,"choose a supported image override or newer chart version, then re-run the provisioning-Job managed-action rehearsal; blocked: pinned MinIO image tags no longer resolve upstream (see rehearsal receipt)","resolve the named prerequisite/blocker, then capture a live receipt",
bitnami/thanos,,(chart-level),17.3.1,hook-phase,explicit-managed-action,post-apply,run-job,not-yet-executable,blocked,false,Blocked — a prerequisite must be met first,vendored object store and credentials when enabled,kept,,kubectl apply -f <action-job>; kubectl wait --for=condition=complete job/<name>,data/hook-route-candidates/candidates.csv,create Thanos recipe; distinguish provisioning-off and provisioning-enabled bases; reuse MinIO provisioning receipt shape when the hook renders; none,"resolve the named prerequisite/blocker, then capture a live receipt",
datadog/datadog,,(chart-level),3.214.0,per-target-hook,target-class-preflight-and-upgrade-action,preflight,run-preflight,user-executes,per-target,false,Your delivery — a preflight step before apply (receipted),GKE Autopilot target class plus migration state,kept,,kubectl apply -f <preflight-job>; kubectl wait --for=condition=complete job/<name>,data/hook-route-candidates/candidates.csv,split normal and GKE Autopilot target scopes; route allowlist hooks as preflight and migration Job as lifecycle action with receipt; none,a recorded target decision plus a live receipt for that scope,
fluent/fluent-bit,0.57.6,default,0.57.6,hook-delete-policy,preserve-cleanup-policy,observe,accept-target-policy,target-owned,observed,false,"Your cluster — at uninstall, automatically",,kept,,,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/fluent-fluent-bit/default/latest.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",
fluent/fluent-bit,0.57.6,default,0.57.6,hook-test,explicit-test-check,observe,run-test,user-executes,observed,false,Opt-in check — run from CI or on demand (tests are explicit by design),"Connectivity tests are checks against the installed target, not render-time behavior.",kept,,# run the chart's test/check (helm test equivalent),data/hook-lifecycle/receipts/fluent-fluent-bit/default/latest.yaml;data/hook-lifecycle/top100-hooks.csv;recipes/fluent/fluent-bit/0.57.6/helm-pain-report.yaml;runs/hook-lifecycle/fluent-fluent-bit/default/latest/receipt.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",
gatekeeper/gatekeeper,3.22.2,default,3.22.2,hook-phase,preflight-or-presync,preflight,run-preflight,user-executes,observed,false,Your delivery — a preflight step before apply (receipted),CRD and admission-webhook prerequisites must be checked before apply.,kept,,kubectl apply -f <preflight-job>; kubectl wait --for=condition=complete job/<name>,data/hook-lifecycle/receipts/gatekeeper-gatekeeper/default/latest.yaml;data/hook-lifecycle/top100-hooks.csv;recipes/gatekeeper/gatekeeper/3.22.2/helm-pain-report.yaml;runs/hook-lifecycle/gatekeeper-gatekeeper/default/latest/receipt.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",
gatekeeper/gatekeeper,3.22.2,default,3.22.2,hook-phase,upgrade-action-with-receipt,pre-apply,run-job,user-executes,observed,false,Your delivery — a GitOps PreSync/PostSync or cub action (receipted),The pinned rendered CRD route must be recorded as a target-aware operation before stronger upgrade claims.,kept,,kubectl apply -f <action-job>; kubectl wait --for=condition=complete job/<name>,data/hook-lifecycle/receipts/gatekeeper-gatekeeper/default/latest.yaml;data/hook-lifecycle/top100-hooks.csv;recipes/gatekeeper/gatekeeper/3.22.2/helm-pain-report.yaml;runs/hook-lifecycle/gatekeeper-gatekeeper/default/latest/receipt.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",
