priority,lane,chart,version,base,current_result,reason,next_step_type,rerun_readiness,diagnosis,rerun_command,followup,support_artifact,receipt,related_lifecycle_result,related_lifecycle_receipt
20,configHub-oci-live-comparison,nfs-subdir-external-provisioner/nfs-subdir-external-provisioner,4.0.18,default,blocked,helm-runtime: upstream leg blocked,runtime-review,review-target-first,Semantic parity already passed; rerun with right-sized Helm readiness waits or classify as watch if upstream Helm stays pending.,npm run live-parity:run -- --recipe recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18 --base default,"If object comparison remains clean, record this as upstream runtime readiness rather than a ConfigHub parity defect.",,runs/live-helm-confighub-compare/nfs-subdir-external-provisioner-nfs-subdir-external-provisioner-default/receipt.yaml,,
20,configHub-oci-live-comparison,projectcalico/tigera-operator,v3.32.0,default,blocked,crd-bootstrap: required CRDs missing before custom resources apply,crd-bootstrap,model-or-stage-first,The rendered custom resources cannot be accepted until their CRDs are established. Split or stage the CRD bootstrap before rerunning.,npm run live-parity:run -- --recipe recipes/projectcalico/tigera-operator/v3.32.0 --base default,"Stage the CRDs or split the base into CRD/bootstrap and custom-resource phases, then rerun.",recipes/projectcalico/tigera-operator/v3.32.0/target-prerequisite-plan.yaml,runs/live-helm-confighub-compare/projectcalico-tigera-operator-default/receipt.yaml,,
30,configHub-oci-live-comparison,argo-cd/argo-cd,9.5.17,default,watch,gitops-runtime: child Argo Application not materialized (parity passed),gitops-runtime-review,review-target-first,"Semantic parity and workload readiness passed, but the GitOps controller reported a sync or health condition that needs review.",npm run live-parity:run -- --recipe recipes/argo-cd/argo-cd/9.5.17 --base default,Inspect the Argo application condition and target resources; keep the recipe stable unless semantic parity starts failing.,recipes/argo-cd/argo-cd/9.5.17/gitops-runtime-review.yaml,runs/live-helm-confighub-compare/argo-cd-argo-cd-default-9-5-17/receipt.yaml,,
30,configHub-oci-live-comparison,aws-ebs-csi-driver/aws-ebs-csi-driver,2.60.1,default,watch,target-fit: AWS/EKS metadata or provider identity missing on vanilla kind (parity passed),target-fit-review,model-or-stage-first,The base declares target-fit requirements. The aws-ebs-csi-driver process initializes metadata from IMDS or Kubernetes node providerID before it can run,npm run live-parity:run -- --recipe recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1 --base default,"Use a target with the required platform behavior, or create a separate base that matches the proof target.",recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1/target-topology.yaml,runs/live-helm-confighub-compare/aws-ebs-csi-driver-aws-ebs-csi-driver-default/receipt.yaml,,
30,configHub-oci-live-comparison,bitnami/apache,11.4.29,default,watch,remote-image: image pull failed or pinned image is unavailable (parity passed),image-retention-review,model-or-stage-first,"Semantic parity passed, but at least one rendered image could not be pulled on the target. This is an image retention, registry, or image override problem, not a ConfigHub object-model defect.",npm run live-parity:run -- --recipe recipes/bitnami/apache/11.4.29 --base default --repo-url oci://registry-1.docker.io/bitnamicharts,"Resolve the image reference by digest, override to a pullable image, or refresh the catalog base before rerunning.",data/image-digest-workdown/summary.md,runs/live-helm-confighub-compare/bitnami-apache-default/receipt.yaml,,
30,configHub-oci-live-comparison,bitnami/contour,21.1.4,default,watch,remote-image: image pull failed or pinned image is unavailable (parity passed),image-retention-review,model-or-stage-first,"Semantic parity passed, but at least one rendered image could not be pulled on the target. This is an image retention, registry, or image override problem, not a ConfigHub object-model defect.",npm run live-parity:run -- --recipe recipes/bitnami/contour/21.1.4 --base default --repo-url oci://registry-1.docker.io/bitnamicharts,"Resolve the image reference by digest, override to a pullable image, or refresh the catalog base before rerunning.",data/image-digest-workdown/summary.md,runs/live-helm-confighub-compare/bitnami-contour-default/receipt.yaml,,
30,configHub-oci-live-comparison,bitnami/contour,21.1.4,no-crds,watch,remote-image: image pull failed or pinned image is unavailable (parity passed),image-retention-review,model-or-stage-first,"Semantic parity passed, but at least one rendered image could not be pulled on the target. This is an image retention, registry, or image override problem, not a ConfigHub object-model defect.",npm run live-parity:run -- --recipe recipes/bitnami/contour/21.1.4 --base no-crds --repo-url oci://registry-1.docker.io/bitnamicharts,"Resolve the image reference by digest, override to a pullable image, or refresh the catalog base before rerunning.",data/image-digest-workdown/summary.md,runs/live-helm-confighub-compare/bitnami-contour-no-crds/receipt.yaml,,
30,configHub-oci-live-comparison,bitnami/elasticsearch,22.1.6,default,watch,remote-image: image pull failed or pinned image is unavailable (parity passed),image-retention-review,model-or-stage-first,"Semantic parity passed, but at least one rendered image could not be pulled on the target. This is an image retention, registry, or image override problem, not a ConfigHub object-model defect.",npm run live-parity:run -- --recipe recipes/bitnami/elasticsearch/22.1.6 --base default --repo-url oci://registry-1.docker.io/bitnamicharts,"Resolve the image reference by digest, override to a pullable image, or refresh the catalog base before rerunning.",data/image-digest-workdown/summary.md,runs/live-helm-confighub-compare/bitnami-elasticsearch-default/receipt.yaml,,
30,configHub-oci-live-comparison,bitnami/elasticsearch,22.1.6,ha,watch,remote-image: image pull failed or pinned image is unavailable (parity passed),image-retention-review,model-or-stage-first,"Semantic parity passed, but at least one rendered image could not be pulled on the target. This is an image retention, registry, or image override problem, not a ConfigHub object-model defect.",npm run live-parity:run -- --recipe recipes/bitnami/elasticsearch/22.1.6 --base ha --repo-url oci://registry-1.docker.io/bitnamicharts,"Resolve the image reference by digest, override to a pullable image, or refresh the catalog base before rerunning.",data/image-digest-workdown/summary.md,runs/live-helm-confighub-compare/bitnami-elasticsearch-ha/receipt.yaml,,
30,configHub-oci-live-comparison,bitnami/mongodb,19.0.9,existing-secret-replicaset,watch,gitops-runtime: StatefulSet OutOfSync health Healthy (parity passed),gitops-runtime-review,review-target-first,"Semantic parity and workload readiness passed, but the GitOps controller reported a sync or health condition that needs review.",npm run live-parity:run -- --recipe recipes/bitnami/mongodb/19.0.9 --base existing-secret-replicaset --repo-url oci://registry-1.docker.io/bitnamicharts,Inspect the Argo application condition and target resources; keep the recipe stable unless semantic parity starts failing.,recipes/bitnami/mongodb/19.0.9/gitops-runtime-review.yaml,runs/live-helm-confighub-compare/bitnami-mongodb-existing-secret-replicaset-19-0-9/receipt.yaml,,
