path,chart,variant,revision,state,render_state,next_action
recipes/aqua/trivy-operator/0.32.1/revisions/default/r001/variant-revision.yaml,aqua/trivy-operator/0.32.1,default,r001,attached,matches,
recipes/aqua/trivy-operator/0.32.1/revisions/no-crds/r001/variant-revision.yaml,aqua/trivy-operator/0.32.1,no-crds,r001,absent,matches,re-render this variant through the proof kit so the revision records its digest inputs
recipes/argo-cd/argo-cd/10.1.3/revisions/default/r001/variant-revision.yaml,argo-cd/argo-cd/10.1.3,default,r001,attached,matches,
recipes/argo-cd/argo-cd/10.1.3/revisions/no-crds/r001/variant-revision.yaml,argo-cd/argo-cd/10.1.3,no-crds,r001,attached,matches,
recipes/argo-cd/argo-cd/10.2.1/revisions/default/r001/variant-revision.yaml,argo-cd/argo-cd/10.2.1,default,r001,attached,matches,
recipes/argo-cd/argo-cd/10.2.1/revisions/no-crds/r001/variant-revision.yaml,argo-cd/argo-cd/10.2.1,no-crds,r001,attached,matches,
recipes/argo-cd/argo-cd/9.5.15/revisions/default/r001/variant-revision.yaml,argo-cd/argo-cd/9.5.15,default,r001,attached,matches,
recipes/argo-cd/argo-cd/9.5.15/revisions/no-crds/r001/variant-revision.yaml,argo-cd/argo-cd/9.5.15,no-crds,r001,attached,matches,
recipes/argo-cd/argo-cd/9.5.17/revisions/default/r001/variant-revision.yaml,argo-cd/argo-cd/9.5.17,default,r001,attached,matches,
recipes/argo-cd/argo-cd/9.5.17/revisions/no-crds/r001/variant-revision.yaml,argo-cd/argo-cd/9.5.17,no-crds,r001,attached,matches,
recipes/argo-cd/argo-events/2.4.21/revisions/default/r001/variant-revision.yaml,argo-cd/argo-events/2.4.21,default,r001,attached,matches,
recipes/argo-cd/argo-events/2.4.21/revisions/no-crds/r001/variant-revision.yaml,argo-cd/argo-events/2.4.21,no-crds,r001,absent,matches,re-render this variant through the proof kit so the revision records its digest inputs
recipes/argo-cd/argo-rollouts/2.40.9/revisions/default/r001/variant-revision.yaml,argo-cd/argo-rollouts/2.40.9,default,r001,attached,matches,
recipes/argo-cd/argo-rollouts/2.40.9/revisions/no-crds/r001/variant-revision.yaml,argo-cd/argo-rollouts/2.40.9,no-crds,r001,absent,matches,re-render this variant through the proof kit so the revision records its digest inputs
recipes/argo-cd/argo-workflows/1.0.14/revisions/controller-default-reviewed/r001/variant-revision.yaml,argo-cd/argo-workflows/1.0.14,controller-default-reviewed,r001,frozen,matches,"leave the record alone and re-record it in the next Kubara catalog release, because this file is inside the pinned release baseline"
recipes/argo-cd/argo-workflows/1.0.14/revisions/default/r001/variant-revision.yaml,argo-cd/argo-workflows/1.0.14,default,r001,frozen,matches,"leave the record alone and re-record it in the next Kubara catalog release, because this file is inside the pinned release baseline"
recipes/argo-cd/argo-workflows/1.0.14/revisions/minimal-crds/r001/variant-revision.yaml,argo-cd/argo-workflows/1.0.14,minimal-crds,r001,absent,matches,re-render this variant through the proof kit so the revision records its digest inputs
recipes/argo-cd/argocd-image-updater/1.2.2/revisions/default/r001/variant-revision.yaml,argo-cd/argocd-image-updater/1.2.2,default,r001,attached,matches,
recipes/autoscaler/cluster-autoscaler/9.57.0/revisions/controller-default-reviewed/r001/variant-revision.yaml,autoscaler/cluster-autoscaler/9.57.0,controller-default-reviewed,r001,attached,matches,
recipes/autoscaler/cluster-autoscaler/9.57.0/revisions/default/r001/variant-revision.yaml,autoscaler/cluster-autoscaler/9.57.0,default,r001,attached,matches,
