rank,chart,version,source_hook_count,dependency_source,hook_phases,disposition,selected_route,evidence_status,live_status,next_action,evidence
1,prometheus-community/kube-prometheus-stack,85.3.3,2,chart-own,"post-install, post-upgrade, pre-install, pre-upgrade",observed,preflight-or-presync;postsync-check-or-observation;upgrade-action-with-receipt;preserve-ordering;preserve-cleanup-policy;webhook-readiness-observation;target-facts-or-preflight,maintained queue receipt (observed),observed,"keep the receipt fresh when chart, base, or cluster version changes",data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml
9,k8s-dashboard/kubernetes-dashboard,7.14.0,2,vendored (kong),"post-upgrade, pre-upgrade",routed,upgrade-action-with-receipt (if rendered),render-proven: vendored kong hooks DO NOT render under default values; appear only in postgres mode,none (default base is hook-inert; no rehearsal needed for it),record hook-inert-under-default-values for the default base at recipe time; keep the route plan for postgres-mode bases,data/hook-disposition/evidence/k8s-dashboard-kubernetes-dashboard/evidence.yaml;data/hook-disposition/evidence/k8s-dashboard-kubernetes-dashboard/hook-resources.yaml
13,gitlab/gitlab,10.0.0,1,vendored (traefik),"post-install, post-upgrade",recipe-needed,argocd-or-flux-lifecycle-hook,candidate route plan only (static source scan),none,treat as a serious-chart review; choose a supported base; confirm whether the vendored hook renders; then write maintained route receipt or hook-inert fact,data/hook-route-candidates/candidates.csv
23,bitnami/kafka,32.4.3,1,chart-own,"post-install, post-upgrade",routed,explicit-managed-action,render-proven (values-conditional) + live rehearsal attempted,blocked: pinned default image tag no longer exists upstream (see blocker receipt),"create an image-override or digest-pinned base, then re-run the provisioning-Job route rehearsal",data/hook-disposition/evidence/bitnami-kafka/evidence.yaml;data/hook-disposition/evidence/bitnami-kafka/hook-resources.yaml;data/hook-disposition/evidence/bitnami-kafka/live-rehearsal-blocker-receipt.yaml
32,bitnami/minio,17.0.21,1,chart-own,"post-install, post-upgrade",routed,explicit-managed-action,render-proven (values-conditional) + live desired-state apply attempted,blocked: pinned MinIO image tags no longer resolve upstream (see rehearsal receipt),"choose a supported image override or newer chart version, then re-run the provisioning-Job managed-action rehearsal",data/hook-route-candidates/rehearsals/bitnami-minio-provisioning/rehearsal-receipt.yaml;data/hook-route-candidates/rehearsals/bitnami-minio-provisioning/render-summary.json;data/hook-route-candidates/rehearsals/bitnami-minio-provisioning/hook-job.yaml
38,kyverno/kyverno,3.8.1,8,chart-own + vendored (reports-server),"post-upgrade, pre-delete, test",observed,upgrade-action-with-receipt;delete-cleanup-policy;explicit-test-check;preserve-ordering;preserve-cleanup-policy;target-facts-or-preflight,maintained queue receipt (observed),observed,"keep the receipt fresh when chart, base, or cluster version changes",data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/kyverno-kyverno/default/latest.yaml
42,fluent/fluent-bit,0.57.6,1,chart-own,test,observed,explicit-test-check;preserve-cleanup-policy,maintained queue receipt (observed),observed,"keep the receipt fresh when chart, base, or cluster version changes",data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/fluent-fluent-bit/default/latest.yaml
43,datadog/datadog,3.214.0,3,chart-own + vendored (datadog-csi-driver),"post-install, post-upgrade, pre-install, pre-upgrade",per-target,target-class-preflight-and-upgrade-action,candidate route plan; hooks are environment-conditional (GKE Autopilot preflight vs migration upgrade action),none,split normal and GKE Autopilot target scopes; route allowlist hooks as preflight and migration Job as lifecycle action with receipt,data/hook-route-candidates/candidates.csv
44,bitnami/thanos,17.3.1,1,vendored (minio),"post-install, post-upgrade",recipe-needed,explicit-managed-action,candidate route plan only (static source scan),none,create Thanos recipe; distinguish provisioning-off and provisioning-enabled bases; reuse MinIO provisioning receipt shape when the hook renders,data/hook-route-candidates/candidates.csv
84,airflow-helm/airflow,8.9.0,5,chart-own,"post-install, post-upgrade",routed,explicit-managed-action,render-proven: default is hook-free (migrations run as a Deployment); runAsJob=true renders the hook Job,blocked before attempt: dependency closure + image-availability preconditions (see blocker receipt),decide the supported migration mode (Deployment vs hook Job) at recipe time; rehearse after image preconditions clear,data/hook-disposition/evidence/airflow-helm-airflow/evidence.yaml;data/hook-disposition/evidence/airflow-helm-airflow/hook-resources.yaml;data/hook-disposition/evidence/airflow-helm-airflow/live-rehearsal-blocker-receipt.yaml
97,kong/kong,3.2.0,2,chart-own,"post-upgrade, pre-upgrade",routed,upgrade-action-with-receipt,"render-proven: hooks absent in DB-less default, present in postgres mode",none (postgres-mode rehearsal needs a database and pullable images),create the recipe with DB-less and postgres bases; rehearse the migration pair against a database,data/hook-disposition/evidence/kong-kong/evidence.yaml;data/hook-disposition/evidence/kong-kong/hook-resources.yaml
