"persona","run_id","category","format","goal_code","goal","start_url","outcome","clicks","elapsed_ms","start_complete","start_matched_groups","first_click_accurate","matched_groups","total_groups","actionable","next_action_clear","disposition","evidence_url","evidence_title","evidence_excerpt","path"
"developer","developer-001","comprehension","mixed","D-C1","understand what this site does","https://confighub.github.io/helm-expt/site/index.html","success","0","106","yes","2","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/index.html","Config Workshop · Understand and test your configuration","ion Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Guides Catalog Check my config Promote my config Deployment Docs ConfigHub Helm first · AICR, OCI and YAML also supported See What Your Configuration Will Do See th","https://confighub.github.io/helm-expt/site/index.html"
"developer","developer-002","comprehension","mixed","D-C1","understand what this site does","https://confighub.github.io/helm-expt/site/guides.html","success","0","66","yes","2","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/guides.html","Guides · Config Workshop","hop Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Guides Catalog Check my config Promote my config Deployment Docs ConfigHub Learn this by doing it Three guides, shortest first. Each one runs real commands against","https://confighub.github.io/helm-expt/site/guides.html"
"developer","developer-003","comprehension","mixed","D-C1","understand what this site does","https://confighub.github.io/helm-expt/site/ask.html","success","0","70","yes","2","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/ask.html","Check my config · Config Workshop","hop Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Guides Catalog Check my config Promote my config Deployment Docs ConfigHub Check your configuration &ldquo;Here is the chart and values my AI produced. Compare them","https://confighub.github.io/helm-expt/site/ask.html"
"developer","developer-004","comprehension","mixed","D-C1","understand what this site does","https://confighub.github.io/helm-expt/site/charts/index.html","success","0","71","yes","2","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/charts/index.html","Component Catalog · Config Workshop","Component Catalog · Config Workshop Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Guides Catalog Check my config Promote my config Deployment Docs ConfigH","https://confighub.github.io/helm-expt/site/charts/index.html"
"developer","developer-005","comprehension","mixed","D-C1","understand what this site does","https://confighub.github.io/helm-expt/site/try.html","success","0","66","yes","2","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/try.html","Try Redis · Config Workshop","hop Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Guides Catalog Check my config Promote my config Deployment Docs ConfigHub Try a simple example: Redis Runs on your laptop Render one reviewed Redis configuration a","https://confighub.github.io/helm-expt/site/try.html"
"developer","developer-006","comprehension","mixed","D-C1","understand what this site does","https://confighub.github.io/helm-expt/site/testing.html","success","0","66","yes","2","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/testing.html","Worked Examples · Config Workshop","hop Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Guides Catalog Check my config Promote my config Deployment Docs ConfigHub Choose a worked example Runs on your laptop Choose the kind of configuration you have, th","https://confighub.github.io/helm-expt/site/testing.html"
"developer","developer-007","comprehension","mixed","D-C1","understand what this site does","https://confighub.github.io/helm-expt/site/how-it-works.html","success","0","69","yes","2","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/how-it-works.html","Choose How To Deploy It · Config Workshop","hop Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Guides Catalog Check my config Promote my config Deployment Docs ConfigHub Choose how to deploy it Come here after you have inspected the Kubernetes objects. They m","https://confighub.github.io/helm-expt/site/how-it-works.html"
"developer","developer-008","comprehension","mixed","D-C1","understand what this site does","https://confighub.github.io/helm-expt/site/docs.html","success","0","65","yes","2","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/docs.html","Docs · Config Workshop","hop Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Guides Catalog Check my config Promote my config Deployment Docs ConfigHub Find instructions for the step you are doing Choose the question closest to your current","https://confighub.github.io/helm-expt/site/docs.html"
"developer","developer-009","comprehension","mixed","D-C1","understand what this site does","https://confighub.github.io/helm-expt/site/confighub.html","success","0","19","yes","2","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/confighub.html","Use ConfigHub · Config Workshop","hop Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Guides Catalog Check my config Promote my config Deployment Docs ConfigHub Keep This Reviewed Configuration in ConfigHub Needs a ConfigHub account Save the exact Ku","https://confighub.github.io/helm-expt/site/confighub.html"
"developer","developer-010","comprehension","mixed","D-C2","understand Catalog versus my own case","https://confighub.github.io/helm-expt/site/index.html","success","0","19","yes","2","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/index.html","Config Workshop · Understand and test your configuration","ion Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Guides Catalog Check my config Promote my config Deployment Docs ConfigHub Helm first · AICR, OCI and YAML also supported See What Your Configuration Will Do See th","https://confighub.github.io/helm-expt/site/index.html"
