rank,chart,source_version,current_recipe_version,proof_match_basis,version_match,source_status,recipe_status,package_status,variant_status,proof_status,catalog_status,production_readiness,supported_variants,next_action,not_yet_enabled,source_features,recipe_path,package_path
1,prometheus-community/kube-prometheus-stack,85.3.0,85.3.3,exact-chart-ref,different-current-version,source-scanned,current-recipe-different-version,package-proof-exists,multi-variant,proof:2 revision(s),catalog-supported,production-review-ready,default;no-crds,review source/current-version drift and refresh recipe if needed,existing-secret (chart ships no Secret toggle),lookup;generated-facts;tpl;capabilities;hooks;crds;cluster-rbac;webhooks;stateful-storage,recipes/prometheus-community/kube-prometheus-stack/85.3.3/recipe.yaml,packages/prometheus-community/kube-prometheus-stack/85.3.3
2,cert-manager/cert-manager,1.20.2,v1.20.2,chart-name-version,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,proof:2 revision(s),catalog-supported,production-review-ready,default;crds-enabled,record target-scoped support decision and refresh live/e2e observation lane,,generated-facts;tpl;cluster-rbac;webhooks,recipes/jetstack/cert-manager/v1.20.2/recipe.yaml,packages/jetstack/cert-manager/v1.20.2
3,ingress-nginx/ingress-nginx,4.15.1,4.15.1,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,proof:3 revision(s),catalog-supported,production-review-ready,default;admission-disabled;internal-clusterip,record target-scoped support decision and refresh live/e2e observation lane,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),tpl;capabilities;cluster-rbac;webhooks,recipes/ingress-nginx/ingress-nginx/4.15.1/recipe.yaml,packages/ingress-nginx/ingress-nginx/4.15.1
4,argo/argo-cd,9.5.15,9.5.15,chart-name-version,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,proof:2 revision(s),catalog-supported,production-review-ready,default;no-crds,record target-scoped support decision and refresh live/e2e observation lane,,generated-facts;tpl;capabilities;crds;cluster-rbac;stateful-storage,recipes/argo-cd/argo-cd/9.5.15/recipe.yaml,packages/argo-cd/argo-cd/9.5.15
5,prometheus-community/prometheus,29.8.0,29.8.0,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,proof:2 revision(s),catalog-supported,production-review-ready,default;server-only-ephemeral,record target-scoped support decision and refresh live/e2e observation lane,ha (curated proof lane — bespoke teaching needed),generated-facts;tpl;capabilities;cluster-rbac;stateful-storage,recipes/prometheus-community/prometheus/29.8.0/recipe.yaml,packages/prometheus-community/prometheus/29.8.0
6,bitnami/redis,25.5.3,25.5.3,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,proof:2 revision(s),catalog-supported,production-review-ready,default;reuse-existing-secret,record target-scoped support decision and refresh live/e2e observation lane,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),lookup;generated-facts;tpl;capabilities;stateful-storage,recipes/bitnami/redis/25.5.3/recipe.yaml,packages/bitnami/redis/25.5.3
7,bitnami/postgresql,18.6.7,18.6.7,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,proof:2 revision(s),catalog-supported,production-review-ready,generated-passwords;existing-secret,record target-scoped support decision and refresh live/e2e observation lane,ha (curated proof lane — bespoke teaching needed),lookup;generated-facts;tpl;capabilities;stateful-storage,recipes/bitnami/postgresql/18.6.7/recipe.yaml,packages/bitnami/postgresql/18.6.7
8,traefik/traefik,40.2.0,40.2.0,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,next80-full:2 revision(s),proof-grade,not-reviewed-for-production,,run catalog promotion review,existing-secret (chart ships no Secret toggle),lookup;generated-facts;tpl;capabilities;crds;cluster-rbac;webhooks;stateful-storage,recipes/traefik/traefik/40.2.0/recipe.yaml,packages/traefik/traefik/40.2.0
9,k8s-dashboard/kubernetes-dashboard,7.14.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;hooks;crds;cluster-rbac;webhooks;stateful-storage,,
10,grafana/loki,7.0.0,7.0.0,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,proof:2 revision(s),catalog-supported,production-review-ready,single-binary-filesystem;simple-scalable-minio,record target-scoped support decision and refresh live/e2e observation lane,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),lookup;generated-facts;tpl;capabilities;crds;cluster-rbac;webhooks;stateful-storage,recipes/grafana/loki/7.0.0/recipe.yaml,packages/grafana/loki/7.0.0
11,metrics-server/metrics-server,3.13.0,3.13.0,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,proof:2 revision(s),catalog-supported,production-review-ready,default;external-tls-ca,record target-scoped support decision and refresh live/e2e observation lane,existing-secret (chart ships no Secret toggle),lookup;generated-facts;capabilities;cluster-rbac,recipes/metrics-server/metrics-server/3.13.0/recipe.yaml,packages/metrics-server/metrics-server/3.13.0
12,hashicorp/vault,0.32.0,0.32.0,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,proof:2 revision(s),catalog-supported,production-review-ready,default;ha-raft-ui,record target-scoped support decision and refresh live/e2e observation lane,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),tpl;capabilities;cluster-rbac;webhooks;stateful-storage,recipes/hashicorp/vault/0.32.0/recipe.yaml,packages/hashicorp/vault/0.32.0
13,gitlab/gitlab,10.0.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;hooks;crds;cluster-rbac;webhooks;stateful-storage,,
14,harbor/harbor,1.19.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
15,bitnami/keycloak,25.2.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
16,jenkinsci/jenkins,5.9.22,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
17,external-secrets-operator/external-secrets,2.5.0,2.5.0,chart-name-version,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,proof:2 revision(s),catalog-supported,production-review-ready,default;no-crds,record target-scoped support decision and refresh live/e2e observation lane,,tpl;capabilities;crds;cluster-rbac;webhooks,recipes/external-secrets/external-secrets/2.5.0/recipe.yaml,packages/external-secrets/external-secrets/2.5.0
18,external-dns/external-dns,1.21.1,1.21.1,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,next80-full:2 revision(s),proof-grade,not-reviewed-for-production,,run catalog promotion review,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),tpl;crds;cluster-rbac,recipes/external-dns/external-dns/1.21.1/recipe.yaml,packages/external-dns/external-dns/1.21.1
19,longhorn/longhorn,1.11.2,1.11.2,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,proof:2 revision(s),catalog-supported,production-review-ready,default;ui-ingress,record target-scoped support decision and refresh live/e2e observation lane,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),generated-facts;tpl;cluster-rbac,recipes/longhorn/longhorn/1.11.2/recipe.yaml,packages/longhorn/longhorn/1.11.2
