chart,version,catalog_status,proof_surface,rendered_subjects,subjects_needing_resolution,image_refs,mutable_tag_refs,floating_latest_or_untagged_refs,resolution_receipts,support_image_policy_decisions,next_action
argo-cd/argo-cd,9.5.15,catalog-supported,top20-catalog-supported,2,2,18,18,0,2,1,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes
bitnami/mysql,14.0.3,catalog-supported,top20-catalog-supported,2,2,4,4,0,2,1,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes
bitnami/rabbitmq,16.0.14,catalog-supported,top20-catalog-supported,2,2,4,4,0,2,1,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes
external-secrets/external-secrets,2.5.0,catalog-supported,top20-catalog-supported,2,2,6,6,0,2,1,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes
grafana/grafana,10.5.15,catalog-supported,top20-catalog-supported,2,2,2,2,0,0,0,resolve image digests for each affected variant before production OCI support
grafana/loki,7.0.0,catalog-supported,top20-catalog-supported,2,2,19,19,0,2,1,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes
grafana/tempo,1.24.4,catalog-supported,top20-catalog-supported,2,2,3,3,0,0,0,resolve image digests for each affected variant before production OCI support
hashicorp/consul,2.0.0,catalog-supported,top20-catalog-supported,2,2,15,15,0,2,1,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes
hashicorp/vault,0.32.0,catalog-supported,top20-catalog-supported,2,2,4,4,0,0,0,resolve image digests for each affected variant before production OCI support
jetstack/cert-manager,v1.20.2,catalog-supported,top20-catalog-supported,2,2,6,6,0,2,1,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes
longhorn/longhorn,1.11.2,catalog-supported,top20-catalog-supported,2,2,10,10,0,0,0,resolve image digests for each affected variant before production OCI support
metrics-server/metrics-server,3.13.0,catalog-supported,top20-catalog-supported,2,2,2,2,0,2,1,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes
prometheus-community/kube-prometheus-stack,85.3.3,catalog-supported,top20-catalog-supported,2,2,16,16,0,2,1,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes
prometheus-community/prometheus,29.8.0,catalog-supported,top20-catalog-supported,2,2,8,8,0,2,1,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes
secrets-store-csi-driver/secrets-store-csi-driver,1.6.0,catalog-supported,top20-catalog-supported,2,2,6,6,0,0,0,resolve image digests for each affected variant before production OCI support
bitnami/mongodb,19.0.7,catalog-supported,top20-catalog-supported,2,0,5,0,0,0,1,none
bitnami/nginx,24.0.2,catalog-supported,top20-catalog-supported,2,0,4,0,0,0,0,none
