priority,chart,current_version,candidate_version,variants,lane,phase,evidence_target,first_action,done_when,command_or_route
1,argo-cd/argo-cd,9.5.15,9.5.17,default;no-crds,candidate-render-proof,already-generated,data/latest-top20-refresh/candidates/argo-cd-9.5.17/recipes/argo-cd/argo-cd/9.5.17;data/latest-top20-refresh/candidates/argo-cd-9.5.17/packages/argo-cd/argo-cd/9.5.17,keep the generated candidate recipe/package artifacts verified,top20:latest-candidates:verify and top20:latest-promotion-readiness:verify pass,npm run top20:latest-candidates:verify && npm run top20:latest-promotion-readiness:verify
2,argo-cd/argo-cd,9.5.15,9.5.17,default;no-crds,confighub-proof,done,runs/latest-top20-refresh/argo-cd-9.5.17/confighub-proof/latest/confighub-proof-receipt.yaml;runs/latest-top20-refresh/argo-cd-9.5.17/confighub-proof/latest/function-scan-receipt.yaml;runs/latest-top20-refresh/argo-cd-9.5.17/confighub-proof/latest/safe-ops-receipt.yaml,"keep the candidate ConfigHub proof, function-scan, and safe-ops receipts committed","candidate ConfigHub proof, function-scan, and safe-ops receipts are committed or summarized",npm run top20:latest-promotion-readiness:verify
3,argo-cd/argo-cd,9.5.15,9.5.17,default;no-crds,local-live-e2e,done,runs/latest-top20-refresh/argo-cd-9.5.17/local-kind/observation-receipt.json,keep the candidate local-kind observation receipt committed,"fresh local observation receipt records pass, watch, or blocked with a route",node scripts/run-top20-local-e2e.mjs --verify --latest-candidates --chart argo-cd
4,argo-cd/argo-cd,9.5.15,9.5.17,default;no-crds,live-parity,done,runs/latest-top20-refresh/argo-cd-9.5.17/live-parity/default/receipt.yaml,compare regular Helm and cub installer delivery for the candidate on the declared Kubernetes profile,"live parity receipt records pass, watch, or blocked with no silent semantic defect",node scripts/run-kind-parity.mjs --verify --latest-candidates --chart argo-cd
5,argo-cd/argo-cd,9.5.15,9.5.17,default;no-crds,production-disposition,done,data/latest-top20-refresh/production-disposition/,keep the candidate production-disposition boundary report committed,candidate production-disposition report states the target-scoped boundary without claiming production support,npm run top20:latest-production-disposition:verify
6,argo-cd/argo-cd,9.5.15,9.5.17,default;no-crds,promote-versioned-root-paths,done,recipes/argo-cd/argo-cd/9.5.17;packages/argo-cd/argo-cd/9.5.17,keep the candidate recipe/package visible at normal root paths while retaining the previous supported version,new root recipe/package paths exist and current supported version is still retained,npm run top20:latest-promote-root-paths:verify
7,argo-cd/argo-cd,9.5.15,9.5.17,default;no-crds,catalog-and-site,done,CATALOG.md;site/catalog.json;site/index.html,regenerate the chart catalog and generated site after the candidate root paths are present,"catalog and site show the candidate as a candidate, not as supported, until support review accepts it",npm run catalog:maps && npm run catalog:index && npm run site:generate
8,argo-cd/argo-cd,9.5.15,9.5.17,default;no-crds,top100-top500-refresh,done,data/top100-catalog-analysis/;data/top500-catalog-analysis/;data/status-dashboard/,"refresh top100, top500, status dashboard, data index, and refresh-survival after promotion",top100/top500/status/refresh outputs agree with the promoted catalog state,npm run top100:catalog && npm run top500:catalog && npm run refresh:survival && npm run status:dashboard && npm run data:index
1,bitnami/mongodb,19.0.7,19.0.9,generated-passwords;existing-secret-replicaset,candidate-render-proof,already-generated,data/latest-top20-refresh/candidates/mongodb-19.0.9/recipes/bitnami/mongodb/19.0.9;data/latest-top20-refresh/candidates/mongodb-19.0.9/packages/bitnami/mongodb/19.0.9,keep the generated candidate recipe/package artifacts verified,top20:latest-candidates:verify and top20:latest-promotion-readiness:verify pass,npm run top20:latest-candidates:verify && npm run top20:latest-promotion-readiness:verify
2,bitnami/mongodb,19.0.7,19.0.9,generated-passwords;existing-secret-replicaset,confighub-proof,done,runs/latest-top20-refresh/mongodb-19.0.9/confighub-proof/latest/confighub-proof-receipt.yaml;runs/latest-top20-refresh/mongodb-19.0.9/confighub-proof/latest/function-scan-receipt.yaml;runs/latest-top20-refresh/mongodb-19.0.9/confighub-proof/latest/safe-ops-receipt.yaml,"keep the candidate ConfigHub proof, function-scan, and safe-ops receipts committed","candidate ConfigHub proof, function-scan, and safe-ops receipts are committed or summarized",npm run top20:latest-promotion-readiness:verify
3,bitnami/mongodb,19.0.7,19.0.9,generated-passwords;existing-secret-replicaset,local-live-e2e,done,runs/latest-top20-refresh/mongodb-19.0.9/local-kind/observation-receipt.json,keep the candidate local-kind observation receipt committed,"fresh local observation receipt records pass, watch, or blocked with a route",node scripts/run-top20-local-e2e.mjs --verify --latest-candidates --chart mongodb
4,bitnami/mongodb,19.0.7,19.0.9,generated-passwords;existing-secret-replicaset,live-parity,done,runs/latest-top20-refresh/mongodb-19.0.9/live-parity/generated-passwords/receipt.yaml,compare regular Helm and cub installer delivery for the candidate on the declared Kubernetes profile,"live parity receipt records pass, watch, or blocked with no silent semantic defect",node scripts/run-kind-parity.mjs --verify --latest-candidates --chart mongodb
5,bitnami/mongodb,19.0.7,19.0.9,generated-passwords;existing-secret-replicaset,production-disposition,done,data/latest-top20-refresh/production-disposition/,keep the candidate production-disposition boundary report committed,candidate production-disposition report states the target-scoped boundary without claiming production support,npm run top20:latest-production-disposition:verify
6,bitnami/mongodb,19.0.7,19.0.9,generated-passwords;existing-secret-replicaset,promote-versioned-root-paths,done,recipes/bitnami/mongodb/19.0.9;packages/bitnami/mongodb/19.0.9,keep the candidate recipe/package visible at normal root paths while retaining the previous supported version,new root recipe/package paths exist and current supported version is still retained,npm run top20:latest-promote-root-paths:verify
7,bitnami/mongodb,19.0.7,19.0.9,generated-passwords;existing-secret-replicaset,catalog-and-site,done,CATALOG.md;site/catalog.json;site/index.html,regenerate the chart catalog and generated site after the candidate root paths are present,"catalog and site show the candidate as a candidate, not as supported, until support review accepts it",npm run catalog:maps && npm run catalog:index && npm run site:generate
8,bitnami/mongodb,19.0.7,19.0.9,generated-passwords;existing-secret-replicaset,top100-top500-refresh,done,data/top100-catalog-analysis/;data/top500-catalog-analysis/;data/status-dashboard/,"refresh top100, top500, status dashboard, data index, and refresh-survival after promotion",top100/top500/status/refresh outputs agree with the promoted catalog state,npm run top100:catalog && npm run top500:catalog && npm run refresh:survival && npm run status:dashboard && npm run data:index
1,bitnami/nginx,24.0.2,25.0.0,http-clusterip;existing-tls-ingress,candidate-render-proof,already-generated,data/latest-top20-refresh/candidates/nginx-25.0.0/recipes/bitnami/nginx/25.0.0;data/latest-top20-refresh/candidates/nginx-25.0.0/packages/bitnami/nginx/25.0.0,keep the generated candidate recipe/package artifacts verified,top20:latest-candidates:verify and top20:latest-promotion-readiness:verify pass,npm run top20:latest-candidates:verify && npm run top20:latest-promotion-readiness:verify
2,bitnami/nginx,24.0.2,25.0.0,http-clusterip;existing-tls-ingress,confighub-proof,done,runs/latest-top20-refresh/nginx-25.0.0/confighub-proof/latest/confighub-proof-receipt.yaml;runs/latest-top20-refresh/nginx-25.0.0/confighub-proof/latest/function-scan-receipt.yaml;runs/latest-top20-refresh/nginx-25.0.0/confighub-proof/latest/safe-ops-receipt.yaml,"keep the candidate ConfigHub proof, function-scan, and safe-ops receipts committed","candidate ConfigHub proof, function-scan, and safe-ops receipts are committed or summarized",npm run top20:latest-promotion-readiness:verify
3,bitnami/nginx,24.0.2,25.0.0,http-clusterip;existing-tls-ingress,local-live-e2e,done,runs/latest-top20-refresh/nginx-25.0.0/local-kind/observation-receipt.json,keep the candidate local-kind observation receipt committed,"fresh local observation receipt records pass, watch, or blocked with a route",node scripts/run-top20-local-e2e.mjs --verify --latest-candidates --chart nginx
4,bitnami/nginx,24.0.2,25.0.0,http-clusterip;existing-tls-ingress,live-parity,done,runs/latest-top20-refresh/nginx-25.0.0/live-parity/http-clusterip/receipt.yaml,compare regular Helm and cub installer delivery for the candidate on the declared Kubernetes profile,"live parity receipt records pass, watch, or blocked with no silent semantic defect",node scripts/run-kind-parity.mjs --verify --latest-candidates --chart nginx
5,bitnami/nginx,24.0.2,25.0.0,http-clusterip;existing-tls-ingress,production-disposition,done,data/latest-top20-refresh/production-disposition/,keep the candidate production-disposition boundary report committed,candidate production-disposition report states the target-scoped boundary without claiming production support,npm run top20:latest-production-disposition:verify
6,bitnami/nginx,24.0.2,25.0.0,http-clusterip;existing-tls-ingress,promote-versioned-root-paths,done,recipes/bitnami/nginx/25.0.0;packages/bitnami/nginx/25.0.0,keep the candidate recipe/package visible at normal root paths while retaining the previous supported version,new root recipe/package paths exist and current supported version is still retained,npm run top20:latest-promote-root-paths:verify
7,bitnami/nginx,24.0.2,25.0.0,http-clusterip;existing-tls-ingress,catalog-and-site,done,CATALOG.md;site/catalog.json;site/index.html,regenerate the chart catalog and generated site after the candidate root paths are present,"catalog and site show the candidate as a candidate, not as supported, until support review accepts it",npm run catalog:maps && npm run catalog:index && npm run site:generate
8,bitnami/nginx,24.0.2,25.0.0,http-clusterip;existing-tls-ingress,top100-top500-refresh,done,data/top100-catalog-analysis/;data/top500-catalog-analysis/;data/status-dashboard/,"refresh top100, top500, status dashboard, data index, and refresh-survival after promotion",top100/top500/status/refresh outputs agree with the promoted catalog state,npm run top100:catalog && npm run top500:catalog && npm run refresh:survival && npm run status:dashboard && npm run data:index
1,bitnami/postgresql,18.6.7,18.7.0,generated-passwords;existing-secret,candidate-render-proof,already-generated,data/latest-top20-refresh/candidates/postgresql-18.7.0/recipes/bitnami/postgresql/18.7.0;data/latest-top20-refresh/candidates/postgresql-18.7.0/packages/bitnami/postgresql/18.7.0,keep the generated candidate recipe/package artifacts verified,top20:latest-candidates:verify and top20:latest-promotion-readiness:verify pass,npm run top20:latest-candidates:verify && npm run top20:latest-promotion-readiness:verify
2,bitnami/postgresql,18.6.7,18.7.0,generated-passwords;existing-secret,confighub-proof,done,runs/latest-top20-refresh/postgresql-18.7.0/confighub-proof/latest/confighub-proof-receipt.yaml;runs/latest-top20-refresh/postgresql-18.7.0/confighub-proof/latest/function-scan-receipt.yaml;runs/latest-top20-refresh/postgresql-18.7.0/confighub-proof/latest/safe-ops-receipt.yaml,"keep the candidate ConfigHub proof, function-scan, and safe-ops receipts committed","candidate ConfigHub proof, function-scan, and safe-ops receipts are committed or summarized",npm run top20:latest-promotion-readiness:verify
3,bitnami/postgresql,18.6.7,18.7.0,generated-passwords;existing-secret,local-live-e2e,done,runs/latest-top20-refresh/postgresql-18.7.0/local-kind/observation-receipt.json,keep the candidate local-kind observation receipt committed,"fresh local observation receipt records pass, watch, or blocked with a route",node scripts/run-top20-local-e2e.mjs --verify --latest-candidates --chart postgresql
4,bitnami/postgresql,18.6.7,18.7.0,generated-passwords;existing-secret,live-parity,done,runs/latest-top20-refresh/postgresql-18.7.0/live-parity/generated-passwords/receipt.yaml,compare regular Helm and cub installer delivery for the candidate on the declared Kubernetes profile,"live parity receipt records pass, watch, or blocked with no silent semantic defect",node scripts/run-kind-parity.mjs --verify --latest-candidates --chart postgresql
5,bitnami/postgresql,18.6.7,18.7.0,generated-passwords;existing-secret,production-disposition,done,data/latest-top20-refresh/production-disposition/,keep the candidate production-disposition boundary report committed,candidate production-disposition report states the target-scoped boundary without claiming production support,npm run top20:latest-production-disposition:verify
6,bitnami/postgresql,18.6.7,18.7.0,generated-passwords;existing-secret,promote-versioned-root-paths,done,recipes/bitnami/postgresql/18.7.0;packages/bitnami/postgresql/18.7.0,keep the candidate recipe/package visible at normal root paths while retaining the previous supported version,new root recipe/package paths exist and current supported version is still retained,npm run top20:latest-promote-root-paths:verify
7,bitnami/postgresql,18.6.7,18.7.0,generated-passwords;existing-secret,catalog-and-site,done,CATALOG.md;site/catalog.json;site/index.html,regenerate the chart catalog and generated site after the candidate root paths are present,"catalog and site show the candidate as a candidate, not as supported, until support review accepts it",npm run catalog:maps && npm run catalog:index && npm run site:generate
8,bitnami/postgresql,18.6.7,18.7.0,generated-passwords;existing-secret,top100-top500-refresh,done,data/top100-catalog-analysis/;data/top500-catalog-analysis/;data/status-dashboard/,"refresh top100, top500, status dashboard, data index, and refresh-survival after promotion",top100/top500/status/refresh outputs agree with the promoted catalog state,npm run top100:catalog && npm run top500:catalog && npm run refresh:survival && npm run status:dashboard && npm run data:index
1,bitnami/redis,25.5.3,27.0.0,default;reuse-existing-secret,candidate-render-proof,already-generated,data/latest-top20-refresh/candidates/redis-27.0.0/recipes/bitnami/redis/27.0.0;data/latest-top20-refresh/candidates/redis-27.0.0/packages/bitnami/redis/27.0.0,keep the generated candidate recipe/package artifacts verified,top20:latest-candidates:verify and top20:latest-promotion-readiness:verify pass,npm run top20:latest-candidates:verify && npm run top20:latest-promotion-readiness:verify
2,bitnami/redis,25.5.3,27.0.0,default;reuse-existing-secret,confighub-proof,done,runs/latest-top20-refresh/redis-27.0.0/confighub-proof/latest/confighub-proof-receipt.yaml;runs/latest-top20-refresh/redis-27.0.0/confighub-proof/latest/function-scan-receipt.yaml;runs/latest-top20-refresh/redis-27.0.0/confighub-proof/latest/safe-ops-receipt.yaml,"keep the candidate ConfigHub proof, function-scan, and safe-ops receipts committed","candidate ConfigHub proof, function-scan, and safe-ops receipts are committed or summarized",npm run top20:latest-promotion-readiness:verify
3,bitnami/redis,25.5.3,27.0.0,default;reuse-existing-secret,local-live-e2e,done,runs/latest-top20-refresh/redis-27.0.0/local-kind/observation-receipt.json,keep the candidate local-kind observation receipt committed,"fresh local observation receipt records pass, watch, or blocked with a route",node scripts/run-top20-local-e2e.mjs --verify --latest-candidates --chart redis
4,bitnami/redis,25.5.3,27.0.0,default;reuse-existing-secret,live-parity,done,runs/latest-top20-refresh/redis-27.0.0/live-parity/default/receipt.yaml,compare regular Helm and cub installer delivery for the candidate on the declared Kubernetes profile,"live parity receipt records pass, watch, or blocked with no silent semantic defect",node scripts/run-kind-parity.mjs --verify --latest-candidates --chart redis
5,bitnami/redis,25.5.3,27.0.0,default;reuse-existing-secret,production-disposition,done,data/latest-top20-refresh/production-disposition/,keep the candidate production-disposition boundary report committed,candidate production-disposition report states the target-scoped boundary without claiming production support,npm run top20:latest-production-disposition:verify
6,bitnami/redis,25.5.3,27.0.0,default;reuse-existing-secret,promote-versioned-root-paths,done,recipes/bitnami/redis/27.0.0;packages/bitnami/redis/27.0.0,keep the candidate recipe/package visible at normal root paths while retaining the previous supported version,new root recipe/package paths exist and current supported version is still retained,npm run top20:latest-promote-root-paths:verify
7,bitnami/redis,25.5.3,27.0.0,default;reuse-existing-secret,catalog-and-site,done,CATALOG.md;site/catalog.json;site/index.html,regenerate the chart catalog and generated site after the candidate root paths are present,"catalog and site show the candidate as a candidate, not as supported, until support review accepts it",npm run catalog:maps && npm run catalog:index && npm run site:generate
8,bitnami/redis,25.5.3,27.0.0,default;reuse-existing-secret,top100-top500-refresh,done,data/top100-catalog-analysis/;data/top500-catalog-analysis/;data/status-dashboard/,"refresh top100, top500, status dashboard, data index, and refresh-survival after promotion",top100/top500/status/refresh outputs agree with the promoted catalog state,npm run top100:catalog && npm run top500:catalog && npm run refresh:survival && npm run status:dashboard && npm run data:index
1,prometheus-community/kube-prometheus-stack,85.3.3,86.1.0,default;no-crds,candidate-render-proof,already-generated,data/latest-top20-refresh/candidates/kube-prometheus-stack-86.1.0/recipes/prometheus-community/kube-prometheus-stack/86.1.0;data/latest-top20-refresh/candidates/kube-prometheus-stack-86.1.0/packages/prometheus-community/kube-prometheus-stack/86.1.0,keep the generated candidate recipe/package artifacts verified,top20:latest-candidates:verify and top20:latest-promotion-readiness:verify pass,npm run top20:latest-candidates:verify && npm run top20:latest-promotion-readiness:verify
2,prometheus-community/kube-prometheus-stack,85.3.3,86.1.0,default;no-crds,confighub-proof,done,runs/latest-top20-refresh/kube-prometheus-stack-86.1.0/confighub-proof/latest/confighub-proof-receipt.yaml;runs/latest-top20-refresh/kube-prometheus-stack-86.1.0/confighub-proof/latest/function-scan-receipt.yaml;runs/latest-top20-refresh/kube-prometheus-stack-86.1.0/confighub-proof/latest/safe-ops-receipt.yaml,"keep the candidate ConfigHub proof, function-scan, and safe-ops receipts committed","candidate ConfigHub proof, function-scan, and safe-ops receipts are committed or summarized",npm run top20:latest-promotion-readiness:verify
3,prometheus-community/kube-prometheus-stack,85.3.3,86.1.0,default;no-crds,local-live-e2e,done,runs/latest-top20-refresh/kube-prometheus-stack-86.1.0/local-kind/observation-receipt.json,keep the candidate local-kind observation receipt committed,"fresh local observation receipt records pass, watch, or blocked with a route",node scripts/run-top20-local-e2e.mjs --verify --latest-candidates --chart kube-prometheus-stack
4,prometheus-community/kube-prometheus-stack,85.3.3,86.1.0,default;no-crds,live-parity,done,runs/latest-top20-refresh/kube-prometheus-stack-86.1.0/live-parity/default/receipt.yaml,compare regular Helm and cub installer delivery for the candidate on the declared Kubernetes profile,"live parity receipt records pass, watch, or blocked with no silent semantic defect",node scripts/run-kind-parity.mjs --verify --latest-candidates --chart kube-prometheus-stack
5,prometheus-community/kube-prometheus-stack,85.3.3,86.1.0,default;no-crds,production-disposition,done,data/latest-top20-refresh/production-disposition/,keep the candidate production-disposition boundary report committed,candidate production-disposition report states the target-scoped boundary without claiming production support,npm run top20:latest-production-disposition:verify
6,prometheus-community/kube-prometheus-stack,85.3.3,86.1.0,default;no-crds,promote-versioned-root-paths,done,recipes/prometheus-community/kube-prometheus-stack/86.1.0;packages/prometheus-community/kube-prometheus-stack/86.1.0,keep the candidate recipe/package visible at normal root paths while retaining the previous supported version,new root recipe/package paths exist and current supported version is still retained,npm run top20:latest-promote-root-paths:verify
7,prometheus-community/kube-prometheus-stack,85.3.3,86.1.0,default;no-crds,catalog-and-site,done,CATALOG.md;site/catalog.json;site/index.html,regenerate the chart catalog and generated site after the candidate root paths are present,"catalog and site show the candidate as a candidate, not as supported, until support review accepts it",npm run catalog:maps && npm run catalog:index && npm run site:generate
8,prometheus-community/kube-prometheus-stack,85.3.3,86.1.0,default;no-crds,top100-top500-refresh,done,data/top100-catalog-analysis/;data/top500-catalog-analysis/;data/status-dashboard/,"refresh top100, top500, status dashboard, data index, and refresh-survival after promotion",top100/top500/status/refresh outputs agree with the promoted catalog state,npm run top100:catalog && npm run top500:catalog && npm run refresh:survival && npm run status:dashboard && npm run data:index
1,prometheus-community/prometheus,29.8.0,29.9.0,default;server-only-ephemeral,candidate-render-proof,already-generated,data/latest-top20-refresh/candidates/prometheus-29.9.0/recipes/prometheus-community/prometheus/29.9.0;data/latest-top20-refresh/candidates/prometheus-29.9.0/packages/prometheus-community/prometheus/29.9.0,keep the generated candidate recipe/package artifacts verified,top20:latest-candidates:verify and top20:latest-promotion-readiness:verify pass,npm run top20:latest-candidates:verify && npm run top20:latest-promotion-readiness:verify
2,prometheus-community/prometheus,29.8.0,29.9.0,default;server-only-ephemeral,confighub-proof,done,runs/latest-top20-refresh/prometheus-29.9.0/confighub-proof/latest/confighub-proof-receipt.yaml;runs/latest-top20-refresh/prometheus-29.9.0/confighub-proof/latest/function-scan-receipt.yaml;runs/latest-top20-refresh/prometheus-29.9.0/confighub-proof/latest/safe-ops-receipt.yaml,"keep the candidate ConfigHub proof, function-scan, and safe-ops receipts committed","candidate ConfigHub proof, function-scan, and safe-ops receipts are committed or summarized",npm run top20:latest-promotion-readiness:verify
3,prometheus-community/prometheus,29.8.0,29.9.0,default;server-only-ephemeral,local-live-e2e,done,runs/latest-top20-refresh/prometheus-29.9.0/local-kind/observation-receipt.json,keep the candidate local-kind observation receipt committed,"fresh local observation receipt records pass, watch, or blocked with a route",node scripts/run-top20-local-e2e.mjs --verify --latest-candidates --chart prometheus
4,prometheus-community/prometheus,29.8.0,29.9.0,default;server-only-ephemeral,live-parity,done,runs/latest-top20-refresh/prometheus-29.9.0/live-parity/server-only-ephemeral/receipt.yaml,compare regular Helm and cub installer delivery for the candidate on the declared Kubernetes profile,"live parity receipt records pass, watch, or blocked with no silent semantic defect",node scripts/run-kind-parity.mjs --verify --latest-candidates --chart prometheus
5,prometheus-community/prometheus,29.8.0,29.9.0,default;server-only-ephemeral,production-disposition,done,data/latest-top20-refresh/production-disposition/,keep the candidate production-disposition boundary report committed,candidate production-disposition report states the target-scoped boundary without claiming production support,npm run top20:latest-production-disposition:verify
6,prometheus-community/prometheus,29.8.0,29.9.0,default;server-only-ephemeral,promote-versioned-root-paths,done,recipes/prometheus-community/prometheus/29.9.0;packages/prometheus-community/prometheus/29.9.0,keep the candidate recipe/package visible at normal root paths while retaining the previous supported version,new root recipe/package paths exist and current supported version is still retained,npm run top20:latest-promote-root-paths:verify
7,prometheus-community/prometheus,29.8.0,29.9.0,default;server-only-ephemeral,catalog-and-site,done,CATALOG.md;site/catalog.json;site/index.html,regenerate the chart catalog and generated site after the candidate root paths are present,"catalog and site show the candidate as a candidate, not as supported, until support review accepts it",npm run catalog:maps && npm run catalog:index && npm run site:generate
8,prometheus-community/prometheus,29.8.0,29.9.0,default;server-only-ephemeral,top100-top500-refresh,done,data/top100-catalog-analysis/;data/top500-catalog-analysis/;data/status-dashboard/,"refresh top100, top500, status dashboard, data index, and refresh-survival after promotion",top100/top500/status/refresh outputs agree with the promoted catalog state,npm run top100:catalog && npm run top500:catalog && npm run refresh:survival && npm run status:dashboard && npm run data:index
