wave2_rank,priority,chart,version,proposed_base,family,realization_strategy,render_time_knobs,target_inputs,required_receipts,first_action
1,6,fluent/fluent-bit,0.57.6,node-or-cluster-collector,logging-telemetry-agent,values-profile-rerender (NOT alias; changes Helm inputs),DaemonSet versus Deployment shape; destination Secret or endpoint; RBAC scope; persistence if present,namespace and target only,helm-equivalence receipt for the new values profile; package verification; queue row update,"design effective-values-node-or-cluster-collector.yaml from the named knobs, re-render via the recipe lane, then realize variant+revision+package base"
2,22,runix/pgadmin4,1.62.0,web-ui-existing-secret,web-admin-ui,values-profile-rerender (NOT alias; changes Helm inputs),Service/Ingress shape; TLS Secret reference; auth or admin Secret policy; persistence if present,Secret reference; StorageClass or persistence choice; required chart values,helm-equivalence receipt for the new values profile; package verification; queue row update,"design effective-values-web-ui-existing-secret.yaml from the named knobs, re-render via the recipe lane, then realize variant+revision+package base"
3,23,gitlab/gitlab-runner,0.89.0,runner-existing-secret,ci-runner,values-profile-rerender (NOT alias; changes Helm inputs),registration Secret reference; runner RBAC; namespace; executor/storage choices,Secret reference; target facts,helm-equivalence receipt for the new values profile; package verification; queue row update,"design effective-values-runner-existing-secret.yaml from the named knobs, re-render via the recipe lane, then realize variant+revision+package base"
4,23,nfs-subdir-external-provisioner/nfs-subdir-external-provisioner,4.0.18,storage-default-reviewed,storage-platform,values-profile-rerender (NOT alias; changes Helm inputs),StorageClass; persistence; CRD ownership if present; privileged permissions; cleanup/retention policy,StorageClass or persistence choice,helm-equivalence receipt for the new values profile; package verification; queue row update,"design effective-values-storage-default-reviewed.yaml from the named knobs, re-render via the recipe lane, then realize variant+revision+package base"
5,26,fairwinds-stable/goldilocks,10.3.0,cluster-metrics-readonly,monitoring-metrics,values-profile-rerender (NOT alias; changes Helm inputs),service exposure; RBAC scope; persistence if the chart stores state; CRD ownership if present,Secret reference; CRD ownership choice; webhook readiness observation; target facts,helm-equivalence receipt for the new values profile; package verification; queue row update,"design effective-values-cluster-metrics-readonly.yaml from the named knobs, re-render via the recipe lane, then realize variant+revision+package base"
6,27,projectcalico/tigera-operator,v3.32.0,controller-default-reviewed,platform-controller,values-profile-rerender (NOT alias; changes Helm inputs),CRD ownership; admission/webhook behavior; RBAC scope; leader-election or HA flags; required values,target facts; required chart values,helm-equivalence receipt for the new values profile; package verification; queue row update,"design effective-values-controller-default-reviewed.yaml from the named knobs, re-render via the recipe lane, then realize variant+revision+package base"
7,32,elastic/kibana,8.5.1,web-ui-existing-secret,web-admin-ui,values-profile-rerender (NOT alias; changes Helm inputs),Service/Ingress shape; TLS Secret reference; auth or admin Secret policy; persistence if present,namespace and target only,helm-equivalence receipt for the new values profile; package verification; queue row update,"design effective-values-web-ui-existing-secret.yaml from the named knobs, re-render via the recipe lane, then realize variant+revision+package base"
8,33,descheduler/descheduler,0.36.0,cluster-metrics-readonly,monitoring-metrics,values-profile-rerender (NOT alias; changes Helm inputs),service exposure; RBAC scope; persistence if the chart stores state; CRD ownership if present,required chart values,helm-equivalence receipt for the new values profile; package verification; queue row update,"design effective-values-cluster-metrics-readonly.yaml from the named knobs, re-render via the recipe lane, then realize variant+revision+package base"
9,37,falcosecurity/falco,9.0.0,node-or-cluster-collector,logging-telemetry-agent,values-profile-rerender (NOT alias; changes Helm inputs),DaemonSet versus Deployment shape; destination Secret or endpoint; RBAC scope; persistence if present,Secret reference; StorageClass or persistence choice; target facts; required chart values,helm-equivalence receipt for the new values profile; package verification; queue row update,"design effective-values-node-or-cluster-collector.yaml from the named knobs, re-render via the recipe lane, then realize variant+revision+package base"
10,37,jaegertracing/jaeger,4.8.0,node-or-cluster-collector,logging-telemetry-agent,values-profile-rerender (NOT alias; changes Helm inputs),DaemonSet versus Deployment shape; destination Secret or endpoint; RBAC scope; persistence if present,Secret reference; target facts,helm-equivalence receipt for the new values profile; package verification; queue row update,"design effective-values-node-or-cluster-collector.yaml from the named knobs, re-render via the recipe lane, then realize variant+revision+package base"
11,37,prometheus-community/prometheus-operator-crds,29.0.0,cluster-metrics-readonly,monitoring-metrics,values-profile-rerender (NOT alias; changes Helm inputs),service exposure; RBAC scope; persistence if the chart stores state; CRD ownership if present,Secret reference; CRD ownership choice; target facts,helm-equivalence receipt for the new values profile; package verification; queue row update,"design effective-values-cluster-metrics-readonly.yaml from the named knobs, re-render via the recipe lane, then realize variant+revision+package base"
