severity,chart,check,detail
warn,bitnami/mongodb,supported-cites-cross-version-receipt,"decision for 19.0.7 cites a 19.1.0 receipt (version skew — confirm the doctrine derive-rule covers it) — runs/live-kind-parity/bitnami-mongodb-static-passwords/receipt.yaml"
warn,bitnami/mongodb,recommends-base-outside-supported-scope,"password caveat recommends base ""existing-secret-replicaset"" but the support decision covers only ""static-passwords"" — following the page's own advice steps off the supported base"
warn,bitnami/mysql,recommends-base-outside-supported-scope,"password caveat recommends base ""existing-secret"" but the support decision covers only ""static-passwords"" — following the page's own advice steps off the supported base"
warn,bitnami/nginx,supported-cites-cross-version-receipt,"decision for 24.0.2 cites a 25.0.0 receipt (version skew — confirm the doctrine derive-rule covers it) — runs/live-kind-parity/bitnami-nginx-http-clusterip/receipt.yaml"
warn,bitnami/nginx,recommends-base-outside-supported-scope,"password caveat recommends base ""existing-tls-ingress"" but the support decision covers only ""http-clusterip"" — following the page's own advice steps off the supported base"
warn,bitnami/postgresql,supported-cites-cross-version-receipt,"decision for 18.6.7 cites a 18.7.0 receipt (version skew — confirm the doctrine derive-rule covers it) — runs/live-kind-parity/bitnami-postgresql-static-passwords/receipt.yaml"
warn,bitnami/postgresql,recommends-base-outside-supported-scope,"password caveat recommends base ""existing-secret"" but the support decision covers only ""static-passwords"" — following the page's own advice steps off the supported base"
warn,bitnami/rabbitmq,recommends-base-outside-supported-scope,"password caveat recommends base ""existing-secret"" but the support decision covers only ""static-passwords"" — following the page's own advice steps off the supported base"
warn,bitnami/redis,supported-cites-cross-version-receipt,"decision for 25.5.3 cites a 27.0.0 receipt (version skew — confirm the doctrine derive-rule covers it) — runs/live-kind-parity/bitnami-redis-default/receipt.yaml"
warn,bitnami/redis,recommends-base-outside-supported-scope,"password caveat recommends base ""reuse-existing-secret"" but the support decision covers only ""default"" — following the page's own advice steps off the supported base"
warn,fairwinds-stable/vpa,recommends-base-with-nonpass-receipt,"CRD caveat recommends base ""no-crds"" whose live receipt is result: watch"
warn,grafana/pyroscope,recommends-base-with-nonpass-receipt,"CRD caveat recommends base ""no-crds"" whose live receipt is result: watch"
warn,grafana/rollout-operator,recommends-base-with-nonpass-receipt,"CRD caveat recommends base ""no-crds"" whose live receipt is result: watch"
warn,grafana/tempo,recommends-base-with-nonpass-receipt,"password caveat recommends base ""s3-query-observability"" whose live receipt is result: watch"
warn,grafana/tempo,recommends-base-outside-supported-scope,"password caveat recommends base ""s3-query-observability"" but the support decision covers only ""local-persistent"" — following the page's own advice steps off the supported base"
warn,jetstack/trust-manager,recommends-base-with-nonpass-receipt,"CRD caveat recommends base ""no-crds"" whose live receipt is result: watch"
warn,kedacore/keda,recommends-base-with-nonpass-receipt,"CRD caveat recommends base ""no-crds"" whose live receipt is result: watch"
warn,metrics-server/metrics-server,recommends-base-outside-supported-scope,"password caveat recommends base ""external-tls-ca"" but the support decision covers only ""default"" — following the page's own advice steps off the supported base"
warn,open-telemetry/opentelemetry-operator,recommends-base-with-nonpass-receipt,"CRD caveat recommends base ""no-crds"" whose live receipt is result: watch"
warn,percona/pg-operator,recommends-base-with-nonpass-receipt,"CRD caveat recommends base ""no-crds"" whose live receipt is result: watch"
warn,percona/pxc-operator,recommends-base-with-nonpass-receipt,"CRD caveat recommends base ""no-crds"" whose live receipt is result: watch"
warn,prometheus-community/kube-prometheus-stack,recommends-base-outside-supported-scope,"CRD caveat recommends base ""no-crds"" but the support decision covers only ""default"" — following the page's own advice steps off the supported base"
warn,prometheus-community/prometheus,supported-cites-cross-version-receipt,"decision for 29.8.0 cites a 29.9.0 receipt (version skew — confirm the doctrine derive-rule covers it) — runs/live-kind-parity/prometheus-community-prometheus-server-only-ephemeral/receipt.yaml"
warn,strimzi/strimzi-kafka-operator,recommends-base-with-nonpass-receipt,"CRD caveat recommends base ""no-crds"" whose live receipt is result: watch"
warn,traefik/traefik,recommends-base-with-nonpass-receipt,"CRD caveat recommends base ""no-crds"" whose live receipt is result: watch"
