chart,base,secret_identity,secret_name,namespace,secret_type,source,role,disposition,related_dependency,evidence,notes
aqua/trivy-operator@0.32.1,default,v1|Secret|default|trivy-operator-trivy-config,trivy-operator-trivy-config,default,Opaque,rendered-object,secret-material-review,delivered,-,recipes/aqua/trivy-operator/0.32.1/revisions/default/r001/rendered/release-objects.yaml,Rendered Secret needs review before stronger production claims. The installer package records separated Secret handling for this base. Scan evidence: recipes/aqua/trivy-operator/0.32.1/revisions/default/r001/receipts/scan-receipt.yaml.
aqua/trivy-operator@0.32.1,default,v1|Secret|default|trivy-operator,trivy-operator,default,Opaque,rendered-object,secret-material-review,delivered,-,recipes/aqua/trivy-operator/0.32.1/revisions/default/r001/rendered/release-objects.yaml,Rendered Secret needs review before stronger production claims. The installer package records separated Secret handling for this base. Scan evidence: recipes/aqua/trivy-operator/0.32.1/revisions/default/r001/receipts/scan-receipt.yaml.
aqua/trivy-operator@0.32.1,no-crds,v1|Secret|default|trivy-operator-trivy-config,trivy-operator-trivy-config,default,Opaque,rendered-object,secret-material-review,delivered,-,recipes/aqua/trivy-operator/0.32.1/revisions/no-crds/r001/rendered/release-objects.yaml,Rendered Secret needs review before stronger production claims. Scan evidence: recipes/aqua/trivy-operator/0.32.1/revisions/no-crds/r001/receipts/scan-receipt.yaml.
aqua/trivy-operator@0.32.1,no-crds,v1|Secret|default|trivy-operator,trivy-operator,default,Opaque,rendered-object,secret-material-review,delivered,-,recipes/aqua/trivy-operator/0.32.1/revisions/no-crds/r001/rendered/release-objects.yaml,Rendered Secret needs review before stronger production claims. Scan evidence: recipes/aqua/trivy-operator/0.32.1/revisions/no-crds/r001/receipts/scan-receipt.yaml.
argo-cd/argo-cd@9.5.15,default,v1|Secret|argocd|argocd-notifications-secret,argocd-notifications-secret,argocd,Opaque,rendered-object,user-credential-material,delivered,-,recipes/argo-cd/argo-cd/9.5.15/revisions/default/r001/rendered/release-objects.yaml,User or application credential material; production use needs a target-scoped Secret policy. The installer package records separated Secret handling for this base. Scan evidence: recipes/argo-cd/argo-cd/9.5.15/revisions/default/r001/receipts/scan-receipt.yaml.
argo-cd/argo-cd@9.5.15,default,v1|Secret|argocd|argocd-redis,argocd-redis,argocd,target-fact,target-fact,user-credential-material,staged,required keys: auth,recipes/argo-cd/argo-cd/9.5.15/variants/default/variant.yaml,Redis auth Secret normally generated by the chart secret-init hook; config-only delivery lanes stage it explicitly
argo-cd/argo-cd@9.5.15,default,v1|Secret|argocd|argocd-secret,argocd-secret,argocd,Opaque,rendered-object,user-credential-material,delivered,-,recipes/argo-cd/argo-cd/9.5.15/revisions/default/r001/rendered/release-objects.yaml,User or application credential material; production use needs a target-scoped Secret policy. The installer package records separated Secret handling for this base. Scan evidence: recipes/argo-cd/argo-cd/9.5.15/revisions/default/r001/receipts/scan-receipt.yaml.
argo-cd/argo-cd@9.5.15,no-crds,v1|Secret|argocd|argocd-notifications-secret,argocd-notifications-secret,argocd,Opaque,rendered-object,user-credential-material,delivered,-,recipes/argo-cd/argo-cd/9.5.15/revisions/no-crds/r001/rendered/release-objects.yaml,User or application credential material; production use needs a target-scoped Secret policy. The installer package records separated Secret handling for this base. Scan evidence: recipes/argo-cd/argo-cd/9.5.15/revisions/no-crds/r001/receipts/scan-receipt.yaml.
argo-cd/argo-cd@9.5.15,no-crds,v1|Secret|argocd|argocd-redis,argocd-redis,argocd,target-fact,target-fact,user-credential-material,staged,required keys: auth,recipes/argo-cd/argo-cd/9.5.15/variants/no-crds/variant.yaml,Redis auth Secret normally generated by the chart secret-init hook; config-only delivery lanes stage it explicitly
argo-cd/argo-cd@9.5.15,no-crds,v1|Secret|argocd|argocd-secret,argocd-secret,argocd,Opaque,rendered-object,user-credential-material,delivered,-,recipes/argo-cd/argo-cd/9.5.15/revisions/no-crds/r001/rendered/release-objects.yaml,User or application credential material; production use needs a target-scoped Secret policy. The installer package records separated Secret handling for this base. Scan evidence: recipes/argo-cd/argo-cd/9.5.15/revisions/no-crds/r001/receipts/scan-receipt.yaml.
autoscaler/vertical-pod-autoscaler@0.9.0,default,v1|Secret|default|vpa-tls-certs,vpa-tls-certs,default,target-fact,target-fact,kubernetes-lifecycle-state,staged,required keys: ca;cert;key,recipes/autoscaler/vertical-pod-autoscaler/0.9.0/variants/default/variant.yaml,Webhook serving certificate Secret mounted by the VPA admission controller; Helm normally creates this via the certgen hook
autoscaler/vertical-pod-autoscaler@0.9.0,no-crds,v1|Secret|default|vpa-tls-certs,vpa-tls-certs,default,target-fact,target-fact,kubernetes-lifecycle-state,staged,required keys: ca;cert;key,recipes/autoscaler/vertical-pod-autoscaler/0.9.0/variants/no-crds/variant.yaml,Webhook serving certificate Secret mounted by the VPA admission controller; Helm normally creates this via the certgen hook
bitnami/mongodb@19.0.7,existing-secret-replicaset,v1|Secret|mongodb|mongodb-auth,mongodb-auth,mongodb,target-fact,target-fact,user-credential-material,staged,required keys: mongodb-root-password;mongodb-replica-set-key,recipes/bitnami/mongodb/19.0.7/variants/existing-secret-replicaset/variant.yaml,MongoDB root password and MongoDB-valid replica-set key
bitnami/mongodb@19.0.7,generated-passwords,v1|Secret|mongodb|mongodb,mongodb,mongodb,Opaque,rendered-object,user-credential-material,delivered,-,recipes/bitnami/mongodb/19.0.7/revisions/generated-passwords/r001/rendered/release-objects.yaml,User or application credential material; production use needs a target-scoped Secret policy. The installer package records separated Secret handling for this base. Scan evidence: recipes/bitnami/mongodb/19.0.7/revisions/generated-passwords/r001/receipts/scan-receipt.yaml.
bitnami/mysql@14.0.3,existing-secret,v1|Secret|mysql|mysql-auth,mysql-auth,mysql,target-fact,target-fact,user-credential-material,staged,required keys: mysql-root-password;mysql-password;mysql-replication-password,recipes/bitnami/mysql/14.0.3/variants/existing-secret/variant.yaml,"MySQL root, user, and replication passwords"
bitnami/mysql@14.0.3,generated-passwords,v1|Secret|mysql|mysql,mysql,mysql,Opaque,rendered-object,user-credential-material,delivered,-,recipes/bitnami/mysql/14.0.3/revisions/generated-passwords/r001/rendered/release-objects.yaml,User or application credential material; production use needs a target-scoped Secret policy. The installer package records separated Secret handling for this base. Scan evidence: recipes/bitnami/mysql/14.0.3/revisions/generated-passwords/r001/receipts/scan-receipt.yaml.
bitnami/nginx@24.0.2,existing-tls-ingress,v1|Secret|nginx|nginx-backend-tls,nginx-backend-tls,nginx,target-fact,target-fact,user-credential-material,staged,required keys: tls.crt;tls.key;ca.crt,recipes/bitnami/nginx/24.0.2/variants/existing-tls-ingress/variant.yaml,TLS certificate material mounted by the NGINX pod
bitnami/nginx@24.0.2,existing-tls-ingress,v1|Secret|nginx|nginx-ingress-tls,nginx-ingress-tls,nginx,target-fact,target-fact,user-credential-material,staged,required keys: tls.crt;tls.key,recipes/bitnami/nginx/24.0.2/variants/existing-tls-ingress/variant.yaml,TLS certificate material referenced by the Ingress
bitnami/postgresql@18.6.7,existing-secret,v1|Secret|postgresql|postgresql-auth,postgresql-auth,postgresql,target-fact,target-fact,user-credential-material,staged,required keys: postgres-password,recipes/bitnami/postgresql/18.6.7/variants/existing-secret/variant.yaml,PostgreSQL administrator password
bitnami/postgresql@18.6.7,generated-passwords,v1|Secret|postgresql|postgresql,postgresql,postgresql,Opaque,rendered-object,user-credential-material,delivered,-,recipes/bitnami/postgresql/18.6.7/revisions/generated-passwords/r001/rendered/release-objects.yaml,User or application credential material; production use needs a target-scoped Secret policy. The installer package records separated Secret handling for this base. Scan evidence: recipes/bitnami/postgresql/18.6.7/revisions/generated-passwords/r001/receipts/scan-receipt.yaml.
