component,rank,candidate,publisher,license,shape,source,latest_version,index_status,artifact_status,caveats
redis,1,redis (CloudPirates),CloudPirates GmbH & Co. KG (Artifact Hub verified publisher; same publisher as the nginx and rabbitmq picks),"Apache-2.0 (Chart.yaml artifacthub license annotation, read from the pulled chart)",plain-chart,oci://registry-1.docker.io/cloudpirates/redis,0.34.11 (appVersion 8.10.0),200,200,"The default image is Redis 8.x, which carries the post-7.4 tri-license (AGPLv3, RSALv2, SSPLv1; AGPLv3 is the open-source option) - the same engine-license consideration as any current Redis image. Raises the CloudPirates concentration to three components; the ranked alternates below remain the hedge. Surfaced by an Artifact Hub catalog sweep after the first survey pass; verified live twice (Artifact Hub metadata, then anonymous helm pulls reading Chart.yaml, the license annotation, and the values surface)."
redis,2,valkey (valkey-io/valkey-helm),"Valkey project (valkey-io GitHub org; Linux Foundation project). Repo active: pushed 2026-08-07, 24 chart releases in index.",BSD-3-Clause (repo LICENSE file; Chart.yaml carries no license field),plain-chart,https://valkey.io/valkey-helm/,"0.11.0 (appVersion 9.1.1, released 2026-07-22)",200,200,"Engine swap, not just a chart swap: this deploys Valkey 9.x (RESP-compatible Linux Foundation fork), not Redis. Chart is pre-1.0 (0.11.0). No Sentinel mode and no cluster mode in the plain chart. Auth model is ACL-users, so there is no 1:1 mapping from Bitnami's auth.password/auth.existingSecret single-password shape."
redis,3,redis-operator + CR charts (OT-Container-Kit),"OT-CONTAINER-KIT (Opstree Solutions). Operator repo active: pushed 2026-08-04, 1427 stars, 55 operator chart releases.",Apache-2.0 (OT-CONTAINER-KIT/redis-operator repo). Note: the helm-charts packaging repo itself has no root LICENSE file (GitHub license API returns 404).,operator,https://ot-container-kit.github.io/helm-charts/,redis-operator 0.25.0 (2026-06-23); redis-replication 0.17.0; redis-sentinel 0.16.13; redis-cluster 0.17.4; redis 0.16.9,200,200,"Big catalog shape change: operator + CRDs + two-step install (operator first, then a CR chart per topology). Values live under CR-shaped maps, so no 1:1 Bitnami values mapping. Default image tag lags upstream (Redis v7.0.15; overridable). Keeps actual Redis engine, and covers standalone/replication/sentinel/cluster — the broadest topology coverage of the three."
redis,4,redis-ha (DandyDeveloper/charts),"Individual community maintainer (DandyDeveloper; descended from the retired helm/stable redis-ha chart). 170 releases in index; repo pushed 2026-06-15, 257 stars.",Apache-2.0 (repo LICENSE),plain-chart,https://dandydeveloper.github.io/charts/,"4.39.0 (appVersion 8.8.0, released 2026-06-15)",200,200,"Fails the official-vendor/CNCF publisher bar: one community maintainer, no vendor backing. Default image is Redis 8.x from the Docker library mirror, which carries Redis's post-7.4 tri-license (AGPLv3/RSALv2/SSPLv1) — review image licensing for the catalog even though the chart itself is Apache-2.0. Sentinel topology only; no cluster mode. Release cadence is slower than the other two (latest push 2026-06-15). Separately verified negative result: no anonymous official Redis OSS chart exists — helm.redis.io (index HTTP 200) hosts only redis-enterprise-operator 8.2.0-13 (commercial Redis Enterprise, an operator shape), and anonymous Docker Hub token+API probes for redis/redis, redis/redis-helm, and dhi/redis-chart all returned HTTP 401."
nginx,1,nginx (CloudPirates),CloudPirates GmbH & Co. KG (maintainer field in Chart.yaml; hello@cloudpirates.io; github.com/CloudPirates-io/helm-charts),Apache-2.0 (LICENSE file shipped in chart tgz; also declared in Chart.yaml annotation license: Apache-2.0),oci-chart,oci://registry-1.docker.io/cloudpirates/nginx,0.16.1 (appVersion 1.31.3),200,200,"OCI-only transport (no classic index.yaml): 'index' status above is the measured anonymous Docker Hub v2 tags/list = 200, 'tgz' status is the manifest GET for 0.16.1 = 200; anonymous helm pull and helm show chart both succeeded. Chart-shape-wise it is a plain chart with a Bitnami-familiar surface (staticSiteConfigmap/cloneStaticSiteFromGit mirror the old layout), so it is the smallest migration delta of the three, but values paths still differ from Bitnami and need remapping. Depends on the publisher's common library (oci://registry-1.docker.io/cloudpirates common 2.2.0, vendored in the tgz). Cosign-signed (.sig tags present in the registry; public key published via artifacthub.io/signKey). Publisher is a commercial consultancy, not the nginx vendor or CNCF; NGINX Inc/F5 itself publishes no plain web-server chart (verified: helm.nginx.com/stable index 200 lists only nginx-ingress, app-protect, service-mesh, NIM/NMS charts). The in-chart CHANGELOG.md carries a caution note but it only says the file itself moved to GitHub Releases, not that the chart is deprecated."
nginx,2,application (Stakater) — generic stateless chart running the upstream nginx image,"Stakater (maintainer field in Chart.yaml: Stakater, hello@stakater.com; github.com/stakater/application)","MIT (no license field or LICENSE file in the chart tgz; measured from the repo LICENSE at raw.githubusercontent.com/stakater/application/master/LICENSE, HTTP 200, 'MIT License')",plain-chart,https://stakater.github.io/stakater-charts,9.2.0 (released 2026-08-01; 238 versions in index),200,200,"Honest shape change: this is not an nginx chart, it is a generic application chart, so every Bitnami nginx value must be remapped and nginx config must be managed as your own ConfigMap mounts. Still a plain chart (not an operator), classic anonymous HTTP repo. Company publisher with a long, very active release history, but not the nginx vendor and not CNCF. License is MIT rather than Apache-2.0 and is only stated in the GitHub repo, not inside the chart package."
nginx,3,app-template (bjw-s-labs) — generic stateless chart running the upstream nginx image,"bjw-s (individual maintainer, me@bjw-s.dev, per Chart.yaml; org github.com/bjw-s-labs)","Apache-2.0 (LICENSE file shipped in the chart tgz; verified against repo LICENSE, HTTP 200; no license field in Chart.yaml)",oci-chart,oci://ghcr.io/bjw-s-labs/helm/app-template,5.0.1,200,200,"Biggest shape change of the three: generic chart, empty default values, schema/docs-driven configuration — a hard remap from any Bitnami-style values file, and rendered output depends entirely on values you author. OCI-only for v3+ ('index' status above is the measured anonymous ghcr v2 tags/list = 200; 'tgz' status is the manifest GET for 5.0.1 = 200; anonymous helm pull succeeded). Extremely widely used in GitOps home-lab/fleet setups and very actively released, but the publisher is a single individual, not a vendor or CNCF project, which is below the stated quality bar for publisher type; ranked accordingly."
postgresql,1,CloudNativePG operator chart (cloudnative-pg) + official companion 'cluster' chart,"CloudNativePG project (CNCF); chart repo github.com/cloudnative-pg/charts, Chart.yaml maintainer 'phisco'",Apache-2.0 (LICENSE bundled in chart tgz; repo license Apache-2.0 via GitHub API),operator,https://cloudnative-pg.github.io/charts,0.29.0 (appVersion 1.30.0; chart created 2026-06-29),200,200,"Big catalog shape change: plain chart -> operator + Cluster CR, installs CRDs, and HA databases become a two-chart story (operator first, then cluster chart or raw CR). Measured redirect: https://cloudnative-pg.github.io/charts/index.yaml returns 301 to https://cloudnative-pg.io/charts/index.yaml which returns 200 (helm follows this transparently; curl -L measured 200). Chart tgzs are GitHub release assets (302 chain to release-assets.githubusercontent.com, final 200)."
postgresql,2,Zalando postgres-operator,"Zalando (official project chart; Chart.yaml maintainer 'Zalando', opensource@zalando.de)",MIT (repo license via GitHub API; no LICENSE file inside the chart tgz),operator,https://opensource.zalando.com/postgres-operator/charts/postgres-operator,2.0.1 (appVersion 2.0.1; created 2026-07-30),200,200,"Same operator-vs-plain shape change: this chart installs only the operator, every database is a CR, and per-database values (replicas, persistence, users) leave the Helm values surface entirely. Database image pinning is indirect (operator-level Spilo pin, overridable per-CR). Index and tgz are served directly from opensource.zalando.com (no redirects; both measured 200)."
postgresql,3,groundhog2k postgres (plain StatefulSet chart),"groundhog2k (individual community maintainer, github.com/groundhog2k/helm-charts)",MIT (repo license via GitHub API; no LICENSE file inside the chart tgz),plain-chart,https://groundhog2k.github.io/helm-charts,1.6.7 (appVersion 18.4 = PostgreSQL 18.4; created 2026-07-15),200,200,"No replica control at all: the StatefulSet template hardcodes replicas: 1 and the chart has no replication/HA mode, a functional regression versus the Bitnami chart's replication architecture. Publisher is a single individual, not a vendor or foundation, so it clears the shape bar but not the preferred-publisher bar. Chart tgzs are GitHub release assets (redirect chain, final 200)."
