queue,queue_priority,proof_surface_rank,top500_rank,chart,variants,variant_count,strongest_evidence,hard_gap,proof_focus,proof_focus_status,proof_focus_receipt,source_features,next_action,first_step,catalog_path,recipe_path,package_path,helm_pain_report
promotion-review,1,22,18,external-dns/external-dns@1.21.1,default;no-crds;dry-run-txt-registry,3,two-cluster-kind-parity,-,-,-,,tpl;crds;cluster-rbac,run catalog promotion review,"Run catalog promotion review, choose one supported base, then add selected live evidence.",recipes/external-dns/external-dns/1.21.1/CATALOG.md,recipes/external-dns/external-dns/1.21.1/recipe.yaml,packages/external-dns/external-dns/1.21.1,recipes/external-dns/external-dns/1.21.1/helm-pain-report.yaml
promotion-review,1,25,41,cloudnative-pg/cloudnative-pg@0.28.2,default;no-crds,2,two-cluster-kind-parity,-,-,-,,generated-facts;tpl;crds;cluster-rbac;webhooks,run catalog promotion review,"Run catalog promotion review, choose one supported base, then add selected live evidence.",recipes/cloudnative-pg/cloudnative-pg/0.28.2/CATALOG.md,recipes/cloudnative-pg/cloudnative-pg/0.28.2/recipe.yaml,packages/cloudnative-pg/cloudnative-pg/0.28.2,recipes/cloudnative-pg/cloudnative-pg/0.28.2/helm-pain-report.yaml
promotion-review,1,29,53,kedacore/keda@2.19.0,default;no-crds,2,live-helm-vs-confighub-parity,-,api-service-aggregation-promotion,APIService aggregation is observed; promotion needs a target-scoped decision,data/runtime-gitops/receipts/kedacore-keda/default/latest.yaml,tpl;capabilities;crds;cluster-rbac;webhooks,"run APIService promotion review: choose supported base, target scope, CRD ownership path, and evidence refresh rule using the committed aggregation receipt","Run catalog promotion review, choose one supported base, then add selected live evidence.",recipes/kedacore/keda/2.19.0/CATALOG.md,recipes/kedacore/keda/2.19.0/recipe.yaml,packages/kedacore/keda/2.19.0,recipes/kedacore/keda/2.19.0/helm-pain-report.yaml
promotion-review,1,30,58,prometheus-community/kube-state-metrics@7.4.0,default;cluster-metrics-readonly,2,local-kubernetes-live,-,-,-,,generated-facts;tpl;capabilities;cluster-rbac;stateful-storage,run catalog promotion review,"Run catalog promotion review, choose one supported base, then add selected live evidence.",recipes/prometheus-community/kube-state-metrics/7.4.0/CATALOG.md,recipes/prometheus-community/kube-state-metrics/7.4.0/recipe.yaml,packages/prometheus-community/kube-state-metrics/7.4.0,recipes/prometheus-community/kube-state-metrics/7.4.0/helm-pain-report.yaml
promotion-review,1,31,60,elastic/eck-operator@3.4.0,default;ha;no-crds,3,two-cluster-kind-parity,-,-,-,,tpl;capabilities;cluster-rbac;webhooks;stateful-storage,run catalog promotion review,"Run catalog promotion review, choose one supported base, then add selected live evidence.",recipes/elastic/eck-operator/3.4.0/CATALOG.md,recipes/elastic/eck-operator/3.4.0/recipe.yaml,packages/elastic/eck-operator/3.4.0,recipes/elastic/eck-operator/3.4.0/helm-pain-report.yaml
promotion-review,1,34,65,prometheus-community/prometheus-blackbox-exporter@11.10.0,default;cluster-metrics-readonly,2,local-kubernetes-live,-,-,-,,tpl;capabilities,run catalog promotion review,"Run catalog promotion review, choose one supported base, then add selected live evidence.",recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/CATALOG.md,recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/recipe.yaml,packages/prometheus-community/prometheus-blackbox-exporter/11.10.0,recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/helm-pain-report.yaml
promotion-review,1,36,67,stakater/reloader@2.2.12,default;controller-default-reviewed,2,local-kubernetes-live,-,-,-,,tpl;capabilities;cluster-rbac,run catalog promotion review,"Run catalog promotion review, choose one supported base, then add selected live evidence.",recipes/stakater/reloader/2.2.12/CATALOG.md,recipes/stakater/reloader/2.2.12/recipe.yaml,packages/stakater/reloader/2.2.12,recipes/stakater/reloader/2.2.12/helm-pain-report.yaml
promotion-review,1,38,74,grafana/alloy@1.8.2,default;no-crds,2,two-cluster-kind-parity,-,-,-,,tpl;capabilities;crds;cluster-rbac;stateful-storage,run catalog promotion review,"Run catalog promotion review, choose one supported base, then add selected live evidence.",recipes/grafana/alloy/1.8.2/CATALOG.md,recipes/grafana/alloy/1.8.2/recipe.yaml,packages/grafana/alloy/1.8.2,recipes/grafana/alloy/1.8.2/helm-pain-report.yaml
promotion-review,1,39,78,nats/nats@2.14.0,default;ha,2,two-cluster-kind-parity,-,-,-,,tpl,run catalog promotion review,"Run catalog promotion review, choose one supported base, then add selected live evidence.",recipes/nats/nats/2.14.0/CATALOG.md,recipes/nats/nats/2.14.0/recipe.yaml,packages/nats/nats/2.14.0,recipes/nats/nats/2.14.0/helm-pain-report.yaml
promotion-review,1,41,88,prometheus-community/alertmanager@1.37.0,default;ha,2,two-cluster-kind-parity,-,-,-,,tpl;stateful-storage,run catalog promotion review,"Run catalog promotion review, choose one supported base, then add selected live evidence.",recipes/prometheus-community/alertmanager/1.37.0/CATALOG.md,recipes/prometheus-community/alertmanager/1.37.0/recipe.yaml,packages/prometheus-community/alertmanager/1.37.0,recipes/prometheus-community/alertmanager/1.37.0/helm-pain-report.yaml
