rank,chart,source_version,hook_count,hook_types,coverage_status,maintained_version,candidate_version,route_or_policy,evidence,next_action,note
1,prometheus-community/kube-prometheus-stack,85.3.0,2,"post-install, post-upgrade, pre-install, pre-upgrade",maintained-observed,85.3.3,,preflight-or-presync;postsync-check-or-observation;upgrade-action-with-receipt;preserve-ordering;preserve-cleanup-policy;webhook-readiness-observation;target-facts-or-preflight,data/hook-lifecycle/maintained-hook-queue.csv;data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml,"keep receipt fresh when chart, base, or cluster version changes",maintained hook lifecycle queue row
9,k8s-dashboard/kubernetes-dashboard,7.14.0,2,"post-upgrade, pre-upgrade",candidate-route-plan,,7.14.0,upgrade-action-with-receipt (if rendered),data/hook-route-candidates/candidates.csv;data/hook-route-candidates/k8s-dashboard-kubernetes-dashboard.yaml,create recipe; determine whether vendored hooks render under default values; record hook-inert fact or route per base; then admit,candidate route only; no maintained receipt or runtime observation yet
13,gitlab/gitlab,10.0.0,1,"post-install, post-upgrade",candidate-route-plan,,10.0.0,argocd-or-flux-lifecycle-hook,data/hook-route-candidates/candidates.csv;data/hook-route-candidates/gitlab-gitlab.yaml,treat as a serious-chart review; choose a supported base; confirm whether the vendored hook renders; then write maintained route receipt or hook-inert fact,candidate route only; no maintained receipt or runtime observation yet
23,bitnami/kafka,32.4.3,1,"post-install, post-upgrade",candidate-route-plan,,32.4.3,explicit-managed-action,data/hook-route-candidates/candidates.csv;data/hook-route-candidates/bitnami-kafka.yaml,create recipe with provisioning-off default and provisioning-enabled base; route Job as managed action with receipt; share route shape across the bitnami pattern,candidate route only; no maintained receipt or runtime observation yet
32,bitnami/minio,17.0.21,1,"post-install, post-upgrade",candidate-route-plan,,17.0.21,explicit-managed-action,data/hook-route-candidates/candidates.csv;data/hook-route-candidates/bitnami-minio.yaml,create recipe with provisioning-off default and provisioning-enabled base; reuse the shared route receipt shape; then admit,candidate route only; no maintained receipt or runtime observation yet
38,kyverno/kyverno,3.8.1,8,"post-upgrade, pre-delete, test",maintained-observed,3.8.1,,upgrade-action-with-receipt;delete-cleanup-policy;explicit-test-check;preserve-ordering;preserve-cleanup-policy;target-facts-or-preflight,data/hook-lifecycle/maintained-hook-queue.csv;data/hook-lifecycle/receipts/kyverno-kyverno/default/latest.yaml,"keep receipt fresh when chart, base, or cluster version changes",maintained hook lifecycle queue row
42,fluent/fluent-bit,0.57.6,1,test,maintained-observed,0.57.6,,explicit-test-check;preserve-cleanup-policy,data/hook-lifecycle/maintained-hook-queue.csv;data/hook-lifecycle/receipts/fluent-fluent-bit/default/latest.yaml,"keep receipt fresh when chart, base, or cluster version changes",maintained hook lifecycle queue row
43,datadog/datadog,3.214.0,3,"post-install, post-upgrade, pre-install, pre-upgrade",candidate-route-plan,,3.214.0,target-class-preflight-and-upgrade-action,data/hook-route-candidates/candidates.csv;data/hook-route-candidates/datadog-datadog.yaml,split normal and GKE Autopilot target scopes; route allowlist hooks as preflight and migration Job as lifecycle action with receipt,candidate route only; no maintained receipt or runtime observation yet
44,bitnami/thanos,17.3.1,1,"post-install, post-upgrade",candidate-route-plan,,17.3.1,explicit-managed-action,data/hook-route-candidates/candidates.csv;data/hook-route-candidates/bitnami-thanos.yaml,create Thanos recipe; distinguish provisioning-off and provisioning-enabled bases; reuse MinIO provisioning receipt shape when the hook renders,candidate route only; no maintained receipt or runtime observation yet
84,airflow-helm/airflow,8.9.0,5,"post-install, post-upgrade",candidate-route-plan,,8.9.0,explicit-managed-action,data/hook-route-candidates/candidates.csv;data/hook-route-candidates/airflow-helm-airflow.yaml,create recipe; choose supported base; route migration/sync hooks as managed actions with receipts or record hook-inert fact if disabled,candidate route only; no maintained receipt or runtime observation yet
97,kong/kong,3.2.0,2,"post-upgrade, pre-upgrade",candidate-route-plan,,3.2.0,upgrade-action-with-receipt,data/hook-route-candidates/candidates.csv;data/hook-route-candidates/kong-kong.yaml,create recipe with DB-less and database bases; confirm which bases render the pair; model ordered upgrade actions; then admit to maintained queue,candidate route only; no maintained receipt or runtime observation yet
