chart,version,local_test_support,supported_variants,confighub_proof,live_e2e,production_support,required_dispositions,accepted_dispositions,open_dispositions,production_disposition_receipts,source_hook_count,lifecycle_policy_basis,lifecycle_observation_receipts,next_action,recipe_path,package_path,confighub_proof_receipt,live_e2e_receipts
argo-cd/argo-cd,9.5.15,catalog-supported,default;no-crds,pass,local-kind-observed,production-review-ready,CRD lifecycle and upgrade policy;cluster RBAC review;extension slot provenance and scan policy;hook and lifecycle phase policy;scan/gate warning disposition;storage backup restore and rollback policy;target fact preflight,CRD lifecycle and upgrade policy;cluster RBAC review;extension slot provenance and scan policy;hook and lifecycle phase policy;scan/gate warning disposition;storage backup restore and rollback policy;target fact preflight,,data/production-disposition/receipts/argo-cd-argo-cd/crd-lifecycle-and-upgrade-policy.yaml;data/production-disposition/receipts/argo-cd-argo-cd/cluster-rbac-review.yaml;data/production-disposition/receipts/argo-cd-argo-cd/extension-slot-provenance-and-scan-policy.yaml;data/production-disposition/receipts/argo-cd-argo-cd/hook-and-lifecycle-phase-policy.yaml;data/production-disposition/receipts/argo-cd-argo-cd/scan-gate-warning-disposition.yaml;data/production-disposition/receipts/argo-cd-argo-cd/storage-backup-restore-and-rollback-policy.yaml;data/production-disposition/receipts/argo-cd-argo-cd/target-fact-preflight.yaml,0,recipe-hook-policy:no-hooks,,record final target-scoped support decision and refresh live/e2e evidence for that scope,recipes/argo-cd/argo-cd/9.5.15,packages/argo-cd/argo-cd/9.5.15,runs/latest-top20-refresh/argo-cd-9.5.17/confighub-proof/latest/confighub-proof-receipt.yaml,runs/latest-top20-refresh/argo-cd-9.5.17/local-kind/observation-receipt.json;runs/top20-local-kind/argo-cd-default/observation-receipt.json
bitnami/mongodb,19.0.7,catalog-supported,generated-passwords;existing-secret-replicaset,pass,local-kind-observed,production-review-ready,extension slot provenance and scan policy;generated fact ownership;hook and lifecycle phase policy;scan/gate warning disposition;storage backup restore and rollback policy;target fact preflight,extension slot provenance and scan policy;generated fact ownership;hook and lifecycle phase policy;scan/gate warning disposition;storage backup restore and rollback policy;target fact preflight,,data/production-disposition/receipts/bitnami-mongodb/extension-slot-provenance-and-scan-policy.yaml;data/production-disposition/receipts/bitnami-mongodb/generated-fact-ownership.yaml;data/production-disposition/receipts/bitnami-mongodb/hook-and-lifecycle-phase-policy.yaml;data/production-disposition/receipts/bitnami-mongodb/scan-gate-warning-disposition.yaml;data/production-disposition/receipts/bitnami-mongodb/storage-backup-restore-and-rollback-policy.yaml;data/production-disposition/receipts/bitnami-mongodb/target-fact-preflight.yaml,0,recipe-hook-policy:no-hooks,,record final target-scoped support decision and refresh live/e2e evidence for that scope,recipes/bitnami/mongodb/19.0.7,packages/bitnami/mongodb/19.0.7,runs/mongodb-confighub-proof/latest/confighub-proof-receipt.yaml,runs/latest-top20-refresh/mongodb-19.0.9/local-kind/observation-receipt.json;runs/top20-local-kind/mongodb-generated-passwords/observation-receipt.json
bitnami/mysql,14.0.3,catalog-supported,generated-passwords;existing-secret,pass,local-kind-observed,production-review-ready,generated fact ownership;hook and lifecycle phase policy;scan/gate warning disposition;storage backup restore and rollback policy;target fact preflight,generated fact ownership;hook and lifecycle phase policy;scan/gate warning disposition;storage backup restore and rollback policy;target fact preflight,,data/production-disposition/receipts/bitnami-mysql/generated-fact-ownership.yaml;data/production-disposition/receipts/bitnami-mysql/hook-and-lifecycle-phase-policy.yaml;data/production-disposition/receipts/bitnami-mysql/scan-gate-warning-disposition.yaml;data/production-disposition/receipts/bitnami-mysql/storage-backup-restore-and-rollback-policy.yaml;data/production-disposition/receipts/bitnami-mysql/target-fact-preflight.yaml,0,recipe-hook-policy:no-hooks,,record final target-scoped support decision and refresh live/e2e evidence for that scope,recipes/bitnami/mysql/14.0.3,packages/bitnami/mysql/14.0.3,runs/mysql-confighub-proof/latest/confighub-proof-receipt.yaml,runs/top20-local-kind/mysql-generated-passwords/observation-receipt.json
bitnami/nginx,24.0.2,catalog-supported,http-clusterip;existing-tls-ingress,pass,local-kind-observed,production-review-ready,extension slot provenance and scan policy;generated fact ownership;scan/gate warning disposition;target fact preflight,extension slot provenance and scan policy;generated fact ownership;scan/gate warning disposition;target fact preflight,,data/production-disposition/receipts/bitnami-nginx/extension-slot-provenance-and-scan-policy.yaml;data/production-disposition/receipts/bitnami-nginx/generated-fact-ownership.yaml;data/production-disposition/receipts/bitnami-nginx/scan-gate-warning-disposition.yaml;data/production-disposition/receipts/bitnami-nginx/target-fact-preflight.yaml,0,none,,record final target-scoped support decision and refresh live/e2e evidence for that scope,recipes/bitnami/nginx/24.0.2,packages/bitnami/nginx/24.0.2,runs/nginx-confighub-proof/latest/confighub-proof-receipt.yaml,runs/latest-top20-refresh/nginx-24.0.4/local-kind/observation-receipt.json;runs/top20-local-kind/nginx-http-clusterip/observation-receipt.json
bitnami/postgresql,18.6.7,catalog-supported,generated-passwords;existing-secret,pass,local-kind-observed,production-review-ready,generated fact ownership;hook and lifecycle phase policy;scan/gate warning disposition;storage backup restore and rollback policy;target fact preflight,generated fact ownership;hook and lifecycle phase policy;scan/gate warning disposition;storage backup restore and rollback policy;target fact preflight,,data/production-disposition/receipts/bitnami-postgresql/generated-fact-ownership.yaml;data/production-disposition/receipts/bitnami-postgresql/hook-and-lifecycle-phase-policy.yaml;data/production-disposition/receipts/bitnami-postgresql/scan-gate-warning-disposition.yaml;data/production-disposition/receipts/bitnami-postgresql/storage-backup-restore-and-rollback-policy.yaml;data/production-disposition/receipts/bitnami-postgresql/target-fact-preflight.yaml,0,recipe-hook-policy:no-hooks,,record final target-scoped support decision and refresh live/e2e evidence for that scope,recipes/bitnami/postgresql/18.6.7,packages/bitnami/postgresql/18.6.7,runs/postgresql-confighub-proof/latest/confighub-proof-receipt.yaml,runs/latest-top20-refresh/postgresql-18.6.10/local-kind/observation-receipt.json;runs/top20-local-kind/postgresql-generated-passwords/observation-receipt.json
bitnami/rabbitmq,16.0.14,catalog-supported,generated-passwords;existing-secret,pass,local-kind-observed,production-review-ready,generated fact ownership;hook and lifecycle phase policy;scan/gate warning disposition;storage backup restore and rollback policy;target fact preflight,generated fact ownership;hook and lifecycle phase policy;scan/gate warning disposition;storage backup restore and rollback policy;target fact preflight,,data/production-disposition/receipts/bitnami-rabbitmq/generated-fact-ownership.yaml;data/production-disposition/receipts/bitnami-rabbitmq/hook-and-lifecycle-phase-policy.yaml;data/production-disposition/receipts/bitnami-rabbitmq/scan-gate-warning-disposition.yaml;data/production-disposition/receipts/bitnami-rabbitmq/storage-backup-restore-and-rollback-policy.yaml;data/production-disposition/receipts/bitnami-rabbitmq/target-fact-preflight.yaml,0,recipe-hook-policy:no-hooks,,record final target-scoped support decision and refresh live/e2e evidence for that scope,recipes/bitnami/rabbitmq/16.0.14,packages/bitnami/rabbitmq/16.0.14,runs/rabbitmq-confighub-proof/latest/confighub-proof-receipt.yaml,runs/top20-local-kind/rabbitmq-generated-passwords/observation-receipt.json
bitnami/redis,25.5.3,catalog-supported,default;reuse-existing-secret,pass,local-kind-observed,production-review-ready,generated fact ownership;hook and lifecycle phase policy;scan/gate warning disposition;target fact preflight,generated fact ownership;hook and lifecycle phase policy;scan/gate warning disposition;target fact preflight,,data/production-disposition/receipts/bitnami-redis/generated-fact-ownership.yaml;data/production-disposition/receipts/bitnami-redis/hook-lifecycle-phase-policy.yaml;data/production-disposition/receipts/bitnami-redis/scan-gate-warning-disposition.yaml;data/production-disposition/receipts/bitnami-redis/target-fact-preflight.yaml,0,recipe-hook-policy:no-hooks,,record final target-scoped support decision and refresh live/e2e evidence for that scope,recipes/bitnami/redis/25.5.3,packages/bitnami/redis/25.5.3,runs/redis-confighub-proof/latest/confighub-proof-receipt.yaml,runs/latest-top20-refresh/redis-27.0.0/local-kind/observation-receipt.json;runs/redis-local-kind/latest/observation-receipt.yaml;runs/redis-local-kind/reuse-existing-secret-latest/observation-receipt.yaml
external-secrets/external-secrets,2.5.0,catalog-supported,default;no-crds,pass,local-kind-observed,production-review-ready,CRD lifecycle and upgrade policy;cluster RBAC review;extension slot provenance and scan policy;scan/gate warning disposition;target fact preflight;webhook readiness and failure policy,CRD lifecycle and upgrade policy;cluster RBAC review;extension slot provenance and scan policy;scan/gate warning disposition;target fact preflight;webhook readiness and failure policy,,data/production-disposition/receipts/external-secrets-external-secrets/crd-lifecycle-and-upgrade-policy.yaml;data/production-disposition/receipts/external-secrets-external-secrets/cluster-rbac-review.yaml;data/production-disposition/receipts/external-secrets-external-secrets/extension-slot-provenance-and-scan-policy.yaml;data/production-disposition/receipts/external-secrets-external-secrets/scan-gate-warning-disposition.yaml;data/production-disposition/receipts/external-secrets-external-secrets/target-fact-preflight.yaml;data/production-disposition/receipts/external-secrets-external-secrets/webhook-readiness-and-failure-policy.yaml,0,lifecycle-observations:2/2,runs/lifecycle-observations/cert-manager-eso/external-secrets-external-secrets-default/receipt.yaml;runs/lifecycle-observations/cert-manager-eso/external-secrets-external-secrets-no-crds/receipt.yaml,record final target-scoped support decision and refresh live/e2e evidence for that scope,recipes/external-secrets/external-secrets/2.5.0,packages/external-secrets/external-secrets/2.5.0,runs/external-secrets-confighub-proof/latest/confighub-proof-receipt.yaml,runs/top20-local-kind/external-secrets-default/observation-receipt.json
grafana/grafana,10.5.15,catalog-supported,generated-passwords;existing-secret-ingress,pass,local-kind-observed,production-review-ready,cluster RBAC review;extension slot provenance and scan policy;generated fact ownership;scan/gate warning disposition;target fact preflight,cluster RBAC review;extension slot provenance and scan policy;generated fact ownership;scan/gate warning disposition;target fact preflight,,data/production-disposition/receipts/grafana-grafana/cluster-rbac-review.yaml;data/production-disposition/receipts/grafana-grafana/extension-slot-provenance-and-scan-policy.yaml;data/production-disposition/receipts/grafana-grafana/generated-fact-ownership.yaml;data/production-disposition/receipts/grafana-grafana/scan-gate-warning-disposition.yaml;data/production-disposition/receipts/grafana-grafana/target-fact-preflight.yaml,0,none,,record final target-scoped support decision and refresh live/e2e evidence for that scope,recipes/grafana/grafana/10.5.15,packages/grafana/grafana/10.5.15,runs/grafana-confighub-proof/latest/confighub-proof-receipt.yaml,runs/top20-local-kind/grafana-generated-passwords/observation-receipt.json
grafana/loki,7.0.0,catalog-supported,single-binary-filesystem;simple-scalable-minio,pass,local-kind-observed,production-review-ready,cluster RBAC review;extension slot provenance and scan policy;hook and lifecycle phase policy;scan/gate warning disposition;storage backup restore and rollback policy,cluster RBAC review;extension slot provenance and scan policy;hook and lifecycle phase policy;scan/gate warning disposition;storage backup restore and rollback policy,,data/production-disposition/receipts/grafana-loki/cluster-rbac-review.yaml;data/production-disposition/receipts/grafana-loki/extension-slot-provenance-and-scan-policy.yaml;data/production-disposition/receipts/grafana-loki/hook-and-lifecycle-phase-policy.yaml;data/production-disposition/receipts/grafana-loki/scan-gate-warning-disposition.yaml;data/production-disposition/receipts/grafana-loki/storage-backup-restore-and-rollback-policy.yaml,0,recipe-lifecycle-policy,,record final target-scoped support decision and refresh live/e2e evidence for that scope,recipes/grafana/loki/7.0.0,packages/grafana/loki/7.0.0,runs/loki-confighub-proof/latest/confighub-proof-receipt.yaml,runs/top20-local-kind/loki-single-binary-filesystem/observation-receipt.json
