proof_surface_rank,chart,answer,plain_english,first_action,recommended_base_or_variant,command_or_file,strongest_evidence,render_parity,live_summary,first_promotion_wave,promotion_wave_first_step,promotion_wave_gaps,hard_gap,production_note,catalog_path,helm_pain_report
1,argo-cd/argo-cd@9.5.15,yes-public-catalog,"Use the public catalog entry, then check the exact base and lane before making a production claim.","Open the per-chart CATALOG.md, choose the recommended base, and run the cub installer setup command.",default,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:9.5.15 --base default --work-dir <tmp> --non-interactive --namespace argocd,live-helm-vs-confighub-parity,2/2,local:1/2 gitops:2/2 live-parity:2/2 two-cluster:1/2,no,-,-,ha (curated proof lane - bespoke teaching needed),Production support is target-scoped. Use production support decisions before claiming production readiness.,recipes/argo-cd/argo-cd/9.5.15/CATALOG.md,recipes/argo-cd/argo-cd/9.5.15/helm-pain-report.yaml
2,bitnami/mongodb@19.0.7,yes-public-catalog,"Use the public catalog entry, then check the exact base and lane before making a production claim.","Open the per-chart CATALOG.md, choose the recommended base, and run the cub installer setup command.",existing-secret-replicaset (render-only),cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bitnami-mongodb:19.0.7 --base existing-secret-replicaset --work-dir <tmp> --non-interactive --namespace mongodb,live-helm-vs-confighub-parity,2/2,local:2/2 gitops:2/2 live-parity:2/2 two-cluster:0/2,no,-,-,-,Production support is target-scoped. Use production support decisions before claiming production readiness.,recipes/bitnami/mongodb/19.0.7/CATALOG.md,recipes/bitnami/mongodb/19.0.7/helm-pain-report.yaml
3,bitnami/mysql@14.0.3,yes-public-catalog,"Use the public catalog entry, then check the exact base and lane before making a production claim.","Open the per-chart CATALOG.md, choose the recommended base, and run the cub installer setup command.",existing-secret,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bitnami-mysql:14.0.3 --base existing-secret --work-dir <tmp> --non-interactive --namespace mysql,live-helm-vs-confighub-parity,2/2,local:2/2 gitops:2/2 live-parity:2/2 two-cluster:2/2,no,-,-,ha (curated proof lane - bespoke teaching needed),Production support is target-scoped. Use production support decisions before claiming production readiness.,recipes/bitnami/mysql/14.0.3/CATALOG.md,recipes/bitnami/mysql/14.0.3/helm-pain-report.yaml
4,bitnami/nginx@24.0.2,yes-public-catalog,"Use the public catalog entry, then check the exact base and lane before making a production claim.","Open the per-chart CATALOG.md, choose the recommended base, and run the cub installer setup command.",http-clusterip (render-only),cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bitnami-nginx:24.0.2 --base http-clusterip --work-dir <tmp> --non-interactive --namespace nginx,live-helm-vs-confighub-parity,2/2,local:2/2 gitops:2/2 live-parity:2/2 two-cluster:0/2,no,-,-,existing-secret (chart ships no Secret toggle),Production support is target-scoped. Use production support decisions before claiming production readiness.,recipes/bitnami/nginx/24.0.2/CATALOG.md,recipes/bitnami/nginx/24.0.2/helm-pain-report.yaml
5,bitnami/postgresql@18.6.7,yes-public-catalog,"Use the public catalog entry, then check the exact base and lane before making a production claim.","Open the per-chart CATALOG.md, choose the recommended base, and run the cub installer setup command.",existing-secret (render-only),cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bitnami-postgresql:18.6.7 --base existing-secret --work-dir <tmp> --non-interactive --namespace postgresql,live-helm-vs-confighub-parity,2/2,local:2/2 gitops:2/2 live-parity:2/2 two-cluster:0/2,no,-,-,ha (curated proof lane - bespoke teaching needed),Production support is target-scoped. Use production support decisions before claiming production readiness.,recipes/bitnami/postgresql/18.6.7/CATALOG.md,recipes/bitnami/postgresql/18.6.7/helm-pain-report.yaml
6,bitnami/rabbitmq@16.0.14,yes-public-catalog,"Use the public catalog entry, then check the exact base and lane before making a production claim.","Open the per-chart CATALOG.md, choose the recommended base, and run the cub installer setup command.",existing-secret,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bitnami-rabbitmq:16.0.14 --base existing-secret --work-dir <tmp> --non-interactive --namespace rabbitmq,live-helm-vs-confighub-parity,2/2,local:2/2 gitops:2/2 live-parity:2/2 two-cluster:2/2,no,-,-,ha (curated proof lane - bespoke teaching needed),Production support is target-scoped. Use production support decisions before claiming production readiness.,recipes/bitnami/rabbitmq/16.0.14/CATALOG.md,recipes/bitnami/rabbitmq/16.0.14/helm-pain-report.yaml
7,bitnami/redis@25.5.3,yes-public-catalog,"Use the public catalog entry, then check the exact base and lane before making a production claim.","Open the per-chart CATALOG.md, choose the recommended base, and run the cub installer setup command.",reuse-existing-secret (render-only),cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bitnami-redis:25.5.3 --base reuse-existing-secret --work-dir <tmp> --non-interactive --namespace redis,live-helm-vs-confighub-parity,2/2,local:2/2 gitops:2/2 live-parity:2/2 two-cluster:0/2,no,-,-,-,Production support is target-scoped. Use production support decisions before claiming production readiness.,recipes/bitnami/redis/25.5.3/CATALOG.md,recipes/bitnami/redis/25.5.3/helm-pain-report.yaml
8,external-secrets/external-secrets@2.5.0,yes-public-catalog,"Use the public catalog entry, then check the exact base and lane before making a production claim.","Open the per-chart CATALOG.md, choose the recommended base, and run the cub installer setup command.",default,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/external-secrets-external-secrets:2.5.0 --base default --work-dir <tmp> --non-interactive --namespace external-secrets,live-helm-vs-confighub-parity,2/2,local:2/2 gitops:2/2 live-parity:2/2 two-cluster:2/2,no,-,-,-,Production support is target-scoped. Use production support decisions before claiming production readiness.,recipes/external-secrets/external-secrets/2.5.0/CATALOG.md,recipes/external-secrets/external-secrets/2.5.0/helm-pain-report.yaml
9,grafana/grafana@10.5.15,yes-public-catalog,"Use the public catalog entry, then check the exact base and lane before making a production claim.","Open the per-chart CATALOG.md, choose the recommended base, and run the cub installer setup command.",existing-secret-ingress,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/grafana-grafana:10.5.15 --base existing-secret-ingress --work-dir <tmp> --non-interactive --namespace grafana,live-helm-vs-confighub-parity,2/2,local:2/2 gitops:2/2 live-parity:2/2 two-cluster:2/2,no,-,-,-,Production support is target-scoped. Use production support decisions before claiming production readiness.,recipes/grafana/grafana/10.5.15/CATALOG.md,recipes/grafana/grafana/10.5.15/helm-pain-report.yaml
10,grafana/loki@7.0.0,yes-public-catalog,"Use the public catalog entry, then check the exact base and lane before making a production claim.","Open the per-chart CATALOG.md, choose the recommended base, and run the cub installer setup command.",single-binary-filesystem,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/grafana-loki:7.0.0 --base single-binary-filesystem --work-dir <tmp> --non-interactive --namespace loki,live-helm-vs-confighub-parity,2/2,local:2/2 gitops:2/2 live-parity:2/2 two-cluster:2/2,no,-,-,-,Production support is target-scoped. Use production support decisions before claiming production readiness.,recipes/grafana/loki/7.0.0/CATALOG.md,recipes/grafana/loki/7.0.0/helm-pain-report.yaml
