chart,version,base,controller,required_receipt,receipt_status,receipt_result,minimum_checks
bitnami/redis,25.5.3,reuse-existing-secret,Flux OCI,data/runtime-gitops/receipts/bitnami-redis/reuse-existing-secret/latest.yaml,present,pass,ConfigHub OCI artifact digest recorded;GitOps controller observed synced revision;Kubernetes resources ready;workload-specific smoke check passes where applicable;freshness timestamp recorded
bitnami/nginx,24.0.2,http-clusterip,Argo CD OCI,data/runtime-gitops/receipts/bitnami-nginx/http-clusterip/latest.yaml,present,pass,ConfigHub OCI artifact digest recorded;GitOps controller observed synced revision;Kubernetes resources ready;workload-specific smoke check passes where applicable;freshness timestamp recorded
metrics-server/metrics-server,3.13.0,default,Argo CD OCI,data/runtime-gitops/receipts/metrics-server-metrics-server/default/latest.yaml,present,pass,ConfigHub OCI artifact digest recorded;GitOps controller observed synced revision;Kubernetes resources ready;workload-specific smoke check passes where applicable;freshness timestamp recorded
prometheus-community/prometheus,29.8.0,server-only-ephemeral,Flux OCI,data/runtime-gitops/receipts/prometheus-community-prometheus/server-only-ephemeral/latest.yaml,present,pass,ConfigHub OCI artifact digest recorded;GitOps controller observed synced revision;Kubernetes resources ready;workload-specific smoke check passes where applicable;freshness timestamp recorded
bitnami/postgresql,18.6.7,existing-secret,Flux OCI,data/runtime-gitops/receipts/bitnami-postgresql/existing-secret/latest.yaml,present,pass,ConfigHub OCI artifact digest recorded;GitOps controller observed synced revision;Kubernetes resources ready;workload-specific smoke check passes where applicable;freshness timestamp recorded
external-secrets/external-secrets,2.5.0,no-crds,Argo CD OCI,data/runtime-gitops/receipts/external-secrets-external-secrets/no-crds/latest.yaml,present,blocked,ConfigHub OCI artifact digest recorded;GitOps controller observed synced revision;Kubernetes resources ready;workload-specific smoke check passes where applicable;freshness timestamp recorded
ingress-nginx/ingress-nginx,4.15.1,admission-disabled,Argo CD OCI,data/runtime-gitops/receipts/ingress-nginx-ingress-nginx/admission-disabled/latest.yaml,present,watch,ConfigHub OCI artifact digest recorded;GitOps controller observed synced revision;Kubernetes resources ready;workload-specific smoke check passes where applicable;freshness timestamp recorded
argo-cd/argo-cd,9.5.15,no-crds,Argo CD OCI,data/runtime-gitops/receipts/argo-cd-argo-cd/no-crds/latest.yaml,present,blocked,ConfigHub OCI artifact digest recorded;GitOps controller observed synced revision;Kubernetes resources ready;workload-specific smoke check passes where applicable;freshness timestamp recorded
prometheus-community/kube-prometheus-stack,85.3.3,no-crds,Flux OCI,data/runtime-gitops/receipts/prometheus-community-kube-prometheus-stack/no-crds/latest.yaml,present,blocked,ConfigHub OCI artifact digest recorded;GitOps controller observed synced revision;Kubernetes resources ready;workload-specific smoke check passes where applicable;freshness timestamp recorded
hashicorp/consul,2.0.0,secure-mesh-existing-secrets,Flux OCI,data/runtime-gitops/receipts/hashicorp-consul/secure-mesh-existing-secrets/latest.yaml,present,blocked,ConfigHub OCI artifact digest recorded;GitOps controller observed synced revision;Kubernetes resources ready;workload-specific smoke check passes where applicable;freshness timestamp recorded
