chart,version,user_status,support_claim,evidence_depth,recommended_base,prerequisites,quirks_disposition,skill,cub_scout_check,next_action,try_it
argo-cd/argo-cd,9.5.15,ready-to-try,yes-public-catalog; production decision: default:supported:fresh-target-evidence-passed,"catalog-supported-with-live-evidence (render parity 2/2, local live 1/2, live parity 2/2)",default,an existing Secret for some bases (buildable — not yet run); a CRD ownership choice (crds vs no-crds base),crds;existing-secret;extension-slots — exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,live-parity (docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes,recipes/argo-cd/argo-cd/9.5.15/CATALOG.md
bitnami/mongodb,19.0.7,ready-to-try,yes-public-catalog; production decision: generated-passwords:supported:fresh-target-evidence-passed,"catalog-supported-with-live-evidence (render parity 2/2, local live 2/2, live parity 2/2)",generated-passwords,a StorageClass / storage decision; target facts at variant time; mandatory chart inputs,generated-secrets;extension-slots;install-vs-upgrade-divergence;required-values;lookup;generated-facts;tpl;capabilities;rbac;storage — exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; extension slots routed to reviewed bases; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,hook-and-secret-lifecycle (docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.","record the target-scoped lifecycle support decision, then refresh live/e2e evidence for that scope",recipes/bitnami/mongodb/19.0.7/CATALOG.md
bitnami/mysql,14.0.3,ready-to-try,yes-public-catalog; production decision: generated-passwords:supported:fresh-target-evidence-passed,"catalog-supported-with-live-evidence (render parity 2/2, local live 2/2, live parity 2/2)",generated-passwords,an existing Secret for some bases (built); a StorageClass / storage decision; target facts at variant time; mandatory chart inputs,generated-secrets;existing-secret;install-vs-upgrade-divergence;required-values;lookup;generated-facts;tpl;capabilities;storage — exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,hook-and-secret-lifecycle (docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes,recipes/bitnami/mysql/14.0.3/CATALOG.md
bitnami/nginx,24.0.2,ready-to-try,yes-public-catalog; production decision: http-clusterip:supported:fresh-target-evidence-passed,"catalog-supported-with-live-evidence (render parity 2/2, local live 2/2, live parity 2/2)",http-clusterip,an existing Secret for some bases (NOT built - chart ships no Secret toggle); target facts at variant time,generated-secrets;existing-secret;extension-slots;install-vs-upgrade-divergence;lookup;generated-facts;tpl;capabilities — exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; extension slots routed to reviewed bases; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,hook-and-secret-lifecycle (docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.","choose the supported production base and target scope, refresh live/e2e evidence, and record the final support decision",recipes/bitnami/nginx/24.0.2/CATALOG.md
bitnami/postgresql,18.6.7,ready-to-try,yes-public-catalog; production decision: generated-passwords:supported:fresh-target-evidence-passed,"catalog-supported-with-live-evidence (render parity 2/2, local live 2/2, live parity 2/2)",generated-passwords,an existing Secret for some bases (built); a StorageClass / storage decision; target facts at variant time; mandatory chart inputs,generated-secrets;existing-secret;install-vs-upgrade-divergence;required-values;lookup;generated-facts;tpl;capabilities;storage — exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,hook-and-secret-lifecycle (docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.","record the target-scoped lifecycle support decision, then refresh live/e2e evidence for that scope",recipes/bitnami/postgresql/18.6.7/CATALOG.md
bitnami/rabbitmq,16.0.14,ready-to-try,yes-public-catalog; production decision: generated-passwords:supported:fresh-target-evidence-passed,"catalog-supported-with-live-evidence (render parity 2/2, local live 2/2, live parity 2/2)",generated-passwords,an existing Secret for some bases (built); a StorageClass / storage decision; target facts at variant time; mandatory chart inputs,generated-secrets;existing-secret;install-vs-upgrade-divergence;required-values;lookup;generated-facts;tpl;capabilities;storage — exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,hook-and-secret-lifecycle (docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes,recipes/bitnami/rabbitmq/16.0.14/CATALOG.md
bitnami/redis,25.5.3,ready-to-try,yes-public-catalog; production decision: default:supported:fresh-target-evidence-passed,"catalog-supported-with-live-evidence (render parity 2/2, local live 2/2, live parity 2/2)",default,a StorageClass / storage decision; target facts at variant time; mandatory chart inputs,generated-secrets;install-vs-upgrade-divergence;required-values;lookup;generated-facts;tpl;capabilities;storage — exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,hook-and-secret-lifecycle (docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.","record the target-scoped lifecycle support decision, then refresh live/e2e evidence for that scope",recipes/bitnami/redis/25.5.3/CATALOG.md
external-secrets/external-secrets,2.5.0,ready-to-try,yes-public-catalog; production decision: default:supported:fresh-target-evidence-passed,"catalog-supported-with-live-evidence (render parity 2/2, local live 2/2, live parity 2/2)",default,an existing Secret for some bases (buildable — not yet run); a CRD ownership choice (crds vs no-crds base),crds;existing-secret;extension-slots — exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,serious-chart-playbooks (docs/skills/serious-chart-playbooks.md; docs/skills/large-app-evidence-funnel.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes,recipes/external-secrets/external-secrets/2.5.0/CATALOG.md
grafana/grafana,10.5.15,ready-to-try,yes-public-catalog; production decision: generated-passwords:superseded:not-production-supported-because-source-chart-is-deprecated,"catalog-supported-with-live-evidence (render parity 2/2, local live 2/2, live parity 2/2)",existing-secret-ingress,nothing beyond a cluster and namespace,extension-slots — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,live-parity (docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",resolve image digests for each affected variant before production OCI support,recipes/grafana/grafana/10.5.15/CATALOG.md
grafana/loki,7.0.0,ready-to-try,yes-public-catalog; production decision: single-binary-filesystem:supported:fresh-target-evidence-passed,"catalog-supported-with-live-evidence (render parity 2/2, local live 2/2, live parity 2/2)",single-binary-filesystem,a StorageClass / storage decision; a CRD ownership choice (crds vs no-crds base); webhook/cert readiness at delivery time; target facts at variant time; mandatory chart inputs,crds;generated-secrets;webhooks;extension-slots;required-values;lookup;generated-facts;tpl;capabilities;rbac;storage — exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; CRD handling split into explicit bases; extension slots routed to reviewed bases; cluster lookups lifted into declared target facts,serious-chart-playbooks (docs/skills/serious-chart-playbooks.md; docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/large-app-evidence-funnel.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes,recipes/grafana/loki/7.0.0/CATALOG.md
