proof_surface_rank,top500_rank,chart,catalog_tier,workability,adoption_bucket,user_status,strongest_evidence,variant_count,variants,render_parity,in_confighub,local_live,gitops_live,live_parity,two_cluster_kind_parity,hard_gap,source_features,next_action,next_action_source,next_action_receipt,recipe_path,package_path,catalog_path,helm_pain_report
1,,argo-cd/argo-cd@9.5.15,top20-catalog-supported,try-now-public-catalog,try-from-public-catalog,catalog-supported-with-live-evidence,live-helm-vs-confighub-parity,2,default;no-crds,2/2,1/2,1/2,1/2,1/2,2/2,ha (curated proof lane - bespoke teaching needed),,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes,production-disposition,,recipes/argo-cd/argo-cd/9.5.15/recipe.yaml,packages/argo-cd/argo-cd/9.5.15,recipes/argo-cd/argo-cd/9.5.15/CATALOG.md,recipes/argo-cd/argo-cd/9.5.15/helm-pain-report.yaml
2,28,bitnami/mongodb@19.0.7,top20-catalog-supported,try-now-public-catalog,try-from-public-catalog,catalog-supported-with-live-evidence,live-helm-vs-confighub-parity,2,generated-passwords;existing-secret-replicaset,2/2,1/2,1/2,1/2,1/2,2/2,-,lookup;generated-facts;tpl;capabilities;cluster-rbac;stateful-storage,"record the target-scoped lifecycle support decision, then refresh live/e2e evidence for that scope",production-disposition,,recipes/bitnami/mongodb/19.0.7/recipe.yaml,packages/bitnami/mongodb/19.0.7,recipes/bitnami/mongodb/19.0.7/CATALOG.md,recipes/bitnami/mongodb/19.0.7/helm-pain-report.yaml
3,24,bitnami/mysql@14.0.3,top20-catalog-supported,try-now-public-catalog,try-from-public-catalog,catalog-supported-with-live-evidence,live-helm-vs-confighub-parity,2,generated-passwords;existing-secret,2/2,1/2,1/2,1/2,1/2,2/2,ha (curated proof lane - bespoke teaching needed),lookup;generated-facts;tpl;capabilities;stateful-storage,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes,production-disposition,,recipes/bitnami/mysql/14.0.3/recipe.yaml,packages/bitnami/mysql/14.0.3,recipes/bitnami/mysql/14.0.3/CATALOG.md,recipes/bitnami/mysql/14.0.3/helm-pain-report.yaml
4,48,bitnami/nginx@24.0.2,top20-catalog-supported,try-now-public-catalog,try-from-public-catalog,catalog-supported-with-live-evidence,live-helm-vs-confighub-parity,2,http-clusterip;existing-tls-ingress,2/2,1/2,1/2,1/2,1/2,2/2,existing-secret (chart ships no Secret toggle),lookup;generated-facts;tpl;capabilities,"choose the supported production base and target scope, refresh live/e2e evidence, and record the final support decision",production-disposition,,recipes/bitnami/nginx/24.0.2/recipe.yaml,packages/bitnami/nginx/24.0.2,recipes/bitnami/nginx/24.0.2/CATALOG.md,recipes/bitnami/nginx/24.0.2/helm-pain-report.yaml
5,7,bitnami/postgresql@18.6.7,top20-catalog-supported,try-now-public-catalog,try-from-public-catalog,catalog-supported-with-live-evidence,live-helm-vs-confighub-parity,2,generated-passwords;existing-secret,2/2,1/2,1/2,2/2,1/2,2/2,ha (curated proof lane - bespoke teaching needed),lookup;generated-facts;tpl;capabilities;stateful-storage,"record the target-scoped lifecycle support decision, then refresh live/e2e evidence for that scope",production-disposition,,recipes/bitnami/postgresql/18.6.7/recipe.yaml,packages/bitnami/postgresql/18.6.7,recipes/bitnami/postgresql/18.6.7/CATALOG.md,recipes/bitnami/postgresql/18.6.7/helm-pain-report.yaml
6,20,bitnami/rabbitmq@16.0.14,top20-catalog-supported,try-now-public-catalog,try-from-public-catalog,catalog-supported-with-live-evidence,live-helm-vs-confighub-parity,2,generated-passwords;existing-secret,2/2,1/2,1/2,1/2,1/2,2/2,ha (curated proof lane - bespoke teaching needed),lookup;generated-facts;tpl;capabilities;stateful-storage,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes,production-disposition,,recipes/bitnami/rabbitmq/16.0.14/recipe.yaml,packages/bitnami/rabbitmq/16.0.14,recipes/bitnami/rabbitmq/16.0.14/CATALOG.md,recipes/bitnami/rabbitmq/16.0.14/helm-pain-report.yaml
7,6,bitnami/redis@25.5.3,top20-catalog-supported,try-now-public-catalog,try-from-public-catalog,catalog-supported-with-live-evidence,live-helm-vs-confighub-parity,2,default;reuse-existing-secret,2/2,1/2,2/2,2/2,1/2,2/2,-,lookup;generated-facts;tpl;capabilities;stateful-storage,"record the target-scoped lifecycle support decision, then refresh live/e2e evidence for that scope",production-disposition,,recipes/bitnami/redis/25.5.3/recipe.yaml,packages/bitnami/redis/25.5.3,recipes/bitnami/redis/25.5.3/CATALOG.md,recipes/bitnami/redis/25.5.3/helm-pain-report.yaml
8,,external-secrets/external-secrets@2.5.0,top20-catalog-supported,try-now-public-catalog,try-from-public-catalog,catalog-supported-with-live-evidence,live-helm-vs-confighub-parity,2,default;no-crds,2/2,1/2,1/2,1/2,1/2,2/2,-,,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes,production-disposition,,recipes/external-secrets/external-secrets/2.5.0/recipe.yaml,packages/external-secrets/external-secrets/2.5.0,recipes/external-secrets/external-secrets/2.5.0/CATALOG.md,recipes/external-secrets/external-secrets/2.5.0/helm-pain-report.yaml
9,,grafana/grafana@10.5.15,top20-catalog-supported,try-now-public-catalog,try-from-public-catalog,catalog-supported-with-live-evidence,live-helm-vs-confighub-parity,2,generated-passwords;existing-secret-ingress,2/2,1/2,1/2,1/2,1/2,2/2,-,,resolve image digests for each affected variant before production OCI support,production-disposition,,recipes/grafana/grafana/10.5.15/recipe.yaml,packages/grafana/grafana/10.5.15,recipes/grafana/grafana/10.5.15/CATALOG.md,recipes/grafana/grafana/10.5.15/helm-pain-report.yaml
10,10,grafana/loki@7.0.0,top20-catalog-supported,try-now-public-catalog,try-from-public-catalog,catalog-supported-with-live-evidence,live-helm-vs-confighub-parity,2,single-binary-filesystem;simple-scalable-minio,2/2,1/2,1/2,1/2,1/2,2/2,-,lookup;generated-facts;tpl;capabilities;crds;cluster-rbac;webhooks;stateful-storage,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes,production-disposition,,recipes/grafana/loki/7.0.0/recipe.yaml,packages/grafana/loki/7.0.0,recipes/grafana/loki/7.0.0/CATALOG.md,recipes/grafana/loki/7.0.0/helm-pain-report.yaml
