axis,preview_disposition,mechanism,coverage_tier,source_top100_count,modeled_or_supported_count,previewable
capability-profile,shift-left,"capability profile pins kubeVersion + apiVersions",partly-tracked,81,50,"partial"
crds,shift-left,"CRDs in the render, or staged as a target fact",tracked-and-surfaced,24,38,"yes"
dependency-alias,shift-left,"locked dependency",tracked-by-lock-not-front-door,n/a,6,"partial"
dependency-lock,shift-left,"dependencies locked -> deterministic render",tracked-and-surfaced,n/a,139,"yes"
explicit-extension-slot-control-points,shift-left,"captured as control points / values",tracked-and-surfaced,65,91,"yes"
files-get,shift-left,"bundled files vendored with the chart",source-scanned-not-surfaced,31,0,"partial"
generated-facts,shift-left,"generated-fact receipt (capture once, reuse)",tracked-and-surfaced,60,29,"yes"
global-values,shift-left,"deterministic given captured values (scan gap)",not-scanned,unknown,unknown,"partial"
helm-flag-profile,shift-left,"pinned renderer flags in the render receipt",partly-tracked,n/a,197,"partial"
helm-version-branching,shift-left,"pin the Helm version in the render receipt",not-scanned,unknown,unknown,"partial"
hook-phase,shift-left,"hook-minted object declared as a target fact; hook execution witnessed",partly-tracked,11,5,"partial"
import-values,shift-left,"deterministic given captured values (scan gap)",not-scanned,unknown,0,"partial"
install-vs-upgrade,shift-left,"render-once is install-shaped; upgrade reuse via held data",tracked-and-surfaced,38,18,"yes"
library-chart,shift-left,"locked dependency",tracked-by-lock-not-front-door,n/a,2,"partial"
lookup-target-facts,shift-left,"target fact (read from config or live, pre-deploy)",tracked-and-surfaced,47,26,"yes"
required-or-fail,shift-left,"required values captured as an input contract",tracked-and-surfaced,71,34,"yes"
semver-compare,shift-left,"deterministic given pinned versions",source-scanned-not-surfaced,71,0,"partial"
tpl-extension-slots,shift-left,"deterministic given captured values",tracked-and-surfaced,88,91,"yes"
values-schema,shift-left,"values.schema.json input contract",tracked-and-surfaced,36,15,"yes"
getHostByName,runtime-residue,"DNS at render; bind a captured fact or witness",not-scanned,unknown,unknown,"no (witness)"
post-renderer,runtime-residue,"final applied object differs from helm template; pin a recipe stage or witness",not-scanned,unknown,unknown,"no (witness)"
time-uuid-functions,runtime-residue,"nondeterministic per render; capture-once or witness",source-scanned-not-surfaced,40,0,"no (witness)"
crd-upgrade-behavior,lifecycle,"CRD schema upgrade safety (day-2, not preview)",disclosed-not-complete,24,38,"n/a (day-2)"
hook-delete-policy,lifecycle,"uninstall/rerun cleanup behavior (day-2, not preview)",source-scanned-not-surfaced,10,0,"n/a (day-2)"
hook-weight-ordering,lifecycle,"hook sequencing (day-2, not preview)",source-scanned-not-surfaced,3,0,"n/a (day-2)"
resource-policy-keep,lifecycle,"uninstall/prune orphans (day-2, not preview)",not-scanned,unknown,unknown,"n/a (day-2)"
