chart,version,supported_variants,live_e2e,production_support,required_dispositions,next_action
argo-cd/argo-cd,9.5.15,default;no-crds,local-kind-observed,production-review-ready,CRD lifecycle and upgrade policy;cluster RBAC review;extension slot provenance and scan policy;hook and lifecycle phase policy;scan/gate warning disposition;storage backup restore and rollback policy;target fact preflight,record final target-scoped support decision and refresh live/e2e evidence for that scope
bitnami/mongodb,19.0.7,generated-passwords;existing-secret-replicaset,local-kind-observed,production-review-ready,extension slot provenance and scan policy;generated fact ownership;hook and lifecycle phase policy;scan/gate warning disposition;storage backup restore and rollback policy;target fact preflight,record final target-scoped support decision and refresh live/e2e evidence for that scope
bitnami/mysql,14.0.3,generated-passwords;existing-secret,local-kind-observed,production-review-ready,generated fact ownership;hook and lifecycle phase policy;scan/gate warning disposition;storage backup restore and rollback policy;target fact preflight,record final target-scoped support decision and refresh live/e2e evidence for that scope
bitnami/nginx,24.0.2,http-clusterip;existing-tls-ingress,local-kind-observed,production-review-ready,extension slot provenance and scan policy;generated fact ownership;scan/gate warning disposition;target fact preflight,record final target-scoped support decision and refresh live/e2e evidence for that scope
bitnami/postgresql,18.6.7,generated-passwords;existing-secret,local-kind-observed,production-review-ready,generated fact ownership;hook and lifecycle phase policy;scan/gate warning disposition;storage backup restore and rollback policy;target fact preflight,record final target-scoped support decision and refresh live/e2e evidence for that scope
bitnami/rabbitmq,16.0.14,generated-passwords;existing-secret,local-kind-observed,production-review-ready,generated fact ownership;hook and lifecycle phase policy;scan/gate warning disposition;storage backup restore and rollback policy;target fact preflight,record final target-scoped support decision and refresh live/e2e evidence for that scope
bitnami/redis,25.5.3,default;reuse-existing-secret,local-kind-observed,production-review-ready,generated fact ownership;hook and lifecycle phase policy;scan/gate warning disposition;target fact preflight,record final target-scoped support decision and refresh live/e2e evidence for that scope
external-secrets/external-secrets,2.5.0,default;no-crds,local-kind-observed,production-review-ready,CRD lifecycle and upgrade policy;cluster RBAC review;extension slot provenance and scan policy;scan/gate warning disposition;target fact preflight;webhook readiness and failure policy,record final target-scoped support decision and refresh live/e2e evidence for that scope
grafana/grafana,10.5.15,generated-passwords;existing-secret-ingress,local-kind-observed,production-review-ready,cluster RBAC review;extension slot provenance and scan policy;generated fact ownership;scan/gate warning disposition;target fact preflight,record final target-scoped support decision and refresh live/e2e evidence for that scope
grafana/loki,7.0.0,single-binary-filesystem;simple-scalable-minio,local-kind-observed,production-review-ready,cluster RBAC review;extension slot provenance and scan policy;hook and lifecycle phase policy;scan/gate warning disposition;storage backup restore and rollback policy,record final target-scoped support decision and refresh live/e2e evidence for that scope
grafana/tempo,1.24.4,local-persistent;s3-query-observability,local-kind-observed,production-review-ready,extension slot provenance and scan policy;scan/gate warning disposition;storage backup restore and rollback policy;target fact preflight,record final target-scoped support decision and refresh live/e2e evidence for that scope
hashicorp/consul,2.0.0,default-control-plane;secure-mesh-existing-secrets,local-kind-observed,production-review-ready,CRD lifecycle and upgrade policy;cluster RBAC review;extension slot provenance and scan policy;hook and lifecycle phase policy;scan/gate warning disposition;storage backup restore and rollback policy;target fact preflight;webhook readiness and failure policy,record final target-scoped support decision and refresh live/e2e evidence for that scope
hashicorp/vault,0.32.0,dev-mode;default;ha-raft-ui,local-kind-observed,production-review-ready,cluster RBAC review;extension slot provenance and scan policy;scan/gate warning disposition;storage backup restore and rollback policy;target fact preflight;webhook readiness and failure policy,record final target-scoped support decision and refresh live/e2e evidence for that scope
ingress-nginx/ingress-nginx,4.15.1,default;admission-disabled;internal-clusterip,local-kind-observed,production-review-ready,cluster RBAC review;hook and lifecycle phase policy;scan/gate warning disposition;target fact preflight;webhook readiness and failure policy,record final target-scoped support decision and refresh live/e2e evidence for that scope
jetstack/cert-manager,v1.20.2,default;crds-enabled,local-kind-observed,blocked,CRD lifecycle and upgrade policy;cluster RBAC review;extension slot provenance and scan policy;hook and lifecycle phase policy;scan/gate warning disposition;target fact preflight;webhook readiness and failure policy,write or fix disposition receipt(s): target fact preflight
longhorn/longhorn,1.11.2,default;ui-ingress,local-kind-observed,production-review-ready,CRD lifecycle and upgrade policy;cluster RBAC review;hook and lifecycle phase policy;scan/gate warning disposition;webhook readiness and failure policy,record final target-scoped support decision and refresh live/e2e evidence for that scope
metrics-server/metrics-server,3.13.0,default;external-tls-ca,local-kind-observed,production-review-ready,cluster RBAC review;generated fact ownership;hook and lifecycle phase policy;scan/gate warning disposition;target fact preflight,record final target-scoped support decision and refresh live/e2e evidence for that scope
prometheus-community/kube-prometheus-stack,85.3.3,default;no-crds,local-kind-observed,production-review-ready,CRD lifecycle and upgrade policy;cluster RBAC review;extension slot provenance and scan policy;generated fact ownership;scan/gate warning disposition;target fact preflight;webhook readiness and failure policy,record final target-scoped support decision and refresh live/e2e evidence for that scope
prometheus-community/prometheus,29.8.0,default;server-only-ephemeral,local-kind-observed,production-review-ready,cluster RBAC review;extension slot provenance and scan policy;scan/gate warning disposition,record final target-scoped support decision and refresh live/e2e evidence for that scope
secrets-store-csi-driver/secrets-store-csi-driver,1.6.0,default;sync-secret-rotation,local-kind-observed,production-review-ready,CRD lifecycle and upgrade policy;cluster RBAC review;extension slot provenance and scan policy;scan/gate warning disposition,record final target-scoped support decision and refresh live/e2e evidence for that scope
