chart,version,variants,scanPriority,findingCount,topChecks,dispositionRoute,routeReason,suggestedAction,productionNextDisposition,productionDispositionReceipt,owner,productionState,liveE2EReceipts
prometheus-community/kube-prometheus-stack,85.3.3,default;no-crds,high,54,dangling-service:14;unset-cpu-requirements:12;unset-memory-requirements:12;no-read-only-root-fs:6;sensitive-host-mounts:6;host-network:2;host-pid:2,accept-or-split-privileged-infrastructure,"the chart installs infrastructure that normally needs node, host, or privileged access",record an explicit security acceptance for the supported scope or create a narrower hardened base where the chart supports it,CRD lifecycle and upgrade policy,data/production-disposition/receipts/prometheus-community-kube-prometheus-stack/crd-lifecycle-and-upgrade-policy.yaml,security-review,production-blocked,1
longhorn/longhorn,1.11.2,default;ui-ingress,high,48,no-read-only-root-fs:10;run-as-non-root:10;unset-cpu-requirements:10;unset-memory-requirements:10;dangling-service:4;privilege-escalation-container:2;privileged-container:2,accept-or-split-privileged-infrastructure,"the chart installs infrastructure that normally needs node, host, or privileged access",record an explicit security acceptance for the supported scope or create a narrower hardened base where the chart supports it,CRD lifecycle and upgrade policy,data/production-disposition/receipts/longhorn-longhorn/crd-lifecycle-and-upgrade-policy.yaml,security-review,production-blocked,1
prometheus-community/prometheus,29.8.0,default;server-only-ephemeral,high,27,unset-cpu-requirements:8;unset-memory-requirements:8;no-read-only-root-fs:6;sensitive-host-mounts:3;host-network:1;host-pid:1,accept-or-split-privileged-infrastructure,"the chart installs infrastructure that normally needs node, host, or privileged access",record an explicit security acceptance for the supported scope or create a narrower hardened base where the chart supports it,scan/gate warning disposition,data/production-disposition/receipts/prometheus-community-prometheus/scan-gate-warning-disposition.yaml,security-review,production-blocked,1
secrets-store-csi-driver/secrets-store-csi-driver,1.6.0,default;sync-secret-rotation,high,16,no-read-only-root-fs:6;run-as-non-root:6;privilege-escalation-container:2;privileged-container:2,accept-or-split-privileged-infrastructure,"the chart installs infrastructure that normally needs node, host, or privileged access",record an explicit security acceptance for the supported scope or create a narrower hardened base where the chart supports it,CRD lifecycle and upgrade policy,data/production-disposition/receipts/secrets-store-csi-driver-secrets-store-csi-driver/crd-lifecycle-and-upgrade-policy.yaml,security-review,production-blocked,1
grafana/loki,7.0.0,simple-scalable-minio;single-binary-filesystem,medium,33,unset-memory-requirements:15;unset-cpu-requirements:14;pdb-unhealthy-pod-eviction-policy:3;no-read-only-root-fs:1,harden-security-context,rendered workloads need pod/container security review before production support,"add supported hardening values where safe, or record a chart-specific security disposition for the remaining workload behavior",cluster RBAC review,data/production-disposition/receipts/grafana-loki/cluster-rbac-review.yaml,security-review,production-blocked,1
hashicorp/vault,0.32.0,default;ha-raft-ui,medium,21,no-read-only-root-fs:4;unset-cpu-requirements:4;unset-memory-requirements:4;dangling-service:2;liveness-port:2;readiness-port:2;startup-port:2;pdb-unhealthy-pod-eviction-policy:1,harden-security-context,rendered workloads need pod/container security review before production support,"add supported hardening values where safe, or record a chart-specific security disposition for the remaining workload behavior",cluster RBAC review,data/production-disposition/receipts/hashicorp-vault/cluster-rbac-review.yaml,security-review,production-blocked,1
grafana/tempo,1.24.4,local-persistent;s3-query-observability,medium,9,no-read-only-root-fs:3;unset-cpu-requirements:3;unset-memory-requirements:3,harden-security-context,rendered workloads need pod/container security review before production support,"add supported hardening values where safe, or record a chart-specific security disposition for the remaining workload behavior",extension slot provenance and scan policy,data/production-disposition/receipts/grafana-tempo/extension-slot-provenance-and-scan-policy.yaml,security-review,production-blocked,1
ingress-nginx/ingress-nginx,4.15.1,admission-disabled;default,medium,8,liveness-port:2;no-read-only-root-fs:2;readiness-port:2;unset-memory-requirements:2,harden-security-context,rendered workloads need pod/container security review before production support,"add supported hardening values where safe, or record a chart-specific security disposition for the remaining workload behavior",cluster RBAC review,data/production-disposition/receipts/ingress-nginx-ingress-nginx/cluster-rbac-review.yaml,security-review,production-blocked,1
grafana/grafana,10.5.15,existing-secret-ingress;generated-passwords,medium,6,no-read-only-root-fs:2;unset-cpu-requirements:2;unset-memory-requirements:2,harden-security-context,rendered workloads need pod/container security review before production support,"add supported hardening values where safe, or record a chart-specific security disposition for the remaining workload behavior",cluster RBAC review,data/production-disposition/receipts/grafana-grafana/cluster-rbac-review.yaml,security-review,production-blocked,1
argo-cd/argo-cd,9.5.15,default;no-crds,standard,36,unset-cpu-requirements:18;unset-memory-requirements:18,add-resource-policy,rendered workloads lack production resource requests or limits,add a production resource policy/base variant or explicitly keep chart defaults as local-test only,CRD lifecycle and upgrade policy,data/production-disposition/receipts/argo-cd-argo-cd/crd-lifecycle-and-upgrade-policy.yaml,catalog-review,production-blocked,1
