"persona","run_id","category","job","current_label","preferred_label","current_label_score","preferred_label_score","label_alone_explains_own_ai","caveat"
"developer","developer-L01","language-persona-simulation","AI wrote Helm values; check whether they are safe","Check my config","Check my config","11","11","no","Synthetic persona preference, not observed human behavior"
"developer","developer-L02","language-persona-simulation","my chart is not in the catalog","Check my config","Help with a chart","2","3","no","Synthetic persona preference, not observed human behavior"
"developer","developer-L03","language-persona-simulation","find upgrade risk between two chart versions","Check my config","Investigate","2","3","no","Synthetic persona preference, not observed human behavior"
"developer","developer-L04","language-persona-simulation","compare a candidate with an installed release","Check my config","Compare","2","6","no","Synthetic persona preference, not observed human behavior"
"developer","developer-L05","language-persona-simulation","understand hooks and CRDs","Check my config","Investigate","2","6","no","Synthetic persona preference, not observed human behavior"
"developer","developer-L06","language-persona-simulation","review a private Helm configuration","Check my config","Check my config","8","8","no","Synthetic persona preference, not observed human behavior"
"developer","developer-L07","language-persona-simulation","check an AICR configuration","Check my config","Check my config","11","11","no","Synthetic persona preference, not observed human behavior"
"developer","developer-L08","language-persona-simulation","inspect an existing OCI package","Check my config","Check my config","5","5","no","Synthetic persona preference, not observed human behavior"
"developer","developer-L09","language-persona-simulation","transform one field in OCI","Check my config","Check my config","5","5","no","Synthetic persona preference, not observed human behavior"
"developer","developer-L10","language-persona-simulation","review plain Kubernetes YAML","Check my config","Check my config","8","8","no","Synthetic persona preference, not observed human behavior"
"developer","developer-L11","language-persona-simulation","find why deployment differs from the approved config","Check my config","Investigate","5","6","no","Synthetic persona preference, not observed human behavior"
"developer","developer-L12","language-persona-simulation","find whether Helm ignored a value","Check my config","Investigate","2","3","no","Synthetic persona preference, not observed human behavior"
"developer","developer-L13","language-persona-simulation","identify prerequisites before install","Check my config","Check my config","2","2","no","Synthetic persona preference, not observed human behavior"
"developer","developer-L14","language-persona-simulation","find a risky credential","Check my config","Check my config","5","5","no","Synthetic persona preference, not observed human behavior"
"developer","developer-L15","language-persona-simulation","compare immutable digests","Check my config","Compare","2","6","no","Synthetic persona preference, not observed human behavior"
"developer","developer-L16","language-persona-simulation","check whether rollback will restore exact bytes","Check my config","Check my config","5","5","no","Synthetic persona preference, not observed human behavior"
"developer","developer-L17","language-persona-simulation","investigate live drift","Check my config","Investigate","2","6","no","Synthetic persona preference, not observed human behavior"
"developer","developer-L18","language-persona-simulation","compare development and production","Check my config","Compare","2","9","no","Synthetic persona preference, not observed human behavior"
"developer","developer-L19","language-persona-simulation","check whether production approval is required","Check my config","Check my config","8","8","no","Synthetic persona preference, not observed human behavior"
"developer","developer-L20","language-persona-simulation","review a fleet configuration change","Check my config","Check my config","8","8","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L01","language-persona-simulation","AI wrote Helm values; check whether they are safe","Check my config","Check my config","9","9","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L02","language-persona-simulation","my chart is not in the catalog","Check my config","Help with a chart","0","3","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L03","language-persona-simulation","find upgrade risk between two chart versions","Check my config","Investigate","0","5","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L04","language-persona-simulation","compare a candidate with an installed release","Check my config","Compare","0","8","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L05","language-persona-simulation","understand hooks and CRDs","Check my config","Investigate","0","8","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L06","language-persona-simulation","review a private Helm configuration","Check my config","Check my config","6","6","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L07","language-persona-simulation","check an AICR configuration","Check my config","Check my config","9","9","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L08","language-persona-simulation","inspect an existing OCI package","Check my config","Check my config","3","3","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L09","language-persona-simulation","transform one field in OCI","Check my config","Check my config","3","3","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L10","language-persona-simulation","review plain Kubernetes YAML","Check my config","Check my config","6","6","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L11","language-persona-simulation","find why deployment differs from the approved config","Check my config","Investigate","3","8","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L12","language-persona-simulation","find whether Helm ignored a value","Check my config","Investigate","0","5","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L13","language-persona-simulation","identify prerequisites before install","Check my config","Investigate","0","2","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L14","language-persona-simulation","find a risky credential","Check my config","Investigate","3","5","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L15","language-persona-simulation","compare immutable digests","Check my config","Compare","0","8","no","Synthetic persona preference, not observed human behavior"
