chart,version,base,lane,prerequisite_kind,prerequisite_name,action_kind,owner_class,required_inputs,evidence_required,rerun_command,automatic,source_receipt,support_artifact
autoscaler/cluster-autoscaler,9.57.0,default,K,unknown,unknown,unknown-preflight,user-stage,the missing Helm input value(s),the missing input(s) supplied and the re-render matching regular Helm; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart autoscaler/cluster-autoscaler --version 9.57.0 --base default,false,runs/live-kind-parity/autoscaler-cluster-autoscaler-default/receipt.yaml,
aws-ebs-csi-driver/aws-ebs-csi-driver,2.60.1,default,G/P,topology,AWS/EKS metadata + node providerID,provide-storage-or-topology,target-policy,AWS/EKS metadata + node providerID,a bound PVC / a target with the required topology; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1 --base default,false,runs/live-helm-confighub-compare/aws-ebs-csi-driver-aws-ebs-csi-driver-default/receipt.yaml,recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1/target-topology.yaml
bitnami/contour,21.1.4,legacy,G/P,unknown,unknown,operator-review,operator-review,operator review of the runtime residue,an operator decision recorded for this base/target; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/bitnami/contour/21.1.4 --base legacy --repo-url oci://registry-1.docker.io/bitnamicharts,false,runs/live-helm-confighub-compare/bitnami-contour-legacy/receipt.yaml,
dex/dex,0.24.0,default,G/P,unknown,unknown,operator-review,operator-review,operator review of the runtime residue,an operator decision recorded for this base/target; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/dex/dex/0.24.0 --base default,false,runs/live-helm-confighub-compare/dex-dex-default/receipt.yaml,
dex/dex,0.24.0,default,K,unknown,unknown,operator-review,operator-review,operator review of the runtime residue,an operator decision recorded for this base/target; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart dex/dex --version 0.24.0 --base default,false,runs/live-kind-parity/dex-dex-default/receipt.yaml,
elastic/filebeat,8.5.1,default,G/P,unknown,unknown,operator-review,operator-review,operator review of the runtime residue,an operator decision recorded for this base/target; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/elastic/filebeat/8.5.1 --base default,false,runs/live-helm-confighub-compare/elastic-filebeat-default/receipt.yaml,recipes/elastic/filebeat/8.5.1/target-prerequisite-plan.yaml
elastic/filebeat,8.5.1,default,K,secret,Secret elasticsearch-master-certs,stage-secret,user-stage,Secret elasticsearch-master-certs,the named Secret(s) present in the target namespace before apply; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart elastic/filebeat --version 8.5.1 --base default,false,runs/live-kind-parity/elastic-filebeat-default/receipt.yaml,recipes/elastic/filebeat/8.5.1/target-prerequisite-plan.yaml
elastic/filebeat,8.5.1,node-or-cluster-collector,G/P,unknown,unknown,operator-review,operator-review,operator review of the runtime residue,an operator decision recorded for this base/target; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/elastic/filebeat/8.5.1 --base node-or-cluster-collector,false,runs/live-helm-confighub-compare/elastic-filebeat-node-or-cluster-collector/receipt.yaml,recipes/elastic/filebeat/8.5.1/target-prerequisite-plan.yaml
elastic/filebeat,8.5.1,node-or-cluster-collector,K,external-api,unknown,provide-external-service,operator-review,the upstream service/endpoint the workload connects to,the upstream service/endpoint reachable from the workload; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart elastic/filebeat --version 8.5.1 --base node-or-cluster-collector,false,runs/live-kind-parity/elastic-filebeat-node-or-cluster-collector/receipt.yaml,recipes/elastic/filebeat/8.5.1/target-prerequisite-plan.yaml
elastic/kibana,8.5.1,default,G/P,unknown,unknown,operator-review,operator-review,operator review of the runtime residue,an operator decision recorded for this base/target; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/elastic/kibana/8.5.1 --base default,false,runs/live-helm-confighub-compare/elastic-kibana-default/receipt.yaml,
elastic/kibana,8.5.1,default,K,external-api,unknown,provide-external-service,operator-review,the upstream service/endpoint the workload connects to,the upstream service/endpoint reachable from the workload; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart elastic/kibana --version 8.5.1 --base default,false,runs/live-kind-parity/elastic-kibana-default/receipt.yaml,
elastic/metricbeat,8.5.1,default,G/P,unknown,unknown,operator-review,operator-review,operator review of the runtime residue,an operator decision recorded for this base/target; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/elastic/metricbeat/8.5.1 --base default,false,runs/live-helm-confighub-compare/elastic-metricbeat-default/receipt.yaml,
