block_id,block_goal,work_type,chart,version,base,command,current_status,lane_cells,run_readiness,support_artifact,receipt,prediction_status,predicted_residue_family,predicted_target_profile,prediction_basis,confidence,serial_safety_notes,why_this_block_matters_for_99
GP-01,"G/P: run the 5 ready live-parity row(s) with predicted gitops-runtime (jetstack/cert-manager@v1.21.0, kyverno/kyverno-policies@3.8.2, kyverno/kyverno@3.8.2, traefik/traefik@41.0.2); each live-parity command classifies both the G and P cells. Confirm or reclassify from each receipt.",live-parity,jetstack/cert-manager,v1.21.0,crds-enabled,npm run live-parity:run -- --recipe recipes/jetstack/cert-manager/v1.21.0 --base crds-enabled,todo,G=todo;P=todo,ready-to-run,,,derived,gitops-runtime,vanilla kind proof rig with ConfigHub OCI/Argo — expect a controller-health residue to explain,family pattern — jetstack: 1/1 classified rows are gitops-runtime,medium,installs cluster-scoped CRDs/webhooks — verify CRD ownership and cleanup; do not batch with another CRD installer in parallel,ready-to-run todo cell(s) [G=todo;P=todo] counted against the 99% disposition bar; running this converts todo -> pass/watch/blocked with a committed receipt
GP-01,"G/P: run the 5 ready live-parity row(s) with predicted gitops-runtime (jetstack/cert-manager@v1.21.0, kyverno/kyverno-policies@3.8.2, kyverno/kyverno@3.8.2, traefik/traefik@41.0.2); each live-parity command classifies both the G and P cells. Confirm or reclassify from each receipt.",live-parity,jetstack/cert-manager,v1.21.0,default,npm run live-parity:run -- --recipe recipes/jetstack/cert-manager/v1.21.0 --base default,todo,G=todo;P=todo,ready-to-run,,,derived,gitops-runtime,vanilla kind proof rig with ConfigHub OCI/Argo — expect a controller-health residue to explain,family pattern — jetstack: 1/1 classified rows are gitops-runtime,medium,installs cluster-scoped CRDs/webhooks — verify CRD ownership and cleanup; do not batch with another CRD installer in parallel,ready-to-run todo cell(s) [G=todo;P=todo] counted against the 99% disposition bar; running this converts todo -> pass/watch/blocked with a committed receipt
GP-01,"G/P: run the 5 ready live-parity row(s) with predicted gitops-runtime (jetstack/cert-manager@v1.21.0, kyverno/kyverno-policies@3.8.2, kyverno/kyverno@3.8.2, traefik/traefik@41.0.2); each live-parity command classifies both the G and P cells. Confirm or reclassify from each receipt.",live-parity,kyverno/kyverno-policies,3.8.2,default,npm run live-parity:run -- --recipe recipes/kyverno/kyverno-policies/3.8.2 --base default,todo,G=todo;P=todo,ready-to-run,,,derived,gitops-runtime,vanilla kind proof rig with ConfigHub OCI/Argo — expect a controller-health residue to explain,sibling receipt — kyverno/kyverno-policies already classified gitops-runtime (runs/live-helm-confighub-compare/kyverno-kyverno-policies-default/receipt.yaml),high,installs cluster-scoped CRDs/webhooks — verify CRD ownership and cleanup; do not batch with another CRD installer in parallel,ready-to-run todo cell(s) [G=todo;P=todo] counted against the 99% disposition bar; running this converts todo -> pass/watch/blocked with a committed receipt
GP-01,"G/P: run the 5 ready live-parity row(s) with predicted gitops-runtime (jetstack/cert-manager@v1.21.0, kyverno/kyverno-policies@3.8.2, kyverno/kyverno@3.8.2, traefik/traefik@41.0.2); each live-parity command classifies both the G and P cells. Confirm or reclassify from each receipt.",live-parity,kyverno/kyverno,3.8.2,default,npm run live-parity:run -- --recipe recipes/kyverno/kyverno/3.8.2 --base default,todo,G=todo;P=todo,ready-to-run,,,derived,gitops-runtime,vanilla kind proof rig with ConfigHub OCI/Argo — expect a controller-health residue to explain,family pattern — kyverno: 1/2 classified rows are gitops-runtime,medium,installs cluster-scoped CRDs/webhooks — verify CRD ownership and cleanup; do not batch with another CRD installer in parallel,ready-to-run todo cell(s) [G=todo;P=todo] counted against the 99% disposition bar; running this converts todo -> pass/watch/blocked with a committed receipt
GP-01,"G/P: run the 5 ready live-parity row(s) with predicted gitops-runtime (jetstack/cert-manager@v1.21.0, kyverno/kyverno-policies@3.8.2, kyverno/kyverno@3.8.2, traefik/traefik@41.0.2); each live-parity command classifies both the G and P cells. Confirm or reclassify from each receipt.",live-parity,traefik/traefik,41.0.2,default,npm run live-parity:run -- --recipe recipes/traefik/traefik/41.0.2 --base default,todo,G=todo;P=todo,ready-to-run,,,derived,gitops-runtime,vanilla kind proof rig with ConfigHub OCI/Argo — expect a controller-health residue to explain,sibling receipt — traefik/traefik already classified gitops-runtime (runs/live-helm-confighub-compare/traefik-traefik-no-crds/receipt.yaml),high,light controller — safe within a block,ready-to-run todo cell(s) [G=todo;P=todo] counted against the 99% disposition bar; running this converts todo -> pass/watch/blocked with a committed receipt
GP-02,"G/P: run the 5 ready live-parity row(s) with predicted capability-profile / gitops-runtime (prometheus-community/prometheus-blackbox-exporter@11.15.1, argo-cd/argo-cd@10.1.3, argo-cd/argo-cd@10.2.1, grafana/grafana@10.5.15); each live-parity command classifies both the G and P cells. Confirm or reclassify from each receipt.",live-parity,prometheus-community/prometheus-blackbox-exporter,11.15.1,default,npm run live-parity:run -- --recipe recipes/prometheus-community/prometheus-blackbox-exporter/11.15.1 --base default,todo,G=todo;P=todo,ready-to-run,,,derived,capability-profile,a target whose API capabilities match the chart render profile,family pattern — prometheus-community: 2/6 classified rows are capability-profile,low,light controller — safe within a block,ready-to-run todo cell(s) [G=todo;P=todo] counted against the 99% disposition bar; running this converts todo -> pass/watch/blocked with a committed receipt
GP-02,"G/P: run the 5 ready live-parity row(s) with predicted capability-profile / gitops-runtime (prometheus-community/prometheus-blackbox-exporter@11.15.1, argo-cd/argo-cd@10.1.3, argo-cd/argo-cd@10.2.1, grafana/grafana@10.5.15); each live-parity command classifies both the G and P cells. Confirm or reclassify from each receipt.",live-parity,argo-cd/argo-cd,10.1.3,default,npm run live-parity:run -- --recipe recipes/argo-cd/argo-cd/10.1.3 --base default,todo,G=todo;P=todo,ready-to-run,,,derived,gitops-runtime,vanilla kind proof rig with ConfigHub OCI/Argo — expect a controller-health residue to explain,sibling receipt — argo-cd/argo-cd already classified gitops-runtime (runs/live-helm-confighub-compare/argo-cd-argo-cd-default-9-5-17/receipt.yaml),high,light controller — safe within a block,ready-to-run todo cell(s) [G=todo;P=todo] counted against the 99% disposition bar; running this converts todo -> pass/watch/blocked with a committed receipt
GP-02,"G/P: run the 5 ready live-parity row(s) with predicted capability-profile / gitops-runtime (prometheus-community/prometheus-blackbox-exporter@11.15.1, argo-cd/argo-cd@10.1.3, argo-cd/argo-cd@10.2.1, grafana/grafana@10.5.15); each live-parity command classifies both the G and P cells. Confirm or reclassify from each receipt.",live-parity,argo-cd/argo-cd,10.2.1,default,npm run live-parity:run -- --recipe recipes/argo-cd/argo-cd/10.2.1 --base default,todo,G=todo;P=todo,ready-to-run,,,derived,gitops-runtime,vanilla kind proof rig with ConfigHub OCI/Argo — expect a controller-health residue to explain,sibling receipt — argo-cd/argo-cd already classified gitops-runtime (runs/live-helm-confighub-compare/argo-cd-argo-cd-default-9-5-17/receipt.yaml),high,light controller — safe within a block,ready-to-run todo cell(s) [G=todo;P=todo] counted against the 99% disposition bar; running this converts todo -> pass/watch/blocked with a committed receipt
GP-02,"G/P: run the 5 ready live-parity row(s) with predicted capability-profile / gitops-runtime (prometheus-community/prometheus-blackbox-exporter@11.15.1, argo-cd/argo-cd@10.1.3, argo-cd/argo-cd@10.2.1, grafana/grafana@10.5.15); each live-parity command classifies both the G and P cells. Confirm or reclassify from each receipt.",live-parity,grafana/grafana,10.5.15,customer-acme-prod,npm run live-parity:run -- --recipe recipes/grafana/grafana/10.5.15 --base customer-acme-prod,todo,G=todo;P=n/a,ready-to-run,,,derived,gitops-runtime,vanilla kind proof rig with ConfigHub OCI/Argo — expect a controller-health residue to explain,recipe artifact recipes/grafana/grafana/10.5.15/gitops-runtime-review.yaml,medium,light controller — safe within a block,ready-to-run todo cell(s) [G=todo;P=n/a] counted against the 99% disposition bar; running this converts todo -> pass/watch/blocked with a committed receipt
GP-02,"G/P: run the 5 ready live-parity row(s) with predicted capability-profile / gitops-runtime (prometheus-community/prometheus-blackbox-exporter@11.15.1, argo-cd/argo-cd@10.1.3, argo-cd/argo-cd@10.2.1, grafana/grafana@10.5.15); each live-parity command classifies both the G and P cells. Confirm or reclassify from each receipt.",live-parity,grafana/grafana,10.5.15,prod-us-east,npm run live-parity:run -- --recipe recipes/grafana/grafana/10.5.15 --base prod-us-east,todo,G=todo;P=n/a,ready-to-run,,,derived,gitops-runtime,vanilla kind proof rig with ConfigHub OCI/Argo — expect a controller-health residue to explain,recipe artifact recipes/grafana/grafana/10.5.15/gitops-runtime-review.yaml,medium,light controller — safe within a block,ready-to-run todo cell(s) [G=todo;P=n/a] counted against the 99% disposition bar; running this converts todo -> pass/watch/blocked with a committed receipt
