shortlist_rank,score,source_rank,chart,version,chart_ref,catalog_status,proof_surface,top100_queue,primary_gap,open_quirks,unresolved_quirks,remote_dependency_workstream,hook_route_candidate,first_action,required_artifact,why_it_matters,model_gap,source_evidence,not_a_claim
1,108,9,k8s-dashboard/kubernetes-dashboard,7.14.0,k8s-dashboard/kubernetes-dashboard@7.14.0,not-in-modeled-top100,,,apiservice,apiservice;remote-dependencies;non-exact-dependencies;hooks;hook-delete-policy;semver-compare;files-get;generated-facts;lookup;capabilities;required-or-fail;webhooks;crds;stateful-storage,apiservice;remote-dependencies;non-exact-dependencies;hooks;hook-delete-policy;semver-compare;files-get;generated-facts;lookup;capabilities;required-or-fail;webhooks;crds;stateful-storage,create-recipe-import-candidate,upgrade-action-with-receipt (if rendered),create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer,data/remote-dependency-closure/top100.csv,APIService aggregation can pass render parity while failing at API aggregation or TLS/runtime readiness.,source signal not fully modeled: apiservice;remote-dependencies;non-exact-dependencies;hooks;hook-delete-policy;semver-compare;files-get;lookup;webhooks;stateful-storage,kubernetes-dashboard/charts/kong/templates/migrations-post-upgrade.yaml;kubernetes-dashboard/charts/kong/templates/migrations-pre-upgrade.yaml,shortlist row only; not a support decision or proof that the chart is unsupported
2,87,13,gitlab/gitlab,10.0.0,gitlab/gitlab@10.0.0,not-in-modeled-top100,,,create-recipe-import-candidate,remote-dependencies;non-exact-dependencies;hooks;semver-compare;files-get;generated-facts;lookup;capabilities;required-or-fail;webhooks;crds;stateful-storage,remote-dependencies;non-exact-dependencies;hooks;semver-compare;files-get;generated-facts;lookup;capabilities;required-or-fail;webhooks;crds;stateful-storage,create-recipe-import-candidate,argocd-or-flux-lifecycle-hook,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer,data/remote-dependency-closure/top100.csv,"source-only charts have no maintained recipe path, so catalog claims would be disconnected from proof artifacts.",source signal not fully modeled: remote-dependencies;non-exact-dependencies;hooks;semver-compare;files-get;lookup;webhooks;stateful-storage,gitlab/charts/traefik/templates/dashboard-hook-ingressroute.yaml;gitlab/charts/ai-gateway/templates/ingress-grpc.yaml;gitlab/charts/ai-gateway/templates/ingress.yaml;gitlab/charts/kubernetes-ingress/templates/NOTES.txt,shortlist row only; not a support decision or proof that the chart is unsupported
3,80,43,datadog/datadog,3.214.0,datadog/datadog@3.214.0,not-in-modeled-top100,,,apiservice,apiservice;remote-dependencies;hooks;hook-delete-policy;semver-compare;files-get;generated-facts;lookup;capabilities;required-or-fail;stateful-storage,apiservice;remote-dependencies;hooks;hook-delete-policy;semver-compare;files-get;generated-facts;lookup;capabilities;required-or-fail;stateful-storage,create-recipe-import-candidate,target-class-preflight-and-upgrade-action,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer,data/remote-dependency-closure/top100.csv,APIService aggregation can pass render parity while failing at API aggregation or TLS/runtime readiness.,source signal not fully modeled: apiservice;remote-dependencies;hooks;hook-delete-policy;semver-compare;files-get;lookup;stateful-storage,datadog/charts/datadog-csi-driver/templates/gke_autopilot_allowlist_synchronizer.yaml;datadog/templates/gke_autopilot_allowlist_synchronizer.yaml;datadog/templates/migration-job.yaml,shortlist row only; not a support decision or proof that the chart is unsupported
4,78,97,kong/kong,3.2.0,kong/kong@3.2.0,not-in-modeled-top100,,,create-recipe-import-candidate,remote-dependencies;non-exact-dependencies;hooks;hook-delete-policy;semver-compare;files-get;generated-facts;lookup;capabilities;required-or-fail;webhooks;crds;stateful-storage,remote-dependencies;non-exact-dependencies;hooks;hook-delete-policy;semver-compare;files-get;generated-facts;lookup;capabilities;required-or-fail;webhooks;crds;stateful-storage,create-recipe-import-candidate,upgrade-action-with-receipt,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer,data/remote-dependency-closure/top100.csv,"source-only charts have no maintained recipe path, so catalog claims would be disconnected from proof artifacts.",source signal not fully modeled: remote-dependencies;non-exact-dependencies;hooks;hook-delete-policy;semver-compare;files-get;lookup;webhooks;stateful-storage,kong/templates/migrations-post-upgrade.yaml;kong/templates/migrations-pre-upgrade.yaml,shortlist row only; not a support decision or proof that the chart is unsupported
5,68,23,bitnami/kafka,32.4.3,bitnami/kafka@32.4.3,not-in-modeled-top100,,,create-recipe-import-candidate,remote-dependencies;non-exact-dependencies;hooks;hook-delete-policy;semver-compare;generated-facts;lookup;capabilities;stateful-storage,remote-dependencies;non-exact-dependencies;hooks;hook-delete-policy;semver-compare;generated-facts;lookup;capabilities;stateful-storage,create-recipe-import-candidate,explicit-managed-action,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer,data/remote-dependency-closure/top100.csv,"source-only charts have no maintained recipe path, so catalog claims would be disconnected from proof artifacts.",source signal not fully modeled: remote-dependencies;non-exact-dependencies;hooks;hook-delete-policy;semver-compare;lookup;stateful-storage,kafka/templates/provisioning/job.yaml,shortlist row only; not a support decision or proof that the chart is unsupported
6,68,32,bitnami/minio,17.0.21,bitnami/minio@17.0.21,not-in-modeled-top100,,,create-recipe-import-candidate,remote-dependencies;non-exact-dependencies;hooks;hook-delete-policy;semver-compare;generated-facts;lookup;capabilities;required-or-fail;stateful-storage,remote-dependencies;non-exact-dependencies;hooks;hook-delete-policy;semver-compare;generated-facts;lookup;capabilities;required-or-fail;stateful-storage,create-recipe-import-candidate,explicit-managed-action,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer,data/remote-dependency-closure/top100.csv,"source-only charts have no maintained recipe path, so catalog claims would be disconnected from proof artifacts.",source signal not fully modeled: remote-dependencies;non-exact-dependencies;hooks;hook-delete-policy;semver-compare;lookup;stateful-storage,minio/templates/provisioning/job.yaml,shortlist row only; not a support decision or proof that the chart is unsupported
7,68,44,bitnami/thanos,17.3.1,bitnami/thanos@17.3.1,not-in-modeled-top100,,,create-recipe-import-candidate,remote-dependencies;non-exact-dependencies;hooks;hook-delete-policy;semver-compare;generated-facts;lookup;capabilities;required-or-fail;stateful-storage,remote-dependencies;non-exact-dependencies;hooks;hook-delete-policy;semver-compare;generated-facts;lookup;capabilities;required-or-fail;stateful-storage,create-recipe-import-candidate,explicit-managed-action,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer,data/remote-dependency-closure/top100.csv,"source-only charts have no maintained recipe path, so catalog claims would be disconnected from proof artifacts.",source signal not fully modeled: remote-dependencies;non-exact-dependencies;hooks;hook-delete-policy;semver-compare;lookup;stateful-storage,thanos/charts/minio/templates/provisioning/job.yaml,shortlist row only; not a support decision or proof that the chart is unsupported
8,64,1,prometheus-community/kube-prometheus-stack,85.3.0,prometheus-community/kube-prometheus-stack@85.3.0,catalog-supported,top20-catalog-supported,,semver-compare,remote-dependencies;non-exact-dependencies;hooks;hook-delete-policy;hook-weight-ordering;semver-compare;files-get;generated-facts;lookup;capabilities;required-or-fail;webhooks;crds;stateful-storage,semver-compare;files-get;generated-facts;lookup;capabilities;required-or-fail;webhooks;crds;stateful-storage,,,promote version-conditional rendering into chart facts and variant-path coverage,chart facts axis plus capability/version matrix row,"version-conditional templates can change rendered objects under a different Kubernetes, chart, or dependency version.",source signal not fully modeled: remote-dependencies;non-exact-dependencies;hooks;hook-delete-policy;hook-weight-ordering;semver-compare;files-get;lookup;webhooks;stateful-storage,kube-prometheus-stack/templates/prometheus-operator/admission-webhooks/job-patch/ciliumnetworkpolicy-createSecret.yaml;kube-prometheus-stack/templates/prometheus-operator/admission-webhooks/job-patch/ciliumnetworkpolicy-patchWebhook.yaml,shortlist row only; not a support decision or proof that the chart is unsupported
9,64,10,grafana/loki,7.0.0,grafana/loki@7.0.0,catalog-supported,top20-catalog-supported,,semver-compare,remote-dependencies;semver-compare;files-get;generated-facts;lookup;capabilities;required-or-fail;webhooks;crds;stateful-storage,semver-compare;files-get;generated-facts;lookup;capabilities;required-or-fail;webhooks;crds;stateful-storage,,,promote version-conditional rendering into chart facts and variant-path coverage,chart facts axis plus capability/version matrix row,"version-conditional templates can change rendered objects under a different Kubernetes, chart, or dependency version.",source signal not fully modeled: remote-dependencies;semver-compare;files-get;lookup;webhooks;stateful-storage,loki/charts/minio/templates/_helpers.tpl;loki/charts/minio/templates/console-ingress.yaml;loki/charts/minio/templates/ingress.yaml;loki/templates/monitoring/dashboards/configmap-1.yaml,shortlist row only; not a support decision or proof that the chart is unsupported
10,62,26,apache-airflow/airflow,1.21.0,apache-airflow/airflow@1.21.0,not-in-modeled-top100,,,create-recipe-import-candidate,remote-dependencies;non-exact-dependencies;semver-compare;files-get;generated-facts;lookup;capabilities;required-or-fail;stateful-storage,remote-dependencies;non-exact-dependencies;semver-compare;files-get;generated-facts;lookup;capabilities;required-or-fail;stateful-storage,create-recipe-import-candidate,recipe-time-lifecycle-verification,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer,data/remote-dependency-closure/top100.csv,"source-only charts have no maintained recipe path, so catalog claims would be disconnected from proof artifacts.",source signal not fully modeled: remote-dependencies;non-exact-dependencies;semver-compare;files-get;lookup;stateful-storage,airflow/charts/postgresql/charts/common/templates/_capabilities.tpl;airflow/charts/postgresql/charts/common/templates/_ingress.tpl;airflow/templates/NOTES.txt;airflow/templates/configmaps/configmap.yaml,shortlist row only; not a support decision or proof that the chart is unsupported
