chart,current_version,latest_version,refresh_state,candidate_proof,candidate_variants,candidate_object_counts,catalog_state,promotion_state,live_promotion_state,source_review,candidate_evidence,next_action
argo-cd/argo-cd,9.5.15,9.5.17,upstream-update-candidate,candidate-proof-complete-root-path-present,"default;no-crds","no-crds:46;default:49",root-path-present,root-path-promoted-review-required,not-yet-live-promoted,data/latest-top20-refresh/review.csv,data/latest-top20-refresh/candidates/argo-cd-9.5.17/recipes/argo-cd/argo-cd/9.5.17,review target-scoped production support decision before replacing the supported version
bitnami/mongodb,19.0.7,19.1.0,upstream-update-candidate,candidate-superseded-by-newer-upstream,"generated-passwords;existing-secret-replicaset","generated-passwords:8;existing-secret-replicaset:10",root-path-present,root-path-promoted-review-required,not-yet-live-promoted,data/latest-top20-refresh/review.csv,data/latest-top20-refresh/candidates/mongodb-19.0.9/recipes/bitnami/mongodb/19.0.9,refresh retained candidate 19.0.9 to latest upstream 19.1.0 before replacement decision
bitnami/mysql,14.0.3,14.0.3,current-proof-still-current,not-needed,,,current-catalog-path,current-supported-version,current-supported-version,data/latest-top20-refresh/review.csv,,"keep current catalog proof; refresh on next upstream movement"
bitnami/nginx,24.0.2,25.0.0,upstream-update-candidate,candidate-superseded-by-newer-upstream,"http-clusterip;existing-tls-ingress","existing-tls-ingress:6;http-clusterip:5",root-path-present,root-path-promoted-review-required,not-yet-live-promoted,data/latest-top20-refresh/review.csv,data/latest-top20-refresh/candidates/nginx-24.0.4/recipes/bitnami/nginx/24.0.4,refresh retained candidate 24.0.4 to latest upstream 25.0.0 before replacement decision
bitnami/postgresql,18.6.7,18.7.0,upstream-update-candidate,candidate-superseded-by-newer-upstream,"generated-passwords;existing-secret","generated-passwords:7;existing-secret:6",root-path-present,root-path-promoted-review-required,not-yet-live-promoted,data/latest-top20-refresh/review.csv,data/latest-top20-refresh/candidates/postgresql-18.6.10/recipes/bitnami/postgresql/18.6.10,refresh retained candidate 18.6.10 to latest upstream 18.7.0 before replacement decision
bitnami/rabbitmq,16.0.14,16.0.14,current-proof-still-current,not-needed,,,current-catalog-path,current-supported-version,current-supported-version,data/latest-top20-refresh/review.csv,,"keep current catalog proof; refresh on next upstream movement"
bitnami/redis,25.5.3,27.0.0,upstream-update-candidate,candidate-proof-complete-root-path-present,"default;reuse-existing-secret","default:14;reuse-existing-secret:13",root-path-present,root-path-promoted-review-required,not-yet-live-promoted,data/latest-top20-refresh/review.csv,data/latest-top20-refresh/candidates/redis-27.0.0/recipes/bitnami/redis/27.0.0,review target-scoped production support decision before replacing the supported version
external-secrets/external-secrets,2.5.0,2.5.0,current-proof-still-current,not-needed,,,current-catalog-path,current-supported-version,current-supported-version,data/latest-top20-refresh/review.csv,,"keep current catalog proof; refresh on next upstream movement"
grafana/grafana,10.5.15,10.5.15,current-proof-still-current,not-needed,,,current-catalog-path,current-supported-version,current-supported-version,data/latest-top20-refresh/review.csv,,"keep current catalog proof; refresh on next upstream movement"
grafana/loki,7.0.0,7.0.0,current-proof-still-current,not-needed,,,current-catalog-path,current-supported-version,current-supported-version,data/latest-top20-refresh/review.csv,,"keep current catalog proof; refresh on next upstream movement"
grafana/tempo,1.24.4,1.24.4,current-proof-still-current,not-needed,,,current-catalog-path,current-supported-version,current-supported-version,data/latest-top20-refresh/review.csv,,"keep current catalog proof; refresh on next upstream movement"
hashicorp/consul,2.0.0,2.0.0,current-proof-still-current,not-needed,,,current-catalog-path,current-supported-version,current-supported-version,data/latest-top20-refresh/review.csv,,"keep current catalog proof; refresh on next upstream movement"
hashicorp/vault,0.32.0,0.32.0,current-proof-still-current,not-needed,,,current-catalog-path,current-supported-version,current-supported-version,data/latest-top20-refresh/review.csv,,"keep current catalog proof; refresh on next upstream movement"
ingress-nginx/ingress-nginx,4.15.1,4.15.1,current-proof-still-current,not-needed,,,current-catalog-path,current-supported-version,current-supported-version,data/latest-top20-refresh/review.csv,,"keep current catalog proof; refresh on next upstream movement"
jetstack/cert-manager,v1.20.2,v1.20.2,current-proof-still-current,not-needed,,,current-catalog-path,current-supported-version,current-supported-version,data/latest-top20-refresh/review.csv,,"keep current catalog proof; refresh on next upstream movement"
longhorn/longhorn,1.11.2,1.11.2,current-proof-still-current,not-needed,,,current-catalog-path,current-supported-version,current-supported-version,data/latest-top20-refresh/review.csv,,"keep current catalog proof; refresh on next upstream movement"
metrics-server/metrics-server,3.13.0,3.13.0,current-proof-still-current,not-needed,,,current-catalog-path,current-supported-version,current-supported-version,data/latest-top20-refresh/review.csv,,"keep current catalog proof; refresh on next upstream movement"
prometheus-community/kube-prometheus-stack,85.3.3,86.1.0,upstream-update-candidate,candidate-proof-complete-root-path-present,"default;no-crds","no-crds:114;default:124",root-path-present,root-path-promoted-review-required,not-yet-live-promoted,data/latest-top20-refresh/review.csv,data/latest-top20-refresh/candidates/kube-prometheus-stack-86.1.0/recipes/prometheus-community/kube-prometheus-stack/86.1.0,review target-scoped production support decision before replacing the supported version
prometheus-community/prometheus,29.8.0,29.9.0,upstream-update-candidate,candidate-proof-complete-root-path-present,"default;server-only-ephemeral","server-only-ephemeral:6;default:23",root-path-present,root-path-promoted-review-required,not-yet-live-promoted,data/latest-top20-refresh/review.csv,data/latest-top20-refresh/candidates/prometheus-29.9.0/recipes/prometheus-community/prometheus/29.9.0,review target-scoped production support decision before replacing the supported version
secrets-store-csi-driver/secrets-store-csi-driver,1.6.0,1.6.0,current-proof-still-current,not-needed,,,current-catalog-path,current-supported-version,current-supported-version,data/latest-top20-refresh/review.csv,,"keep current catalog proof; refresh on next upstream movement"
