chart,version,base,lane,result,model_gap_kind,failure_signature,sibling_base_passes,recommended_action,owner_class,rerun_command,evidence_path
autoscaler/cluster-autoscaler,9.57.0,controller-default-reviewed,K,blocked,generated-fact,no target fact value generator for autoDiscovery.clusterName,none,add-target-fact-generator,recipe-generator,npm run kind-parity:run -- --chart autoscaler/cluster-autoscaler --version 9.57.0 --base controller-default-reviewed,runs/live-kind-parity/autoscaler-cluster-autoscaler-controller-default-reviewed/receipt.yaml
aws-ebs-csi-driver/aws-ebs-csi-driver,2.60.1,default,K,blocked,object-set-shape,semantic object parity issue: missing=0 extra=1 diffs=2; extra=v1|Namespace||default; objects=apps/v1|Deployment|default|ebs-csi-controller; storage.k8s.io/v1|C,none,add-semantic-normalization,catalog-modeling,npm run kind-parity:run -- --chart aws-ebs-csi-driver/aws-ebs-csi-driver --version 2.60.1 --base default,runs/live-kind-parity/aws-ebs-csi-driver-aws-ebs-csi-driver-default/receipt.yaml
bitnami/contour,21.1.4,no-crds,K,blocked,missing-crd,semantic object parity issue: missing=5 extra=1 diffs=0; missing=apiextensions.k8s.io/v1|CustomResourceDefinition||contourconfigurations.projectcontour.io; apie,none,design-new-base,catalog-modeling,npm run kind-parity:run -- --chart bitnami/contour --version 21.1.4 --base no-crds --repo-url oci://registry-1.docker.io/bitnamicharts,runs/live-kind-parity/bitnami-contour-no-crds/receipt.yaml
bitnami/opensearch,2.0.10,default,K,blocked,semantic-normalization,semantic object parity issue: missing=0 extra=1 diffs=4; extra=v1|Namespace||default; objects=v1|Service|default|opensearch-coordinating-hl; v1|Service|default|,none,add-semantic-normalization,catalog-modeling,npm run kind-parity:run -- --chart bitnami/opensearch --version 2.0.10 --base default --repo-url oci://registry-1.docker.io/bitnamicharts,runs/live-kind-parity/bitnami-opensearch-default/receipt.yaml
bitnami/opensearch,2.0.10,ha,K,blocked,semantic-normalization,semantic object parity issue: missing=0 extra=1 diffs=8; extra=v1|Namespace||default; objects=apps/v1|StatefulSet|default|opensearch-coordinating; apps/v1|State,none,add-semantic-normalization,catalog-modeling,npm run kind-parity:run -- --chart bitnami/opensearch --version 2.0.10 --base ha --repo-url oci://registry-1.docker.io/bitnamicharts,runs/live-kind-parity/bitnami-opensearch-ha/receipt.yaml
nats/nack,0.34.0,default,K,blocked,crd-lifecycle,semantic object parity issue: missing=0 extra=7 diffs=0; extra=apiextensions.k8s.io/v1|CustomResourceDefinition||accounts.jetstream.nats.io; apiextensions.k8s.i,no-crds (K pass),split-lifecycle-objects,catalog-modeling,npm run kind-parity:run -- --chart nats/nack --version 0.34.0 --base default,runs/live-kind-parity/nats-nack-default/receipt.yaml
nats/nats,2.14.0,ha,K,blocked,object-set-shape,semantic object parity issue: missing=0 extra=1 diffs=3; extra=v1|Namespace||default; objects=apps/v1|StatefulSet||nats; v1|ConfigMap||nats-config; v1|Service||,default (K pass),add-semantic-normalization,catalog-modeling,npm run kind-parity:run -- --chart nats/nats --version 2.14.0 --base ha,runs/live-kind-parity/nats-nats-ha/receipt.yaml
prometheus-community/kube-prometheus-stack,86.1.0,default,K,blocked,crd-lifecycle,semantic object parity issue: missing=0 extra=11 diffs=0; extra=apiextensions.k8s.io/v1|CustomResourceDefinition||alertmanagerconfigs.monitoring.coreos.com; api,no-crds (K pass),split-lifecycle-objects,catalog-modeling,npm run kind-parity:run -- --chart prometheus-community/kube-prometheus-stack --version 86.1.0 --base default,runs/live-kind-parity/prometheus-community-kube-prometheus-stack-default/receipt.yaml
prometheus-community/prometheus-adapter,5.3.0,cluster-metrics-readonly,G/P,blocked,semantic-normalization,capability-profile: rendered APIService version is not served by target Kubernetes,apiservice-v1-capability (G/P pass),add-semantic-normalization,catalog-modeling,npm run live-parity:run -- --recipe recipes/prometheus-community/prometheus-adapter/5.3.0 --base cluster-metrics-readonly,runs/live-helm-confighub-compare/prometheus-community-prometheus-adapter-cluster-metrics-readonly/receipt.yaml
prometheus-community/prometheus-adapter,5.3.0,default,G/P,blocked,semantic-normalization,capability-profile: rendered APIService version is not served by target Kubernetes,apiservice-v1-capability (G/P pass),add-semantic-normalization,catalog-modeling,npm run live-parity:run -- --recipe recipes/prometheus-community/prometheus-adapter/5.3.0 --base default,runs/live-helm-confighub-compare/prometheus-community-prometheus-adapter-default/receipt.yaml
traefik/traefik,40.2.0,default,K,blocked,crd-lifecycle,semantic object parity issue: missing=0 extra=26 diffs=0; extra=apiextensions.k8s.io/v1|CustomResourceDefinition||accesscontrolpolicies.hub.traefik.io; apiexten,no-crds (K pass),split-lifecycle-objects,catalog-modeling,npm run kind-parity:run -- --chart traefik/traefik --version 40.2.0 --base default,runs/live-kind-parity/traefik-traefik-default/receipt.yaml
velero/velero,12.0.1,default,G/P,blocked,base-design,render-input: required Velero provider values missing,none,design-new-base,catalog-modeling,npm run live-parity:run -- --recipe recipes/velero/velero/12.0.1 --base default,runs/live-helm-confighub-compare/velero-velero-default/receipt.yaml
velero/velero,12.0.1,default,K,blocked,base-design,"manifest apply failed: Error from server (Invalid): BackupStorageLocation.velero.io ""default"" is invalid: [spec.credential: Invalid value: ""null"": spec.credenti",none,design-new-base,catalog-modeling,npm run kind-parity:run -- --chart velero/velero --version 12.0.1 --base default,runs/live-kind-parity/velero-velero-default/receipt.yaml
velero/velero,12.0.1,no-crds,G/P,blocked,base-design,render-input: required Velero provider values missing,none,design-new-base,catalog-modeling,npm run live-parity:run -- --recipe recipes/velero/velero/12.0.1 --base no-crds,runs/live-helm-confighub-compare/velero-velero-no-crds/receipt.yaml
