rank,chart,version,user_status,chart_use_answer,first_base,catalog_path,current_proof,proof_lane_rows,proof_lane_summary,variant_revisions,recipe_paths,package_paths,coverage_status,coverage_evidence,hooks_route,hooks_evidence,quirks,quirk_route,quirk_evidence,runtime_gitops_results,runtime_gitops_receipts,gitops_health_residue,gitops_health_residue_evidence,live_compare_receipts,production_decisions,production_decision_paths,top500_route,user_must_provide,routed_or_absorbed,next_action
1,argo-cd/argo-cd,9.5.15,ready-to-try,yes-public-catalog,default,recipes/argo-cd/argo-cd/9.5.15/CATALOG.md,"catalog-supported-with-live-evidence (render parity 2/2, local live 1/2, live parity 2/2)",default;no-crds,default render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=missing; no-crds render=pass confighub=pass local=blocked gitops=pass/runtime-blocked live-parity=pass two-cluster=pass,recipes/argo-cd/argo-cd/9.5.15/revisions/default/r001/variant-revision.yaml;recipes/argo-cd/argo-cd/9.5.15/revisions/no-crds/r001/variant-revision.yaml,recipes/argo-cd/argo-cd/9.5.15,packages/argo-cd/argo-cd/9.5.15,covered,recipes/argo-cd/argo-cd/9.5.15/source-lock.yaml;recipes/argo-cd/argo-cd/9.5.15/CATALOG.md;recipes/argo-cd/argo-cd/9.5.15/revisions/default/r001/variant-revision.yaml;recipes/argo-cd/argo-cd/9.5.15/helm-pain-report.yaml;recipes/argo-cd/argo-cd/9.5.15/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/argo-cd/argo-cd/9.5.15/value-model.yaml;recipes/argo-cd/argo-cd/9.5.15/helm-plan.yaml;recipes/argo-cd/argo-cd/9.5.15/publication/installer-package-receipt.yaml;data/production-disposition/summary.md;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,crds;existing-secret;extension-slots,,,no-crds:Argo CD OCI:blocked,data/runtime-gitops/receipts/argo-cd-argo-cd/no-crds/latest.yaml,,,runs/live-helm-confighub-compare/argo-cd-argo-cd-default/receipt.yaml;runs/live-helm-confighub-compare/argo-cd-argo-cd-no-crds/receipt.yaml,default:supported:fresh-target-evidence-passed,data/production-support-decisions/argo-cd-argo-cd/support-decision.yaml,,an existing Secret for some bases (buildable — not yet run); a CRD ownership choice (crds vs no-crds base),exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes
2,bitnami/mongodb,19.0.7,ready-to-try,yes-public-catalog,generated-passwords,recipes/bitnami/mongodb/19.0.7/CATALOG.md,"catalog-supported-with-live-evidence (render parity 2/2, local live 2/2, live parity 2/2)",existing-secret-replicaset;generated-passwords,existing-secret-replicaset render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=pass; generated-passwords render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=pass,recipes/bitnami/mongodb/19.0.7/revisions/existing-secret-replicaset/r001/variant-revision.yaml;recipes/bitnami/mongodb/19.0.7/revisions/generated-passwords/r001/variant-revision.yaml,recipes/bitnami/mongodb/19.0.7,packages/bitnami/mongodb/19.0.7,covered,recipes/bitnami/mongodb/19.0.7/source-lock.yaml;recipes/bitnami/mongodb/19.0.7/CATALOG.md;recipes/bitnami/mongodb/19.0.7/revisions/existing-secret-replicaset/r001/variant-revision.yaml;recipes/bitnami/mongodb/19.0.7/helm-pain-report.yaml;recipes/bitnami/mongodb/19.0.7/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/bitnami/mongodb/19.0.7/value-model.yaml;recipes/bitnami/mongodb/19.0.7/helm-plan.yaml;recipes/bitnami/mongodb/19.0.7/publication/installer-package-receipt.yaml;data/production-disposition/summary.md;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,generated-secrets;extension-slots;install-vs-upgrade-divergence;required-values;lookup;generated-facts;tpl;capabilities;rbac;storage,P0: model remote dependency closure in chart facts and source/dependency lock evidence: dependency closure facts plus refresh-survival check,mongodb/charts/common/templates/_capabilities.tpl;mongodb/charts/common/templates/_secrets.tpl;mongodb/templates/secrets.yaml;mongodb/templates/mcp/ingress-tls-secret.yaml,,,,,runs/live-helm-confighub-compare/bitnami-mongodb-generated-passwords/receipt.yaml;runs/live-helm-confighub-compare/bitnami-mongodb-existing-secret-replicaset/receipt.yaml,generated-passwords:supported:fresh-target-evidence-passed,data/production-support-decisions/bitnami-mongodb/support-decision.yaml,rank 28: catalog-supported: proof:2 revision(s): production-review-ready: review source/current-version drift and refresh recipe if needed,a StorageClass / storage decision; target facts at variant time; mandatory chart inputs,exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; extension slots routed to reviewed bases; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,"record the target-scoped lifecycle support decision, then refresh live/e2e evidence for that scope"
3,bitnami/mysql,14.0.3,ready-to-try,yes-public-catalog,generated-passwords,recipes/bitnami/mysql/14.0.3/CATALOG.md,"catalog-supported-with-live-evidence (render parity 2/2, local live 2/2, live parity 2/2)",existing-secret;generated-passwords,existing-secret render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=pass; generated-passwords render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=pass,recipes/bitnami/mysql/14.0.3/revisions/existing-secret/r001/variant-revision.yaml;recipes/bitnami/mysql/14.0.3/revisions/generated-passwords/r001/variant-revision.yaml,recipes/bitnami/mysql/14.0.3,packages/bitnami/mysql/14.0.3,covered,recipes/bitnami/mysql/14.0.3/source-lock.yaml;recipes/bitnami/mysql/14.0.3/CATALOG.md;recipes/bitnami/mysql/14.0.3/revisions/existing-secret/r001/variant-revision.yaml;recipes/bitnami/mysql/14.0.3/helm-pain-report.yaml;recipes/bitnami/mysql/14.0.3/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/bitnami/mysql/14.0.3/value-model.yaml;recipes/bitnami/mysql/14.0.3/helm-plan.yaml;recipes/bitnami/mysql/14.0.3/publication/installer-package-receipt.yaml;data/production-disposition/summary.md;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,generated-secrets;existing-secret;install-vs-upgrade-divergence;required-values;lookup;generated-facts;tpl;capabilities;storage,P0: model remote dependency closure in chart facts and source/dependency lock evidence: dependency closure facts plus refresh-survival check,mysql/charts/common/templates/_capabilities.tpl;mysql/charts/common/templates/_secrets.tpl;mysql/templates/tls-secret.yaml;mysql/templates/primary/statefulset.yaml,,,,,runs/live-helm-confighub-compare/bitnami-mysql-generated-passwords/receipt.yaml;runs/live-helm-confighub-compare/bitnami-mysql-existing-secret/receipt.yaml,generated-passwords:supported:fresh-target-evidence-passed,data/production-support-decisions/bitnami-mysql/support-decision.yaml,rank 24: catalog-supported: proof:2 revision(s): production-review-ready: record target-scoped support decision and refresh live/e2e observation lane,an existing Secret for some bases (built); a StorageClass / storage decision; target facts at variant time; mandatory chart inputs,exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes
4,bitnami/nginx,24.0.2,ready-to-try,yes-public-catalog,http-clusterip,recipes/bitnami/nginx/24.0.2/CATALOG.md,"catalog-supported-with-live-evidence (render parity 2/2, local live 2/2, live parity 2/2)",existing-tls-ingress;http-clusterip,existing-tls-ingress render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=pass; http-clusterip render=pass confighub=pass local=pass gitops=pass/runtime-pass live-parity=pass two-cluster=pass,recipes/bitnami/nginx/24.0.2/revisions/existing-tls-ingress/r001/variant-revision.yaml;recipes/bitnami/nginx/24.0.2/revisions/http-clusterip/r001/variant-revision.yaml,recipes/bitnami/nginx/24.0.2,packages/bitnami/nginx/24.0.2,covered,recipes/bitnami/nginx/24.0.2/source-lock.yaml;recipes/bitnami/nginx/24.0.2/CATALOG.md;recipes/bitnami/nginx/24.0.2/revisions/existing-tls-ingress/r001/variant-revision.yaml;recipes/bitnami/nginx/24.0.2/helm-pain-report.yaml;recipes/bitnami/nginx/24.0.2/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/bitnami/nginx/24.0.2/value-model.yaml;recipes/bitnami/nginx/24.0.2/helm-plan.yaml;recipes/bitnami/nginx/24.0.2/publication/installer-package-receipt.yaml;data/production-disposition/summary.md;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,generated-secrets;existing-secret;extension-slots;install-vs-upgrade-divergence;lookup;generated-facts;tpl;capabilities,P0: model remote dependency closure in chart facts and source/dependency lock evidence: dependency closure facts plus refresh-survival check,nginx/charts/common/templates/_capabilities.tpl;nginx/charts/common/templates/_secrets.tpl;nginx/templates/ingress-tls-secret.yaml;nginx/templates/tls-secret.yaml,http-clusterip:Argo CD OCI:pass,data/runtime-gitops/receipts/bitnami-nginx/http-clusterip/latest.yaml,,,runs/live-helm-confighub-compare/bitnami-nginx-http-clusterip/receipt.yaml;runs/live-helm-confighub-compare/bitnami-nginx-existing-tls-ingress/receipt.yaml,http-clusterip:supported:fresh-target-evidence-passed,data/production-support-decisions/bitnami-nginx/support-decision.yaml,rank 48: catalog-supported: proof:2 revision(s): production-review-ready: record target-scoped support decision and refresh live/e2e observation lane,an existing Secret for some bases (NOT built - chart ships no Secret toggle); target facts at variant time,exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; extension slots routed to reviewed bases; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,"choose the supported production base and target scope, refresh live/e2e evidence, and record the final support decision"
5,bitnami/postgresql,18.6.7,ready-to-try,yes-public-catalog,generated-passwords,recipes/bitnami/postgresql/18.6.7/CATALOG.md,"catalog-supported-with-live-evidence (render parity 2/2, local live 2/2, live parity 2/2)",existing-secret;generated-passwords,existing-secret render=pass confighub=pass local=pass gitops=pass/runtime-pass live-parity=pass two-cluster=pass; generated-passwords render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=pass,recipes/bitnami/postgresql/18.6.7/revisions/existing-secret/r001/variant-revision.yaml;recipes/bitnami/postgresql/18.6.7/revisions/generated-passwords/r001/variant-revision.yaml,recipes/bitnami/postgresql/18.6.7,packages/bitnami/postgresql/18.6.7,covered,recipes/bitnami/postgresql/18.6.7/source-lock.yaml;recipes/bitnami/postgresql/18.6.7/CATALOG.md;recipes/bitnami/postgresql/18.6.7/revisions/existing-secret/r001/variant-revision.yaml;recipes/bitnami/postgresql/18.6.7/helm-pain-report.yaml;recipes/bitnami/postgresql/18.6.7/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/bitnami/postgresql/18.6.7/value-model.yaml;recipes/bitnami/postgresql/18.6.7/helm-plan.yaml;recipes/bitnami/postgresql/18.6.7/publication/installer-package-receipt.yaml;data/production-disposition/summary.md;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,generated-secrets;existing-secret;install-vs-upgrade-divergence;required-values;lookup;generated-facts;tpl;capabilities;storage,P0: model remote dependency closure in chart facts and source/dependency lock evidence: dependency closure facts plus refresh-survival check,postgresql/charts/common/templates/_capabilities.tpl;postgresql/charts/common/templates/_secrets.tpl;postgresql/templates/secrets.yaml;postgresql/templates/tls-secrets.yaml,existing-secret:Flux OCI:pass,data/runtime-gitops/receipts/bitnami-postgresql/existing-secret/latest.yaml,,,runs/live-helm-confighub-compare/bitnami-postgresql-generated-passwords/receipt.yaml;runs/live-helm-confighub-compare/bitnami-postgresql-existing-secret/receipt.yaml,generated-passwords:supported:fresh-target-evidence-passed,data/production-support-decisions/bitnami-postgresql/support-decision.yaml,rank 7: catalog-supported: proof:2 revision(s): production-review-ready: record target-scoped support decision and refresh live/e2e observation lane,an existing Secret for some bases (built); a StorageClass / storage decision; target facts at variant time; mandatory chart inputs,exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,"record the target-scoped lifecycle support decision, then refresh live/e2e evidence for that scope"
6,bitnami/rabbitmq,16.0.14,ready-to-try,yes-public-catalog,generated-passwords,recipes/bitnami/rabbitmq/16.0.14/CATALOG.md,"catalog-supported-with-live-evidence (render parity 2/2, local live 2/2, live parity 2/2)",existing-secret;generated-passwords,existing-secret render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=pass; generated-passwords render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=pass,recipes/bitnami/rabbitmq/16.0.14/revisions/existing-secret/r001/variant-revision.yaml;recipes/bitnami/rabbitmq/16.0.14/revisions/generated-passwords/r001/variant-revision.yaml,recipes/bitnami/rabbitmq/16.0.14,packages/bitnami/rabbitmq/16.0.14,covered,recipes/bitnami/rabbitmq/16.0.14/source-lock.yaml;recipes/bitnami/rabbitmq/16.0.14/CATALOG.md;recipes/bitnami/rabbitmq/16.0.14/revisions/existing-secret/r001/variant-revision.yaml;recipes/bitnami/rabbitmq/16.0.14/helm-pain-report.yaml;recipes/bitnami/rabbitmq/16.0.14/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/bitnami/rabbitmq/16.0.14/value-model.yaml;recipes/bitnami/rabbitmq/16.0.14/helm-plan.yaml;recipes/bitnami/rabbitmq/16.0.14/publication/installer-package-receipt.yaml;data/production-disposition/summary.md;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,generated-secrets;existing-secret;install-vs-upgrade-divergence;required-values;lookup;generated-facts;tpl;capabilities;storage,P0: model remote dependency closure in chart facts and source/dependency lock evidence: dependency closure facts plus refresh-survival check,rabbitmq/charts/common/templates/_capabilities.tpl;rabbitmq/templates/svc-headless.yaml;rabbitmq/charts/common/templates/_secrets.tpl;rabbitmq/templates/ingress-tls-secrets.yaml,,,,,runs/live-helm-confighub-compare/bitnami-rabbitmq-generated-passwords/receipt.yaml;runs/live-helm-confighub-compare/bitnami-rabbitmq-existing-secret/receipt.yaml,generated-passwords:supported:fresh-target-evidence-passed,data/production-support-decisions/bitnami-rabbitmq/support-decision.yaml,rank 20: catalog-supported: proof:2 revision(s): production-review-ready: record target-scoped support decision and refresh live/e2e observation lane,an existing Secret for some bases (built); a StorageClass / storage decision; target facts at variant time; mandatory chart inputs,exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes
7,bitnami/redis,25.5.3,ready-to-try,yes-public-catalog,default,recipes/bitnami/redis/25.5.3/CATALOG.md,"catalog-supported-with-live-evidence (render parity 2/2, local live 2/2, live parity 2/2)",default;reuse-existing-secret,default render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=pass; reuse-existing-secret render=pass confighub=pass local=pass gitops=pass/runtime-pass live-parity=pass two-cluster=pass,recipes/bitnami/redis/25.5.3/revisions/default/r001/variant-revision.yaml;recipes/bitnami/redis/25.5.3/revisions/reuse-existing-secret/r001/variant-revision.yaml,recipes/bitnami/redis/25.5.3,packages/bitnami/redis/25.5.3,covered,recipes/bitnami/redis/25.5.3/source-lock.yaml;recipes/bitnami/redis/25.5.3/CATALOG.md;recipes/bitnami/redis/25.5.3/revisions/default/r001/variant-revision.yaml;recipes/bitnami/redis/25.5.3/helm-pain-report.yaml;recipes/bitnami/redis/25.5.3/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/bitnami/redis/25.5.3/value-model.yaml;recipes/bitnami/redis/25.5.3/helm-plan.yaml;recipes/bitnami/redis/25.5.3/publication/installer-package-receipt.yaml;data/production-disposition/summary.md;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,generated-secrets;install-vs-upgrade-divergence;required-values;lookup;generated-facts;tpl;capabilities;storage,P0: model remote dependency closure in chart facts and source/dependency lock evidence: dependency closure facts plus refresh-survival check,redis/charts/common/templates/_capabilities.tpl;redis/charts/common/templates/_secrets.tpl;redis/templates/tls-secret.yaml;redis/templates/scripts-configmap.yaml,reuse-existing-secret:Flux OCI:pass,data/runtime-gitops/receipts/bitnami-redis/reuse-existing-secret/latest.yaml,,,runs/live-helm-confighub-compare/bitnami-redis-default/receipt.yaml;runs/live-helm-confighub-compare/bitnami-redis-reuse-existing-secret/receipt.yaml,default:supported:fresh-target-evidence-passed,data/production-support-decisions/bitnami-redis/support-decision.yaml,rank 6: catalog-supported: proof:2 revision(s): production-review-ready: record target-scoped support decision and refresh live/e2e observation lane,a StorageClass / storage decision; target facts at variant time; mandatory chart inputs,exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,"record the target-scoped lifecycle support decision, then refresh live/e2e evidence for that scope"
8,external-secrets/external-secrets,2.5.0,ready-to-try,yes-public-catalog,default,recipes/external-secrets/external-secrets/2.5.0/CATALOG.md,"catalog-supported-with-live-evidence (render parity 2/2, local live 2/2, live parity 2/2)",default;no-crds,default render=pass confighub=pass local=pass gitops=pass/runtime-pass+blocked live-parity=pass two-cluster=pass; no-crds render=pass confighub=pass local=pass gitops=pass/runtime-blocked live-parity=pass two-cluster=pass,recipes/external-secrets/external-secrets/2.5.0/revisions/default/r001/variant-revision.yaml;recipes/external-secrets/external-secrets/2.5.0/revisions/no-crds/r001/variant-revision.yaml,recipes/external-secrets/external-secrets/2.5.0,packages/external-secrets/external-secrets/2.5.0,covered,recipes/external-secrets/external-secrets/2.5.0/source-lock.yaml;recipes/external-secrets/external-secrets/2.5.0/CATALOG.md;recipes/external-secrets/external-secrets/2.5.0/revisions/default/r001/variant-revision.yaml;recipes/external-secrets/external-secrets/2.5.0/helm-pain-report.yaml;recipes/external-secrets/external-secrets/2.5.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/external-secrets/external-secrets/2.5.0/value-model.yaml;recipes/external-secrets/external-secrets/2.5.0/helm-plan.yaml;recipes/external-secrets/external-secrets/2.5.0/publication/installer-package-receipt.yaml;data/production-disposition/summary.md;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,crds;existing-secret;extension-slots,,,default:Argo CD OCI:pass;default:Argo CD OCI:pass;default:Argo CD OCI:blocked;no-crds:Argo CD OCI:blocked,data/runtime-gitops/receipts/external-secrets-external-secrets/default-fake-provider-roundtrip/latest.yaml;data/runtime-gitops/receipts/external-secrets-external-secrets/default-prestaged-secret/latest.yaml;data/runtime-gitops/receipts/external-secrets-external-secrets/default/latest.yaml;data/runtime-gitops/receipts/external-secrets-external-secrets/no-crds/latest.yaml,,,runs/live-helm-confighub-compare/external-secrets-external-secrets-default/receipt.yaml;runs/live-helm-confighub-compare/external-secrets-external-secrets-no-crds/receipt.yaml,default:supported:fresh-target-evidence-passed,data/production-support-decisions/external-secrets-external-secrets/support-decision.yaml,,an existing Secret for some bases (buildable — not yet run); a CRD ownership choice (crds vs no-crds base),exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes
9,grafana/grafana,10.5.15,ready-to-try,yes-public-catalog,existing-secret-ingress,recipes/grafana/grafana/10.5.15/CATALOG.md,"catalog-supported-with-live-evidence (render parity 2/2, local live 2/2, live parity 2/2)",existing-secret-ingress;generated-passwords,existing-secret-ingress render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=pass; generated-passwords render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=pass,recipes/grafana/grafana/10.5.15/revisions/existing-secret-ingress/r001/variant-revision.yaml;recipes/grafana/grafana/10.5.15/revisions/generated-passwords/r001/variant-revision.yaml,recipes/grafana/grafana/10.5.15,packages/grafana/grafana/10.5.15,covered,recipes/grafana/grafana/10.5.15/source-lock.yaml;recipes/grafana/grafana/10.5.15/CATALOG.md;recipes/grafana/grafana/10.5.15/revisions/existing-secret-ingress/r001/variant-revision.yaml;recipes/grafana/grafana/10.5.15/helm-pain-report.yaml;recipes/grafana/grafana/10.5.15/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/grafana/grafana/10.5.15/value-model.yaml;recipes/grafana/grafana/10.5.15/helm-plan.yaml;recipes/grafana/grafana/10.5.15/publication/installer-package-receipt.yaml;data/production-disposition/summary.md;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,extension-slots,,,,,,,runs/live-helm-confighub-compare/grafana-grafana-generated-passwords/receipt.yaml;runs/live-helm-confighub-compare/grafana-grafana-existing-secret-ingress/receipt.yaml,generated-passwords:superseded:not-production-supported-because-source-chart-is-deprecated,data/production-support-decisions/grafana-grafana/support-decision.yaml,,nothing beyond a cluster and namespace,exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,resolve image digests for each affected variant before production OCI support
10,grafana/loki,7.0.0,ready-to-try,yes-public-catalog,single-binary-filesystem,recipes/grafana/loki/7.0.0/CATALOG.md,"catalog-supported-with-live-evidence (render parity 2/2, local live 2/2, live parity 2/2)",simple-scalable-minio;single-binary-filesystem,simple-scalable-minio render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=pass; single-binary-filesystem render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=pass,recipes/grafana/loki/7.0.0/revisions/simple-scalable-minio/r001/variant-revision.yaml;recipes/grafana/loki/7.0.0/revisions/single-binary-filesystem/r001/variant-revision.yaml,recipes/grafana/loki/7.0.0,packages/grafana/loki/7.0.0,covered,recipes/grafana/loki/7.0.0/source-lock.yaml;recipes/grafana/loki/7.0.0/CATALOG.md;recipes/grafana/loki/7.0.0/revisions/simple-scalable-minio/r001/variant-revision.yaml;recipes/grafana/loki/7.0.0/helm-pain-report.yaml;recipes/grafana/loki/7.0.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/grafana/loki/7.0.0/value-model.yaml;recipes/grafana/loki/7.0.0/helm-plan.yaml;recipes/grafana/loki/7.0.0/publication/installer-package-receipt.yaml;data/production-disposition/summary.md;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,crds;generated-secrets;webhooks;extension-slots;required-values;lookup;generated-facts;tpl;capabilities;rbac;storage,P0: model remote dependency closure in chart facts and source/dependency lock evidence: dependency closure facts plus refresh-survival check,loki/charts/minio/templates/_helpers.tpl;loki/charts/minio/templates/console-ingress.yaml;loki/charts/minio/templates/ingress.yaml;loki/templates/monitoring/dashboards/configmap-1.yaml,,,,,runs/live-helm-confighub-compare/grafana-loki-single-binary-filesystem/receipt.yaml;runs/live-helm-confighub-compare/grafana-loki-simple-scalable-minio/receipt.yaml,single-binary-filesystem:supported:fresh-target-evidence-passed,data/production-support-decisions/grafana-loki/support-decision.yaml,rank 10: catalog-supported: proof:2 revision(s): production-review-ready: record target-scoped support decision and refresh live/e2e observation lane,a StorageClass / storage decision; a CRD ownership choice (crds vs no-crds base); webhook/cert readiness at delivery time; target facts at variant time; mandatory chart inputs,exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; CRD handling split into explicit bases; extension slots routed to reviewed bases; cluster lookups lifted into declared target facts,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes
