axis,coverage_tier,source_top100_count,modeled_or_supported_count,source_top500_count,primary_evidence,current_treatment,remaining_gap,next_action
lookup-target-facts,tracked-and-surfaced,47,26,244,data/top100-catalog-analysis/review.csv;recipes/*/*/*/control-points.yaml,lookup is surfaced as a control point and routed to target facts or explicit variant policy.,Target-fact enforcement is stronger for selected charts than for every top-100 source row.,Promote target-fact requirements into installer-native preflight where the package model supports it.
generated-facts,tracked-and-surfaced,60,29,282,recipes/*/*/*/generated-facts.yaml;recipes/*/*/*/helm-pain-report.yaml,Generated passwords/certs/random values are disclosed and routed to generated-fact policy or existing-secret variants.,Not every generated-fact path has field-level reachability yet.,Extend value-source-map and edge recovery beyond Redis.
capability-profile,partly-tracked,81,49,370,data/capability-profiles/catalog.yaml;render receipts,"Render receipts bind kubeVersion, Helm version, and render flags where the newer receipt contract is present.",142/179 render receipts declare renderer flags and kubeVersion.,Backfill or classify older receipts that lack the full renderer profile.
helm-flag-profile,partly-tracked,n/a,142,n/a,recipes/*/*/*/revisions/*/r001/receipts/render-receipt.yaml,Render receipts declare the Helm flag profile where the newer receipt contract is present.,142/179 render receipts include the expected flag profile.,"Fail package verification if a supported receipt lacks a complete flag profile, after legacy receipts are backfilled or classified."
hook-phase,partly-tracked,11,5,54,data/hook-lifecycle/source-top100-hooks.csv;data/hook-lifecycle/maintained-hook-queue.csv;data/hook-lifecycle/summary.md,"Hook-bearing top-100 source rows are inventoried, and maintained hook rows are queued for lifecycle route and receipt work.","Hook presence and phase are tracked, but lifecycle receipts are not complete.",Choose routes for hook-bearing charts and commit lifecycle or observation receipts.
hook-delete-policy,source-scanned-not-surfaced,10,0,44,data/top500-catalog-analysis/source/source-feature-scan.raw.json,"The source scanner records hook delete policies, but chart facts do not yet promote them as an axis.","Delete policy can change cleanup, rerun, and rollback behavior.",Promote hook delete policy into chart facts and hook lifecycle queue rows.
hook-weight-ordering,source-scanned-not-surfaced,3,0,21,data/top500-catalog-analysis/source/source-feature-scan.raw.json,"The source scanner records hook weights, but chart facts do not yet promote them as an axis.",Weight ordering affects lifecycle sequencing and may not map cleanly to GitOps.,Promote hook weights into hook lifecycle route planning.
crds,tracked-and-surfaced,24,37,102,data/chart-facts/chart-facts.csv;data/outcome-coverage/feature-outcomes.csv,"CRDs and no-crds variants are visible in chart facts, outcomes, and per-chart pain reports.",CRD upgrade safety remains operator-reviewed.,Keep CRD install and CRD upgrade as separate lifecycle paths.
crd-upgrade-behavior,disclosed-not-complete,24,37,102,data/hook-lifecycle/summary.md;recipes/*/*/*/helm-pain-report.yaml,"CRD presence is tracked, and production support remains gated where upgrade behavior needs review.",Schema conversion and multi-version upgrade behavior are not fully modeled.,Add CRD conversion webhook detection and upgrade receipts for supported CRD charts.
install-vs-upgrade,tracked-and-surfaced,38,18,177,data/chart-facts/chart-facts.csv,Install-vs-upgrade branching is surfaced as a chart fact.,It is not yet tied to upgrade-simulation receipts for every affected chart.,Add variant-path rows for install and upgrade mode where source branching exists.
dependency-lock,tracked-and-surfaced,n/a,110,n/a,recipes/*/*/*/dependency-lock.yaml,Every maintained recipe has a dependency lock.,110 dependency locks found.,Keep dependency locks part of package proof verification.
library-chart,tracked-by-lock-not-front-door,n/a,2,n/a,recipes/*/*/*/dependency-lock.yaml,Library chart dependencies are recorded in dependency locks.,Library chart presence is not yet a chart-facts column.,Promote library chart count into chart facts and catalog analysis.
dependency-alias,tracked-by-lock-not-front-door,n/a,6,n/a,recipes/*/*/*/dependency-lock.yaml,"Dependency aliases can be read from dependency locks, but are not yet a front-door chart-facts axis.",Alias-driven subchart identity can obscure where objects come from.,Promote dependency aliases into chart facts and catalog analysis.
import-values,not-scanned,unknown,0,unknown,recipes/*/*/*/dependency-lock.yaml,Dependency import-values is not a first-class scanner axis today.,Imported subchart values can create hidden high-density value paths.,Teach the dependency scanner to surface import-values and link them to value-source maps.
required-or-fail,tracked-and-surfaced,71,33,309,data/chart-facts/chart-facts.csv,Helm required/fail checks are surfaced as mandatory input risk.,Not every required value has a typed user prompt.,Use values schema or explicit placeholder units for required inputs.
values-schema,tracked-and-surfaced,36,14,178,data/chart-facts/chart-facts.csv,values.schema.json is surfaced as an input contract.,Schemas are not yet centralized in a ConfigHub schema registry.,Keep schema references with recipe/package artifacts and map to ConfigHub schema registry later.
tpl-extension-slots,tracked-and-surfaced,88,82,362,data/chart-facts/chart-facts.csv;recipes/*/*/*/helm-pain-report.yaml,tpl and extension slots are disclosed and reviewed per chart.,Per-field provenance for arbitrary tpl content is not complete.,Keep unsupported or unbounded tpl paths as explicit extension-slot decisions.
explicit-extension-slot-control-points,tracked-and-surfaced,65,82,254,data/chart-facts/chart-facts.csv;recipes/*/*/*/control-points.yaml;recipes/*/*/*/helm-pain-report.yaml,NGINX-like extension surfaces are promoted into per-chart control points or pain reports when recipes exist; 53 matched proof rows currently have explicit extension slots.,The broader source scan sees more raw/extra manifest values than the current modeled chart-facts surface.,"Keep extension slots explicit in chart facts, recipe control points, scan/gate findings, and user-facing variant decisions."
semver-compare,source-scanned-not-surfaced,71,0,309,data/top500-catalog-analysis/source/source-feature-scan.raw.json,The source scanner records semverCompare use.,It is not yet promoted to chart facts or variant-path coverage.,Promote semverCompare into chart facts and link it to source/version refresh review.
files-get,source-scanned-not-surfaced,31,0,129,data/top500-catalog-analysis/source/source-feature-scan.raw.json,The source scanner records .Files.Get usage.,Bundled-file content can affect rendered config without appearing in values.,Promote .Files.Get into chart facts and source-lock evidence.
time-uuid-functions,source-scanned-not-surfaced,40,0,140,data/top500-catalog-analysis/source/source-feature-scan.raw.json,The source scanner records time and UUID functions.,These are distinct from secret generation and should be a separate nondeterminism axis.,Promote time/UUID functions into chart facts and generated-fact policy.
getHostByName,not-scanned,unknown,unknown,unknown,docs/reference/quirk-coverage.md,This Helm function is not currently detected as its own axis.,DNS lookups during template render would make render depend on the network environment.,Add scanner detection and reject or require a captured fact binding.
resource-policy-keep,not-scanned,unknown,unknown,unknown,docs/reference/quirk-coverage.md,helm.sh/resource-policy: keep is not currently detected as its own axis.,Uninstall and prune behavior may leave intentional orphans.,Add rendered-object scan for resource-policy keep and route to lifecycle policy.
post-renderer,not-scanned,unknown,unknown,unknown,docs/reference/customization-algorithm.md,"Post-renderers are handled by doctrine as explicit recipe stages or rejected, but not scanned from chart source.",Final applied objects can differ from helm template output.,Represent post-renderers as pinned recipe/function stages or mark unsupported.
helm-version-branching,not-scanned,unknown,unknown,unknown,docs/reference/quirk-coverage.md,.Capabilities.HelmVersion branching is not currently detected.,Render output could vary by Helm binary version.,Add scanner detection and bind Helm version into receipts.
global-values,not-scanned,unknown,unknown,unknown,docs/reference/quirk-coverage.md,global.* propagation is not currently surfaced as a high-density value axis.,One value can affect many subcharts and objects.,Add value-source-map support for global values and subchart import paths.
