priority,workstream,done_when,source_rank,chart,source_version,modeled_chart_ref,join_status,modeled_version,catalog_status,proof_surface,source_remote_repo_count,source_non_exact_constraints,source_dependency_lock_present,source_vendored_subcharts,top_quirk,dependency_range_policy,refresh_survival_status,refresh_survival_evidence,lock_status,lock_path,lock_chart_version,lock_dependency_count,lock_remote_repo_count,lock_library_dependency_count,lock_has_chart_lock_digest,dependency_names,dependency_repositories,next_action
P0,promote-closure-facts,"chart facts and status surfaces expose dependency closure, remote repositories, and refresh-survival expectation",1,prometheus-community/kube-prometheus-stack,85.3.0,prometheus-community/kube-prometheus-stack,exact-chart-ref,85.3.3,catalog-supported,top20-catalog-supported,4,1,true,true,remote-dependencies,freeze-to-chart-lock,candidate-visible:candidate-proof-complete-root-path-present,data/refresh-survival/refreshes.csv,modeled-version-lock-present,recipes/prometheus-community/kube-prometheus-stack/85.3.3/dependency-lock.yaml,85.3.3,5,2,0,true,crds;kube-state-metrics;prometheus-node-exporter;grafana;prometheus-windows-exporter,https://prometheus-community.github.io/helm-charts;https://grafana-community.github.io/helm-charts,promote dependency closure facts into chart facts and keep refresh-survival evidence current
P0,promote-closure-facts,"chart facts and status surfaces expose dependency closure, remote repositories, and refresh-survival expectation",4,argo/argo-cd,9.5.15,argo-cd/argo-cd,chart-name-version-alias,9.5.15,catalog-supported,top20-catalog-supported,1,0,true,true,remote-dependencies,not-needed,not-in-refresh-survival-surface,,source-version-lock-present,recipes/argo-cd/argo-cd/9.5.15/dependency-lock.yaml,9.5.15,1,1,0,true,redis-ha,https://dandydeveloper.github.io/charts/,promote dependency closure facts into chart facts and keep refresh-survival evidence current
P0,promote-closure-facts,"chart facts and status surfaces expose dependency closure, remote repositories, and refresh-survival expectation",5,prometheus-community/prometheus,29.8.0,prometheus-community/prometheus,exact-chart-ref,29.8.0,catalog-supported,top20-catalog-supported,4,4,true,true,remote-dependencies,freeze-to-chart-lock,candidate-visible:candidate-proof-complete-root-path-present,data/refresh-survival/refreshes.csv,source-version-lock-present,recipes/prometheus-community/prometheus/29.8.0/dependency-lock.yaml,29.8.0,4,1,0,true,alertmanager;kube-state-metrics;prometheus-node-exporter;prometheus-pushgateway,https://prometheus-community.github.io/helm-charts,promote dependency closure facts into chart facts and keep refresh-survival evidence current
P0,chart-lock-digest,dependency lock records a Chart.lock digest or explains the source of the locked dependency list,6,bitnami/redis,25.5.3,bitnami/redis,exact-chart-ref,25.5.3,catalog-supported,top20-catalog-supported,1,0,false,true,remote-dependencies,not-needed,candidate-visible:candidate-proof-complete-root-path-present,data/refresh-survival/refreshes.csv,source-version-lock-present,recipes/bitnami/redis/25.5.3/dependency-lock.yaml,25.5.3,1,1,1,false,common,oci://registry-1.docker.io/bitnamicharts,record Chart.lock digest or explain why the dependency lock is source-derived rather than Chart.lock-derived
P0,chart-lock-digest,dependency lock records a Chart.lock digest or explains the source of the locked dependency list,7,bitnami/postgresql,18.6.7,bitnami/postgresql,exact-chart-ref,18.6.7,catalog-supported,top20-catalog-supported,1,0,false,true,remote-dependencies,not-needed,candidate-visible:candidate-proof-complete-root-path-present,data/refresh-survival/refreshes.csv,source-version-lock-present,recipes/bitnami/postgresql/18.6.7/dependency-lock.yaml,18.6.7,1,1,0,false,common,oci://registry-1.docker.io/bitnamicharts,record Chart.lock digest or explain why the dependency lock is source-derived rather than Chart.lock-derived
P0,create-recipe-import-candidate,"recipe candidate exists with source lock, dependency lock, first base variant, render parity, and an explicit catalog decision",9,k8s-dashboard/kubernetes-dashboard,7.14.0,,source-only,,not-in-modeled-top100,,6,1,true,true,apiservice,unrecorded-no-maintained-lock,not-in-refresh-survival-surface,,source-only-no-maintained-recipe,,,0,0,0,false,,,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer
P0,promote-closure-facts,"chart facts and status surfaces expose dependency closure, remote repositories, and refresh-survival expectation",10,grafana/loki,7.0.0,grafana/loki,exact-chart-ref,7.0.0,catalog-supported,top20-catalog-supported,3,0,true,true,remote-dependencies,not-needed,current-proof-still-current,data/refresh-survival/refreshes.csv,source-version-lock-present,recipes/grafana/loki/7.0.0/dependency-lock.yaml,7.0.0,3,2,0,true,minio;grafana-agent-operator;rollout-operator,https://charts.min.io/;https://grafana.github.io/helm-charts,promote dependency closure facts into chart facts and keep refresh-survival evidence current
P0,create-recipe-import-candidate,"recipe candidate exists with source lock, dependency lock, first base variant, render parity, and an explicit catalog decision",13,gitlab/gitlab,10.0.0,,source-only,,not-in-modeled-top100,,13,9,true,true,remote-dependencies,unrecorded-no-maintained-lock,not-in-refresh-survival-surface,,source-only-no-maintained-recipe,,,0,0,0,false,,,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer
P0,create-recipe-import-candidate,"recipe candidate exists with source lock, dependency lock, first base variant, render parity, and an explicit catalog decision",15,bitnami/keycloak,25.2.0,,source-only,,not-in-modeled-top100,,3,3,true,true,remote-dependencies,unrecorded-no-maintained-lock,not-in-refresh-survival-surface,,source-only-no-maintained-recipe,,,0,0,0,false,,,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer
P0,promote-closure-facts,"chart facts and status surfaces expose dependency closure, remote repositories, and refresh-survival expectation",17,external-secrets-operator/external-secrets,2.5.0,external-secrets/external-secrets,chart-name-version-alias,2.5.0,catalog-supported,top20-catalog-supported,1,0,true,true,remote-dependencies,not-needed,not-in-refresh-survival-surface,,source-version-lock-present,recipes/external-secrets/external-secrets/2.5.0/dependency-lock.yaml,2.5.0,1,1,0,true,bitwarden-sdk-server,oci://ghcr.io/external-secrets/charts,promote dependency closure facts into chart facts and keep refresh-survival evidence current
